# 2021  6  1  0  0 UTC  2021  6  1  0 30 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2021,6,1,0000,59.22,102.44,2.54,0,3,3,1.09,0,3
2,2021,6,1,0000,59.22,102.46,2.54,0,3,3,1.09,0,3
3,2021,6,1,0000,59.22,102.48,2.54,0,3,3,1.10,0,3
4,2021,6,1,0000,58.94,124.56,2.56,0,3,3,1.20,0,6
5,2021,6,1,0000,58.94,124.58,2.56,0,3,3,1.20,0,6
6,2021,6,1,0000,58.92,124.56,2.56,0,3,3,1.20,0,6
7,2021,6,1,0000,58.92,124.58,2.56,0,3,3,1.20,0,6
8,2021,6,1,0000,58.08,106.46,2.62,0,3,1,3.08,0,8
9,2021,6,1,0000,58.06,106.48,2.62,0,3,1,3.04,0,14
10,2021,6,1,0000,58.06,106.50,2.62,0,3,1,3.04,0,14
11,2021,6,1,0000,58.06,106.52,2.62,0,3,1,3.04,0,14
12,2021,6,1,0000,58.04,106.50,2.62,0,3,1,3.04,0,14
13,2021,6,1,0000,58.04,106.52,2.62,0,3,1,3.04,0,14
14,2021,6,1,0000,58.04,106.54,2.62,0,3,1,3.04,0,14
15,2021,6,1,0000,58.00,106.74,2.63,0,3,1,2.91,0,21
16,2021,6,1,0000,58.00,106.76,2.63,0,3,1,2.91,0,21
17,2021,6,1,0000,57.98,106.76,2.63,0,3,1,2.91,0,21
18,2021,6,1,0000,57.98,106.78,2.63,0,3,1,2.91,0,21
19,2021,6,1,0000,57.98,106.80,2.63,0,3,1,2.91,0,21
20,2021,6,1,0000,57.96,106.80,2.63,0,3,1,2.91,0,21
21,2021,6,1,0000,57.96,106.82,2.63,0,3,1,2.92,0,21
22,2021,6,1,0000,57.90,105.84,2.63,0,3,1,5.22,0,25
23,2021,6,1,0000,57.90,105.86,2.63,0,3,1,5.22,0,25
24,2021,6,1,0000,57.88,105.86,2.64,0,3,1,5.23,0,25
25,2021,6,1,0000,57.88,105.88,2.64,0,3,1,5.23,0,25
26,2021,6,1,0000,56.98,124.74,2.70,0,3,1,1.04,0,26
27,2021,6,1,0000,56.66,107.06,2.72,0,3,1,1.12,0,30
28,2021,6,1,0000,56.66,107.08,2.72,0,3,1,1.12,0,30
29,2021,6,1,0000,56.64,107.08,2.73,0,3,1,1.12,0,30
30,2021,6,1,0000,56.64,107.10,2.73,0,3,3,1.12,0,30
31,2021,6,1,0000,56.64,107.12,2.73,0,3,3,1.12,0,30
32,2021,6,1,0000,56.12,104.72,2.76,0,3,1,.75,0,35
33,2021,6,1,0000,56.12,104.74,2.76,0,3,1,.75,0,35
34,2021,6,1,0000,56.10,104.74,2.76,0,3,3,.76,0,35
35,2021,6,1,0000,56.10,104.76,2.76,0,3,3,.76,0,35
36,2021,6,1,0000,56.10,106.14,2.76,0,3,1,.87,0,36
37,2021,6,1,0000,56.08,104.78,2.77,0,3,1,.73,0,37
38,2021,6,1,0000,52.14,139.28,3.04,0,3,3,1.39,0,39
39,2021,6,1,0000,52.12,139.28,3.04,0,3,3,1.39,0,39
40,2021,6,1,0000,51.16,142.60,3.11,0,3,3,2.20,2,40
41,2021,6,1,0000,51.16,142.62,3.11,0,3,3,2.20,2,40
42,2021,6,1,0000,51.14,142.60,3.11,0,3,3,2.20,2,40
43,2021,6,1,0000,50.40,143.58,3.16,0,3,1,1.47,0,44
44,2021,6,1,0000,50.40,143.60,3.16,0,3,3,1.47,0,44
45,2021,6,1,0000,50.14,142.28,3.18,0,3,3,2.49,0,47
46,2021,6,1,0000,50.14,142.30,3.18,0,3,1,2.49,0,47
47,2021,6,1,0000,50.12,142.28,3.18,0,3,3,2.49,0,47
48,2021,6,1,0000,50.12,142.30,3.18,0,3,1,2.49,0,47
49,2021,6,1,0000,49.58,117.48,3.21,0,3,3,1.36,0,51
50,2021,6,1,0000,49.58,117.50,3.21,0,3,3,1.36,0,51
51,2021,6,1,0000,49.56,117.50,3.22,0,3,3,1.36,0,51
52,2021,6,1,0000,49.28,111.88,3.23,0,3,3,1.75,0,55
53,2021,6,1,0000,49.28,111.90,3.23,0,3,3,1.75,0,55
54,2021,6,1,0000,49.26,111.90,3.23,0,3,3,1.75,0,55
55,2021,6,1,0000,49.26,111.92,3.23,0,3,3,1.75,0,55
56,2021,6,1,0000,48.74,118.48,3.27,0,3,3,1.69,2,56
57,2021,6,1,0000,48.72,118.50,3.27,0,3,3,1.69,2,57
58,2021,6,1,0000,48.58,112.14,3.28,0,3,3,1.39,2,58
59,2021,6,1,0000,48.58,112.16,3.28,0,3,3,1.39,2,58
60,2021,6,1,0000,48.56,112.16,3.28,0,3,3,1.39,2,58
61,2021,6,1,0000,48.42,115.40,3.29,0,3,1,1.35,2,61
62,2021,6,1,0000,48.40,115.40,3.29,0,3,1,1.35,2,61
63,2021,6,1,0000,48.40,115.42,3.29,0,3,3,1.35,2,61
64,2021,6,1,0000,48.10,138.74,3.31,0,3,3,2.06,0,65
65,2021,6,1,0000,48.08,138.74,3.31,0,3,1,2.06,0,65
66,2021,6,1,0000,45.00,118.64,3.50,0,3,3,1.74,2,67
67,2021,6,1,0000,45.00,118.66,3.50,0,3,3,1.74,2,67
68,2021,6,1,0000,44.36,142.44,3.54,0,3,3,2.27,0,68
69,2021,6,1,0000,44.36,142.46,3.54,0,3,3,2.27,0,68
70,2021,6,1,0000,44.34,142.44,3.54,0,3,3,2.27,0,68
71,2021,6,1,0000,44.34,142.46,3.54,0,3,3,2.27,0,68
72,2021,6,1,0000,44.06,143.52,3.56,0,3,3,1.79,0,72
73,2021,6,1,0000,43.92,116.90,3.57,0,3,3,1.06,0,74
74,2021,6,1,0000,43.92,116.92,3.57,0,3,3,1.06,0,74
75,2021,6,1,0000,43.78,142.38,3.58,0,3,3,1.46,0,75
76,2021,6,1,0000,43.58,141.90,3.59,0,3,1,2.58,0,77
77,2021,6,1,0000,43.58,141.92,3.59,0,3,1,2.58,0,77
78,2021,6,1,0000,43.56,141.90,3.59,0,3,1,2.58,0,77
79,2021,6,1,0000,43.56,141.92,3.59,0,3,1,2.58,0,77
80,2021,6,1,0000,43.18,141.00,3.61,0,3,1,1.98,0,80
81,2021,6,1,0000,43.00,144.38,3.63,0,2,1,2.56,0,81
82,2021,6,1,0000,43.00,144.40,3.63,0,2,1,2.56,0,81
83,2021,6,1,0000,40.60,140.46,3.76,0,3,3,2.89,0,83
84,2021,6,1,0000,40.58,140.46,3.76,0,3,1,2.89,0,83
85,2021,6,1,0000,40.30,140.56,3.78,0,3,1,2.32,0,85
86,2021,6,1,0000,40.28,140.56,3.78,0,3,1,2.32,0,85
87,2021,6,1,0000,40.20,140.78,3.79,0,3,1,1.63,0,87
88,2021,6,1,0000,37.90,140.10,3.91,0,3,1,3.05,0,88
89,2021,6,1,0000,37.68,139.46,3.92,0,2,1,1.76,0,89
90,2021,6,1,0000,37.60,139.62,3.93,0,3,3,1.48,0,90
91,2021,6,1,0000,37.50,139.92,3.93,0,3,1,3.86,0,91
92,2021,6,1,0000,37.48,139.92,3.93,0,3,1,3.86,0,91
93,2021,6,1,0000,37.38,138.56,3.94,0,3,1,3.16,0,93
94,2021,6,1,0000,37.36,138.56,3.94,0,3,1,3.16,0,93
95,2021,6,1,0000,36.18,137.24,4.00,0,3,3,1.99,0,96
