# 2021  6  1  0 20 UTC  2021  6  1  0 50 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2021,6,1,0023,59.16,117.08,2.54,0,3,1,1.03,0,1
2,2021,6,1,0023,59.16,117.10,2.54,0,3,1,1.03,0,1
3,2021,6,1,0023,58.94,124.56,2.56,0,3,3,1.40,0,5
4,2021,6,1,0023,58.94,124.58,2.56,0,3,3,1.40,0,5
5,2021,6,1,0023,58.92,124.56,2.56,0,3,3,1.40,0,5
6,2021,6,1,0023,58.92,124.58,2.56,0,3,3,1.40,0,5
7,2021,6,1,0023,58.82,132.80,2.57,0,3,3,5.15,2,7
8,2021,6,1,0023,58.50,109.52,2.59,0,3,1,.90,0,8
9,2021,6,1,0023,58.48,107.52,2.59,0,3,1,2.49,0,9
10,2021,6,1,0023,58.48,107.54,2.59,0,3,1,2.49,0,9
11,2021,6,1,0023,58.48,107.56,2.59,0,3,1,2.42,0,9
12,2021,6,1,0023,58.46,107.54,2.59,0,3,1,2.42,0,9
13,2021,6,1,0023,58.46,107.56,2.59,0,3,1,2.43,0,9
14,2021,6,1,0023,58.46,107.58,2.59,0,3,1,2.43,0,9
15,2021,6,1,0023,58.44,107.58,2.59,0,3,1,2.43,0,9
16,2021,6,1,0023,58.44,107.60,2.59,0,3,1,2.43,0,9
17,2021,6,1,0023,58.08,106.46,2.62,0,3,1,3.66,0,17
18,2021,6,1,0023,58.06,106.48,2.62,0,3,1,3.49,0,23
19,2021,6,1,0023,58.06,106.50,2.62,0,3,1,3.49,0,23
20,2021,6,1,0023,58.06,106.52,2.62,0,3,1,3.49,0,23
21,2021,6,1,0023,58.04,106.50,2.62,0,3,1,3.49,0,23
22,2021,6,1,0023,58.04,106.52,2.62,0,3,1,3.49,0,23
23,2021,6,1,0023,58.04,106.54,2.62,0,3,1,3.49,0,23
24,2021,6,1,0023,58.00,106.74,2.63,0,3,1,1.90,0,30
25,2021,6,1,0023,58.00,106.76,2.63,0,3,1,1.90,0,30
26,2021,6,1,0023,57.98,106.76,2.63,0,3,1,1.90,0,30
27,2021,6,1,0023,57.98,106.78,2.63,0,3,1,1.90,0,30
28,2021,6,1,0023,57.98,106.80,2.63,0,3,1,1.90,0,30
29,2021,6,1,0023,57.96,106.80,2.63,0,3,1,1.90,0,30
30,2021,6,1,0023,57.96,106.82,2.63,0,3,1,1.90,0,30
31,2021,6,1,0023,57.90,105.84,2.63,0,3,1,5.93,0,31
32,2021,6,1,0023,57.90,105.86,2.63,0,3,1,5.93,0,31
33,2021,6,1,0023,57.88,105.86,2.64,0,3,1,5.87,0,31
34,2021,6,1,0023,57.88,105.88,2.64,0,3,1,5.87,0,31
35,2021,6,1,0023,57.38,106.92,2.67,0,3,3,1.18,0,37
36,2021,6,1,0023,57.38,106.94,2.67,0,3,3,1.18,0,37
37,2021,6,1,0023,57.36,106.94,2.67,0,3,3,1.18,0,37
38,2021,6,1,0023,57.36,106.96,2.67,0,3,3,1.18,0,37
39,2021,6,1,0023,51.16,142.60,3.11,0,3,1,2.31,2,39
40,2021,6,1,0023,51.14,142.60,3.11,0,3,1,2.31,2,39
41,2021,6,1,0023,50.36,138.70,3.16,0,3,1,2.26,2,46
42,2021,6,1,0023,50.34,138.70,3.16,0,3,1,2.26,2,46
43,2021,6,1,0023,50.34,138.72,3.16,0,3,1,2.26,2,46
44,2021,6,1,0023,50.32,138.70,3.16,0,3,3,2.67,2,46
45,2021,6,1,0023,50.32,138.72,3.16,0,3,3,2.67,2,46
46,2021,6,1,0023,50.30,138.70,3.17,0,3,3,2.67,2,46
47,2021,6,1,0023,50.30,138.72,3.17,0,3,3,2.67,2,46
48,2021,6,1,0023,49.58,117.48,3.21,0,3,3,1.33,0,49
49,2021,6,1,0023,49.58,117.50,3.21,0,3,3,1.33,0,49
50,2021,6,1,0023,49.56,117.50,3.22,0,3,3,1.33,0,49
51,2021,6,1,0023,49.28,111.88,3.23,0,3,3,1.78,0,54
52,2021,6,1,0023,49.28,111.90,3.23,0,3,3,1.78,0,54
53,2021,6,1,0023,49.26,111.90,3.23,0,3,3,1.78,0,54
54,2021,6,1,0023,49.26,111.92,3.23,0,3,3,1.78,0,54
55,2021,6,1,0023,48.88,137.12,3.26,0,3,3,1.39,0,55
56,2021,6,1,0023,45.40,116.16,3.48,0,3,3,1.96,0,57
57,2021,6,1,0023,45.40,116.18,3.48,0,3,1,1.96,0,57
58,2021,6,1,0023,44.36,142.44,3.54,0,3,3,2.82,0,58
59,2021,6,1,0023,44.36,142.46,3.54,0,3,3,2.82,0,58
60,2021,6,1,0023,44.34,142.44,3.54,0,3,3,2.82,0,58
61,2021,6,1,0023,44.34,142.46,3.54,0,3,3,2.82,0,58
62,2021,6,1,0023,44.06,143.52,3.56,0,3,3,1.81,0,62
63,2021,6,1,0023,44.00,142.14,3.57,0,3,1,1.31,0,63
64,2021,6,1,0023,43.78,142.38,3.58,0,3,1,1.57,0,64
65,2021,6,1,0023,43.74,142.38,3.58,0,3,1,2.58,0,65
66,2021,6,1,0023,43.58,141.90,3.59,0,3,1,2.94,0,67
67,2021,6,1,0023,43.58,141.92,3.59,0,3,1,2.94,0,67
68,2021,6,1,0023,43.56,141.90,3.59,0,3,1,2.94,0,67
69,2021,6,1,0023,43.56,141.92,3.59,0,3,1,2.94,0,67
70,2021,6,1,0023,43.34,142.40,3.60,0,3,1,1.89,0,70
