# 2021   6   1   9  2021   6   1  10  37    .02
#year,month,day,hour,lat,lon,ave(frp),max(frp),ave(confidence),N
2021,6,1,9,57.90,105.84,17.84,21.12,1.00,2
2021,6,1,9,57.90,105.86,17.84,21.12,1.00,2
2021,6,1,9,57.88,105.86,17.93,21.20,1.00,2
2021,6,1,9,57.88,105.88,17.94,21.23,1.00,2
2021,6,1,9,51.06,96.58,5.40,5.40,1.00,1
2021,6,1,9,51.06,96.60,5.40,5.40,1.00,1
2021,6,1,9,51.04,96.60,5.40,5.40,1.00,1
2021,6,1,9,47.52,118.58,6.00,6.00,1.00,1
2021,6,1,9,45.84,124.50,11.28,11.28,1.00,1
2021,6,1,9,43.14,112.36,3.15,3.15,1.00,1
2021,6,1,9,43.00,144.38,8.58,13.61,1.00,4
2021,6,1,9,43.00,144.40,8.58,13.61,1.00,4
2021,6,1,9,41.94,117.36,5.20,5.20,3.00,1
2021,6,1,9,41.54,110.10,5.42,5.42,3.00,1
2021,6,1,9,41.54,110.12,5.42,5.42,3.00,1
2021,6,1,9,41.52,110.00,14.02,14.02,3.00,1
2021,6,1,9,41.52,110.14,8.38,8.38,3.00,1
2021,6,1,9,41.50,110.02,11.28,11.28,3.00,1
2021,6,1,9,41.16,123.00,17.57,17.57,1.00,1
2021,6,1,9,40.66,122.56,11.32,11.32,1.00,1
2021,6,1,9,40.64,122.56,11.32,11.32,1.00,1
2021,6,1,9,36.64,109.48,5.99,6.57,3.00,2
2021,6,1,9,36.64,109.50,5.99,6.57,1.00,2
2021,6,1,9,35.96,114.88,4.85,4.85,3.00,1
2021,6,1,9,35.94,140.66,6.59,7.98,1.00,4
2021,6,1,9,35.92,140.66,7.70,7.70,1.00,1
2021,6,1,9,35.74,107.62,5.79,5.79,1.00,1
2021,6,1,9,35.74,107.64,5.79,5.79,1.00,1
2021,6,1,9,35.68,108.62,11.12,11.12,3.00,1
2021,6,1,9,35.68,108.64,11.00,11.00,3.00,1
2021,6,1,9,35.36,132.74,10.89,12.69,1.00,2
