# 2021   6   1  16  2021   6   1  18  37    .02
#year,month,day,hour,lat,lon,ave(frp),max(frp),ave(confidence),N
2021,6,1,16,58.48,107.58,5.09,5.59,1.00,2
2021,6,1,16,58.48,107.60,5.12,5.62,1.00,2
2021,6,1,16,58.46,107.60,5.12,5.62,1.00,2
2021,6,1,16,58.46,107.62,5.12,5.62,1.00,2
2021,6,1,16,58.44,107.60,4.20,4.20,1.00,1
2021,6,1,16,58.44,107.62,5.04,5.46,1.00,2
2021,6,1,16,58.44,107.64,5.04,5.46,1.00,2
2021,6,1,16,58.08,106.46,7.08,8.72,1.00,4
2021,6,1,16,58.06,106.48,7.23,9.17,1.00,4
2021,6,1,16,58.06,106.50,7.23,9.17,1.00,4
2021,6,1,16,58.06,106.52,7.24,9.17,1.00,4
2021,6,1,16,58.06,106.54,8.13,11.63,1.00,5
2021,6,1,16,58.06,106.56,8.13,11.63,1.00,5
2021,6,1,16,58.04,106.50,7.19,8.96,1.00,4
2021,6,1,16,58.04,106.52,7.21,8.99,1.00,4
2021,6,1,16,58.04,106.54,7.21,8.99,1.00,4
2021,6,1,16,58.04,106.56,8.14,11.66,1.00,5
2021,6,1,16,58.04,106.58,8.11,11.45,1.00,5
2021,6,1,16,58.04,106.76,6.89,6.89,1.00,1
2021,6,1,16,58.02,106.76,6.92,6.92,1.00,1
2021,6,1,16,58.02,106.78,6.92,6.92,1.00,1
2021,6,1,16,58.02,106.80,5.32,6.92,1.00,3
2021,6,1,16,58.00,106.78,6.27,9.36,1.00,6
2021,6,1,16,58.00,106.80,6.28,9.36,1.00,6
2021,6,1,16,58.00,106.82,5.69,6.79,1.00,2
2021,6,1,16,57.98,106.82,6.76,9.36,1.00,6
2021,6,1,16,57.98,106.84,6.76,9.36,1.00,6
2021,6,1,16,57.96,106.84,6.76,9.36,1.00,6
2021,6,1,16,57.96,106.86,6.75,9.36,1.00,6
2021,6,1,16,57.90,105.84,19.29,22.20,1.00,6
2021,6,1,16,57.90,105.86,19.25,22.20,1.00,6
2021,6,1,16,57.90,105.88,12.85,14.94,3.00,4
2021,6,1,16,57.90,105.90,12.85,14.94,3.00,4
2021,6,1,16,57.90,105.92,12.85,14.94,3.00,4
2021,6,1,16,57.88,105.86,19.28,22.31,1.00,6
2021,6,1,16,57.88,105.88,19.28,22.31,1.00,6
2021,6,1,16,57.88,105.90,12.90,15.00,3.00,4
2021,6,1,16,57.88,105.92,12.90,15.00,3.00,4
2021,6,1,16,57.88,105.94,12.91,15.02,3.00,4
2021,6,1,16,57.86,105.94,12.92,15.02,3.00,4
2021,6,1,16,57.86,105.96,12.93,15.02,3.00,4
2021,6,1,16,57.38,106.96,2.60,2.80,1.00,3
2021,6,1,16,57.38,106.98,2.68,2.80,1.00,2
2021,6,1,16,57.36,106.98,2.80,2.80,1.00,1
2021,6,1,16,55.90,159.62,6.35,7.87,3.50,4
2021,6,1,16,55.90,159.64,6.35,7.87,3.50,4
2021,6,1,16,55.88,159.62,6.35,7.87,3.00,4
2021,6,1,16,55.88,159.64,6.35,7.87,3.50,4
2021,6,1,16,51.92,143.16,4.36,4.59,3.00,2
2021,6,1,16,51.90,143.16,4.36,4.59,3.00,2
2021,6,1,16,51.52,143.24,5.85,5.85,3.00,1
2021,6,1,16,50.56,130.64,2.84,2.84,3.00,1
2021,6,1,16,49.88,128.52,3.99,3.99,3.00,1
2021,6,1,16,49.86,128.52,4.00,4.00,3.00,1
2021,6,1,16,49.86,128.54,4.00,4.00,3.00,1
2021,6,1,16,49.84,128.48,5.28,5.28,1.00,1
2021,6,1,16,49.84,128.52,5.92,5.92,3.00,1
2021,6,1,16,49.84,128.54,5.92,5.92,3.00,1
2021,6,1,16,49.58,115.54,5.26,5.26,1.00,1
2021,6,1,16,49.54,115.54,4.59,5.22,1.00,2
2021,6,1,16,49.50,117.78,8.02,8.02,3.00,1
2021,6,1,16,49.50,117.80,8.02,8.02,1.00,1
2021,6,1,16,49.48,117.80,8.02,8.02,1.00,1
2021,6,1,16,49.42,127.58,7.82,7.82,3.00,1
2021,6,1,16,49.42,127.60,7.82,7.82,3.00,1
2021,6,1,16,49.42,128.86,8.95,8.95,3.00,1
2021,6,1,16,49.40,127.60,7.85,7.85,3.00,1
2021,6,1,16,49.40,128.86,8.98,8.98,3.00,1
2021,6,1,16,49.40,128.88,8.98,8.98,3.00,1
2021,6,1,16,49.38,127.60,7.59,7.59,3.00,1
2021,6,1,16,49.30,119.22,14.37,16.28,1.00,2
2021,6,1,16,49.30,119.26,14.76,14.76,3.00,1
2021,6,1,16,49.28,119.26,14.76,14.76,3.00,1
2021,6,1,16,49.28,119.28,14.76,14.76,3.00,1
2021,6,1,16,49.26,128.54,18.54,18.54,3.00,1
2021,6,1,16,49.24,128.54,18.60,18.60,3.00,1
2021,6,1,16,49.24,128.56,18.60,18.60,3.00,1
2021,6,1,16,48.40,95.98,3.85,3.85,3.00,1
2021,6,1,16,48.40,96.00,3.85,3.85,1.00,1
2021,6,1,16,48.38,96.00,3.85,3.85,3.00,1
2021,6,1,16,48.38,96.02,3.88,3.88,3.00,1
2021,6,1,16,48.36,96.20,8.01,8.42,3.00,2
2021,6,1,16,48.22,119.04,7.23,7.23,3.00,1
2021,6,1,16,48.22,119.06,11.78,12.87,3.00,2
2021,6,1,16,48.22,119.08,11.78,12.87,3.00,2
2021,6,1,16,48.20,119.08,11.78,12.87,3.00,2
2021,6,1,16,47.56,123.40,10.75,10.75,3.00,1
2021,6,1,16,47.56,123.42,10.75,10.75,3.00,1
2021,6,1,16,47.44,125.46,10.79,11.76,1.00,2
2021,6,1,16,47.44,125.48,10.79,11.76,1.00,2
2021,6,1,16,47.42,125.48,10.79,11.76,1.00,2
2021,6,1,16,47.32,124.48,2.59,2.59,1.00,1
2021,6,1,16,47.24,126.52,9.27,9.27,3.00,1
2021,6,1,16,47.24,126.54,9.27,9.27,1.00,1
2021,6,1,16,47.22,126.54,9.27,9.27,1.00,1
2021,6,1,16,46.86,123.14,8.71,8.71,1.00,1
2021,6,1,16,46.84,123.14,8.71,8.71,1.00,1
2021,6,1,16,46.84,123.16,8.71,8.71,1.00,1
2021,6,1,16,46.32,125.58,12.59,12.59,1.00,1
2021,6,1,16,46.30,126.64,11.35,11.35,1.00,1
2021,6,1,16,46.28,126.64,11.39,11.39,1.00,1
2021,6,1,16,45.98,127.20,6.91,6.91,3.00,1
2021,6,1,16,45.98,127.22,10.15,13.38,2.00,2
2021,6,1,16,45.94,133.32,7.76,7.76,3.00,1
2021,6,1,16,44.76,135.04,3.77,3.77,3.00,1
2021,6,1,16,43.02,144.90,6.37,6.37,3.00,1
2021,6,1,16,41.12,108.84,7.72,7.72,3.00,1
2021,6,1,16,41.12,108.86,7.72,7.72,1.00,1
2021,6,1,16,41.10,108.82,9.24,9.24,3.00,1
2021,6,1,16,41.10,108.84,9.24,9.24,3.00,1
2021,6,1,16,41.10,108.86,10.21,10.21,3.00,1
2021,6,1,16,41.08,108.86,10.21,10.21,1.00,1
2021,6,1,16,40.72,112.70,11.54,11.54,1.00,1
2021,6,1,16,40.72,112.72,11.54,11.54,3.00,1
2021,6,1,16,40.68,109.72,9.59,9.59,1.00,1
2021,6,1,16,40.64,109.72,19.41,25.76,1.00,5
2021,6,1,16,40.64,109.74,19.41,25.76,1.00,5
2021,6,1,16,40.64,109.76,9.46,11.92,3.00,4
2021,6,1,16,40.62,109.74,11.17,13.87,1.00,3
2021,6,1,16,40.60,109.74,11.17,13.87,1.00,3
2021,6,1,16,40.60,109.76,11.17,13.87,1.00,3
2021,6,1,16,39.88,106.88,18.20,18.20,1.00,1
