# 2021   6   1  22  2021   6   2   2  37    .02
#year,month,day,hour,lat,lon,ave(frp),max(frp),ave(confidence),N
2021,6,1,22,58.48,107.52,8.02,10.64,1.00,4
2021,6,1,22,58.48,107.54,8.02,10.64,1.00,4
2021,6,1,22,58.48,107.56,7.94,10.46,1.00,4
2021,6,1,22,58.46,107.54,7.94,10.46,1.00,4
2021,6,1,22,58.46,107.56,7.94,10.46,1.00,4
2021,6,1,22,58.46,107.58,7.94,10.46,1.00,4
2021,6,1,22,58.44,107.58,7.93,10.49,1.00,4
2021,6,1,22,58.44,107.60,8.05,10.31,1.00,3
2021,6,1,22,58.20,107.02,4.15,4.15,1.00,1
2021,6,1,22,58.20,107.04,4.15,4.15,1.00,1
2021,6,1,22,58.18,107.04,4.15,4.15,1.00,1
2021,6,1,22,58.18,107.06,4.15,4.15,1.00,1
2021,6,1,22,58.08,106.46,13.00,13.00,1.00,1
2021,6,1,22,58.06,106.48,10.50,13.10,1.00,3
2021,6,1,22,58.06,106.50,10.51,13.10,1.00,3
2021,6,1,22,58.06,106.52,10.51,13.10,1.00,3
2021,6,1,22,58.04,106.50,10.51,13.10,1.00,3
2021,6,1,22,58.04,106.52,10.51,13.10,1.00,3
2021,6,1,22,58.04,106.54,10.51,13.10,1.00,3
2021,6,1,22,58.04,106.70,10.47,11.61,1.00,2
2021,6,1,22,58.04,106.72,10.48,11.61,1.00,2
2021,6,1,22,58.04,106.76,7.36,7.36,1.00,1
2021,6,1,22,58.02,106.72,10.52,11.65,1.00,2
2021,6,1,22,58.02,106.74,8.02,11.65,1.00,4
2021,6,1,22,58.02,106.76,8.92,10.44,1.00,2
2021,6,1,22,58.02,106.78,8.94,10.47,1.00,2
2021,6,1,22,58.02,106.80,7.42,7.42,1.00,1
2021,6,1,22,58.00,106.82,7.29,7.29,1.00,1
2021,6,1,22,57.94,105.78,7.34,7.34,1.00,1
2021,6,1,22,57.94,105.80,7.34,7.34,1.00,1
2021,6,1,22,57.92,105.76,10.55,10.55,3.00,1
2021,6,1,22,57.92,105.78,10.55,10.55,3.00,1
2021,6,1,22,57.92,105.82,6.81,6.81,1.00,1
2021,6,1,22,57.90,105.78,10.55,10.55,3.00,1
2021,6,1,22,57.90,105.80,10.55,10.55,3.00,1
2021,6,1,22,57.90,105.82,10.57,10.57,3.00,1
2021,6,1,22,57.90,105.84,14.77,18.20,1.00,6
2021,6,1,22,57.90,105.86,14.77,18.20,1.00,6
2021,6,1,22,57.88,105.82,10.61,10.61,3.00,1
2021,6,1,22,57.88,105.84,10.61,10.61,3.00,1
2021,6,1,22,57.88,105.86,14.77,18.30,1.00,6
2021,6,1,22,57.88,105.88,14.77,18.30,1.00,6
2021,6,1,22,54.30,113.28,3.44,3.44,3.00,1
2021,6,1,22,54.30,113.30,3.44,3.44,3.00,1
2021,6,1,22,54.28,113.28,3.44,3.44,3.00,1
2021,6,1,22,54.28,113.30,3.44,3.44,3.00,1
2021,6,1,22,52.98,137.00,2.29,2.29,1.00,1
2021,6,1,22,52.60,137.80,6.68,6.68,1.00,1
2021,6,1,22,52.60,137.82,6.68,6.68,1.00,1
2021,6,1,22,52.58,137.80,6.68,6.68,3.00,1
2021,6,1,22,52.58,137.82,6.68,6.68,3.00,1
2021,6,1,22,52.56,137.64,5.60,5.60,3.00,1
2021,6,1,22,52.56,137.66,5.60,5.60,3.00,1
2021,6,1,22,52.02,140.58,3.90,4.57,2.00,4
2021,6,1,22,52.02,140.60,4.17,4.57,2.33,3
2021,6,1,22,52.00,140.58,3.90,4.61,3.00,4
2021,6,1,22,52.00,140.60,3.90,4.61,2.50,4
2021,6,1,22,51.96,140.58,3.05,3.05,1.00,1
2021,6,1,22,51.16,142.60,3.83,3.83,3.00,1
2021,6,1,22,51.16,142.62,3.83,3.83,1.00,1
2021,6,1,22,51.14,142.60,3.86,3.86,3.00,1
2021,6,1,22,50.50,139.32,3.87,3.87,1.00,1
2021,6,1,22,50.50,139.34,3.87,3.87,1.00,1
2021,6,1,22,50.38,142.20,4.23,4.23,3.00,1
2021,6,1,22,50.38,142.22,4.23,4.23,3.00,1
2021,6,1,22,50.22,118.04,1.97,1.97,3.00,1
2021,6,1,22,50.22,118.06,1.97,1.97,3.00,1
2021,6,1,22,50.22,118.08,1.91,2.28,2.33,3
2021,6,1,22,50.22,118.10,1.91,2.28,2.33,3
2021,6,1,22,50.20,118.06,1.85,1.97,2.00,2
2021,6,1,22,50.20,118.08,1.91,2.28,2.33,3
2021,6,1,22,50.20,118.10,1.91,2.28,2.33,3
2021,6,1,22,50.18,118.04,2.38,2.38,1.00,1
2021,6,1,22,50.16,118.04,2.08,2.38,2.00,2
2021,6,1,22,50.16,118.06,2.08,2.38,2.00,2
2021,6,1,22,49.92,142.20,3.35,3.35,3.00,1
2021,6,1,22,49.90,142.20,3.35,3.35,3.00,1
2021,6,1,22,49.64,119.56,2.25,2.25,1.00,1
2021,6,1,22,49.64,119.58,2.25,2.25,1.00,1
2021,6,1,22,49.20,123.72,1.85,2.24,3.00,2
2021,6,1,22,49.14,120.42,3.56,3.56,3.00,1
2021,6,1,22,49.14,120.44,3.56,3.56,3.00,1
2021,6,1,22,49.12,120.42,3.56,3.56,3.00,1
2021,6,1,22,49.12,120.44,3.56,3.56,3.00,1
2021,6,1,22,49.06,120.40,5.62,5.62,3.00,1
2021,6,1,22,49.06,120.42,2.08,2.08,3.00,1
2021,6,1,22,49.06,120.44,2.08,2.08,3.00,1
2021,6,1,22,49.04,120.42,5.62,5.62,3.00,1
2021,6,1,22,49.04,120.44,2.08,2.08,1.00,1
2021,6,1,22,49.02,121.30,3.32,3.32,3.00,1
2021,6,1,22,49.00,119.22,2.80,2.80,1.00,1
2021,6,1,22,49.00,121.30,3.32,3.32,3.00,1
2021,6,1,22,49.00,121.32,3.32,3.32,3.00,1
2021,6,1,22,48.98,119.22,2.80,2.80,1.00,1
2021,6,1,22,48.98,119.24,2.80,2.80,1.00,1
2021,6,1,22,48.32,119.74,3.70,3.70,3.00,1
2021,6,1,22,48.32,119.76,3.70,3.70,1.00,1
2021,6,1,22,48.30,119.74,3.70,3.70,3.00,1
2021,6,1,22,48.30,119.76,3.70,3.70,3.00,1
2021,6,1,22,48.30,119.90,2.18,2.18,1.00,1
2021,6,1,22,47.56,129.24,5.08,5.08,3.00,1
2021,6,1,22,47.56,129.26,5.08,5.08,3.00,1
2021,6,1,22,47.54,129.26,3.12,3.12,3.00,1
2021,6,1,22,47.54,129.28,3.08,3.08,3.00,1
2021,6,1,22,47.54,129.30,3.08,3.08,3.00,1
2021,6,1,22,47.52,129.26,3.12,3.12,3.00,1
2021,6,1,22,47.52,129.28,3.08,3.08,3.00,1
2021,6,1,22,47.52,129.30,3.08,3.08,3.00,1
2021,6,1,22,47.50,129.26,6.03,6.03,3.00,1
2021,6,1,22,47.50,129.28,6.03,6.03,3.00,1
2021,6,1,22,47.50,129.32,3.62,3.62,1.00,1
2021,6,1,22,47.48,129.26,6.03,6.03,3.00,1
2021,6,1,22,47.48,129.28,6.03,6.03,3.00,1
2021,6,1,22,47.48,129.32,3.62,3.62,1.00,1
2021,6,1,22,47.40,133.28,5.14,5.14,3.00,1
2021,6,1,22,47.40,133.30,5.14,5.14,3.00,1
2021,6,1,22,47.38,133.28,5.14,5.14,3.00,1
2021,6,1,22,47.38,133.30,5.14,5.14,3.00,1
2021,6,1,22,47.32,129.96,3.86,3.86,1.00,1
2021,6,1,22,47.00,128.64,4.12,4.12,3.00,1
2021,6,1,22,47.00,128.66,4.12,4.12,3.00,1
2021,6,1,22,42.26,106.04,2.42,2.42,1.00,1
2021,6,1,22,42.26,106.06,2.42,2.42,1.00,1
2021,6,1,22,42.24,106.06,2.04,2.42,1.00,2
2021,6,1,22,42.24,106.08,2.04,2.42,1.00,2
2021,6,1,22,41.30,141.20,5.39,5.62,2.00,2
2021,6,1,22,41.30,141.22,5.17,5.17,1.00,1
2021,6,1,22,41.28,141.20,5.39,5.62,2.00,2
2021,6,1,22,41.28,141.22,5.17,5.17,1.00,1
2021,6,1,22,41.06,104.66,3.48,3.48,1.00,1
2021,6,1,22,40.58,96.28,7.48,7.48,1.00,1
2021,6,1,22,40.58,96.30,7.48,7.48,1.00,1
2021,6,1,22,40.56,96.30,7.50,7.50,3.00,1
2021,6,1,22,40.56,96.32,7.50,7.50,1.00,1
2021,6,1,22,40.54,141.50,30.14,30.31,1.00,2
2021,6,1,22,39.82,97.18,3.62,3.62,3.00,1
2021,6,1,22,39.82,97.20,3.62,3.62,3.00,1
2021,6,1,22,39.80,97.20,3.62,3.62,3.00,1
2021,6,1,22,39.80,97.22,3.62,3.62,3.00,1
2021,6,1,22,38.50,117.56,21.26,21.26,3.00,1
2021,6,1,22,38.50,117.58,48.77,48.77,3.00,1
2021,6,1,22,38.50,117.60,48.77,48.77,3.00,1
2021,6,1,22,37.94,112.52,15.72,15.72,1.00,1
2021,6,1,22,37.58,112.24,17.13,22.17,3.00,2
2021,6,1,22,33.34,87.06,6.42,6.42,3.00,1
2021,6,1,22,33.34,87.08,6.42,6.42,3.00,1
2021,6,1,22,33.20,87.96,14.44,14.44,1.00,1
2021,6,1,22,33.20,87.98,14.44,14.44,1.00,1
2021,6,1,22,33.12,87.58,19.46,19.46,3.00,1
2021,6,1,22,32.82,97.30,49.25,49.25,3.00,1
2021,6,1,22,32.78,86.84,6.36,7.26,2.00,2
2021,6,1,22,32.78,86.86,7.26,7.26,3.00,1
2021,6,1,22,32.76,86.88,6.65,7.76,2.00,2
2021,6,1,22,32.50,85.62,4.39,4.39,3.00,1
2021,6,1,22,32.50,85.64,4.39,4.39,3.00,1
2021,6,1,22,32.36,88.56,13.49,13.49,1.00,1
2021,6,1,22,32.36,88.58,13.49,13.49,1.00,1
2021,6,1,22,32.34,88.58,13.49,13.49,1.00,1
2021,6,1,22,32.34,88.60,13.53,13.53,1.00,1
2021,6,1,22,32.34,88.62,13.53,13.53,3.00,1
2021,6,1,22,32.26,84.56,13.58,13.58,3.00,1
2021,6,1,22,32.26,87.64,9.89,9.89,1.00,1
2021,6,1,22,32.26,87.66,9.89,9.89,1.00,1
2021,6,1,22,32.24,84.58,7.42,7.42,1.00,1
2021,6,1,22,32.24,84.94,10.22,10.22,3.00,1
2021,6,1,22,32.24,84.96,9.39,9.39,3.00,1
2021,6,1,22,32.24,84.98,15.44,19.23,1.00,4
2021,6,1,22,32.24,85.00,15.44,19.23,1.00,4
2021,6,1,22,32.24,85.02,15.20,19.23,1.00,4
2021,6,1,22,32.24,87.66,9.89,9.89,1.00,1
2021,6,1,22,32.24,87.68,9.93,9.93,1.00,1
2021,6,1,22,32.22,84.60,15.40,19.90,1.00,2
2021,6,1,22,32.22,84.62,14.69,18.48,1.00,2
2021,6,1,22,32.22,84.64,14.20,18.48,1.00,2
2021,6,1,22,32.20,86.06,7.46,8.76,3.00,2
2021,6,1,22,32.20,86.08,7.48,8.76,3.00,2
2021,6,1,22,32.20,86.10,7.50,8.80,3.00,2
2021,6,1,22,31.76,86.86,6.65,6.69,1.00,2
2021,6,1,22,31.76,89.40,14.82,14.82,1.00,1
2021,6,1,22,31.58,85.50,11.10,11.10,1.00,1
2021,6,1,22,31.58,85.52,11.10,11.10,1.00,1
2021,6,1,22,31.58,85.54,11.10,11.10,1.00,1
2021,6,1,22,31.58,103.36,17.93,17.93,1.00,1
2021,6,1,22,31.56,85.52,11.10,11.10,1.00,1
2021,6,1,22,31.56,85.54,11.10,11.10,1.00,1
2021,6,1,22,31.56,85.56,11.14,11.14,1.00,1
2021,6,1,22,31.44,87.72,7.91,7.91,1.00,1
2021,6,1,22,31.08,88.88,14.32,16.92,3.00,2
2021,6,1,22,31.08,88.90,14.32,16.92,3.00,2
2021,6,1,22,31.06,88.90,12.96,12.96,3.00,1
2021,6,1,22,31.06,88.92,12.96,12.96,1.00,1
2021,6,1,22,31.04,87.30,16.45,17.47,1.00,2
2021,6,1,22,31.04,88.94,14.83,14.83,3.00,1
2021,6,1,22,31.02,87.30,16.47,17.51,1.00,2
2021,6,1,22,31.02,87.32,16.47,17.51,1.00,2
2021,6,1,22,31.00,85.88,10.67,11.48,3.00,2
2021,6,1,22,31.00,85.90,10.67,11.48,3.00,2
2021,6,1,22,31.00,87.32,13.07,13.52,3.00,2
2021,6,1,22,31.00,87.34,13.11,13.56,3.00,2
2021,6,1,22,31.00,87.36,14.28,17.25,3.00,2
2021,6,1,22,31.00,87.40,11.53,12.37,1.00,3
2021,6,1,22,31.00,87.42,11.31,12.37,1.00,3
2021,6,1,22,30.98,85.92,14.60,16.36,1.00,2
2021,6,1,22,30.62,88.46,18.06,18.06,1.00,1
2021,6,1,22,30.52,88.46,13.71,13.71,3.00,1
2021,6,1,22,30.52,88.48,13.75,13.75,3.00,1
2021,6,1,22,30.52,88.50,16.75,19.51,1.00,3
2021,6,1,22,30.52,88.52,14.69,19.51,1.00,4
2021,6,1,22,30.50,88.48,19.00,19.00,3.00,1
2021,6,1,22,30.50,88.50,19.00,19.00,3.00,1
2021,6,1,22,30.48,88.52,23.70,23.70,1.00,1
2021,6,1,22,30.26,88.44,6.95,8.13,3.00,2
2021,6,1,22,30.26,88.46,6.98,8.17,3.00,2
2021,6,1,22,30.26,88.48,6.98,8.17,3.00,2
2021,6,1,22,29.92,106.34,20.47,20.47,3.00,1
2021,6,1,22,29.90,83.10,6.54,6.54,1.00,1
2021,6,1,22,29.90,83.12,6.54,6.54,1.00,1
2021,6,1,22,29.86,83.62,13.16,13.16,1.00,1
2021,6,1,22,29.86,83.64,13.16,13.16,1.00,1
2021,6,1,22,29.84,86.80,7.14,7.14,1.00,1
2021,6,1,22,29.84,86.82,7.14,7.14,1.00,1
2021,6,1,22,29.54,94.50,18.53,18.53,3.00,1
2021,6,1,22,29.54,94.52,18.53,18.53,3.00,1
2021,6,1,22,29.52,94.52,14.96,14.96,3.00,1
2021,6,1,22,29.52,94.54,14.96,14.96,3.00,1
2021,6,1,22,29.26,103.18,3.93,3.93,1.00,1
2021,6,1,22,29.26,103.20,7.43,7.43,3.00,1
2021,6,1,22,29.26,103.22,7.43,7.43,3.00,1
2021,6,1,22,29.24,103.16,7.45,7.45,1.00,1
2021,6,1,22,29.24,103.22,7.45,7.45,3.00,1
2021,6,1,22,29.22,103.16,7.45,7.45,1.00,1
2021,6,1,22,29.22,103.18,7.45,7.45,1.00,1
2021,6,1,22,29.10,104.80,27.15,27.15,3.00,1
2021,6,1,22,29.08,104.80,27.15,27.15,3.00,1
2021,6,1,22,29.08,104.82,27.15,27.15,3.00,1
2021,6,1,22,28.78,85.76,16.75,16.75,1.00,1
2021,6,1,22,28.76,85.76,16.79,16.79,1.00,1
2021,6,1,22,28.76,85.78,13.68,16.79,1.00,2
2021,6,1,22,28.42,88.10,14.48,14.48,3.00,1
2021,6,1,22,28.42,88.12,14.48,14.48,1.00,1
2021,6,1,22,28.42,88.14,14.48,14.48,1.00,1
2021,6,1,22,27.96,106.18,6.96,6.96,1.00,1
2021,6,1,22,27.62,95.86,27.53,27.53,3.00,1
2021,6,1,22,27.52,96.50,48.18,48.18,3.00,1
2021,6,1,22,27.50,81.98,15.09,15.09,3.00,1
2021,6,1,22,27.40,95.88,47.52,47.52,1.00,1
2021,6,1,22,27.40,95.90,47.52,47.52,1.00,1
2021,6,1,22,27.32,98.20,20.11,20.11,1.00,1
2021,6,1,22,27.32,98.22,20.11,20.11,1.00,1
2021,6,1,22,27.24,102.94,37.09,37.09,3.00,1
2021,6,1,22,26.98,102.76,34.85,36.16,2.00,2
2021,6,1,22,26.98,102.78,34.85,36.16,3.00,2
2021,6,1,22,26.92,96.86,18.03,18.03,1.00,1
2021,6,1,22,26.60,101.62,20.62,21.88,1.00,2
2021,6,1,22,26.60,101.64,20.62,21.88,1.00,2
2021,6,1,22,26.58,101.64,38.73,54.89,1.00,4
2021,6,1,22,26.58,101.66,48.55,48.55,1.00,1
2021,6,1,22,26.58,101.68,48.55,48.55,1.00,1
2021,6,1,22,26.38,95.58,40.32,40.32,1.00,1
2021,6,1,22,22.62,111.52,3.89,3.89,3.00,1
2021,6,1,22,22.60,111.52,3.85,3.85,3.00,1
2021,6,1,22,21.30,84.46,37.05,37.05,3.00,1
2021,6,1,22,21.30,84.48,37.05,37.05,3.00,1
2021,6,1,22,21.28,84.42,93.05,93.05,5.00,1
2021,6,1,22,21.28,84.44,93.05,93.05,5.00,1
2021,6,1,22,21.28,84.46,20.74,20.74,3.00,1
2021,6,1,22,21.28,84.48,20.74,20.74,1.00,1
2021,6,1,22,21.20,84.36,54.24,54.24,3.00,1
2021,6,1,22,21.18,83.78,62.46,62.46,3.00,1
2021,6,1,22,21.18,83.80,62.46,62.46,3.00,1
2021,6,1,22,20.68,83.50,111.78,111.78,3.00,1
2021,6,1,22,20.68,83.52,111.78,111.78,3.00,1
2021,6,1,22,20.68,83.54,107.42,107.42,3.00,1
2021,6,1,22,20.68,83.56,107.42,107.42,3.00,1
2021,6,1,22,20.68,83.58,107.42,107.42,3.00,1
2021,6,1,22,20.32,80.22,37.57,37.57,3.00,1
2021,6,1,22,20.32,80.24,37.80,37.80,3.00,1
2021,6,1,22,20.32,80.26,37.80,37.80,3.00,1
2021,6,1,22,16.78,102.60,11.64,11.64,3.00,1
2021,6,1,22,14.86,99.64,39.33,39.33,3.00,1
2021,6,1,22,14.84,99.64,23.57,23.57,3.00,1
2021,6,1,22,1.48,111.02,53.66,53.66,3.00,1
2021,6,1,22,.66,102.20,28.67,28.67,3.00,1
2021,6,1,22,.66,102.22,28.67,28.67,3.00,1
2021,6,1,22,-2.58,121.38,53.82,90.98,1.00,6
2021,6,1,22,-2.58,121.40,58.71,87.02,1.00,4
2021,6,1,22,-5.24,119.60,51.97,51.97,3.00,1
2021,6,1,22,-5.24,119.62,42.24,42.24,3.00,1
2021,6,1,22,-14.08,131.60,5.96,5.96,1.00,1
2021,6,1,22,-14.46,130.60,27.02,27.02,3.00,1
2021,6,1,22,-14.48,130.60,28.39,45.55,5.00,6
2021,6,1,22,-14.50,130.58,18.11,24.82,4.20,5
2021,6,1,22,-14.50,130.60,14.69,14.69,3.00,1
2021,6,1,22,-15.86,127.84,22.60,39.21,4.33,6
2021,6,1,22,-15.86,127.86,21.31,33.91,4.00,6
2021,6,1,22,-19.48,131.16,21.53,21.53,1.00,1
2021,6,1,22,-19.60,130.44,36.71,58.56,4.50,4
2021,6,1,22,-19.60,130.46,45.58,77.90,4.00,4
2021,6,1,22,-19.62,130.44,44.47,100.97,5.00,6
2021,6,1,22,-19.62,130.46,67.88,178.11,4.67,6
2021,6,1,22,-19.64,130.44,16.98,27.97,3.00,2
2021,6,1,22,-19.64,130.46,15.36,27.65,3.67,6
2021,6,1,22,-19.68,130.48,5.37,5.37,3.00,1
2021,6,1,22,-20.18,146.00,8.56,9.44,3.00,3
2021,6,1,22,-20.20,146.00,9.99,14.60,3.50,4
2021,6,1,22,-20.90,148.50,7.92,7.92,3.00,1
2021,6,1,22,-21.00,164.68,41.72,41.72,3.00,1
2021,6,1,22,-21.00,164.70,30.70,47.36,3.67,3
2021,6,1,22,-21.02,164.68,23.47,23.47,1.00,1
2021,6,1,22,-21.02,164.70,23.31,48.06,1.00,5
2021,6,1,22,-21.18,141.02,11.87,11.87,3.00,1
2021,6,1,22,-21.56,132.48,4.24,4.24,3.00,1
2021,6,1,22,-22.42,148.32,5.82,5.82,1.00,1
2021,6,1,22,-22.44,148.32,5.82,5.82,1.00,1
2021,6,1,22,-22.68,131.30,5.76,5.76,1.00,1
2021,6,1,22,-22.68,131.32,3.98,3.98,3.00,1
2021,6,1,22,-22.76,126.44,7.04,7.04,3.00,1
2021,6,1,22,-22.76,126.46,5.90,5.90,1.00,1
2021,6,1,22,-22.76,126.48,5.90,5.90,1.00,1
2021,6,1,22,-22.76,130.50,5.07,5.07,3.00,1
2021,6,1,22,-22.78,126.44,10.10,10.10,3.00,1
2021,6,1,22,-22.78,130.50,5.07,5.07,3.00,1
2021,6,1,22,-23.32,129.32,4.37,4.37,1.00,1
2021,6,1,22,-23.32,129.34,8.37,14.10,1.00,2
2021,6,1,22,-23.66,128.66,11.99,11.99,3.00,1
2021,6,1,22,-24.02,128.58,7.20,7.20,3.00,1
2021,6,1,22,-24.20,145.18,19.32,24.14,4.33,3
2021,6,1,22,-24.20,145.20,53.46,84.66,5.00,6
2021,6,1,22,-24.22,145.20,52.86,71.55,5.00,2
2021,6,1,22,-24.34,123.78,27.71,27.71,3.00,1
2021,6,1,22,-24.56,127.98,8.75,8.75,1.00,1
2021,6,1,22,-24.62,129.60,6.04,6.04,3.00,1
2021,6,1,22,-24.62,129.62,3.97,4.78,3.00,2
2021,6,1,22,-24.62,129.64,4.22,5.14,3.00,2
2021,6,1,22,-24.62,129.66,5.10,5.10,3.00,1
2021,6,1,22,-24.64,129.60,3.20,3.20,1.00,1
2021,6,1,22,-24.64,129.62,2.80,3.02,1.00,2
2021,6,1,22,-24.64,129.66,2.30,2.30,1.00,1
2021,6,1,22,-24.64,130.66,5.37,5.37,3.00,1
2021,6,1,22,-24.70,129.86,7.65,7.65,3.00,1
2021,6,1,22,-24.74,127.62,3.06,3.06,1.00,1
2021,6,1,22,-24.86,131.00,9.85,9.85,3.00,1
2021,6,1,22,-24.88,131.02,5.62,5.62,1.00,1
2021,6,1,22,-24.92,131.14,9.63,9.63,1.00,1
2021,6,1,22,-25.02,130.54,10.91,10.91,1.00,1
2021,6,1,22,-25.02,130.56,10.07,21.51,3.00,3
2021,6,1,22,-25.28,130.72,15.95,15.95,3.00,1
2021,6,1,22,-25.28,130.74,4.67,8.33,3.00,5
2021,6,1,22,-25.28,130.76,3.21,3.63,2.33,3
2021,6,1,22,-25.30,130.72,3.27,3.27,1.00,1
2021,6,1,22,-25.30,130.74,5.56,5.56,1.00,1
2021,6,1,22,-25.30,130.76,4.75,5.87,1.00,5
2021,6,1,22,-25.30,130.78,3.60,5.06,2.60,5
2021,6,1,22,-25.34,131.02,3.72,3.72,1.00,1
2021,6,1,22,-25.34,131.04,3.48,3.85,3.00,3
2021,6,1,22,-25.48,131.90,3.58,3.58,1.00,1
2021,6,1,22,-25.58,130.44,3.35,3.35,1.00,1
2021,6,1,22,-25.60,130.26,6.75,6.75,3.00,1
2021,6,1,22,-25.60,130.28,3.13,3.13,3.00,1
2021,6,1,22,-25.62,130.24,4.02,4.25,2.00,2
2021,6,1,22,-25.64,130.24,2.68,2.68,3.00,1
2021,6,1,22,-25.70,128.42,9.12,9.12,1.00,1
2021,6,1,22,-25.86,124.46,6.78,6.78,1.00,1
2021,6,1,22,-25.86,129.50,3.43,3.43,1.00,1
2021,6,1,22,-25.86,131.44,3.79,3.79,1.00,1
2021,6,1,22,-26.50,113.88,43.42,43.42,1.00,1
2021,6,1,22,-26.56,130.50,4.61,4.61,1.00,1
2021,6,1,22,-27.02,132.52,3.05,3.05,1.00,1
2021,6,1,22,-27.98,124.28,11.52,11.52,3.00,1
2021,6,1,22,-33.20,115.70,21.54,21.54,3.00,1
2021,6,1,22,-33.70,119.08,4.28,4.28,1.00,1
2021,6,1,22,-33.70,119.10,4.28,4.28,1.00,1
2021,6,1,22,-33.70,119.12,4.57,4.57,3.00,1
2021,6,1,22,-33.72,119.08,4.28,4.28,3.00,1
2021,6,1,22,-33.72,119.10,5.69,5.69,3.00,1
2021,6,1,22,-33.78,149.46,10.42,10.42,1.00,1
2021,6,1,22,-33.88,123.38,22.74,22.74,3.00,1
2021,6,1,22,-34.44,150.88,7.83,9.08,1.00,4
2021,6,1,22,-34.46,150.88,7.32,10.35,1.00,3
2021,6,1,22,-34.46,150.90,7.32,10.35,1.00,3
2021,6,1,22,-38.34,175.78,8.58,8.83,3.00,2
2021,6,1,22,-39.86,176.38,6.95,6.95,1.00,1
2021,6,1,22,-39.88,176.38,6.95,6.95,3.00,1
2021,6,1,22,-39.88,176.40,6.06,6.95,3.00,2
