# 2021   6   2   0  2021   6   2   1  37    .02
#year,month,day,hour,lat,lon,ave(frp),max(frp),ave(confidence),N
2021,6,2,0,59.54,124.32,1.68,1.68,3.00,1
2021,6,2,0,59.54,124.34,1.68,1.68,3.00,1
2021,6,2,0,59.20,102.54,3.43,3.43,3.00,1
2021,6,2,0,59.20,102.56,3.43,3.43,3.00,1
2021,6,2,0,58.84,105.42,2.74,2.74,1.00,1
2021,6,2,0,58.48,107.52,8.18,9.97,1.00,6
2021,6,2,0,58.48,107.54,8.18,9.97,1.00,6
2021,6,2,0,58.48,107.56,8.19,9.97,1.00,6
2021,6,2,0,58.48,107.58,7.95,9.19,1.00,4
2021,6,2,0,58.48,107.60,7.95,9.19,1.00,4
2021,6,2,0,58.46,107.54,8.16,9.97,1.00,6
2021,6,2,0,58.46,107.56,8.17,10.00,1.00,6
2021,6,2,0,58.46,107.58,8.17,10.00,1.00,6
2021,6,2,0,58.46,107.60,7.96,9.19,1.00,4
2021,6,2,0,58.46,107.62,7.96,9.19,1.00,4
2021,6,2,0,58.44,107.58,8.18,10.00,1.00,6
2021,6,2,0,58.44,107.60,8.16,10.00,1.00,6
2021,6,2,0,58.44,107.62,7.97,9.19,1.00,4
2021,6,2,0,58.44,107.64,7.97,9.19,1.00,4
2021,6,2,0,58.22,104.04,3.00,3.00,1.00,1
2021,6,2,0,58.22,104.06,3.00,3.00,1.00,1
2021,6,2,0,58.20,104.06,3.03,3.03,1.00,1
2021,6,2,0,58.20,104.08,3.03,3.03,1.00,1
2021,6,2,0,58.20,104.10,3.03,3.03,1.00,1
2021,6,2,0,58.08,106.46,10.74,13.55,1.00,6
2021,6,2,0,58.06,106.48,10.61,14.54,1.00,6
2021,6,2,0,58.06,106.50,10.62,14.54,1.00,6
2021,6,2,0,58.06,106.52,10.62,14.54,1.00,6
2021,6,2,0,58.04,106.50,10.59,14.57,1.00,6
2021,6,2,0,58.04,106.52,10.59,14.57,1.00,6
2021,6,2,0,58.04,106.54,10.60,14.57,1.00,6
2021,6,2,0,58.04,106.70,6.37,6.37,1.00,1
2021,6,2,0,58.04,106.72,6.37,6.37,1.00,1
2021,6,2,0,58.04,106.74,7.99,7.99,1.00,1
2021,6,2,0,58.04,106.76,7.99,7.99,1.00,1
2021,6,2,0,58.02,106.72,6.42,6.42,1.00,1
2021,6,2,0,58.02,106.74,6.42,6.42,1.00,1
2021,6,2,0,58.02,106.76,7.76,7.76,1.00,1
2021,6,2,0,58.02,106.78,7.76,7.76,1.00,1
2021,6,2,0,58.02,106.80,7.76,7.76,1.00,1
2021,6,2,0,58.00,106.74,8.23,8.23,1.00,1
2021,6,2,0,58.00,106.76,8.26,8.26,1.00,1
2021,6,2,0,58.00,106.82,18.28,18.28,1.00,1
2021,6,2,0,57.98,106.76,8.26,8.26,1.00,1
2021,6,2,0,57.98,106.78,8.26,8.26,1.00,1
2021,6,2,0,57.98,106.80,8.26,8.26,1.00,1
2021,6,2,0,57.96,105.76,9.63,11.84,3.67,3
2021,6,2,0,57.96,105.78,9.64,11.84,4.33,3
2021,6,2,0,57.96,106.80,8.28,8.28,1.00,1
2021,6,2,0,57.96,106.82,8.00,8.00,1.00,1
2021,6,2,0,57.94,105.78,9.66,11.86,4.33,3
2021,6,2,0,57.94,105.80,9.66,11.86,4.33,3
2021,6,2,0,57.94,105.82,9.66,11.86,4.33,3
2021,6,2,0,57.92,105.76,4.31,4.31,1.00,1
2021,6,2,0,57.92,105.82,9.68,11.86,4.33,3
2021,6,2,0,57.92,105.84,9.69,11.89,4.33,3
2021,6,2,0,57.90,105.84,13.06,16.04,1.00,6
2021,6,2,0,57.90,105.86,13.06,16.04,1.00,6
2021,6,2,0,57.88,105.86,13.13,16.13,1.00,6
2021,6,2,0,57.88,105.88,13.09,15.89,1.00,6
2021,6,2,0,56.70,136.22,3.51,3.51,1.00,1
2021,6,2,0,56.52,106.68,3.63,3.63,3.00,1
2021,6,2,0,56.52,106.70,3.63,3.63,3.00,1
2021,6,2,0,56.52,106.72,3.63,3.63,3.00,1
2021,6,2,0,56.50,106.70,3.64,3.64,3.00,1
2021,6,2,0,56.50,106.72,3.64,3.64,3.00,1
2021,6,2,0,56.50,106.74,3.27,3.64,2.00,2
2021,6,2,0,55.68,99.58,3.15,3.15,1.00,1
2021,6,2,0,55.66,160.30,20.10,20.10,1.00,1
2021,6,2,0,55.66,160.32,20.10,20.10,1.00,1
2021,6,2,0,52.64,137.80,4.27,4.27,1.00,1
2021,6,2,0,52.64,137.82,4.27,4.27,1.00,1
2021,6,2,0,52.62,137.80,4.27,4.27,3.00,1
2021,6,2,0,52.62,137.82,4.27,4.27,3.00,1
2021,6,2,0,52.56,137.82,7.37,7.37,1.00,1
2021,6,2,0,52.56,137.84,9.72,9.72,1.00,1
2021,6,2,0,52.54,137.86,7.34,7.34,3.00,1
2021,6,2,0,52.02,140.58,4.61,4.61,1.00,1
2021,6,2,0,52.02,140.60,4.61,4.61,1.00,1
2021,6,2,0,52.00,140.58,4.90,6.31,1.67,3
2021,6,2,0,52.00,140.60,4.90,6.31,1.67,3
2021,6,2,0,51.98,140.58,7.05,7.05,3.00,1
2021,6,2,0,51.98,140.60,7.05,7.05,3.00,1
2021,6,2,0,51.96,140.58,7.00,7.38,2.33,3
2021,6,2,0,51.96,140.60,7.00,7.38,2.33,3
2021,6,2,0,51.16,142.60,5.32,6.16,3.00,6
2021,6,2,0,51.16,142.62,5.32,6.16,2.67,6
2021,6,2,0,51.14,142.60,5.32,6.16,3.00,6
2021,6,2,0,50.82,142.66,3.94,3.94,1.00,1
2021,6,2,0,50.80,142.66,3.94,3.94,1.00,1
2021,6,2,0,50.58,116.36,4.39,4.98,1.50,4
2021,6,2,0,50.58,116.38,3.79,4.13,3.00,3
2021,6,2,0,50.58,116.40,3.79,4.13,3.00,3
2021,6,2,0,50.56,116.36,4.39,4.98,2.00,4
2021,6,2,0,50.56,116.38,4.39,4.98,3.00,4
2021,6,2,0,50.56,116.40,3.80,4.16,3.00,3
2021,6,2,0,50.56,116.42,3.80,4.16,3.00,3
2021,6,2,0,50.18,117.54,3.20,3.65,2.50,4
2021,6,2,0,50.18,142.28,7.77,7.77,3.00,1
2021,6,2,0,50.18,142.30,7.77,7.77,3.00,1
2021,6,2,0,50.16,117.54,3.21,3.66,2.50,4
2021,6,2,0,50.16,117.56,3.21,3.66,2.50,4
2021,6,2,0,50.16,118.10,4.10,4.10,1.00,2
2021,6,2,0,50.16,119.22,3.85,3.85,1.00,1
2021,6,2,0,50.16,142.28,7.79,7.79,3.00,1
2021,6,2,0,50.16,142.30,7.79,7.79,3.00,1
2021,6,2,0,50.14,142.28,8.74,8.74,3.00,1
2021,6,2,0,50.14,142.30,8.74,8.74,3.00,1
2021,6,2,0,50.12,142.28,8.74,8.74,3.00,1
2021,6,2,0,50.12,142.30,8.74,8.74,3.00,1
2021,6,2,0,49.92,142.20,3.96,3.96,3.00,1
2021,6,2,0,49.90,142.20,4.27,4.59,3.00,2
2021,6,2,0,49.82,121.18,2.24,2.24,3.00,1
2021,6,2,0,49.82,121.20,2.24,2.24,3.00,1
2021,6,2,0,49.80,121.20,2.24,2.24,3.00,1
2021,6,2,0,49.76,121.18,5.60,5.60,3.00,1
2021,6,2,0,49.74,121.18,5.60,5.60,3.00,1
2021,6,2,0,49.74,121.20,5.60,5.60,3.00,1
2021,6,2,0,49.66,119.62,2.79,2.79,3.00,1
2021,6,2,0,49.66,119.64,2.79,2.79,3.00,1
2021,6,2,0,49.64,119.64,2.79,2.79,3.00,1
2021,6,2,0,49.18,120.24,3.21,3.21,3.00,1
2021,6,2,0,49.18,120.26,3.21,3.21,3.00,1
2021,6,2,0,49.18,121.00,3.01,3.01,3.00,1
2021,6,2,0,49.16,120.26,3.21,3.21,3.00,1
2021,6,2,0,49.16,120.50,2.92,2.92,3.00,1
2021,6,2,0,49.16,120.52,2.92,2.92,3.00,1
2021,6,2,0,49.16,121.02,2.69,2.69,3.00,1
2021,6,2,0,49.14,120.52,2.92,2.92,3.00,1
2021,6,2,0,49.10,120.94,3.25,3.25,3.00,1
2021,6,2,0,49.10,120.96,3.25,3.25,3.00,1
2021,6,2,0,49.08,120.92,4.65,4.65,3.00,1
2021,6,2,0,49.08,120.94,4.65,4.65,3.00,1
2021,6,2,0,49.08,120.96,3.25,3.25,1.00,1
2021,6,2,0,49.06,120.94,4.65,4.65,3.00,1
2021,6,2,0,48.42,115.40,4.38,4.38,3.00,1
2021,6,2,0,48.40,115.40,4.38,4.38,3.00,1
2021,6,2,0,48.40,115.42,4.38,4.38,3.00,1
2021,6,2,0,48.22,130.02,4.19,4.32,3.00,2
2021,6,2,0,48.20,130.02,4.19,4.32,3.00,2
