# 2019  1 10  4 30 UTC  2020  4 29 17  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,10,0430,47.36,121.40,3.36,0,2,5,2.29,0,2
2,2019,1,10,0430,47.36,121.42,3.36,0,2,5,2.29,0,2
3,2019,1,10,0430,45.62,133.58,3.47,0,2,5,10.67,0,3
4,2019,1,10,0430,45.28,125.22,3.49,0,2,3,4.70,0,4
5,2019,1,10,0430,45.26,125.22,3.49,0,2,3,4.70,0,4
6,2019,1,10,0430,44.88,131.96,3.51,0,2,3,9.00,0,6
7,2019,1,10,0430,44.88,131.98,3.51,0,3,3,4.96,0,6
8,2019,1,10,0430,44.88,132.00,3.51,0,3,3,4.96,0,6
9,2019,1,10,0430,44.86,131.96,3.51,0,3,3,3.54,0,6
10,2019,1,10,0430,44.86,131.98,3.51,0,3,3,4.30,0,6
11,2019,1,10,0430,44.86,132.00,3.51,0,3,3,4.30,0,6
12,2019,1,10,0430,44.84,131.96,3.51,0,3,3,3.54,0,6
13,2019,1,10,0430,44.84,131.98,3.51,0,3,3,3.54,0,6
14,2019,1,10,0430,44.84,132.00,3.51,0,3,3,4.30,0,6
15,2019,1,10,0430,44.82,131.78,3.52,0,2,3,3.32,0,19
16,2019,1,10,0430,44.82,131.80,3.52,0,2,3,5.35,0,19
17,2019,1,10,0430,44.82,131.82,3.52,0,2,3,5.35,0,19
18,2019,1,10,0430,44.80,131.78,3.52,0,2,5,7.82,0,19
19,2019,1,10,0430,44.80,131.80,3.52,0,2,5,13.28,0,19
20,2019,1,10,0430,44.80,131.82,3.52,0,2,5,13.28,0,19
21,2019,1,10,0430,44.78,131.78,3.52,0,2,5,7.82,0,19
22,2019,1,10,0430,44.78,131.80,3.52,0,2,3,7.82,0,19
23,2019,1,10,0430,44.78,131.82,3.52,0,2,5,13.28,0,19
24,2019,1,10,0430,44.76,131.82,3.52,0,2,5,9.50,0,19
25,2019,1,10,0430,44.76,131.96,3.52,0,2,5,85.67,0,29
26,2019,1,10,0430,44.76,131.98,3.52,0,3,5,26.75,0,29
27,2019,1,10,0430,44.74,131.96,3.52,0,2,5,85.67,0,29
28,2019,1,10,0430,44.74,131.98,3.52,0,3,5,26.75,0,29
29,2019,1,10,0430,44.72,131.96,3.52,0,2,5,110.49,0,29
30,2019,1,10,0430,44.72,131.98,3.52,0,2,5,36.63,0,29
31,2019,1,10,0430,44.72,132.00,3.52,0,2,5,36.63,0,29
32,2019,1,10,0430,44.66,132.04,3.53,0,2,3,5.68,0,35
33,2019,1,10,0430,44.66,132.06,3.53,0,2,3,5.68,0,35
34,2019,1,10,0430,44.64,132.06,3.53,0,2,1,4.73,0,35
35,2019,1,10,0430,44.64,132.08,3.53,0,2,5,33.49,0,35
36,2019,1,10,0430,44.64,132.10,3.53,0,3,3,8.68,0,35
37,2019,1,10,0430,44.64,132.12,3.53,0,3,3,8.68,0,35
38,2019,1,10,0430,44.62,132.08,3.53,0,2,5,33.49,0,35
39,2019,1,10,0430,44.62,132.10,3.53,0,3,3,8.68,0,35
40,2019,1,10,0430,44.62,132.12,3.53,0,3,3,8.68,0,35
41,2019,1,10,0430,44.50,131.72,3.54,0,3,1,1.60,0,41
42,2019,1,10,0430,44.50,135.82,3.54,0,2,5,11.80,0,42
43,2019,1,10,0430,44.50,135.84,3.54,0,2,5,8.87,0,42
44,2019,1,10,0430,44.48,135.84,3.54,0,2,3,4.80,0,42
45,2019,1,10,0430,44.46,131.74,3.54,0,2,3,2.42,0,45
46,2019,1,10,0430,44.46,135.84,3.54,0,2,3,4.80,0,42
47,2019,1,10,0430,44.44,131.74,3.54,0,2,3,2.42,0,45
48,2019,1,10,0430,44.38,131.40,3.54,0,3,3,2.98,0,55
49,2019,1,10,0430,44.38,131.62,3.54,0,2,5,13.82,0,59
50,2019,1,10,0430,44.38,131.64,3.54,0,2,3,4.06,0,59
51,2019,1,10,0430,44.36,131.40,3.54,0,3,3,2.98,0,55
52,2019,1,10,0430,44.36,131.62,3.54,0,2,5,13.81,0,59
53,2019,1,10,0430,44.36,131.64,3.54,0,2,3,4.06,0,59
54,2019,1,10,0430,44.36,131.66,3.54,0,2,3,4.06,0,59
55,2019,1,10,0430,44.34,131.38,3.54,0,2,5,10.00,0,55
56,2019,1,10,0430,44.34,131.40,3.54,0,2,5,9.52,0,55
57,2019,1,10,0430,44.34,131.42,3.54,0,2,5,9.52,0,55
58,2019,1,10,0430,44.34,131.60,3.54,0,1,3,15.58,0,59
59,2019,1,10,0430,44.34,131.62,3.54,0,2,5,82.16,0,59
60,2019,1,10,0430,44.34,131.64,3.54,0,2,5,21.41,0,59
61,2019,1,10,0430,44.34,131.66,3.54,0,2,5,21.41,0,59
62,2019,1,10,0430,44.34,131.88,3.54,0,3,3,3.42,0,63
63,2019,1,10,0430,44.34,131.90,3.54,0,3,3,3.42,0,63
64,2019,1,10,0430,44.32,131.62,3.55,0,1,5,28.91,0,59
65,2019,1,10,0430,44.32,131.64,3.55,0,1,5,28.91,0,59
66,2019,1,10,0430,44.32,131.66,3.55,0,2,5,21.39,0,59
67,2019,1,10,0430,44.32,131.90,3.55,0,3,3,3.42,0,63
68,2019,1,10,0430,44.30,131.62,3.55,0,1,5,28.91,0,59
69,2019,1,10,0430,44.30,131.64,3.55,0,1,5,28.91,0,59
70,2019,1,10,0430,44.30,131.66,3.55,0,2,3,3.23,0,59
71,2019,1,10,0430,44.14,132.22,3.56,0,1,3,23.02,0,71
72,2019,1,10,0430,44.12,132.22,3.56,0,2,3,8.30,0,71
73,2019,1,10,0430,44.10,132.22,3.56,0,2,3,8.30,0,71
74,2019,1,10,0430,43.86,131.84,3.57,0,2,5,5.87,0,74
75,2019,1,10,0430,43.84,131.84,3.58,0,2,5,5.87,0,74
76,2019,1,10,0430,43.42,132.28,3.60,0,3,3,1.69,0,76
77,2019,1,10,0430,42.60,123.98,3.65,0,2,3,2.48,0,77
78,2019,1,10,0430,42.38,124.64,3.66,0,3,3,1.97,0,78
79,2019,1,10,0430,42.36,124.64,3.66,0,3,3,1.97,0,78
80,2019,1,10,0430,41.14,117.70,3.73,0,3,1,1.05,0,80
81,2019,1,10,0430,41.14,117.72,3.73,0,3,3,.93,0,80
82,2019,1,10,0430,41.14,117.74,3.73,0,3,3,.93,0,80
83,2019,1,10,0430,41.12,117.70,3.73,0,3,1,1.05,0,80
84,2019,1,10,0430,41.12,117.72,3.73,0,3,1,1.05,0,80
85,2019,1,10,0430,41.12,117.74,3.73,0,3,3,.93,0,80
86,2019,1,10,0430,35.42,129.34,4.04,0,3,3,2.04,2,86
87,2019,1,10,0430,26.68,95.54,4.43,0,3,1,2.28,0,88
88,2019,1,10,0430,26.68,95.56,4.43,0,3,1,2.28,0,88
89,2019,1,10,0430,26.42,94.98,4.44,0,2,1,4.14,0,90
90,2019,1,10,0430,26.42,95.00,4.44,0,2,1,4.14,0,90
91,2019,1,10,0430,26.40,95.00,4.44,0,3,1,3.79,0,90
92,2019,1,10,0430,26.40,95.02,4.44,0,3,1,3.79,0,90
93,2019,1,10,0430,25.66,96.32,4.47,0,3,1,2.30,0,94
94,2019,1,10,0430,25.66,96.34,4.47,0,3,1,2.30,0,94
95,2019,1,10,0430,25.44,94.68,4.48,0,3,1,3.02,0,96
96,2019,1,10,0430,25.44,94.70,4.48,0,3,1,3.02,0,96
97,2019,1,10,0430,25.42,94.70,4.48,0,3,1,2.67,0,96
98,2019,1,10,0430,25.42,94.72,4.48,0,3,1,2.67,0,96
99,2019,1,10,0430,25.26,94.48,4.48,0,3,1,1.93,0,100
100,2019,1,10,0430,25.26,94.50,4.48,0,3,1,1.93,0,100
101,2019,1,10,0430,24.34,93.66,4.52,0,3,3,1.45,0,102
102,2019,1,10,0430,24.34,93.68,4.52,0,3,3,1.45,0,102
103,2019,1,10,0430,24.14,88.72,4.52,0,3,1,2.12,2,103
104,2019,1,10,0430,24.14,88.74,4.52,0,3,1,2.12,2,103
105,2019,1,10,0430,23.74,92.70,4.54,0,3,1,1.34,0,106
106,2019,1,10,0430,23.74,92.72,4.54,0,3,1,1.34,0,106
107,2019,1,10,0430,23.72,92.72,4.54,0,3,3,1.06,0,106
108,2019,1,10,0430,23.72,92.74,4.54,0,3,3,1.06,0,106
109,2019,1,10,0430,22.64,93.52,4.57,0,3,3,1.03,0,110
110,2019,1,10,0430,22.64,93.54,4.57,0,3,3,1.03,0,110
111,2019,1,10,0430,22.56,93.50,4.58,0,3,1,1.50,0,113
112,2019,1,10,0430,22.56,93.52,4.58,0,3,1,1.50,0,113
113,2019,1,10,0430,22.54,93.52,4.58,0,3,1,2.01,0,113
114,2019,1,10,0436,22.32,82.52,4.59,0,2,1,4.21,0,115
115,2019,1,10,0436,22.32,82.54,4.59,0,2,3,4.23,0,115
116,2019,1,10,0436,20.96,85.12,4.63,0,2,1,4.00,0,118
117,2019,1,10,0436,20.96,85.14,4.63,0,2,1,4.01,0,118
118,2019,1,10,0436,20.96,85.16,4.63,0,2,1,4.01,0,118
