# 2019  1 12  6  0 UTC  2020  4 29 13 17 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,12,0600,48.48,124.00,3.29,0,2,3,2.07,0,2
2,2019,1,12,0600,48.46,124.00,3.29,0,2,3,2.07,0,2
3,2019,1,12,0600,46.08,122.54,3.44,0,2,5,3.73,0,3
4,2019,1,12,0600,46.08,122.56,3.44,0,2,5,3.73,0,3
5,2019,1,12,0600,45.96,133.76,3.45,0,2,3,1.27,0,5
6,2019,1,12,0600,44.66,126.82,3.53,0,2,1,7.42,0,42
7,2019,1,12,0600,44.64,126.76,3.53,0,2,1,5.50,0,42
8,2019,1,12,0600,44.64,126.78,3.53,0,2,1,5.50,0,42
9,2019,1,12,0600,44.64,126.80,3.53,0,2,3,10.82,0,42
10,2019,1,12,0600,44.64,126.82,3.53,0,2,3,10.23,0,42
11,2019,1,12,0600,44.64,126.84,3.53,0,2,1,5.00,0,42
12,2019,1,12,0600,44.64,126.86,3.53,0,2,1,5.00,0,42
13,2019,1,12,0600,44.62,126.78,3.53,0,2,3,5.50,0,42
14,2019,1,12,0600,44.62,126.80,3.53,0,2,3,10.82,0,42
15,2019,1,12,0600,44.62,126.82,3.53,0,2,3,10.23,0,42
16,2019,1,12,0600,44.62,126.84,3.53,0,2,3,10.23,0,42
17,2019,1,12,0600,44.62,126.86,3.53,0,2,3,5.00,0,42
18,2019,1,12,0600,44.62,126.96,3.53,0,2,3,3.08,0,61
19,2019,1,12,0600,44.62,126.98,3.53,0,2,3,3.08,0,61
20,2019,1,12,0600,44.62,127.00,3.53,0,2,3,2.78,0,61
21,2019,1,12,0600,44.60,126.70,3.53,0,2,3,4.45,0,42
22,2019,1,12,0600,44.60,126.76,3.53,0,2,3,5.55,0,42
23,2019,1,12,0600,44.60,126.78,3.53,0,2,5,11.18,0,42
24,2019,1,12,0600,44.60,126.80,3.53,0,2,5,12.34,0,42
25,2019,1,12,0600,44.60,126.82,3.53,0,2,5,12.34,0,42
26,2019,1,12,0600,44.60,126.84,3.53,0,2,3,17.55,0,42
27,2019,1,12,0600,44.60,126.86,3.53,0,2,5,17.18,0,42
28,2019,1,12,0600,44.60,126.88,3.53,0,2,3,4.38,0,42
29,2019,1,12,0600,44.60,126.90,3.53,0,2,3,4.38,0,42
30,2019,1,12,0600,44.60,126.96,3.53,0,2,1,2.17,0,61
31,2019,1,12,0600,44.60,126.98,3.53,0,3,3,1.89,0,61
32,2019,1,12,0600,44.58,126.64,3.53,0,2,3,4.58,0,42
33,2019,1,12,0600,44.58,126.66,3.53,0,2,3,4.58,0,42
34,2019,1,12,0600,44.58,126.68,3.53,0,2,3,5.74,0,42
35,2019,1,12,0600,44.58,126.70,3.53,0,2,3,6.87,0,42
36,2019,1,12,0600,44.58,126.72,3.53,0,2,3,7.16,0,42
37,2019,1,12,0600,44.58,126.74,3.53,0,2,3,7.16,0,42
38,2019,1,12,0600,44.58,126.76,3.53,0,2,5,18.06,0,42
39,2019,1,12,0600,44.58,126.78,3.53,0,2,5,11.22,0,42
40,2019,1,12,0600,44.58,126.80,3.53,0,2,5,11.22,0,42
41,2019,1,12,0600,44.58,126.82,3.53,0,2,5,21.94,0,42
42,2019,1,12,0600,44.58,126.84,3.53,0,2,5,23.45,0,42
43,2019,1,12,0600,44.58,126.86,3.53,0,2,5,23.10,0,42
44,2019,1,12,0600,44.58,126.88,3.53,0,2,5,23.10,0,42
45,2019,1,12,0600,44.58,126.90,3.53,0,2,5,11.75,0,42
46,2019,1,12,0600,44.58,126.96,3.53,0,2,3,2.17,0,61
47,2019,1,12,0600,44.58,126.98,3.53,0,3,3,1.89,0,61
48,2019,1,12,0600,44.56,126.66,3.53,0,2,3,4.58,0,42
49,2019,1,12,0600,44.56,126.68,3.53,0,2,3,5.74,0,42
50,2019,1,12,0600,44.56,126.70,3.53,0,2,3,6.87,0,42
51,2019,1,12,0600,44.56,126.72,3.53,0,2,3,6.87,0,42
52,2019,1,12,0600,44.56,126.74,3.53,0,2,5,7.16,0,42
53,2019,1,12,0600,44.56,126.76,3.53,0,2,5,18.06,0,42
54,2019,1,12,0600,44.56,126.78,3.53,0,2,5,11.22,0,42
55,2019,1,12,0600,44.56,126.80,3.53,0,2,5,11.22,0,42
56,2019,1,12,0600,44.56,126.82,3.53,0,2,5,21.94,0,42
57,2019,1,12,0600,44.56,126.84,3.53,0,2,5,23.45,0,42
58,2019,1,12,0600,44.56,126.86,3.53,0,2,5,23.45,0,42
59,2019,1,12,0600,44.56,126.88,3.53,0,2,5,23.10,0,42
60,2019,1,12,0600,44.56,126.90,3.53,0,2,5,11.75,0,42
61,2019,1,12,0600,44.56,126.98,3.53,0,2,3,3.83,0,61
62,2019,1,12,0600,44.56,127.00,3.53,0,2,3,1.59,0,61
63,2019,1,12,0600,44.56,127.02,3.53,0,2,3,1.59,0,61
64,2019,1,12,0600,44.54,126.68,3.53,0,2,3,5.82,0,42
65,2019,1,12,0600,44.54,126.70,3.53,0,2,3,5.82,0,42
66,2019,1,12,0600,44.54,126.72,3.53,0,2,5,13.32,0,42
67,2019,1,12,0600,44.54,126.74,3.53,0,2,5,14.52,0,42
68,2019,1,12,0600,44.54,126.76,3.53,0,2,5,12.29,0,42
