# 2019  1 15 23  0 UTC  2020  4 29  7  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,15,2304,39.04,117.48,3.85,0,2,1,.64,0,1
2,2019,1,15,2304,36.42,114.26,3.99,0,2,1,1.25,0,2
3,2019,1,15,2304,35.90,118.54,4.02,0,2,3,1.13,0,3
4,2019,1,15,2304,35.86,114.04,4.02,0,2,1,.46,0,4
5,2019,1,15,2304,35.68,118.10,4.03,0,2,1,1.26,0,5
6,2019,1,15,2304,35.62,110.56,4.03,0,2,1,1.64,0,6
7,2019,1,15,2304,35.62,110.58,4.03,0,2,1,1.64,0,6
8,2019,1,15,2304,35.36,115.98,4.04,0,2,3,1.03,0,8
9,2019,1,15,2304,35.34,116.00,4.04,0,2,3,.95,0,9
10,2019,1,15,2304,34.90,117.80,4.07,0,2,1,2.17,0,10
11,2019,1,15,2304,34.88,117.80,4.07,0,2,1,2.17,0,10
12,2019,1,15,2304,34.66,119.48,4.08,0,1,1,9.88,0,12
13,2019,1,15,2304,34.42,119.84,4.09,0,2,1,8.07,0,13
14,2019,1,15,2304,34.40,118.72,4.09,0,2,1,2.32,0,14
15,2019,1,15,2304,34.40,119.84,4.09,0,2,1,8.07,0,13
16,2019,1,15,2304,33.24,119.12,4.15,0,2,1,.61,0,16
17,2019,1,15,2304,33.00,114.28,4.16,0,2,3,.79,0,17
18,2019,1,15,2304,32.68,117.14,4.17,0,2,3,1.30,0,18
19,2019,1,15,2304,32.66,117.16,4.17,0,2,3,1.00,0,19
20,2019,1,15,2304,32.52,116.88,4.18,0,2,1,1.06,0,20
21,2019,1,15,2304,32.38,116.40,4.19,0,2,3,1.48,0,21
22,2019,1,15,2304,32.36,116.40,4.19,0,2,3,1.48,0,21
23,2019,1,15,2304,32.22,115.94,4.19,0,2,1,1.50,0,23
24,2019,1,15,2304,32.22,115.96,4.19,0,2,1,1.50,0,23
25,2019,1,15,2304,31.96,120.34,4.21,0,1,1,2.66,0,25
26,2019,1,15,2304,31.96,120.36,4.21,0,2,3,1.37,0,25
27,2019,1,15,2304,31.76,118.46,4.21,0,2,1,1.76,0,27
28,2019,1,15,2304,31.76,121.00,4.21,0,1,3,3.95,0,28
29,2019,1,15,2304,31.64,112.92,4.22,0,2,1,1.01,0,29
30,2019,1,15,2304,31.32,116.28,4.23,0,2,3,1.11,0,30
31,2019,1,15,2304,31.04,112.00,4.25,0,2,3,2.33,0,31
32,2019,1,15,2304,31.02,112.02,4.25,0,1,3,3.47,0,32
33,2019,1,15,2304,30.44,112.44,4.27,0,2,1,.54,0,33
34,2019,1,15,2304,30.14,105.32,4.29,0,2,3,1.72,0,35
35,2019,1,15,2304,30.14,105.34,4.29,0,2,1,1.72,0,35
36,2019,1,15,2304,26.80,95.18,4.42,0,2,3,1.12,0,36
37,2019,1,15,2304,26.58,101.64,4.43,0,2,1,1.80,0,38
38,2019,1,15,2304,26.58,101.66,4.43,0,1,1,3.77,0,38
39,2019,1,15,2304,26.58,101.68,4.43,0,1,1,3.77,0,38
40,2019,1,15,2304,24.34,113.48,4.52,0,1,3,4.33,0,40
41,2019,1,15,2304,24.18,82.92,4.52,0,1,3,6.14,0,41
42,2019,1,15,2304,23.96,85.70,4.53,0,2,3,2.78,0,42
43,2019,1,15,2304,23.94,85.72,4.53,0,2,1,2.01,0,44
44,2019,1,15,2304,23.94,85.74,4.53,0,2,1,2.01,0,44
45,2019,1,15,2304,23.78,86.34,4.54,0,2,1,4.05,0,49
46,2019,1,15,2304,23.78,86.36,4.54,0,2,1,4.05,0,49
47,2019,1,15,2304,23.78,86.38,4.54,0,2,1,4.05,0,49
48,2019,1,15,2304,23.78,86.40,4.54,0,1,1,11.57,0,49
49,2019,1,15,2304,23.78,86.42,4.54,0,1,1,11.57,0,49
50,2019,1,15,2304,23.74,85.80,4.54,0,1,3,4.01,0,51
51,2019,1,15,2304,23.74,85.82,4.54,0,1,3,4.01,0,51
52,2019,1,15,2304,23.68,86.08,4.54,0,2,1,2.00,0,53
53,2019,1,15,2304,23.68,86.10,4.54,0,2,1,2.00,0,53
54,2019,1,15,2304,23.04,86.00,4.56,0,2,1,3.08,0,59
55,2019,1,15,2304,23.04,86.02,4.56,0,2,1,3.09,0,59
56,2019,1,15,2304,23.02,86.02,4.56,0,1,3,4.01,0,59
57,2019,1,15,2304,23.02,86.04,4.56,0,1,3,4.01,0,59
58,2019,1,15,2304,23.00,86.04,4.56,0,1,3,4.01,0,59
59,2019,1,15,2304,23.00,86.06,4.56,0,1,3,4.01,0,59
60,2019,1,15,2304,22.90,100.28,4.57,0,1,1,6.96,0,60
61,2019,1,15,2304,22.82,113.00,4.57,0,2,1,2.36,0,61
62,2019,1,15,2304,22.80,80.02,4.57,0,1,1,3.74,0,62
63,2019,1,15,2304,22.78,80.04,4.57,0,1,1,3.73,0,63
64,2019,1,15,2304,22.06,95.88,4.59,0,1,1,5.38,0,65
65,2019,1,15,2304,22.06,95.90,4.59,0,1,1,5.38,0,65
66,2019,1,15,2304,20.96,85.12,4.63,0,2,1,4.93,0,70
67,2019,1,15,2304,20.96,85.14,4.63,0,2,1,4.93,0,70
68,2019,1,15,2304,20.96,85.16,4.63,0,2,1,4.93,0,70
69,2019,1,15,2304,20.96,85.18,4.63,0,2,1,5.00,0,70
70,2019,1,15,2304,20.96,85.20,4.63,0,2,1,5.00,0,70
71,2019,1,15,2304,17.96,98.64,4.72,0,1,1,4.25,0,71
72,2019,1,15,2304,17.22,103.72,4.73,0,1,1,4.73,0,72
73,2019,1,15,2304,16.38,103.70,4.76,0,2,3,2.06,0,73
74,2019,1,15,2304,14.94,103.94,4.79,0,2,3,2.90,0,74
75,2019,1,15,2304,14.90,98.48,4.79,0,1,1,5.24,0,75
76,2019,1,15,2304,13.44,101.66,4.82,0,2,1,5.71,0,76
77,2019,1,15,2304,13.08,102.96,4.83,0,2,3,2.43,0,77
78,2019,1,15,2304,4.60,96.92,4.94,0,1,1,9.62,0,79
79,2019,1,15,2304,4.60,96.94,4.94,0,1,3,11.90,0,79
80,2019,1,15,2309,-12.50,136.24,4.84,0,3,1,1.95,0,80
81,2019,1,15,2309,-13.16,136.00,4.83,0,3,3,3.45,0,81
