# 2019  1 25  6  0 UTC  2020  4 28 15  7 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,25,0600,48.90,123.70,3.26,0,2,5,3.34,0,2
2,2019,1,25,0600,48.90,123.72,3.26,0,2,5,3.34,0,2
3,2019,1,25,0600,48.88,123.72,3.26,0,2,5,3.34,0,2
4,2019,1,25,0600,48.66,123.68,3.27,0,2,1,1.00,0,9
5,2019,1,25,0600,48.66,124.28,3.27,0,2,3,6.42,0,7
6,2019,1,25,0600,48.66,124.30,3.27,0,2,3,6.42,0,7
7,2019,1,25,0600,48.66,124.32,3.27,0,2,3,7.57,0,7
8,2019,1,25,0600,48.64,123.68,3.28,0,2,1,1.00,0,9
9,2019,1,25,0600,48.64,123.70,3.28,0,2,1,1.00,0,9
10,2019,1,25,0600,48.64,124.26,3.28,0,2,3,3.86,0,7
11,2019,1,25,0600,48.64,124.28,3.28,0,2,3,3.86,0,7
12,2019,1,25,0600,48.64,124.30,3.28,0,2,3,6.42,0,7
13,2019,1,25,0600,48.64,124.32,3.28,0,2,3,7.57,0,7
14,2019,1,25,0600,48.64,124.34,3.28,0,2,3,7.57,0,7
15,2019,1,25,0600,48.62,124.28,3.28,0,2,3,3.86,0,7
16,2019,1,25,0600,46.10,121.52,3.44,0,2,3,1.00,0,16
17,2019,1,25,0600,44.76,90.22,3.52,0,2,1,4.29,0,17
18,2019,1,25,0600,44.74,90.26,3.52,0,2,1,2.81,0,19
19,2019,1,25,0600,44.74,90.28,3.52,0,2,1,2.81,0,19
20,2019,1,25,0600,42.70,130.88,3.64,0,2,3,17.47,0,28
21,2019,1,25,0600,42.70,130.90,3.64,0,1,5,88.01,0,28
22,2019,1,25,0600,42.70,130.92,3.64,0,1,5,88.01,0,28
23,2019,1,25,0600,42.68,130.88,3.64,0,2,3,17.47,0,28
24,2019,1,25,0600,42.68,130.90,3.64,0,1,5,88.01,0,28
25,2019,1,25,0600,42.68,130.92,3.64,0,1,5,88.01,0,28
26,2019,1,25,0600,42.66,130.88,3.65,0,2,5,47.53,0,28
27,2019,1,25,0600,42.66,130.90,3.65,0,2,5,47.53,0,28
28,2019,1,25,0600,42.66,130.92,3.65,0,2,5,91.56,0,28
29,2019,1,25,0600,42.64,130.90,3.65,0,2,3,15.42,0,28
30,2019,1,25,0600,42.62,123.70,3.65,0,2,3,12.47,0,30
31,2019,1,25,0600,42.60,123.70,3.65,0,2,3,12.47,0,30
32,2019,1,25,0600,42.60,123.72,3.65,0,2,3,12.47,0,30
33,2019,1,25,0600,42.50,123.68,3.65,0,1,3,12.83,0,33
34,2019,1,25,0600,41.80,122.60,3.70,0,2,3,3.18,0,35
35,2019,1,25,0600,41.80,122.62,3.70,0,2,3,3.18,0,35
36,2019,1,25,0600,41.72,125.30,3.70,0,2,1,1.83,0,36
37,2019,1,25,0600,41.72,125.32,3.70,0,2,1,1.83,0,36
38,2019,1,25,0600,41.70,125.32,3.70,0,2,3,1.81,0,36
39,2019,1,25,0600,41.68,125.32,3.70,0,2,3,1.81,0,36
40,2019,1,25,0600,41.22,124.92,3.73,0,3,1,.88,0,40
41,2019,1,25,0600,41.14,117.70,3.73,0,3,1,1.14,0,41
42,2019,1,25,0600,41.12,117.70,3.73,0,3,1,1.14,0,41
43,2019,1,25,0600,41.12,117.72,3.73,0,3,1,1.14,0,41
44,2019,1,25,0600,40.98,121.46,3.74,0,2,3,4.68,0,47
45,2019,1,25,0600,40.96,121.40,3.74,0,2,3,6.83,0,45
46,2019,1,25,0600,40.96,121.42,3.74,0,2,3,6.83,0,45
47,2019,1,25,0600,40.96,121.46,3.74,0,2,3,5.81,0,47
48,2019,1,25,0600,40.94,121.42,3.74,0,2,3,6.83,0,45
49,2019,1,25,0600,40.94,121.46,3.74,0,2,3,5.81,0,47
50,2019,1,25,0600,40.94,121.48,3.74,0,2,3,5.81,0,47
51,2019,1,25,0600,40.74,125.80,3.76,0,2,3,7.22,0,51
52,2019,1,25,0600,40.50,110.54,3.77,0,2,3,4.92,0,52
53,2019,1,25,0600,40.06,126.74,3.79,0,2,3,2.74,0,56
54,2019,1,25,0600,40.04,126.74,3.79,0,2,3,2.74,0,56
55,2019,1,25,0600,40.04,126.76,3.79,0,2,3,2.74,0,56
56,2019,1,25,0600,40.02,126.76,3.80,0,2,5,23.35,0,56
57,2019,1,25,0600,40.02,126.78,3.80,0,2,5,10.34,0,56
58,2019,1,25,0600,40.00,123.98,3.80,0,2,5,3.25,0,58
59,2019,1,25,0600,39.98,123.98,3.80,0,2,5,3.25,0,58
60,2019,1,25,0600,39.98,124.00,3.80,0,2,5,3.25,0,58
61,2019,1,25,0600,39.96,123.96,3.80,0,2,3,1.42,0,58
62,2019,1,25,0600,39.96,123.98,3.80,0,2,3,1.42,0,58
63,2019,1,25,0600,39.96,124.00,3.80,0,3,3,1.93,0,58
64,2019,1,25,0600,39.92,125.20,3.80,0,3,3,1.13,0,65
65,2019,1,25,0600,39.92,125.22,3.80,0,3,5,1.67,0,65
66,2019,1,25,0600,39.90,123.50,3.80,0,3,3,1.00,0,66
67,2019,1,25,0600,39.90,123.98,3.80,0,2,5,3.94,0,67
68,2019,1,25,0600,39.90,124.00,3.80,0,2,5,3.94,0,67
69,2019,1,25,0600,39.64,113.56,3.82,0,3,1,1.40,0,69
70,2019,1,25,0600,39.62,113.56,3.82,0,3,1,1.40,0,69
71,2019,1,25,0600,39.10,126.94,3.85,0,1,3,13.55,0,71
72,2019,1,25,0600,39.04,117.48,3.85,0,2,1,3.81,0,72
73,2019,1,25,0600,38.68,116.62,3.87,0,1,3,4.80,0,73
74,2019,1,25,0600,38.68,116.64,3.87,0,1,3,4.80,0,73
75,2019,1,25,0600,38.42,125.80,3.88,0,3,3,1.43,0,75
76,2019,1,25,0600,38.38,116.88,3.89,0,2,3,3.42,0,76
77,2019,1,25,0600,37.94,116.08,3.91,0,3,1,.88,0,77
78,2019,1,25,0600,37.94,116.10,3.91,0,3,1,.88,0,77
79,2019,1,25,0600,37.06,127.60,3.96,0,2,3,1.24,0,79
80,2019,1,25,0600,37.00,111.20,3.96,0,3,3,2.41,2,80
81,2019,1,25,0600,36.70,120.58,3.97,0,2,3,2.44,0,81
82,2019,1,25,0600,36.70,120.60,3.97,0,2,3,2.44,0,81
83,2019,1,25,0600,36.40,119.82,3.99,0,2,3,1.35,0,84
84,2019,1,25,0600,36.38,119.82,3.99,0,2,5,2.77,0,84
85,2019,1,25,0600,36.38,119.84,3.99,0,2,5,2.77,0,84
86,2019,1,25,0600,36.28,116.14,4.00,0,2,5,4.20,0,86
87,2019,1,25,0600,36.28,116.16,4.00,0,3,3,1.38,0,86
88,2019,1,25,0600,36.26,116.14,4.00,0,2,5,4.20,0,86
89,2019,1,25,0600,36.26,116.16,4.00,0,3,3,1.38,0,86
90,2019,1,25,0600,36.26,116.18,4.00,0,3,3,1.38,0,86
91,2019,1,25,0600,36.16,116.54,4.00,0,3,1,1.18,0,91
92,2019,1,25,0600,36.16,116.56,4.00,0,3,1,1.18,0,91
93,2019,1,25,0600,32.74,131.60,4.17,0,3,3,2.82,0,93
94,2019,1,25,0600,29.10,100.30,4.33,0,3,1,3.77,0,95
95,2019,1,25,0600,29.10,100.32,4.33,0,3,1,3.77,0,95
96,2019,1,25,0600,27.30,97.42,4.40,0,3,1,2.89,0,99
97,2019,1,25,0600,27.30,97.44,4.40,0,3,1,2.89,0,99
98,2019,1,25,0600,27.30,97.46,4.40,0,3,1,3.57,0,99
99,2019,1,25,0600,27.30,97.48,4.40,0,3,1,3.57,0,99
100,2019,1,25,0600,27.30,97.50,4.40,0,3,1,3.18,0,99
101,2019,1,25,0600,27.28,97.44,4.41,0,3,1,3.00,0,99
102,2019,1,25,0600,27.28,97.46,4.41,0,3,1,3.00,0,99
103,2019,1,25,0600,27.28,97.48,4.41,0,3,3,2.64,0,99
104,2019,1,25,0600,27.10,95.60,4.41,0,2,5,9.27,0,105
105,2019,1,25,0600,27.08,95.60,4.41,0,2,5,53.25,0,105
106,2019,1,25,0600,27.08,95.62,4.41,0,2,5,53.25,0,105
107,2019,1,25,0600,27.08,95.64,4.41,0,2,3,4.48,0,105
108,2019,1,25,0600,27.08,95.66,4.41,0,2,3,4.48,0,105
109,2019,1,25,0600,26.68,95.54,4.43,0,3,1,2.29,0,110
110,2019,1,25,0600,26.68,95.56,4.43,0,3,1,2.29,0,110
111,2019,1,25,0600,26.64,95.26,4.43,0,2,3,3.88,0,113
112,2019,1,25,0600,26.64,95.28,4.43,0,2,3,3.88,0,113
113,2019,1,25,0600,26.62,95.28,4.43,0,2,3,3.88,0,113
114,2019,1,25,0600,26.48,94.74,4.44,0,2,5,29.41,0,122
115,2019,1,25,0600,26.48,94.76,4.44,0,2,5,29.41,0,122
116,2019,1,25,0600,26.48,94.78,4.44,0,3,3,3.06,0,122
117,2019,1,25,0600,26.48,94.84,4.44,0,2,5,12.50,0,124
118,2019,1,25,0600,26.48,94.86,4.44,0,2,5,12.50,0,124
119,2019,1,25,0600,26.48,94.94,4.44,0,2,3,3.52,0,140
