# 2019  2  3  8 20 UTC  2020  5  2 17  2 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,2,3,0821,45.54,128.28,3.47,0,2,3,2.29,0,1
2,2019,2,3,0821,45.46,128.04,3.48,0,2,3,4.40,0,2
3,2019,2,3,0821,45.46,128.06,3.48,0,2,3,4.40,0,2
4,2019,2,3,0821,45.44,128.06,3.48,0,2,3,4.40,0,2
5,2019,2,3,0821,45.00,127.00,3.50,0,2,1,3.16,0,14
6,2019,2,3,0821,44.98,127.00,3.51,0,2,1,3.16,0,14
7,2019,2,3,0821,44.98,127.02,3.51,0,2,3,3.16,0,14
8,2019,2,3,0821,44.96,124.70,3.51,0,2,3,.98,0,8
9,2019,2,3,0821,44.96,127.02,3.51,0,2,5,17.13,0,14
10,2019,2,3,0821,44.96,127.04,3.51,0,2,5,20.20,0,14
11,2019,2,3,0821,44.96,127.06,3.51,0,2,5,10.72,0,14
12,2019,2,3,0821,44.96,127.08,3.51,0,2,5,10.72,0,14
13,2019,2,3,0821,44.94,127.02,3.51,0,2,5,25.37,0,14
14,2019,2,3,0821,44.94,127.04,3.51,0,2,5,29.98,0,14
15,2019,2,3,0821,44.94,127.06,3.51,0,2,5,29.98,0,14
16,2019,2,3,0821,44.94,127.08,3.51,0,2,5,11.71,0,14
17,2019,2,3,0821,44.92,126.60,3.51,0,2,5,6.76,0,83
18,2019,2,3,0821,44.92,126.62,3.51,0,2,5,6.76,0,83
19,2019,2,3,0821,44.92,126.64,3.51,0,2,3,3.76,0,83
20,2019,2,3,0821,44.92,126.66,3.51,0,2,5,14.90,0,83
21,2019,2,3,0821,44.92,126.68,3.51,0,2,5,15.46,0,83
22,2019,2,3,0821,44.92,126.70,3.51,0,2,5,15.46,0,83
23,2019,2,3,0821,44.92,126.72,3.51,0,2,3,2.89,0,83
24,2019,2,3,0821,44.92,126.78,3.51,0,2,5,6.35,0,83
25,2019,2,3,0821,44.92,126.80,3.51,0,2,3,4.01,0,83
26,2019,2,3,0821,44.92,127.02,3.51,0,2,5,25.37,0,14
27,2019,2,3,0821,44.92,127.04,3.51,0,2,5,25.37,0,14
28,2019,2,3,0821,44.92,127.06,3.51,0,2,5,29.98,0,14
29,2019,2,3,0821,44.92,127.08,3.51,0,2,5,11.71,0,14
30,2019,2,3,0821,44.90,126.62,3.51,0,2,5,6.76,0,83
31,2019,2,3,0821,44.90,126.64,3.51,0,2,3,3.76,0,83
32,2019,2,3,0821,44.90,126.66,3.51,0,2,5,14.90,0,83
33,2019,2,3,0821,44.90,126.68,3.51,0,2,5,14.87,0,83
34,2019,2,3,0821,44.90,126.70,3.51,0,2,5,15.46,0,83
35,2019,2,3,0821,44.90,126.72,3.51,0,2,3,2.89,0,83
36,2019,2,3,0821,44.90,126.74,3.51,0,2,3,2.89,0,83
37,2019,2,3,0821,44.90,126.78,3.51,0,2,5,6.35,0,83
38,2019,2,3,0821,44.90,126.80,3.51,0,2,3,4.01,0,83
39,2019,2,3,0821,44.90,126.82,3.51,0,2,3,4.01,0,83
40,2019,2,3,0821,44.90,127.02,3.51,0,2,3,5.88,0,14
41,2019,2,3,0821,44.90,127.04,3.51,0,2,3,5.88,0,14
42,2019,2,3,0821,44.90,127.06,3.51,0,2,5,12.66,0,14
43,2019,2,3,0821,44.88,126.62,3.51,0,2,3,6.17,0,83
44,2019,2,3,0821,44.88,126.64,3.51,0,2,5,6.33,0,83
45,2019,2,3,0821,44.88,126.66,3.51,0,2,5,6.33,0,83
46,2019,2,3,0821,44.88,126.68,3.51,0,2,5,10.93,0,83
47,2019,2,3,0821,44.88,126.70,3.51,0,2,5,13.68,0,83
48,2019,2,3,0821,44.88,126.72,3.51,0,2,3,5.02,0,83
49,2019,2,3,0821,44.88,126.74,3.51,0,2,3,5.02,0,83
50,2019,2,3,0821,44.88,126.78,3.51,0,2,3,3.44,0,83
51,2019,2,3,0821,44.88,126.80,3.51,0,2,3,3.44,0,83
52,2019,2,3,0821,44.88,126.90,3.51,0,2,1,3.10,0,52
53,2019,2,3,0821,44.86,126.60,3.51,0,2,1,2.72,0,83
54,2019,2,3,0821,44.86,126.62,3.51,0,2,5,20.97,0,83
55,2019,2,3,0821,44.86,126.64,3.51,0,2,5,20.97,0,83
56,2019,2,3,0821,44.86,126.66,3.51,0,2,5,7.65,0,83
57,2019,2,3,0821,44.86,126.68,3.51,0,2,3,7.55,0,83
58,2019,2,3,0821,44.86,126.70,3.51,0,2,5,15.19,0,83
59,2019,2,3,0821,44.86,126.72,3.51,0,2,5,15.19,0,83
60,2019,2,3,0821,44.86,126.74,3.51,0,2,5,15.89,0,83
61,2019,2,3,0821,44.86,126.76,3.51,0,2,3,3.84,0,83
62,2019,2,3,0821,44.86,126.78,3.51,0,2,5,7.29,0,83
63,2019,2,3,0821,44.86,126.80,3.51,0,2,5,7.29,0,83
64,2019,2,3,0821,44.86,126.90,3.51,0,2,1,3.10,0,52
65,2019,2,3,0821,44.84,126.60,3.51,0,2,3,2.72,0,83
66,2019,2,3,0821,44.84,126.62,3.51,0,2,5,20.97,0,83
67,2019,2,3,0821,44.84,126.64,3.51,0,2,5,20.97,0,83
68,2019,2,3,0821,44.84,126.66,3.51,0,2,5,7.55,0,83
69,2019,2,3,0821,44.84,126.68,3.51,0,2,3,7.55,0,83
70,2019,2,3,0821,44.84,126.70,3.51,0,2,3,7.55,0,83
71,2019,2,3,0821,44.84,126.72,3.51,0,2,5,15.19,0,83
72,2019,2,3,0821,44.84,126.74,3.51,0,2,5,15.89,0,83
73,2019,2,3,0821,44.84,126.76,3.51,0,2,3,3.84,0,83
74,2019,2,3,0821,44.84,126.78,3.51,0,2,3,3.84,0,83
75,2019,2,3,0821,44.84,126.80,3.51,0,2,5,7.29,0,83
76,2019,2,3,0821,44.84,126.82,3.51,0,2,3,4.37,0,83
77,2019,2,3,0821,44.84,126.84,3.51,0,2,3,4.37,0,83
78,2019,2,3,0821,44.84,126.88,3.51,0,2,1,2.96,0,52
79,2019,2,3,0821,44.84,126.90,3.51,0,2,3,2.97,0,52
80,2019,2,3,0821,44.84,126.92,3.51,0,2,3,2.97,0,52
81,2019,2,3,0821,44.82,126.60,3.52,0,2,5,5.59,0,83
82,2019,2,3,0821,44.82,126.62,3.52,0,2,5,5.59,0,83
83,2019,2,3,0821,44.82,126.64,3.52,0,2,5,25.44,0,83
84,2019,2,3,0821,44.82,126.66,3.52,0,2,5,6.98,0,83
85,2019,2,3,0821,44.82,126.68,3.52,0,1,3,11.90,0,83
86,2019,2,3,0821,44.82,126.70,3.52,0,1,3,11.90,0,83
87,2019,2,3,0821,44.82,126.72,3.52,0,2,5,9.01,0,83
88,2019,2,3,0821,44.82,126.74,3.52,0,2,5,14.95,0,83
89,2019,2,3,0821,44.82,126.76,3.52,0,2,5,14.95,0,83
90,2019,2,3,0821,44.82,126.78,3.52,0,2,5,7.67,0,83
91,2019,2,3,0821,44.82,126.80,3.52,0,2,5,11.66,0,83
92,2019,2,3,0821,44.82,126.82,3.52,0,2,5,5.64,0,83
93,2019,2,3,0821,44.82,126.84,3.52,0,2,5,5.64,0,83
94,2019,2,3,0821,44.80,125.78,3.52,0,2,5,4.35,0,122
95,2019,2,3,0821,44.80,125.80,3.52,0,2,3,1.45,0,122
96,2019,2,3,0821,44.80,125.82,3.52,0,2,3,1.45,0,122
97,2019,2,3,0821,44.80,126.58,3.52,0,2,3,2.08,0,83
98,2019,2,3,0821,44.80,126.60,3.52,0,2,3,2.08,0,83
99,2019,2,3,0821,44.80,126.64,3.52,0,2,5,6.14,0,83
100,2019,2,3,0821,44.80,126.66,3.52,0,2,3,2.50,0,83
101,2019,2,3,0821,44.80,126.68,3.52,0,2,3,2.50,0,83
102,2019,2,3,0821,44.80,126.70,3.52,0,2,3,2.36,0,83
103,2019,2,3,0821,44.80,126.72,3.52,0,2,1,2.11,0,83
104,2019,2,3,0821,44.80,126.78,3.52,0,2,5,7.67,0,83
105,2019,2,3,0821,44.80,126.80,3.52,0,2,5,11.66,0,83
106,2019,2,3,0821,44.80,126.82,3.52,0,2,5,11.66,0,83
107,2019,2,3,0821,44.80,126.84,3.52,0,2,5,5.64,0,83
108,2019,2,3,0821,44.78,125.78,3.52,0,2,5,4.35,0,122
109,2019,2,3,0821,44.78,125.80,3.52,0,2,5,4.35,0,122
110,2019,2,3,0821,44.78,125.82,3.52,0,2,3,1.45,0,122
111,2019,2,3,0821,44.78,126.58,3.52,0,2,3,2.08,0,83
112,2019,2,3,0821,44.78,126.60,3.52,0,2,3,2.08,0,83
113,2019,2,3,0821,44.78,126.64,3.52,0,2,5,6.14,0,83
114,2019,2,3,0821,44.78,126.66,3.52,0,2,5,6.14,0,83
115,2019,2,3,0821,44.78,126.68,3.52,0,2,3,2.50,0,83
116,2019,2,3,0821,44.78,126.70,3.52,0,2,3,2.36,0,83
117,2019,2,3,0821,44.78,126.72,3.52,0,2,1,2.11,0,83
118,2019,2,3,0821,44.78,126.74,3.52,0,2,1,2.11,0,83
119,2019,2,3,0821,44.78,126.78,3.52,0,2,3,2.62,0,83
120,2019,2,3,0821,44.78,126.80,3.52,0,2,3,2.62,0,83
121,2019,2,3,0821,44.78,126.82,3.52,0,2,3,4.47,0,83
122,2019,2,3,0821,44.76,125.78,3.52,0,2,5,6.38,0,122
123,2019,2,3,0821,44.76,125.80,3.52,0,2,5,6.38,0,122
124,2019,2,3,0821,44.76,125.82,3.52,0,3,3,.72,0,122
125,2019,2,3,0821,44.76,126.56,3.52,0,2,3,2.17,0,83
126,2019,2,3,0821,44.76,126.58,3.52,0,2,3,2.17,0,83
127,2019,2,3,0821,44.76,126.60,3.52,0,2,3,1.37,0,83
128,2019,2,3,0821,44.74,126.46,3.52,0,2,3,2.47,0,141
129,2019,2,3,0821,44.74,126.48,3.52,0,2,3,2.47,0,141
130,2019,2,3,0821,44.74,126.50,3.52,0,2,5,3.59,0,141
131,2019,2,3,0821,44.74,126.52,3.52,0,2,3,2.52,0,141
132,2019,2,3,0821,44.72,126.46,3.52,0,2,3,2.47,0,141
133,2019,2,3,0821,44.72,126.48,3.52,0,2,3,2.47,0,141
134,2019,2,3,0821,44.72,126.50,3.52,0,2,5,3.59,0,141
135,2019,2,3,0821,44.72,126.52,3.52,0,2,3,2.52,0,141
136,2019,2,3,0821,44.72,126.54,3.52,0,2,3,2.52,0,141
137,2019,2,3,0821,44.70,125.78,3.52,0,2,5,5.07,0,199
138,2019,2,3,0821,44.70,125.80,3.52,0,2,3,.70,0,199
139,2019,2,3,0821,44.70,125.82,3.52,0,2,3,.70,0,199
140,2019,2,3,0821,44.70,125.98,3.52,0,2,5,6.80,0,140
141,2019,2,3,0821,44.70,126.48,3.52,0,2,5,5.66,0,141
142,2019,2,3,0821,44.70,126.50,3.52,0,2,5,5.60,0,141
143,2019,2,3,0821,44.70,126.52,3.52,0,2,3,2.18,0,141
144,2019,2,3,0821,44.70,126.54,3.52,0,2,3,2.18,0,141
145,2019,2,3,0821,44.68,125.76,3.52,0,2,3,3.43,0,199
146,2019,2,3,0821,44.68,125.78,3.52,0,2,5,5.96,0,199
147,2019,2,3,0821,44.68,125.80,3.52,0,2,5,5.96,0,199
148,2019,2,3,0821,44.68,125.98,3.52,0,2,5,6.80,0,140
149,2019,2,3,0821,44.68,126.46,3.52,0,1,3,5.66,0,141
150,2019,2,3,0821,44.68,126.48,3.52,0,2,5,3.87,0,141
151,2019,2,3,0821,44.68,126.50,3.52,0,2,3,2.72,0,141
152,2019,2,3,0821,44.68,126.52,3.52,0,2,3,2.72,0,141
153,2019,2,3,0821,44.68,126.62,3.52,0,2,3,4.09,0,179
154,2019,2,3,0821,44.68,126.64,3.52,0,2,3,3.48,0,179
155,2019,2,3,0821,44.68,126.66,3.52,0,2,3,3.48,0,179
156,2019,2,3,0821,44.66,125.76,3.53,0,2,3,3.43,0,199
157,2019,2,3,0821,44.66,125.78,3.53,0,2,3,3.43,0,199
158,2019,2,3,0821,44.66,125.80,3.53,0,2,5,5.96,0,199
159,2019,2,3,0821,44.66,125.98,3.53,0,2,5,5.50,0,140
