# 2019  2  4 21  0 UTC  2020  5  2 11  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,2,4,2100,40.54,141.50,3.77,0,2,1,9.23,0,1
2,2019,2,4,2100,39.94,111.62,3.80,0,2,3,1.31,0,2
3,2019,2,4,2100,39.88,106.86,3.80,0,2,1,1.42,0,3
4,2019,2,4,2100,39.88,106.88,3.80,0,2,1,1.42,0,3
5,2019,2,4,2100,39.70,118.88,3.81,0,2,3,1.91,0,5
6,2019,2,4,2100,39.66,118.40,3.82,0,2,1,2.26,0,6
7,2019,2,4,2100,39.66,118.42,3.82,0,2,1,2.26,0,6
8,2019,2,4,2100,39.36,113.60,3.83,0,2,3,1.92,0,8
9,2019,2,4,2100,39.12,112.30,3.85,0,2,1,.73,0,9
10,2019,2,4,2100,39.12,112.32,3.85,0,2,1,.73,0,9
11,2019,2,4,2100,39.10,112.32,3.85,0,2,1,.73,0,9
12,2019,2,4,2100,39.04,117.48,3.85,0,2,1,1.23,0,12
13,2019,2,4,2100,38.94,106.44,3.86,0,1,1,3.55,0,13
14,2019,2,4,2100,38.92,106.46,3.86,0,1,1,3.68,0,14
15,2019,2,4,2100,38.84,117.40,3.86,0,2,3,.69,0,15
16,2019,2,4,2100,38.82,117.40,3.86,0,2,3,.69,0,15
17,2019,2,4,2100,38.82,117.42,3.86,0,2,3,.69,0,15
18,2019,2,4,2100,36.62,114.44,3.98,0,2,1,2.26,0,18
19,2019,2,4,2100,36.60,114.46,3.98,0,2,1,1.39,0,19
20,2019,2,4,2100,36.12,117.82,4.00,0,2,1,1.77,0,21
21,2019,2,4,2100,36.10,117.82,4.00,0,2,1,2.84,0,21
22,2019,2,4,2100,36.08,117.82,4.01,0,2,1,2.84,0,21
23,2019,2,4,2100,36.08,117.84,4.01,0,2,1,2.84,0,21
24,2019,2,4,2100,35.70,111.42,4.03,0,2,1,1.53,0,24
25,2019,2,4,2100,35.70,111.44,4.03,0,2,1,1.53,0,24
26,2019,2,4,2100,35.68,111.44,4.03,0,2,1,1.44,0,24
27,2019,2,4,2100,35.62,110.56,4.03,0,1,1,4.80,0,27
28,2019,2,4,2100,35.62,110.58,4.03,0,1,1,4.80,0,27
29,2019,2,4,2100,35.34,110.78,4.04,0,2,3,1.22,0,29
30,2019,2,4,2100,35.32,110.80,4.04,0,2,3,1.01,0,30
