# 2019  2  5 13  0 UTC  2020  5  2  8  9 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,2,5,1302,40.64,109.72,3.76,0,2,1,1.72,0,1
2,2019,2,5,1302,40.64,109.74,3.76,0,2,1,1.72,0,1
3,2019,2,5,1302,40.24,114.72,3.78,0,2,5,4.22,0,3
4,2019,2,5,1302,40.24,114.74,3.78,0,2,3,2.39,0,3
5,2019,2,5,1302,40.24,114.76,3.78,0,2,3,2.39,0,3
6,2019,2,5,1302,37.64,112.86,3.92,0,2,3,1.16,0,6
7,2019,2,5,1302,37.62,112.86,3.93,0,2,3,1.16,0,6
8,2019,2,5,1302,37.62,112.88,3.93,0,2,3,1.16,0,6
9,2019,2,5,1302,36.90,117.74,3.96,0,2,1,.94,0,9
10,2019,2,5,1302,36.76,114.02,3.97,0,2,3,1.31,0,10
11,2019,2,5,1302,36.76,114.04,3.97,0,2,3,1.31,0,10
12,2019,2,5,1302,36.06,114.06,4.01,0,2,3,1.24,0,17
13,2019,2,5,1302,36.06,114.08,4.01,0,2,3,.82,0,17
14,2019,2,5,1302,36.04,114.06,4.01,0,2,3,1.24,0,17
15,2019,2,5,1302,36.04,114.08,4.01,0,2,3,1.24,0,17
16,2019,2,5,1302,36.04,114.10,4.01,0,2,3,.82,0,17
17,2019,2,5,1302,36.02,114.08,4.01,0,2,3,1.26,0,17
18,2019,2,5,1302,35.78,115.02,4.02,0,2,1,.69,0,18
19,2019,2,5,1302,35.78,115.04,4.02,0,2,1,.69,0,18
20,2019,2,5,1302,35.76,115.04,4.02,0,2,1,.69,0,18
21,2019,2,5,1302,35.70,111.42,4.03,0,2,1,2.57,0,21
22,2019,2,5,1302,35.70,111.44,4.03,0,2,1,2.57,0,21
23,2019,2,5,1302,35.68,111.44,4.03,0,2,1,2.57,0,21
24,2019,2,5,1302,35.62,110.56,4.03,0,1,1,4.86,0,24
25,2019,2,5,1302,35.62,110.58,4.03,0,1,1,4.86,0,24
26,2019,2,5,1302,35.04,136.86,4.06,0,2,1,3.61,0,28
27,2019,2,5,1302,35.04,136.88,4.06,0,2,1,2.62,0,28
28,2019,2,5,1302,35.02,136.86,4.06,0,1,1,4.62,0,28
29,2019,2,5,1302,35.00,136.86,4.06,0,1,1,4.62,0,28
30,2019,2,5,1302,34.42,119.84,4.09,0,2,1,7.65,0,30
31,2019,2,5,1302,34.40,119.84,4.09,0,2,1,7.65,0,30
32,2019,2,5,1302,33.78,112.72,4.12,0,2,3,1.03,0,32
33,2019,2,5,1302,33.78,112.74,4.12,0,2,3,1.03,0,32
34,2019,2,5,1302,33.76,112.74,4.12,0,2,3,1.03,0,32
35,2019,2,5,1302,32.24,113.00,4.19,0,2,5,2.99,0,35
36,2019,2,5,1302,32.24,119.62,4.19,0,2,1,2.24,0,36
37,2019,2,5,1302,32.22,113.00,4.19,0,3,3,.90,0,35
38,2019,2,5,1302,32.22,113.02,4.19,0,3,3,.90,0,35
39,2019,2,5,1302,32.20,118.72,4.19,0,2,1,1.94,0,39
40,2019,2,5,1302,32.20,118.74,4.19,0,2,1,1.83,0,39
41,2019,2,5,1302,32.20,118.76,4.19,0,2,1,1.83,0,39
42,2019,2,5,1302,31.70,118.46,4.22,0,2,1,.54,0,42
43,2019,2,5,1302,31.12,104.36,4.24,0,2,3,1.20,0,43
44,2019,2,5,1302,31.12,104.38,4.24,0,2,3,1.20,0,43
45,2019,2,5,1302,30.64,114.42,4.26,0,2,1,4.03,0,45
46,2019,2,5,1302,30.64,114.44,4.26,0,2,1,4.03,0,45
47,2019,2,5,1302,28.06,103.70,4.37,0,2,5,10.73,0,47
48,2019,2,5,1302,28.06,103.72,4.37,0,2,5,10.70,0,47
49,2019,2,5,1302,28.04,103.72,4.37,0,2,3,3.66,0,47
50,2019,2,5,1302,27.84,112.88,4.38,0,2,1,5.50,0,50
