# 2019  2 10 14  0 UTC  2020  5  1 13  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,2,10,1404,39.96,118.54,3.80,0,2,1,1.30,0,2
2,2019,2,10,1404,39.96,118.56,3.80,0,2,1,1.91,0,2
3,2019,2,10,1404,39.38,106.92,3.83,0,2,1,.82,0,3
4,2019,2,10,1404,39.38,106.96,3.83,0,1,3,2.73,0,4
5,2019,2,10,1404,39.38,106.98,3.83,0,1,3,2.73,0,4
6,2019,2,10,1404,39.28,110.14,3.84,0,2,1,1.33,0,6
7,2019,2,10,1404,39.28,110.16,3.84,0,2,1,1.33,0,6
8,2019,2,10,1404,39.04,117.48,3.85,0,2,1,.89,0,8
9,2019,2,10,1404,39.00,115.20,3.85,0,2,3,.46,0,9
10,2019,2,10,1404,38.94,106.40,3.86,0,2,1,3.08,0,12
11,2019,2,10,1404,38.94,106.42,3.86,0,2,1,3.08,0,12
12,2019,2,10,1404,38.94,106.44,3.86,0,1,1,6.07,0,12
13,2019,2,10,1404,38.92,106.46,3.86,0,1,1,5.57,0,13
14,2019,2,10,1404,38.76,114.74,3.87,0,2,1,1.87,0,14
15,2019,2,10,1404,38.76,114.76,3.87,0,2,1,1.87,0,14
16,2019,2,10,1404,38.76,114.78,3.87,0,2,3,.65,0,14
17,2019,2,10,1404,38.20,106.62,3.90,0,2,1,1.29,0,17
18,2019,2,10,1404,38.18,106.60,3.90,0,3,1,.54,0,18
19,2019,2,10,1404,37.94,112.52,3.91,0,1,1,3.66,0,19
20,2019,2,10,1404,37.48,121.46,3.93,0,2,1,1.09,0,20
21,2019,2,10,1404,36.44,119.44,3.99,0,2,1,1.90,0,21
22,2019,2,10,1404,36.44,119.46,3.99,0,2,1,1.90,0,21
23,2019,2,10,1404,36.44,119.48,3.99,0,2,1,1.90,0,21
24,2019,2,10,1404,36.18,101.72,4.00,0,2,1,1.48,0,24
25,2019,2,10,1404,36.16,101.74,4.00,0,2,1,1.63,0,25
26,2019,2,10,1404,34.92,112.48,4.06,0,2,3,1.83,0,26
27,2019,2,10,1404,34.92,112.50,4.06,0,2,1,1.83,0,26
28,2019,2,10,1404,34.90,112.50,4.07,0,2,1,1.83,0,26
29,2019,2,10,1404,34.78,118.80,4.07,0,2,1,.72,0,29
30,2019,2,10,1404,34.66,119.48,4.08,0,2,1,1.22,0,30
31,2019,2,10,1404,34.42,119.84,4.09,0,2,1,3.52,0,31
32,2019,2,10,1404,34.40,119.84,4.09,0,2,1,3.52,0,31
33,2019,2,10,1404,28.86,103.52,4.34,0,1,3,3.11,0,33
34,2019,2,10,1404,28.86,103.54,4.34,0,1,3,3.11,0,33
35,2019,2,10,1404,28.20,101.44,4.37,0,2,3,10.53,0,35
36,2019,2,10,1404,28.20,101.46,4.37,0,2,3,10.53,0,35
37,2019,2,10,1404,28.20,101.48,4.37,0,2,3,8.89,0,35
38,2019,2,10,1404,26.34,102.38,4.44,0,2,1,5.81,0,38
39,2019,2,10,1404,23.78,86.34,4.54,0,2,1,5.74,0,41
