# 2019  2 13  8 30 UTC  2020  5  1  1 31 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,2,13,0832,48.70,124.12,3.27,0,2,3,1.81,0,1
2,2019,2,13,0832,48.70,124.14,3.27,0,2,3,1.81,0,1
3,2019,2,13,0832,48.68,124.52,3.27,0,2,1,.53,0,3
4,2019,2,13,0832,48.68,124.54,3.27,0,2,1,.53,0,3
5,2019,2,13,0832,48.64,124.02,3.28,0,2,3,2.48,0,5
6,2019,2,13,0832,48.64,124.04,3.28,0,2,3,2.48,0,5
7,2019,2,13,0832,48.62,124.02,3.28,0,2,3,2.48,0,5
8,2019,2,13,0832,48.62,124.04,3.28,0,2,3,2.48,0,5
9,2019,2,13,0832,48.38,123.64,3.29,0,2,3,.92,0,9
10,2019,2,13,0832,48.38,123.66,3.29,0,2,3,.77,0,9
11,2019,2,13,0832,48.38,123.68,3.29,0,2,3,.77,0,9
12,2019,2,13,0832,48.34,123.22,3.29,0,2,5,1.44,0,12
13,2019,2,13,0832,48.34,123.24,3.29,0,2,5,1.44,0,12
14,2019,2,13,0832,48.32,123.24,3.30,0,2,5,1.44,0,12
15,2019,2,13,0832,48.32,123.84,3.30,0,2,3,1.17,0,16
16,2019,2,13,0832,48.30,123.84,3.30,0,2,3,1.17,0,16
17,2019,2,13,0832,48.30,123.86,3.30,0,2,3,1.17,0,16
18,2019,2,13,0832,48.12,123.00,3.31,0,2,5,1.34,0,18
19,2019,2,13,0832,48.12,123.02,3.31,0,2,5,1.34,0,18
20,2019,2,13,0832,48.10,123.02,3.31,0,2,5,1.34,0,18
21,2019,2,13,0832,47.12,122.56,3.37,0,2,3,1.53,0,21
22,2019,2,13,0832,47.10,122.56,3.37,0,2,3,1.53,0,21
23,2019,2,13,0832,47.10,122.58,3.37,0,2,3,1.53,0,21
24,2019,2,13,0832,47.08,122.64,3.38,0,2,3,1.73,0,24
25,2019,2,13,0832,47.06,122.64,3.38,0,2,3,1.73,0,24
26,2019,2,13,0832,47.06,122.66,3.38,0,2,3,1.73,0,24
27,2019,2,13,0832,46.88,122.18,3.39,0,2,5,2.34,0,27
28,2019,2,13,0832,46.86,122.18,3.39,0,2,5,2.34,0,27
29,2019,2,13,0832,46.86,122.20,3.39,0,2,5,2.34,0,27
30,2019,2,13,0832,46.54,125.10,3.41,0,2,3,.35,0,30
31,2019,2,13,0832,46.46,122.38,3.41,0,2,1,1.88,0,31
32,2019,2,13,0832,46.44,122.38,3.42,0,2,3,1.20,0,31
33,2019,2,13,0832,46.44,122.40,3.42,0,3,3,.71,0,31
34,2019,2,13,0832,46.44,122.42,3.42,0,3,3,.71,0,31
35,2019,2,13,0832,46.24,123.44,3.43,0,2,3,.81,0,36
36,2019,2,13,0832,46.22,123.44,3.43,0,2,3,.81,0,36
37,2019,2,13,0832,46.16,122.44,3.43,0,2,1,.45,0,40
38,2019,2,13,0832,46.16,123.18,3.43,0,2,3,2.02,0,38
39,2019,2,13,0832,46.16,123.20,3.43,0,2,3,2.02,0,38
40,2019,2,13,0832,46.14,122.44,3.43,0,2,3,.45,0,40
41,2019,2,13,0832,46.14,123.20,3.43,0,2,3,2.02,0,38
42,2019,2,13,0832,45.84,122.44,3.45,0,2,1,1.29,0,50
43,2019,2,13,0832,45.84,123.22,3.45,0,2,3,5.76,0,43
44,2019,2,13,0832,45.82,122.38,3.45,0,1,1,8.98,0,44
45,2019,2,13,0832,45.82,122.44,3.45,0,2,1,1.29,0,50
46,2019,2,13,0832,45.82,122.46,3.45,0,2,1,1.29,0,50
47,2019,2,13,0832,45.82,123.22,3.45,0,2,3,5.76,0,43
48,2019,2,13,0832,45.82,123.24,3.45,0,2,3,5.76,0,43
49,2019,2,13,0832,45.80,122.40,3.46,0,2,1,2.94,0,50
50,2019,2,13,0832,45.80,122.42,3.46,0,2,3,3.07,0,50
51,2019,2,13,0832,45.80,122.44,3.46,0,2,3,3.07,0,50
52,2019,2,13,0832,45.78,122.40,3.46,0,2,1,2.06,0,50
53,2019,2,13,0832,45.78,122.42,3.46,0,2,3,1.44,0,50
54,2019,2,13,0832,45.78,122.44,3.46,0,2,3,1.44,0,50
55,2019,2,13,0832,45.76,122.40,3.46,0,2,1,2.06,0,50
56,2019,2,13,0832,45.76,122.42,3.46,0,2,1,2.06,0,50
57,2019,2,13,0832,45.76,122.44,3.46,0,2,3,1.44,0,50
58,2019,2,13,0832,45.72,121.86,3.46,0,3,3,.49,0,65
59,2019,2,13,0832,45.72,123.48,3.46,0,2,3,1.37,0,59
60,2019,2,13,0832,45.72,126.12,3.46,0,2,3,1.47,0,60
61,2019,2,13,0832,45.72,126.14,3.46,0,2,3,1.47,0,60
62,2019,2,13,0832,45.70,121.46,3.46,0,2,3,.70,0,69
63,2019,2,13,0832,45.70,121.48,3.46,0,2,3,.70,0,69
64,2019,2,13,0832,45.70,121.86,3.46,0,3,1,.44,0,65
65,2019,2,13,0832,45.70,121.88,3.46,0,3,3,.49,0,65
66,2019,2,13,0832,45.70,123.48,3.46,0,2,3,1.33,0,59
