# 2019  3  2  5  0 UTC  2020  5  2 19  4 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,3,2,0458,51.82,114.92,3.06,0,2,3,6.33,0,6
2,2019,3,2,0458,51.82,114.94,3.06,0,2,3,6.33,0,6
3,2019,3,2,0458,51.82,114.96,3.06,0,2,3,8.88,0,6
4,2019,3,2,0458,51.80,114.94,3.07,0,2,3,6.33,0,6
5,2019,3,2,0458,51.80,114.96,3.07,0,2,3,6.33,0,6
6,2019,3,2,0458,51.80,114.98,3.07,0,2,3,8.88,0,6
7,2019,3,2,0458,51.76,115.22,3.07,0,2,3,17.65,0,11
8,2019,3,2,0458,51.76,115.24,3.07,0,2,3,14.90,0,11
9,2019,3,2,0458,51.76,115.26,3.07,0,2,3,14.90,0,11
10,2019,3,2,0458,51.74,115.22,3.07,0,2,3,17.65,0,11
11,2019,3,2,0458,51.74,115.24,3.07,0,2,3,17.65,0,11
12,2019,3,2,0458,51.74,115.26,3.07,0,2,3,14.90,0,11
13,2019,3,2,0458,51.74,115.28,3.07,0,2,3,14.90,0,11
14,2019,3,2,0458,51.46,119.64,3.09,0,2,3,6.66,0,21
15,2019,3,2,0458,51.46,119.66,3.09,0,2,3,7.03,0,19
16,2019,3,2,0458,51.44,119.58,3.09,0,2,1,7.38,0,21
17,2019,3,2,0458,51.44,119.60,3.09,0,2,1,7.38,0,21
18,2019,3,2,0458,51.44,119.64,3.09,0,2,3,6.66,0,21
19,2019,3,2,0458,51.44,119.66,3.09,0,2,3,7.03,0,19
20,2019,3,2,0458,51.42,119.60,3.09,0,2,1,7.38,0,21
21,2019,3,2,0458,51.42,119.62,3.09,0,2,5,15.78,0,21
22,2019,3,2,0458,51.42,119.64,3.09,0,2,5,15.78,0,21
23,2019,3,2,0458,51.36,119.66,3.10,0,2,3,9.11,0,23
24,2019,3,2,0458,51.36,119.68,3.10,0,2,3,9.11,0,23
25,2019,3,2,0458,51.36,119.70,3.10,0,2,3,7.88,0,23
26,2019,3,2,0458,51.34,119.66,3.10,0,2,3,9.11,0,23
27,2019,3,2,0458,51.34,119.68,3.10,0,2,3,9.11,0,23
28,2019,3,2,0458,51.34,119.70,3.10,0,2,3,7.88,0,23
29,2019,3,2,0458,51.34,119.72,3.10,0,2,3,7.88,0,23
30,2019,3,2,0458,51.10,119.10,3.11,0,2,3,11.86,0,33
31,2019,3,2,0458,51.08,119.10,3.11,0,2,3,11.86,0,33
32,2019,3,2,0458,51.08,119.12,3.11,0,2,3,11.86,0,33
33,2019,3,2,0458,51.06,119.12,3.12,0,2,3,15.54,0,33
34,2019,3,2,0458,51.04,119.12,3.12,0,2,3,15.29,0,33
35,2019,3,2,0458,51.04,119.14,3.12,0,2,3,15.29,0,33
36,2019,3,2,0458,50.52,118.48,3.15,0,2,3,7.97,0,36
37,2019,3,2,0458,50.50,118.48,3.15,0,2,3,7.97,0,36
38,2019,3,2,0458,50.50,118.50,3.15,0,2,3,7.97,0,36
39,2019,3,2,0458,49.54,116.10,3.22,0,3,3,2.51,0,44
40,2019,3,2,0458,49.54,116.12,3.22,0,3,3,2.51,0,44
41,2019,3,2,0458,49.54,116.14,3.22,0,3,1,2.06,0,44
42,2019,3,2,0458,49.54,116.16,3.22,0,3,3,2.06,0,44
43,2019,3,2,0458,49.52,116.12,3.22,0,3,3,2.51,0,44
44,2019,3,2,0458,49.52,116.14,3.22,0,3,3,2.51,0,44
45,2019,3,2,0458,49.52,116.16,3.22,0,3,3,2.06,0,44
46,2019,3,2,0458,49.50,116.10,3.22,0,2,3,2.45,0,44
47,2019,3,2,0458,49.50,116.12,3.22,0,2,3,2.45,0,44
48,2019,3,2,0458,49.48,116.12,3.22,0,2,3,2.45,0,44
49,2019,3,2,0458,49.34,125.14,3.23,0,2,3,23.26,0,49
50,2019,3,2,0458,49.34,125.16,3.23,0,2,3,23.26,0,49
51,2019,3,2,0458,48.78,133.24,3.27,0,2,3,19.08,0,51
52,2019,3,2,0458,48.76,133.24,3.27,0,2,3,19.08,0,51
53,2019,3,2,0458,48.68,133.36,3.27,0,2,5,24.45,0,53
54,2019,3,2,0458,48.66,133.38,3.27,0,2,5,27.33,0,54
55,2019,3,2,0458,48.66,133.40,3.27,0,2,5,21.55,0,54
56,2019,3,2,0458,48.64,133.38,3.28,0,2,5,13.51,0,54
57,2019,3,2,0458,48.64,133.40,3.28,0,2,5,11.38,0,54
58,2019,3,2,0458,48.64,133.42,3.28,0,2,5,11.38,0,54
59,2019,3,2,0458,48.62,133.38,3.28,0,2,5,13.51,0,54
60,2019,3,2,0458,48.62,133.40,3.28,0,2,5,11.37,0,54
61,2019,3,2,0458,48.62,133.42,3.28,0,2,5,11.37,0,54
62,2019,3,2,0458,48.52,134.18,3.28,0,2,5,28.84,0,77
63,2019,3,2,0458,48.52,134.20,3.28,0,2,5,51.02,0,77
64,2019,3,2,0458,48.52,134.22,3.28,0,2,5,51.02,0,77
65,2019,3,2,0458,48.52,134.24,3.28,0,2,5,68.04,0,77
66,2019,3,2,0458,48.52,134.26,3.28,0,2,5,42.44,0,77
67,2019,3,2,0458,48.52,134.28,3.28,0,2,5,42.44,0,77
68,2019,3,2,0458,48.50,134.18,3.28,0,2,5,28.84,0,77
69,2019,3,2,0458,48.50,134.20,3.28,0,2,5,50.95,0,77
70,2019,3,2,0458,48.50,134.22,3.28,0,2,5,50.95,0,77
71,2019,3,2,0458,48.50,134.24,3.28,0,2,5,68.04,0,77
72,2019,3,2,0458,48.50,134.26,3.28,0,2,5,42.44,0,77
73,2019,3,2,0458,48.50,134.28,3.28,0,2,5,42.44,0,77
74,2019,3,2,0458,48.48,134.18,3.29,0,2,5,40.16,0,77
75,2019,3,2,0458,48.48,134.20,3.29,0,2,5,40.16,0,77
76,2019,3,2,0458,48.48,134.22,3.29,0,2,5,77.30,0,77
77,2019,3,2,0458,48.48,134.24,3.29,0,2,5,113.48,0,77
78,2019,3,2,0458,48.48,134.26,3.29,0,2,5,66.56,0,77
79,2019,3,2,0458,48.48,134.28,3.29,0,2,5,66.56,0,77
80,2019,3,2,0458,48.46,134.18,3.29,0,2,5,40.16,0,77
81,2019,3,2,0458,48.46,134.20,3.29,0,2,5,40.16,0,77
82,2019,3,2,0458,48.46,134.22,3.29,0,2,5,77.30,0,77
83,2019,3,2,0458,48.46,134.24,3.29,0,2,5,113.47,0,77
84,2019,3,2,0458,48.46,134.26,3.29,0,2,5,113.47,0,77
85,2019,3,2,0458,48.46,134.28,3.29,0,2,5,66.56,0,77
86,2019,3,2,0458,48.44,134.24,3.29,0,2,5,17.24,0,77
