# 2019  3  4  2 30 UTC  2020  5  2 17 20 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,3,4,0232,50.40,104.42,3.16,0,2,5,12.97,0,1
2,2019,3,4,0232,50.38,104.44,3.16,0,2,5,13.14,0,7
3,2019,3,4,0232,50.38,104.46,3.16,0,2,5,13.14,0,7
4,2019,3,4,0232,50.38,104.48,3.16,0,2,3,10.99,0,7
5,2019,3,4,0232,50.38,104.50,3.16,0,2,3,10.99,0,7
6,2019,3,4,0232,50.36,104.46,3.16,0,2,3,11.38,0,7
7,2019,3,4,0232,50.36,104.48,3.16,0,2,5,13.15,0,7
8,2019,3,4,0232,50.36,104.50,3.16,0,2,3,10.99,0,7
9,2019,3,4,0232,50.36,104.52,3.16,0,2,3,10.99,0,7
10,2019,3,4,0232,50.34,104.48,3.16,0,2,3,11.39,0,7
11,2019,3,4,0232,50.34,104.50,3.16,0,2,3,11.39,0,7
12,2019,3,4,0232,48.70,134.06,3.27,0,2,3,20.25,0,12
13,2019,3,4,0232,48.68,134.06,3.27,0,2,3,20.25,0,12
14,2019,3,4,0232,48.68,134.08,3.27,0,2,3,20.25,0,12
15,2019,3,4,0232,48.66,134.06,3.27,0,3,3,13.36,0,12
16,2019,3,4,0232,48.66,134.08,3.27,0,3,3,13.36,0,12
17,2019,3,4,0232,48.64,134.08,3.28,0,3,3,13.36,0,12
18,2019,3,4,0232,48.60,132.22,3.28,0,2,1,8.44,0,18
19,2019,3,4,0232,48.58,132.22,3.28,0,2,1,8.44,0,18
20,2019,3,4,0232,48.52,132.34,3.28,0,2,5,33.15,0,20
21,2019,3,4,0232,48.52,132.36,3.28,0,2,3,33.14,0,20
22,2019,3,4,0232,48.52,132.38,3.28,0,2,3,20.29,0,20
23,2019,3,4,0232,48.50,132.36,3.28,0,2,3,33.14,0,20
24,2019,3,4,0232,48.50,132.38,3.28,0,2,3,20.29,0,20
25,2019,3,4,0232,48.44,134.28,3.29,0,2,5,23.78,0,28
26,2019,3,4,0232,48.42,134.24,3.29,0,2,5,15.98,0,28
27,2019,3,4,0232,48.42,134.26,3.29,0,2,5,15.98,0,28
28,2019,3,4,0232,48.42,134.28,3.29,0,2,5,103.60,0,28
29,2019,3,4,0232,48.42,134.30,3.29,0,2,5,17.62,0,28
30,2019,3,4,0232,48.42,134.32,3.29,0,2,5,17.62,0,28
31,2019,3,4,0232,48.40,134.26,3.29,0,2,3,15.98,0,28
32,2019,3,4,0232,48.40,134.28,3.29,0,2,5,103.60,0,28
33,2019,3,4,0232,48.40,134.30,3.29,0,2,3,17.61,0,28
34,2019,3,4,0232,48.40,134.32,3.29,0,2,3,17.61,0,28
35,2019,3,4,0232,46.08,134.56,3.44,0,2,3,5.85,0,36
36,2019,3,4,0232,46.08,134.58,3.44,0,2,3,11.42,0,36
37,2019,3,4,0232,46.08,134.60,3.44,0,2,3,11.42,0,36
38,2019,3,4,0232,46.06,134.14,3.44,0,2,5,20.65,0,47
39,2019,3,4,0232,46.06,134.16,3.44,0,2,5,20.65,0,47
40,2019,3,4,0232,46.06,134.18,3.44,0,2,5,19.86,0,47
41,2019,3,4,0232,46.06,134.56,3.44,0,2,3,5.85,0,36
42,2019,3,4,0232,46.06,134.58,3.44,0,2,3,11.42,0,36
43,2019,3,4,0232,46.06,134.60,3.44,0,2,3,11.42,0,36
44,2019,3,4,0232,46.04,134.16,3.44,0,2,5,20.65,0,47
45,2019,3,4,0232,46.04,134.18,3.44,0,2,5,19.86,0,47
46,2019,3,4,0232,46.02,134.16,3.44,0,2,5,25.95,0,47
47,2019,3,4,0232,46.02,134.18,3.44,0,2,5,34.33,0,47
48,2019,3,4,0232,46.02,134.20,3.44,0,2,5,34.33,0,47
49,2019,3,4,0232,45.94,134.18,3.45,0,3,1,2.13,0,49
50,2019,3,4,0232,45.90,134.14,3.45,0,2,5,21.55,0,56
51,2019,3,4,0232,45.90,134.16,3.45,0,2,5,21.55,0,56
