# 2019  3  4  6  0 UTC  2020  5  2 17 13 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,3,4,0600,49.54,116.10,3.22,0,3,3,1.34,0,3
2,2019,3,4,0600,49.54,116.12,3.22,0,3,3,1.34,0,3
3,2019,3,4,0600,49.52,116.12,3.22,0,3,3,1.34,0,3
4,2019,3,4,0600,49.52,116.14,3.22,0,3,3,1.34,0,3
5,2019,3,4,0600,49.50,116.06,3.22,0,3,3,1.68,0,8
6,2019,3,4,0600,49.50,116.08,3.22,0,3,3,1.68,0,8
7,2019,3,4,0600,49.48,116.08,3.22,0,3,3,1.68,0,8
8,2019,3,4,0600,49.48,116.10,3.22,0,3,3,1.68,0,8
9,2019,3,4,0600,49.06,134.24,3.25,0,3,3,2.77,0,14
10,2019,3,4,0600,49.06,134.26,3.25,0,3,3,2.77,0,14
11,2019,3,4,0600,49.06,134.28,3.25,0,3,3,4.05,0,14
12,2019,3,4,0600,49.04,134.24,3.25,0,3,3,2.42,0,14
13,2019,3,4,0600,49.04,134.26,3.25,0,3,3,2.42,0,14
14,2019,3,4,0600,49.04,134.28,3.25,0,2,5,9.86,0,14
15,2019,3,4,0600,49.02,134.26,3.25,0,3,3,2.42,0,14
16,2019,3,4,0600,49.02,134.28,3.25,0,2,5,9.86,0,14
17,2019,3,4,0600,49.02,134.30,3.25,0,2,3,3.02,0,14
18,2019,3,4,0600,49.02,134.32,3.25,0,2,3,3.02,0,14
19,2019,3,4,0600,48.88,133.30,3.26,0,2,3,11.55,0,19
20,2019,3,4,0600,48.88,133.32,3.26,0,2,3,11.55,0,19
21,2019,3,4,0600,48.86,133.30,3.26,0,2,3,11.55,0,19
22,2019,3,4,0600,48.86,133.32,3.26,0,2,3,11.55,0,19
23,2019,3,4,0600,48.82,133.20,3.26,0,2,3,9.59,0,24
24,2019,3,4,0600,48.82,133.22,3.26,0,2,3,20.14,0,24
25,2019,3,4,0600,48.80,133.20,3.26,0,2,3,9.59,0,24
26,2019,3,4,0600,48.80,133.22,3.26,0,2,3,9.59,0,24
27,2019,3,4,0600,48.80,133.24,3.26,0,2,3,20.14,0,24
28,2019,3,4,0600,48.70,133.92,3.27,0,3,3,3.74,0,28
29,2019,3,4,0600,48.70,134.06,3.27,0,2,5,40.73,0,41
30,2019,3,4,0600,48.68,133.92,3.27,0,3,3,3.74,0,28
31,2019,3,4,0600,48.68,133.94,3.27,0,3,3,3.74,0,28
32,2019,3,4,0600,48.68,134.06,3.27,0,2,5,40.73,0,41
33,2019,3,4,0600,48.68,134.08,3.27,0,2,5,40.73,0,41
34,2019,3,4,0600,48.68,134.10,3.27,0,2,5,35.04,0,41
35,2019,3,4,0600,48.66,133.98,3.27,0,3,1,2.23,0,41
36,2019,3,4,0600,48.66,134.00,3.27,0,3,1,2.23,0,41
37,2019,3,4,0600,48.66,134.02,3.27,0,2,3,6.76,0,41
38,2019,3,4,0600,48.66,134.04,3.27,0,2,5,23.65,0,41
39,2019,3,4,0600,48.66,134.06,3.27,0,2,5,73.66,0,41
40,2019,3,4,0600,48.66,134.08,3.27,0,2,5,73.66,0,41
41,2019,3,4,0600,48.66,134.10,3.27,0,2,5,85.20,0,41
42,2019,3,4,0600,48.66,134.24,3.27,0,2,5,10.44,0,44
43,2019,3,4,0600,48.66,134.26,3.27,0,2,5,10.44,0,44
44,2019,3,4,0600,48.66,134.28,3.27,0,1,3,17.33,0,44
45,2019,3,4,0600,48.64,133.98,3.28,0,3,1,2.23,0,41
46,2019,3,4,0600,48.64,134.00,3.28,0,3,1,2.23,0,41
47,2019,3,4,0600,48.64,134.02,3.28,0,2,3,6.76,0,41
48,2019,3,4,0600,48.64,134.04,3.28,0,2,5,23.65,0,41
49,2019,3,4,0600,48.64,134.06,3.28,0,2,5,23.65,0,41
50,2019,3,4,0600,48.64,134.08,3.28,0,2,5,73.66,0,41
51,2019,3,4,0600,48.64,134.10,3.28,0,2,5,85.12,0,41
52,2019,3,4,0600,48.64,134.12,3.28,0,2,5,85.12,0,41
53,2019,3,4,0600,48.64,134.24,3.28,0,2,5,10.44,0,44
54,2019,3,4,0600,48.64,134.26,3.28,0,2,5,10.44,0,44
55,2019,3,4,0600,48.64,134.28,3.28,0,1,3,17.33,0,44
56,2019,3,4,0600,48.62,134.08,3.28,0,3,5,5.30,0,41
57,2019,3,4,0600,48.62,134.10,3.28,0,2,5,12.77,0,41
58,2019,3,4,0600,48.62,134.12,3.28,0,2,5,12.77,0,41
59,2019,3,4,0600,48.60,134.08,3.28,0,3,5,5.30,0,41
60,2019,3,4,0600,48.60,134.10,3.28,0,2,5,12.77,0,41
61,2019,3,4,0600,48.60,134.12,3.28,0,2,5,12.77,0,41
62,2019,3,4,0600,48.60,135.14,3.28,0,2,3,5.97,0,62
63,2019,3,4,0600,48.60,135.16,3.28,0,2,3,5.97,0,62
64,2019,3,4,0600,48.58,134.60,3.28,0,2,3,9.58,0,64
65,2019,3,4,0600,48.58,134.62,3.28,0,2,3,9.58,0,64
66,2019,3,4,0600,48.58,135.16,3.28,0,2,3,5.97,0,62
67,2019,3,4,0600,48.56,134.60,3.28,0,2,3,9.58,0,64
68,2019,3,4,0600,48.56,134.62,3.28,0,2,3,9.58,0,64
69,2019,3,4,0600,48.44,134.30,3.29,0,2,5,22.72,0,69
70,2019,3,4,0600,48.44,134.32,3.29,0,2,5,22.72,0,69
71,2019,3,4,0600,48.44,134.34,3.29,0,2,5,20.88,0,69
72,2019,3,4,0600,48.44,134.36,3.29,0,3,3,3.77,0,69
73,2019,3,4,0600,48.44,134.38,3.29,0,3,3,3.77,0,69
74,2019,3,4,0600,48.42,134.24,3.29,0,3,1,3.78,0,76
75,2019,3,4,0600,48.42,134.26,3.29,0,3,1,3.78,0,76
76,2019,3,4,0600,48.42,134.28,3.29,0,2,3,6.61,0,76
77,2019,3,4,0600,48.42,134.34,3.29,0,3,3,4.44,0,69
78,2019,3,4,0600,48.40,133.00,3.29,0,2,3,10.06,0,83
79,2019,3,4,0600,48.40,133.02,3.29,0,2,3,10.06,0,83
