# 2019  3 15  4  0 UTC  2020  5  2  8  3 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,3,15,0402,50.80,127.84,3.13,0,3,3,5.75,0,4
2,2019,3,15,0402,50.80,127.86,3.13,0,3,3,5.75,0,4
3,2019,3,15,0402,50.78,127.84,3.13,0,2,3,7.51,0,4
4,2019,3,15,0402,50.78,127.86,3.13,0,2,3,7.51,0,4
5,2019,3,15,0402,50.76,127.86,3.14,0,2,3,7.51,0,4
6,2019,3,15,0402,50.62,123.20,3.14,0,3,1,1.74,0,6
7,2019,3,15,0402,43.02,101.12,3.62,0,3,1,1.51,0,8
8,2019,3,15,0402,43.02,101.14,3.62,0,3,1,1.51,0,8
9,2019,3,15,0402,40.82,111.82,3.75,0,2,3,7.12,0,9
10,2019,3,15,0402,40.80,111.84,3.75,0,2,3,7.49,0,10
11,2019,3,15,0402,40.02,113.78,3.80,0,2,5,18.75,0,13
12,2019,3,15,0402,40.02,113.80,3.80,0,2,5,18.75,0,13
13,2019,3,15,0402,40.02,113.82,3.80,0,2,5,55.53,0,13
14,2019,3,15,0402,40.00,113.80,3.80,0,2,3,8.64,0,13
15,2019,3,15,0402,40.00,113.82,3.80,0,3,5,15.87,0,13
16,2019,3,15,0402,40.00,113.84,3.80,0,3,5,15.87,0,13
17,2019,3,15,0402,38.06,113.42,3.90,0,2,3,5.67,0,17
18,2019,3,15,0402,37.86,113.12,3.91,0,2,1,5.34,0,18
19,2019,3,15,0402,37.84,113.14,3.91,0,2,1,5.70,0,19
20,2019,3,15,0402,36.80,110.76,3.97,0,2,3,6.21,0,20
21,2019,3,15,0402,36.44,118.88,3.99,0,3,3,2.41,0,21
22,2019,3,15,0402,36.44,118.90,3.99,0,3,3,2.41,0,21
23,2019,3,15,0402,35.38,110.20,4.04,0,2,3,12.68,0,25
24,2019,3,15,0402,35.38,110.22,4.04,0,2,3,12.68,0,25
25,2019,3,15,0402,35.36,110.22,4.04,0,2,3,12.93,0,25
26,2019,3,15,0402,35.12,108.04,4.05,0,2,3,5.80,0,26
27,2019,3,15,0402,35.12,108.06,4.05,0,2,3,5.80,0,26
28,2019,3,15,0402,34.62,108.44,4.08,0,2,3,18.89,0,28
29,2019,3,15,0402,34.62,108.46,4.08,0,2,3,18.89,0,28
30,2019,3,15,0402,33.32,130.94,4.14,0,3,1,3.60,0,30
31,2019,3,15,0402,32.96,131.90,4.16,0,3,1,1.83,0,31
