# 2019  3 16  3  0 UTC  2020  5  2  7 17 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,3,16,0300,49.54,116.10,3.22,0,3,3,1.85,0,3
2,2019,3,16,0300,49.54,116.12,3.22,0,3,3,1.85,0,3
3,2019,3,16,0300,49.52,116.12,3.22,0,3,3,1.85,0,3
4,2019,3,16,0300,49.52,116.14,3.22,0,3,3,1.85,0,3
5,2019,3,16,0300,43.02,101.12,3.62,0,3,1,2.07,0,6
6,2019,3,16,0300,43.02,101.14,3.62,0,3,1,2.07,0,6
7,2019,3,16,0300,43.02,101.16,3.62,0,3,1,1.57,0,6
8,2019,3,16,0300,43.02,101.18,3.62,0,3,1,1.57,0,6
9,2019,3,16,0300,38.04,113.54,3.90,0,3,3,5.69,0,10
10,2019,3,16,0300,38.04,113.56,3.90,0,1,3,48.27,0,10
11,2019,3,16,0300,38.04,113.58,3.90,0,1,3,48.27,0,10
12,2019,3,16,0300,38.02,113.54,3.90,0,3,3,5.69,0,10
13,2019,3,16,0300,38.02,113.56,3.90,0,3,3,5.69,0,10
14,2019,3,16,0300,38.02,113.58,3.90,0,1,3,48.27,0,10
15,2019,3,16,0300,37.18,113.66,3.95,0,2,3,6.13,0,15
16,2019,3,16,0300,37.16,113.66,3.95,0,2,3,6.12,0,15
17,2019,3,16,0300,37.14,113.68,3.95,0,2,3,13.14,0,17
18,2019,3,16,0300,34.48,118.82,4.09,0,3,3,5.11,0,18
19,2019,3,16,0300,33.56,133.54,4.13,0,3,1,2.88,0,19
20,2019,3,16,0300,32.44,131.62,4.18,0,3,1,3.71,0,20
21,2019,3,16,0300,32.42,131.62,4.18,0,3,1,3.71,0,20
22,2019,3,16,0300,32.42,131.64,4.18,0,3,1,3.71,0,20
23,2019,3,16,0300,32.08,130.32,4.20,0,3,1,3.18,0,24
24,2019,3,16,0300,32.08,130.34,4.20,0,3,1,3.25,0,24
25,2019,3,16,0300,28.86,120.72,4.34,0,3,1,2.55,0,25
26,2019,3,16,0300,28.86,120.74,4.34,0,3,1,2.30,0,25
27,2019,3,16,0300,26.78,83.38,4.42,0,3,1,1.45,2,28
28,2019,3,16,0300,26.78,83.40,4.42,0,3,1,1.45,2,28
29,2019,3,16,0300,26.18,87.38,4.45,0,3,3,1.59,2,30
30,2019,3,16,0300,26.18,87.40,4.45,0,3,3,1.59,2,30
31,2019,3,16,0300,26.00,92.12,4.45,0,2,5,14.49,0,33
32,2019,3,16,0300,26.00,92.14,4.45,0,2,5,14.49,0,33
33,2019,3,16,0300,26.00,92.16,4.45,0,2,5,42.00,0,33
34,2019,3,16,0300,26.00,92.18,4.45,0,2,5,42.00,0,33
35,2019,3,16,0300,25.98,92.16,4.46,0,2,3,6.91,0,33
36,2019,3,16,0300,25.98,92.18,4.46,0,2,3,6.91,0,33
37,2019,3,16,0300,25.96,83.54,4.46,0,3,3,1.80,2,37
38,2019,3,16,0300,25.96,83.56,4.46,0,3,3,1.80,2,37
39,2019,3,16,0300,25.96,83.58,4.46,0,3,3,1.80,2,37
40,2019,3,16,0300,25.96,92.18,4.46,0,2,3,6.91,0,33
41,2019,3,16,0300,25.96,92.20,4.46,0,2,3,6.91,0,33
42,2019,3,16,0300,25.94,83.58,4.46,0,3,3,1.80,2,37
43,2019,3,16,0300,25.94,83.60,4.46,0,3,3,1.79,2,37
44,2019,3,16,0300,25.66,96.32,4.47,0,3,1,2.10,0,45
45,2019,3,16,0300,25.66,96.34,4.47,0,3,1,2.10,0,45
46,2019,3,16,0300,25.62,96.30,4.47,0,3,1,1.61,0,46
47,2019,3,16,0300,25.50,90.94,4.47,0,2,3,5.99,0,47
48,2019,3,16,0300,25.48,90.96,4.47,0,2,3,5.56,0,49
49,2019,3,16,0300,25.48,90.98,4.47,0,2,3,5.56,0,49
50,2019,3,16,0300,25.26,95.90,4.48,0,3,1,1.60,0,50
51,2019,3,16,0300,23.38,98.22,4.55,0,2,3,3.83,0,51
52,2019,3,16,0300,22.38,100.94,4.58,0,3,3,3.20,0,54
53,2019,3,16,0300,22.36,100.92,4.58,0,3,3,3.26,0,54
54,2019,3,16,0300,22.36,100.94,4.58,0,3,3,3.57,0,54
55,2019,3,16,0300,22.36,100.96,4.58,0,3,3,3.57,0,54
56,2019,3,16,0300,22.34,100.92,4.58,0,3,3,3.39,0,54
57,2019,3,16,0300,22.34,100.94,4.58,0,3,3,3.39,0,54
58,2019,3,16,0306,20.98,101.12,4.63,0,2,3,4.05,0,58
59,2019,3,16,0306,20.96,85.18,4.63,0,2,1,3.78,0,60
60,2019,3,16,0306,20.96,85.20,4.63,0,2,1,3.78,0,60
61,2019,3,16,0306,20.96,101.14,4.63,0,2,3,4.09,0,61
62,2019,3,16,0306,20.38,103.20,4.65,0,3,3,2.91,0,62
63,2019,3,16,0306,19.50,102.36,4.67,0,2,3,6.56,0,63
64,2019,3,16,0306,19.50,102.38,4.67,0,2,3,6.56,0,63
65,2019,3,16,0306,19.46,109.02,4.67,0,3,3,4.52,0,65
66,2019,3,16,0306,18.40,101.70,4.70,0,2,3,6.45,0,66
67,2019,3,16,0306,18.28,104.94,4.71,0,2,5,29.00,0,68
68,2019,3,16,0306,18.26,104.94,4.71,0,2,5,33.36,0,68
69,2019,3,16,0306,18.26,104.96,4.71,0,2,5,33.36,0,68
70,2019,3,16,0306,18.10,102.28,4.71,0,3,3,4.18,2,70
71,2019,3,16,0306,17.90,101.14,4.72,0,2,1,7.66,0,71
72,2019,3,16,0306,16.56,99.82,4.75,0,3,3,6.79,0,73
73,2019,3,16,0306,16.54,99.82,4.75,0,2,3,9.81,0,73
74,2019,3,16,0306,15.66,104.68,4.77,0,3,3,4.52,0,74
75,2019,3,16,0306,15.08,102.80,4.79,0,2,5,17.31,0,75
76,2019,3,16,0306,15.08,102.82,4.79,0,2,5,17.31,0,75
77,2019,3,16,0306,15.06,102.82,4.79,0,2,5,14.18,0,75
78,2019,3,16,0306,14.28,107.14,4.80,0,2,3,11.86,0,78
79,2019,3,16,0306,13.42,99.10,4.82,0,2,3,2.35,0,79
80,2019,3,16,0306,10.04,105.76,4.88,0,3,1,3.77,2,80
81,2019,3,16,0306,10.02,105.76,4.88,0,3,1,3.28,0,80
82,2019,3,16,0306,9.72,122.58,4.89,0,2,5,23.52,0,82
83,2019,3,16,0306,9.14,99.32,4.89,0,3,1,2.98,0,83
84,2019,3,16,0306,8.96,125.52,4.90,0,3,1,4.79,0,84
85,2019,3,16,0306,6.54,101.28,4.92,0,3,1,2.95,0,85
86,2019,3,16,0306,5.34,101.22,4.94,0,3,3,3.00,0,87
87,2019,3,16,0306,5.32,101.22,4.94,0,3,3,3.08,0,87
88,2019,3,16,0306,5.04,100.48,4.94,0,3,3,6.31,0,88
89,2019,3,16,0306,4.30,102.40,4.94,0,3,3,2.50,0,89
90,2019,3,16,0306,4.02,101.02,4.94,0,3,1,3.43,0,90
91,2019,3,16,0306,4.02,101.04,4.94,0,3,1,3.43,0,90
92,2019,3,16,0306,3.68,101.00,4.95,0,3,3,4.45,2,92
93,2019,3,16,0306,1.38,99.28,4.96,0,3,1,2.00,0,93
94,2019,3,16,0306,1.34,98.88,4.96,0,3,3,2.72,0,94
95,2019,3,16,0306,1.34,98.90,4.96,0,3,3,2.72,0,94
96,2019,3,16,0306,.94,103.08,4.96,0,2,1,17.31,0,98
97,2019,3,16,0306,.94,103.10,4.96,0,2,1,17.31,0,98
98,2019,3,16,0306,.92,103.10,4.96,0,2,5,48.26,0,98
