# 2019  3 19  6 40 UTC  2020  5  1 23 26 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,3,19,0639,50.40,115.92,3.16,0,3,1,1.64,2,1
2,2019,3,19,0639,50.40,115.94,3.16,0,3,3,1.64,2,1
3,2019,3,19,0639,50.28,117.58,3.17,0,2,3,7.13,0,3
4,2019,3,19,0639,50.28,117.60,3.17,0,2,3,7.13,0,3
5,2019,3,19,0639,50.26,117.58,3.17,0,2,3,7.13,0,3
6,2019,3,19,0639,50.26,117.60,3.17,0,2,3,7.13,0,3
7,2019,3,19,0639,50.24,117.70,3.17,0,2,3,17.59,0,7
8,2019,3,19,0639,50.24,117.72,3.17,0,2,3,17.59,0,7
9,2019,3,19,0639,50.22,117.72,3.17,0,2,3,17.59,0,7
10,2019,3,19,0639,50.20,117.72,3.17,0,2,3,11.19,0,7
11,2019,3,19,0639,50.20,117.74,3.17,0,2,3,11.19,0,7
12,2019,3,19,0639,50.18,117.54,3.17,0,2,3,14.93,0,18
13,2019,3,19,0639,50.18,117.74,3.17,0,2,3,11.19,0,7
14,2019,3,19,0639,50.16,117.54,3.18,0,2,3,14.93,0,18
15,2019,3,19,0639,50.16,117.56,3.18,0,2,3,14.93,0,18
16,2019,3,19,0639,50.16,117.74,3.18,0,2,3,8.07,0,7
17,2019,3,19,0639,50.16,117.76,3.18,0,2,3,8.07,0,7
18,2019,3,19,0639,50.14,117.52,3.18,0,2,5,22.27,0,18
19,2019,3,19,0639,50.14,117.54,3.18,0,2,5,22.27,0,18
20,2019,3,19,0639,50.14,117.56,3.18,0,2,3,15.98,0,18
21,2019,3,19,0639,50.14,117.58,3.18,0,2,3,15.98,0,18
22,2019,3,19,0639,50.14,117.72,3.18,0,2,3,12.69,0,7
23,2019,3,19,0639,50.14,117.74,3.18,0,2,3,12.69,0,7
24,2019,3,19,0639,50.14,117.78,3.18,0,2,3,13.21,0,24
25,2019,3,19,0639,50.12,117.54,3.18,0,2,3,22.27,0,18
26,2019,3,19,0639,50.12,117.56,3.18,0,2,3,15.98,0,18
27,2019,3,19,0639,50.12,117.58,3.18,0,2,3,15.98,0,18
28,2019,3,19,0639,50.12,117.74,3.18,0,2,3,12.69,0,7
29,2019,3,19,0639,48.62,134.36,3.28,0,2,3,34.00,0,29
30,2019,3,19,0639,48.62,134.38,3.28,0,2,3,34.00,0,29
31,2019,3,19,0639,48.62,134.40,3.28,0,2,3,20.53,0,29
32,2019,3,19,0639,48.60,134.36,3.28,0,2,3,34.00,0,29
33,2019,3,19,0639,48.60,134.38,3.28,0,2,3,33.99,0,29
34,2019,3,19,0639,48.60,134.40,3.28,0,2,3,20.53,0,29
35,2019,3,19,0639,48.12,131.92,3.31,0,2,5,4.77,0,36
36,2019,3,19,0639,48.12,131.94,3.31,0,2,5,4.77,0,36
37,2019,3,19,0639,48.10,134.60,3.31,0,2,3,16.90,0,38
38,2019,3,19,0639,48.10,134.62,3.31,0,2,3,16.90,0,38
39,2019,3,19,0639,48.10,134.64,3.31,0,2,1,11.36,0,38
40,2019,3,19,0639,48.08,134.62,3.31,0,2,3,16.90,0,38
41,2019,3,19,0639,48.08,134.64,3.31,0,2,1,11.36,0,38
42,2019,3,19,0639,48.06,133.64,3.31,0,2,5,18.50,0,67
43,2019,3,19,0639,48.06,133.66,3.31,0,2,3,4.01,0,67
44,2019,3,19,0639,48.06,133.68,3.31,0,2,1,4.01,0,67
45,2019,3,19,0639,48.06,133.76,3.31,0,2,3,11.86,0,67
46,2019,3,19,0639,48.06,133.84,3.31,0,2,3,11.37,0,46
47,2019,3,19,0639,48.06,134.62,3.31,0,2,3,14.29,0,38
48,2019,3,19,0639,48.06,134.64,3.31,0,2,1,11.42,0,38
49,2019,3,19,0639,48.06,134.66,3.31,0,2,3,11.42,0,38
50,2019,3,19,0639,48.04,131.72,3.31,0,2,5,46.77,0,70
51,2019,3,19,0639,48.04,133.64,3.31,0,2,5,18.50,0,67
52,2019,3,19,0639,48.04,133.66,3.31,0,2,5,18.50,0,67
53,2019,3,19,0639,48.04,133.68,3.31,0,2,1,4.01,0,67
54,2019,3,19,0639,48.04,133.76,3.31,0,2,3,11.86,0,67
55,2019,3,19,0639,48.04,133.84,3.31,0,2,3,11.37,0,46
56,2019,3,19,0639,48.04,133.86,3.31,0,2,3,11.37,0,46
57,2019,3,19,0639,48.02,131.72,3.32,0,2,5,46.77,0,70
58,2019,3,19,0639,48.02,131.74,3.32,0,3,5,51.24,0,70
59,2019,3,19,0639,48.02,131.76,3.32,0,3,5,51.24,0,70
60,2019,3,19,0639,48.02,131.78,3.32,0,2,5,11.46,0,70
61,2019,3,19,0639,48.02,133.64,3.32,0,1,3,34.08,0,67
62,2019,3,19,0639,48.02,133.66,3.32,0,1,3,34.08,0,67
63,2019,3,19,0639,48.02,133.68,3.32,0,2,3,10.67,0,67
64,2019,3,19,0639,48.02,133.70,3.32,0,2,3,11.20,0,67
65,2019,3,19,0639,48.02,133.72,3.32,0,2,3,11.20,0,67
66,2019,3,19,0639,48.02,133.74,3.32,0,2,3,14.37,0,67
