# 2019  4  3 13  0 UTC  2020  5  2  2 32 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,3,1302,51.54,92.80,3.08,0,2,3,1.99,0,1
2,2019,4,3,1302,51.52,92.82,3.08,0,2,3,2.26,0,6
3,2019,4,3,1302,51.52,92.84,3.08,0,2,3,2.26,0,6
4,2019,4,3,1302,51.52,92.86,3.08,0,2,3,2.27,0,6
5,2019,4,3,1302,51.50,92.86,3.09,0,2,3,2.27,0,6
6,2019,4,3,1302,51.50,92.88,3.09,0,2,3,2.27,0,6
7,2019,4,3,1302,50.48,127.76,3.15,0,2,5,3.53,0,10
8,2019,4,3,1302,50.46,127.76,3.16,0,2,5,3.53,0,10
9,2019,4,3,1302,50.46,127.78,3.16,0,2,5,3.53,0,10
10,2019,4,3,1302,50.44,127.76,3.16,0,2,3,4.79,0,10
11,2019,4,3,1302,50.44,127.78,3.16,0,2,3,4.79,0,10
12,2019,4,3,1302,49.90,127.86,3.19,0,2,1,.67,0,12
13,2019,4,3,1302,49.30,133.20,3.23,0,2,3,6.07,0,17
14,2019,4,3,1302,49.30,133.22,3.23,0,2,3,6.07,0,17
15,2019,4,3,1302,49.28,133.20,3.23,0,2,5,6.07,0,17
16,2019,4,3,1302,49.28,133.22,3.23,0,2,3,6.07,0,17
17,2019,4,3,1302,49.26,133.22,3.23,0,2,5,7.69,0,17
18,2019,4,3,1302,49.24,133.22,3.24,0,2,5,7.69,0,17
19,2019,4,3,1302,49.06,128.30,3.25,0,2,1,.68,0,19
20,2019,4,3,1302,49.04,128.30,3.25,0,2,1,.68,0,19
21,2019,4,3,1302,48.92,124.46,3.26,0,2,5,2.55,0,21
22,2019,4,3,1302,48.92,124.48,3.26,0,2,5,2.55,0,21
23,2019,4,3,1302,48.70,133.74,3.27,0,2,3,2.80,0,29
24,2019,4,3,1302,48.70,133.76,3.27,0,2,3,2.80,0,29
25,2019,4,3,1302,48.68,133.74,3.27,0,2,3,2.80,0,29
26,2019,4,3,1302,48.68,133.76,3.27,0,2,3,2.80,0,29
27,2019,4,3,1302,48.66,133.76,3.27,0,2,1,2.10,0,29
28,2019,4,3,1302,48.66,133.78,3.27,0,2,3,2.55,0,29
29,2019,4,3,1302,48.66,133.80,3.27,0,2,3,2.93,0,29
30,2019,4,3,1302,48.66,133.82,3.27,0,2,3,2.93,0,29
31,2019,4,3,1302,48.64,133.76,3.28,0,2,1,2.10,0,29
32,2019,4,3,1302,48.64,133.78,3.28,0,2,3,2.55,0,29
33,2019,4,3,1302,48.64,133.80,3.28,0,2,3,2.55,0,29
34,2019,4,3,1302,48.64,133.82,3.28,0,2,3,2.93,0,29
35,2019,4,3,1302,48.60,135.64,3.28,0,2,3,2.66,0,37
36,2019,4,3,1302,48.60,135.66,3.28,0,2,3,2.66,0,37
37,2019,4,3,1302,48.60,135.68,3.28,0,2,5,3.06,0,37
38,2019,4,3,1302,48.58,135.64,3.28,0,2,3,2.66,0,37
39,2019,4,3,1302,48.58,135.66,3.28,0,2,3,2.66,0,37
40,2019,4,3,1302,48.58,135.68,3.28,0,2,5,3.06,0,37
41,2019,4,3,1302,48.44,134.56,3.29,0,2,3,4.61,0,43
42,2019,4,3,1302,48.44,134.58,3.29,0,2,3,4.61,0,43
43,2019,4,3,1302,48.44,134.60,3.29,0,2,3,5.50,0,43
44,2019,4,3,1302,48.44,134.62,3.29,0,2,3,5.41,0,43
45,2019,4,3,1302,48.44,134.64,3.29,0,2,3,5.41,0,43
46,2019,4,3,1302,48.44,134.66,3.29,0,2,3,3.75,0,43
47,2019,4,3,1302,48.42,134.56,3.29,0,2,3,4.61,0,43
48,2019,4,3,1302,48.42,134.58,3.29,0,2,3,4.61,0,43
49,2019,4,3,1302,48.42,134.60,3.29,0,2,3,5.50,0,43
50,2019,4,3,1302,48.42,134.62,3.29,0,2,3,5.41,0,43
51,2019,4,3,1302,48.42,134.64,3.29,0,2,3,5.41,0,43
52,2019,4,3,1302,48.42,134.66,3.29,0,2,3,3.75,0,43
53,2019,4,3,1302,46.98,126.26,3.38,0,2,3,3.28,0,54
54,2019,4,3,1302,46.98,126.28,3.38,0,2,3,3.56,0,54
55,2019,4,3,1302,46.98,126.30,3.38,0,2,3,3.56,0,54
56,2019,4,3,1302,46.96,126.26,3.38,0,2,5,3.04,0,54
57,2019,4,3,1302,46.96,126.28,3.38,0,2,5,3.04,0,54
58,2019,4,3,1302,46.96,126.30,3.38,0,2,5,3.35,0,54
59,2019,4,3,1302,46.94,126.26,3.38,0,2,5,3.04,0,54
60,2019,4,3,1302,46.94,126.28,3.38,0,2,5,3.04,0,54
61,2019,4,3,1302,46.94,126.30,3.38,0,2,5,3.35,0,54
62,2019,4,3,1302,46.68,131.40,3.40,0,2,1,1.24,0,62
63,2019,4,3,1302,46.68,131.42,3.40,0,2,1,1.24,0,62
64,2019,4,3,1302,45.84,123.20,3.45,0,2,3,1.02,0,64
65,2019,4,3,1302,45.82,123.20,3.45,0,2,3,1.02,0,64
66,2019,4,3,1302,45.28,123.56,3.49,0,2,3,.55,0,66
67,2019,4,3,1302,45.28,123.58,3.49,0,2,3,.55,0,66
68,2019,4,3,1302,44.76,90.18,3.52,0,2,1,2.10,0,75
69,2019,4,3,1302,44.76,90.20,3.52,0,2,1,2.11,0,75
70,2019,4,3,1302,44.76,90.22,3.52,0,2,1,2.59,0,75
71,2019,4,3,1302,44.74,90.20,3.52,0,2,1,2.11,0,75
72,2019,4,3,1302,44.74,90.22,3.52,0,2,1,2.11,0,75
73,2019,4,3,1302,44.74,90.24,3.52,0,2,1,2.12,0,75
74,2019,4,3,1302,44.74,90.26,3.52,0,2,1,2.59,0,75
75,2019,4,3,1302,44.74,90.28,3.52,0,2,1,2.60,0,75
76,2019,4,3,1302,44.40,123.56,3.54,0,2,5,1.37,0,76
77,2019,4,3,1302,44.38,123.56,3.54,0,2,5,1.37,0,76
78,2019,4,3,1302,41.28,119.38,3.72,0,1,1,3.55,0,78
79,2019,4,3,1302,41.28,119.40,3.72,0,1,1,3.55,0,78
80,2019,4,3,1302,41.28,123.72,3.72,0,2,1,1.50,0,81
81,2019,4,3,1302,41.28,123.74,3.72,0,2,1,2.86,0,81
82,2019,4,3,1302,41.26,119.40,3.73,0,1,1,3.55,0,78
83,2019,4,3,1302,41.26,123.72,3.73,0,2,1,1.50,0,81
84,2019,4,3,1302,41.26,123.74,3.73,0,2,1,2.86,0,81
85,2019,4,3,1302,41.16,122.98,3.73,0,2,1,2.33,0,87
86,2019,4,3,1302,41.16,123.00,3.73,0,2,1,2.04,0,87
87,2019,4,3,1302,41.14,122.98,3.73,0,2,1,2.54,0,87
88,2019,4,3,1302,41.12,122.98,3.73,0,2,1,2.54,0,87
89,2019,4,3,1302,41.12,123.00,3.73,0,2,1,2.54,0,87
90,2019,4,3,1302,40.64,109.72,3.76,0,2,1,1.85,0,90
91,2019,4,3,1302,40.64,109.74,3.76,0,2,1,1.85,0,90
92,2019,4,3,1302,40.54,141.50,3.77,0,1,1,5.83,0,92
93,2019,4,3,1302,40.48,140.86,3.77,0,2,3,1.71,0,93
94,2019,4,3,1302,39.96,118.56,3.80,0,1,1,4.97,0,94
95,2019,4,3,1302,39.88,118.16,3.80,0,2,1,3.13,0,95
96,2019,4,3,1302,39.86,118.16,3.80,0,2,1,3.13,0,95
97,2019,4,3,1302,39.86,118.18,3.80,0,2,1,3.13,0,95
98,2019,4,3,1302,38.44,116.10,3.88,0,1,1,2.53,0,98
99,2019,4,3,1302,37.74,117.18,3.92,0,2,1,2.17,0,99
100,2019,4,3,1302,37.74,117.20,3.92,0,2,1,2.17,0,99
101,2019,4,3,1302,37.72,117.20,3.92,0,2,1,2.17,0,99
102,2019,4,3,1302,37.38,118.00,3.94,0,2,1,1.49,0,102
103,2019,4,3,1302,37.38,118.02,3.94,0,2,1,1.49,0,102
104,2019,4,3,1302,37.06,120.42,3.96,0,2,1,.87,0,104
105,2019,4,3,1302,36.88,120.54,3.96,0,2,3,1.66,0,105
106,2019,4,3,1302,36.86,112.32,3.97,0,2,3,6.18,0,108
107,2019,4,3,1302,36.86,112.34,3.97,0,2,3,6.16,0,108
108,2019,4,3,1302,36.86,112.36,3.97,0,2,5,10.14,0,108
109,2019,4,3,1302,36.06,140.22,4.01,0,2,1,2.36,0,109
110,2019,4,3,1302,36.04,138.06,4.01,0,2,3,2.65,0,110
111,2019,4,3,1302,36.04,138.08,4.01,0,2,3,2.65,0,110
