# 2019  4  4  8 30 UTC  2020  5  2  1 51 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,4,0832,52.74,111.74,3.00,0,2,3,14.24,0,4
2,2019,4,4,0832,52.74,111.76,3.00,0,2,3,14.24,0,4
3,2019,4,4,0832,52.72,111.76,3.00,0,2,3,14.24,0,4
4,2019,4,4,0832,52.72,111.78,3.00,0,2,3,14.24,0,4
5,2019,4,4,0832,51.40,108.98,3.09,0,2,3,4.33,0,7
6,2019,4,4,0832,51.38,108.98,3.09,0,2,3,4.33,0,7
7,2019,4,4,0832,51.38,109.00,3.09,0,2,3,4.33,0,7
8,2019,4,4,0832,51.38,109.02,3.09,0,2,3,3.41,0,7
9,2019,4,4,0832,51.38,109.04,3.09,0,2,3,3.41,0,7
10,2019,4,4,0832,51.36,109.04,3.10,0,2,3,3.41,0,7
11,2019,4,4,0832,51.36,109.06,3.10,0,2,3,3.41,0,7
12,2019,4,4,0832,49.62,112.34,3.21,0,2,3,5.00,0,38
13,2019,4,4,0832,49.62,112.36,3.21,0,2,3,5.00,0,38
14,2019,4,4,0832,49.62,112.38,3.21,0,2,3,5.28,0,38
15,2019,4,4,0832,49.62,112.40,3.21,0,1,3,28.81,0,38
16,2019,4,4,0832,49.62,112.42,3.21,0,1,3,28.81,0,38
17,2019,4,4,0832,49.62,136.82,3.21,0,2,3,1.39,0,24
18,2019,4,4,0832,49.62,136.84,3.21,0,2,3,1.39,0,24
19,2019,4,4,0832,49.60,112.36,3.21,0,2,3,5.00,0,38
20,2019,4,4,0832,49.60,112.38,3.21,0,2,3,5.28,0,38
21,2019,4,4,0832,49.60,112.40,3.21,0,2,3,5.28,0,38
22,2019,4,4,0832,49.60,112.42,3.21,0,1,3,28.81,0,38
23,2019,4,4,0832,49.60,112.44,3.21,0,1,3,28.81,0,38
24,2019,4,4,0832,49.60,136.82,3.21,0,2,3,1.39,0,24
25,2019,4,4,0832,49.60,136.84,3.21,0,2,3,1.39,0,24
26,2019,4,4,0832,49.58,112.44,3.21,0,2,5,14.01,0,38
27,2019,4,4,0832,49.58,112.46,3.21,0,2,5,14.01,0,38
28,2019,4,4,0832,49.58,112.48,3.21,0,3,3,6.06,0,38
29,2019,4,4,0832,49.56,112.46,3.22,0,2,5,14.01,0,38
30,2019,4,4,0832,49.56,112.48,3.22,0,3,3,6.06,0,38
31,2019,4,4,0832,49.56,112.50,3.22,0,3,3,6.06,0,38
32,2019,4,4,0832,49.54,112.46,3.22,0,2,5,36.98,0,38
33,2019,4,4,0832,49.54,112.48,3.22,0,2,5,36.98,0,38
34,2019,4,4,0832,49.54,112.50,3.22,0,2,5,12.11,0,38
35,2019,4,4,0832,49.54,112.52,3.22,0,2,5,12.11,0,38
36,2019,4,4,0832,49.52,112.44,3.22,0,1,3,20.74,0,38
37,2019,4,4,0832,49.52,112.46,3.22,0,1,3,20.74,0,38
38,2019,4,4,0832,49.52,112.48,3.22,0,2,5,49.55,0,38
39,2019,4,4,0832,49.52,112.50,3.22,0,2,5,36.98,0,38
40,2019,4,4,0832,49.52,112.52,3.22,0,2,5,12.11,0,38
41,2019,4,4,0832,49.50,112.46,3.22,0,1,3,20.74,0,38
42,2019,4,4,0832,49.50,112.48,3.22,0,1,3,20.74,0,38
43,2019,4,4,0832,49.50,112.50,3.22,0,2,5,49.55,0,38
44,2019,4,4,0832,49.50,112.52,3.22,0,3,3,7.02,0,38
45,2019,4,4,0832,49.50,112.54,3.22,0,3,3,7.02,0,38
46,2019,4,4,0832,49.48,112.50,3.22,0,2,3,4.39,0,38
47,2019,4,4,0832,49.48,112.52,3.22,0,2,1,4.39,0,38
48,2019,4,4,0832,49.46,112.52,3.22,0,2,3,4.40,0,38
49,2019,4,4,0832,49.46,112.54,3.22,0,2,1,4.40,0,38
50,2019,4,4,0832,48.94,111.96,3.26,0,3,3,2.11,2,50
51,2019,4,4,0832,48.92,111.96,3.26,0,3,3,2.11,2,50
52,2019,4,4,0832,48.92,111.98,3.26,0,3,3,2.11,2,50
53,2019,4,4,0832,48.84,135.32,3.26,0,2,3,11.30,0,55
54,2019,4,4,0832,48.84,135.34,3.26,0,2,3,11.30,0,55
55,2019,4,4,0832,48.84,135.36,3.26,0,2,5,13.98,0,55
56,2019,4,4,0832,48.82,135.32,3.26,0,2,3,11.30,0,55
57,2019,4,4,0832,48.82,135.34,3.26,0,2,3,11.30,0,55
58,2019,4,4,0832,48.82,135.36,3.26,0,2,5,13.98,0,55
59,2019,4,4,0832,48.76,134.34,3.27,0,2,5,3.81,0,59
60,2019,4,4,0832,48.76,134.36,3.27,0,2,5,3.81,0,59
61,2019,4,4,0832,48.74,134.34,3.27,0,2,5,3.81,0,59
62,2019,4,4,0832,48.74,134.36,3.27,0,2,5,3.81,0,59
63,2019,4,4,0832,48.70,133.78,3.27,0,2,3,5.37,0,63
64,2019,4,4,0832,48.68,133.78,3.27,0,2,3,5.37,0,63
65,2019,4,4,0832,48.62,133.66,3.28,0,2,1,3.25,0,65
66,2019,4,4,0832,48.62,133.68,3.28,0,2,1,3.25,0,65
67,2019,4,4,0832,48.62,134.04,3.28,0,2,3,5.15,0,69
68,2019,4,4,0832,48.62,134.06,3.28,0,2,3,5.15,0,69
69,2019,4,4,0832,48.62,134.08,3.28,0,2,3,10.86,0,69
70,2019,4,4,0832,48.60,134.04,3.28,0,2,3,5.15,0,69
71,2019,4,4,0832,48.60,134.06,3.28,0,2,3,5.15,0,69
72,2019,4,4,0832,48.60,134.08,3.28,0,2,3,10.86,0,69
73,2019,4,4,0832,48.58,133.96,3.28,0,2,3,11.62,0,73
74,2019,4,4,0832,48.58,133.98,3.28,0,2,3,11.62,0,73
75,2019,4,4,0832,48.52,134.44,3.28,0,2,3,3.95,0,75
76,2019,4,4,0832,48.50,134.44,3.28,0,2,3,3.95,0,75
77,2019,4,4,0832,48.48,134.64,3.29,0,2,3,9.61,0,77
78,2019,4,4,0832,48.48,134.66,3.29,0,2,3,9.61,0,77
79,2019,4,4,0832,48.48,134.68,3.29,0,2,3,4.99,0,77
80,2019,4,4,0832,48.46,134.64,3.29,0,2,3,9.61,0,77
81,2019,4,4,0832,48.46,134.66,3.29,0,2,3,9.61,0,77
82,2019,4,4,0832,48.46,134.68,3.29,0,2,3,4.99,0,77
83,2019,4,4,0832,48.44,134.54,3.29,0,2,3,5.95,0,84
84,2019,4,4,0832,48.44,134.56,3.29,0,2,1,6.34,0,84
85,2019,4,4,0832,48.44,134.58,3.29,0,2,1,6.34,0,84
86,2019,4,4,0832,48.42,134.54,3.29,0,2,3,5.95,0,84
87,2019,4,4,0832,48.42,134.56,3.29,0,2,1,6.34,0,84
88,2019,4,4,0832,48.42,134.58,3.29,0,2,1,6.34,0,84
89,2019,4,4,0832,48.20,131.88,3.30,0,2,3,4.70,0,96
90,2019,4,4,0832,48.20,131.90,3.30,0,2,3,4.70,0,96
91,2019,4,4,0832,48.20,131.92,3.30,0,2,5,11.56,0,96
92,2019,4,4,0832,48.18,131.88,3.31,0,2,3,4.70,0,96
93,2019,4,4,0832,48.18,131.90,3.31,0,2,3,4.70,0,96
94,2019,4,4,0832,48.18,131.92,3.31,0,2,5,11.55,0,96
95,2019,4,4,0832,48.16,131.90,3.31,0,2,3,9.42,0,96
96,2019,4,4,0832,48.16,131.92,3.31,0,2,5,22.58,0,96
97,2019,4,4,0832,48.16,131.94,3.31,0,2,5,22.58,0,96
98,2019,4,4,0832,48.14,131.90,3.31,0,2,3,9.42,0,96
99,2019,4,4,0832,48.14,131.92,3.31,0,2,5,22.58,0,96
100,2019,4,4,0832,48.14,131.94,3.31,0,2,5,22.58,0,96
101,2019,4,4,0832,48.06,133.94,3.31,0,2,1,1.19,0,101
102,2019,4,4,0832,47.90,134.64,3.32,0,3,5,2.36,0,102
103,2019,4,4,0832,47.88,134.64,3.32,0,3,5,2.36,0,102
104,2019,4,4,0832,47.86,134.64,3.33,0,2,3,2.36,0,102
105,2019,4,4,0832,47.84,132.42,3.33,0,2,5,4.01,0,105
106,2019,4,4,0832,47.70,135.12,3.34,0,3,3,.85,0,108
107,2019,4,4,0832,47.68,135.12,3.34,0,3,3,.85,0,108
108,2019,4,4,0832,47.66,135.12,3.34,0,3,5,1.35,0,108
109,2019,4,4,0832,47.64,135.12,3.34,0,3,5,1.35,0,108
110,2019,4,4,0832,47.64,135.14,3.34,0,3,5,1.35,0,108
111,2019,4,4,0832,47.50,132.64,3.35,0,2,5,4.38,0,111
112,2019,4,4,0832,47.50,132.66,3.35,0,2,5,4.38,0,111
113,2019,4,4,0832,47.26,133.78,3.36,0,2,3,.92,0,113
114,2019,4,4,0832,47.26,133.80,3.36,0,2,3,.92,0,113
115,2019,4,4,0832,47.24,133.80,3.37,0,2,3,.92,0,113
116,2019,4,4,0832,47.14,134.42,3.37,0,3,5,2.52,0,116
117,2019,4,4,0832,47.14,134.44,3.37,0,3,5,2.52,0,116
118,2019,4,4,0832,46.94,133.16,3.38,0,2,3,4.06,0,118
119,2019,4,4,0832,46.94,133.18,3.38,0,2,3,1.89,0,118
120,2019,4,4,0832,46.94,133.20,3.38,0,2,3,1.89,0,118
121,2019,4,4,0832,46.92,133.16,3.39,0,2,3,4.06,0,118
122,2019,4,4,0832,46.92,133.18,3.39,0,2,3,4.06,0,118
123,2019,4,4,0832,46.92,133.20,3.39,0,2,3,1.89,0,118
124,2019,4,4,0832,45.38,122.18,3.48,0,2,1,3.90,0,124
125,2019,4,4,0832,45.24,105.96,3.49,0,2,1,2.06,0,125
126,2019,4,4,0832,41.40,119.00,3.72,0,2,3,8.91,0,126
127,2019,4,4,0832,41.40,119.02,3.72,0,2,3,8.91,0,126
128,2019,4,4,0832,41.08,128.82,3.74,0,2,3,4.33,0,128
129,2019,4,4,0832,41.06,128.82,3.74,0,2,3,4.33,0,128
130,2019,4,4,0832,40.52,114.86,3.77,0,2,3,19.54,0,130
131,2019,4,4,0832,40.52,114.88,3.77,0,2,3,19.54,0,130
132,2019,4,4,0832,40.50,114.88,3.77,0,2,3,19.54,0,130
133,2019,4,4,0832,40.42,115.02,3.77,0,2,5,19.68,0,135
134,2019,4,4,0832,40.42,115.04,3.77,0,2,5,19.68,0,135
135,2019,4,4,0832,40.40,115.04,3.77,0,2,5,130.96,0,135
136,2019,4,4,0832,40.40,115.06,3.77,0,2,5,64.47,0,135
137,2019,4,4,0832,40.40,115.08,3.77,0,2,5,64.46,0,135
138,2019,4,4,0832,40.38,115.04,3.78,0,2,5,130.95,0,135
139,2019,4,4,0832,40.38,115.06,3.78,0,2,5,130.95,0,135
140,2019,4,4,0832,40.38,115.08,3.78,0,2,5,64.46,0,135
141,2019,4,4,0832,40.36,115.08,3.78,0,2,5,59.09,0,135
142,2019,4,4,0832,40.36,115.10,3.78,0,2,5,59.09,0,135
143,2019,4,4,0832,39.86,121.96,3.80,0,2,5,15.68,0,144
144,2019,4,4,0832,39.86,121.98,3.80,0,2,1,20.44,0,144
145,2019,4,4,0832,39.86,122.00,3.80,0,2,1,20.44,0,144
146,2019,4,4,0832,39.84,121.96,3.81,0,2,5,15.68,0,144
147,2019,4,4,0832,39.84,121.98,3.81,0,2,5,15.68,0,144
148,2019,4,4,0832,39.84,122.00,3.81,0,2,1,20.44,0,144
149,2019,4,4,0832,39.82,121.98,3.81,0,2,1,4.53,0,144
150,2019,4,4,0832,39.68,126.88,3.81,0,2,3,4.27,0,161
151,2019,4,4,0832,39.68,126.90,3.81,0,2,5,12.86,0,161
152,2019,4,4,0832,39.68,126.92,3.81,0,2,5,12.86,0,161
153,2019,4,4,0832,39.68,127.16,3.81,0,2,5,8.00,0,153
154,2019,4,4,0832,39.68,127.18,3.81,0,3,1,1.77,0,153
155,2019,4,4,0832,39.68,127.20,3.81,0,3,1,1.77,0,153
156,2019,4,4,0832,39.66,126.88,3.82,0,2,3,4.27,0,161
157,2019,4,4,0832,39.66,126.90,3.82,0,2,3,4.27,0,161
158,2019,4,4,0832,39.66,126.92,3.82,0,2,5,12.86,0,161
159,2019,4,4,0832,39.66,127.16,3.82,0,3,5,7.10,0,153
160,2019,4,4,0832,39.66,127.18,3.82,0,3,5,7.10,0,153
161,2019,4,4,0832,39.64,126.92,3.82,0,2,5,15.36,0,161
162,2019,4,4,0832,39.56,112.60,3.82,0,2,5,17.87,0,171
163,2019,4,4,0832,39.56,112.62,3.82,0,2,5,17.87,0,171
164,2019,4,4,0832,39.56,127.12,3.82,0,1,5,186.69,0,164
165,2019,4,4,0832,39.56,127.14,3.82,0,2,5,12.89,0,164
166,2019,4,4,0832,39.54,112.58,3.82,0,2,5,36.78,0,166
167,2019,4,4,0832,39.54,112.62,3.82,0,2,5,17.87,0,171
168,2019,4,4,0832,39.54,127.12,3.82,0,1,5,186.68,0,164
169,2019,4,4,0832,39.54,127.14,3.82,0,2,5,12.89,0,164
170,2019,4,4,0832,39.52,112.60,3.82,0,2,5,33.29,0,171
171,2019,4,4,0832,39.52,112.62,3.82,0,2,5,54.47,0,171
172,2019,4,4,0832,39.52,112.64,3.82,0,2,5,54.47,0,171
173,2019,4,4,0832,39.52,127.12,3.82,0,2,5,87.72,0,164
174,2019,4,4,0832,39.52,127.14,3.82,0,2,5,24.24,0,164
