# 2019  4  5  6  0 UTC  2020  5  2  1  3 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,5,0600,54.06,123.98,2.91,0,2,3,13.34,0,5
2,2019,4,5,0600,54.06,124.00,2.91,0,2,3,13.34,0,5
3,2019,4,5,0600,54.04,123.98,2.91,0,2,3,13.34,0,5
4,2019,4,5,0600,54.04,124.00,2.91,0,2,3,13.26,0,5
5,2019,4,5,0600,54.02,124.00,2.91,0,2,5,34.96,0,5
6,2019,4,5,0600,54.00,124.00,2.91,0,2,5,34.95,0,5
7,2019,4,5,0600,54.00,124.02,2.91,0,2,5,34.95,0,5
8,2019,4,5,0600,53.48,124.40,2.95,0,3,3,3.95,0,8
9,2019,4,5,0600,53.46,124.42,2.95,0,3,3,3.80,0,9
10,2019,4,5,0600,53.44,124.16,2.95,0,3,3,5.85,0,16
11,2019,4,5,0600,53.44,124.44,2.95,0,3,3,3.85,0,11
12,2019,4,5,0600,53.42,124.16,2.95,0,3,3,5.85,0,16
13,2019,4,5,0600,53.42,124.18,2.95,0,3,3,5.85,0,16
14,2019,4,5,0600,53.42,124.80,2.95,0,2,1,3.93,0,20
15,2019,4,5,0600,53.42,124.82,2.95,0,2,3,3.93,0,20
16,2019,4,5,0600,53.40,124.16,2.96,0,2,5,16.09,0,16
17,2019,4,5,0600,53.40,124.18,2.96,0,2,5,16.09,0,16
18,2019,4,5,0600,53.40,124.20,2.96,0,2,3,10.69,0,16
19,2019,4,5,0600,53.40,124.22,2.96,0,2,5,10.69,0,16
20,2019,4,5,0600,53.40,124.82,2.96,0,2,3,3.93,0,20
21,2019,4,5,0600,53.40,125.72,2.96,0,3,3,3.80,0,30
22,2019,4,5,0600,53.40,125.74,2.96,0,3,3,3.80,0,30
23,2019,4,5,0600,53.38,124.18,2.96,0,2,5,16.09,0,16
24,2019,4,5,0600,53.38,124.20,2.96,0,2,5,16.09,0,16
25,2019,4,5,0600,53.38,124.22,2.96,0,2,5,10.69,0,16
26,2019,4,5,0600,53.38,124.84,2.96,0,2,3,3.13,0,26
27,2019,4,5,0600,53.38,125.74,2.96,0,3,3,3.80,0,30
28,2019,4,5,0600,53.36,125.74,2.96,0,2,3,8.39,0,30
29,2019,4,5,0600,53.36,125.76,2.96,0,2,3,8.39,0,30
30,2019,4,5,0600,53.34,125.76,2.96,0,2,3,8.39,0,30
31,2019,4,5,0600,51.28,128.10,3.10,0,2,3,15.77,0,31
32,2019,4,5,0600,51.28,128.12,3.10,0,2,3,15.77,0,31
33,2019,4,5,0600,51.26,128.10,3.10,0,2,3,15.77,0,31
34,2019,4,5,0600,51.26,128.12,3.10,0,2,3,15.77,0,31
35,2019,4,5,0600,50.84,128.96,3.13,0,3,3,5.77,0,44
36,2019,4,5,0600,50.84,128.98,3.13,0,2,5,52.19,0,44
37,2019,4,5,0600,50.84,129.00,3.13,0,2,5,52.19,0,44
38,2019,4,5,0600,50.84,129.02,3.13,0,2,5,15.94,0,44
39,2019,4,5,0600,50.82,128.96,3.13,0,3,3,5.77,0,44
40,2019,4,5,0600,50.82,128.98,3.13,0,2,5,52.19,0,44
41,2019,4,5,0600,50.82,129.00,3.13,0,2,5,52.19,0,44
42,2019,4,5,0600,50.82,129.02,3.13,0,2,5,15.94,0,44
43,2019,4,5,0600,50.82,129.04,3.13,0,2,5,15.94,0,44
44,2019,4,5,0600,50.80,129.00,3.13,0,2,5,97.93,0,44
45,2019,4,5,0600,50.80,129.02,3.13,0,3,5,25.95,0,44
46,2019,4,5,0600,50.80,129.04,3.13,0,3,5,25.95,0,44
47,2019,4,5,0600,50.78,129.00,3.13,0,2,5,97.92,0,44
48,2019,4,5,0600,50.78,129.02,3.13,0,2,5,97.92,0,44
49,2019,4,5,0600,50.78,129.04,3.13,0,3,5,25.93,0,44
50,2019,4,5,0600,49.30,133.24,3.23,0,2,5,26.53,0,50
51,2019,4,5,0600,49.28,133.24,3.23,0,2,5,26.52,0,50
52,2019,4,5,0600,49.26,133.24,3.23,0,2,3,9.67,0,50
53,2019,4,5,0600,49.26,133.26,3.23,0,2,3,9.67,0,50
54,2019,4,5,0600,49.24,133.24,3.24,0,2,3,9.67,0,50
55,2019,4,5,0600,49.24,133.26,3.24,0,2,3,9.67,0,50
56,2019,4,5,0600,48.94,135.86,3.26,0,2,3,11.02,0,58
57,2019,4,5,0600,48.94,135.88,3.26,0,2,3,11.02,0,58
58,2019,4,5,0600,48.94,135.90,3.26,0,2,5,34.15,0,58
