# 2019  4 11 14 30 UTC  2020  5  1 19  8 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,11,1432,31.82,104.16,4.21,0,2,3,2.32,0,2
2,2019,4,11,1432,31.82,104.18,4.21,0,2,3,2.32,0,2
3,2019,4,11,1432,31.24,120.84,4.24,0,1,3,4.09,0,3
4,2019,4,11,1432,31.22,120.84,4.24,0,1,3,4.09,0,3
5,2019,4,11,1432,31.14,120.98,4.24,0,2,3,1.78,0,5
6,2019,4,11,1432,30.74,80.00,4.26,0,2,3,1.62,0,6
7,2019,4,11,1432,30.64,114.46,4.26,0,2,1,1.80,0,7
8,2019,4,11,1432,28.44,114.10,4.36,0,1,3,2.85,0,8
9,2019,4,11,1432,28.42,114.10,4.36,0,1,3,2.85,0,8
10,2019,4,11,1432,28.42,114.12,4.36,0,1,3,2.85,0,8
11,2019,4,11,1432,27.42,92.24,4.40,0,2,3,2.76,0,11
12,2019,4,11,1432,27.42,92.26,4.40,0,2,3,2.63,0,11
13,2019,4,11,1432,24.46,97.68,4.51,0,2,3,3.58,0,13
14,2019,4,11,1432,24.44,97.68,4.51,0,2,3,3.58,0,13
15,2019,4,11,1432,24.44,97.70,4.51,0,2,3,3.58,0,13
16,2019,4,11,1432,24.36,120.74,4.52,0,1,3,17.65,0,16
17,2019,4,11,1432,23.10,100.74,4.56,0,2,3,2.70,0,19
18,2019,4,11,1432,23.10,100.76,4.56,0,2,3,2.70,0,19
19,2019,4,11,1432,23.10,100.78,4.56,0,2,3,3.38,0,19
20,2019,4,11,1432,23.08,100.76,4.56,0,2,3,2.81,0,19
21,2019,4,11,1432,23.08,100.78,4.56,0,2,3,3.38,0,19
22,2019,4,11,1432,23.08,100.80,4.56,0,2,3,3.38,0,19
23,2019,4,11,1432,23.06,100.76,4.56,0,2,3,2.81,0,19
24,2019,4,11,1432,23.06,100.78,4.56,0,2,3,2.81,0,19
25,2019,4,11,1432,23.06,100.80,4.56,0,2,3,2.90,0,19
26,2019,4,11,1432,22.90,106.60,4.57,0,1,1,6.99,0,26
27,2019,4,11,1432,22.12,98.62,4.59,0,2,3,1.84,0,27
28,2019,4,11,1432,22.08,99.92,4.59,0,2,5,7.76,0,29
29,2019,4,11,1432,22.06,99.92,4.59,0,2,5,16.21,0,29
30,2019,4,11,1432,22.04,99.94,4.59,0,2,5,16.27,0,30
31,2019,4,11,1432,21.94,110.56,4.60,0,1,1,4.49,0,31
32,2019,4,11,1432,21.66,92.80,4.61,0,2,3,2.65,0,33
33,2019,4,11,1432,21.66,92.82,4.61,0,2,3,2.65,0,33
34,2019,4,11,1432,21.54,99.54,4.61,0,2,1,2.83,0,34
35,2019,4,11,1432,21.54,99.58,4.61,0,2,3,2.28,0,35
36,2019,4,11,1432,21.38,100.56,4.62,0,2,3,11.01,0,36
37,2019,4,11,1432,21.36,100.58,4.62,0,2,3,11.11,0,37
38,2019,4,11,1432,21.26,100.42,4.62,0,2,5,15.56,0,38
39,2019,4,11,1432,21.26,100.44,4.62,0,2,5,15.56,0,38
40,2019,4,11,1432,20.96,98.54,4.63,0,2,3,3.28,0,40
41,2019,4,11,1432,20.96,98.56,4.63,0,2,3,3.28,0,40
42,2019,4,11,1432,20.92,94.00,4.63,0,2,1,5.02,0,42
43,2019,4,11,1432,20.92,97.22,4.63,0,2,3,2.53,0,43
44,2019,4,11,1432,20.92,97.24,4.63,0,2,3,2.53,0,43
45,2019,4,11,1432,20.92,101.06,4.63,0,2,3,2.64,0,46
46,2019,4,11,1432,20.92,101.08,4.63,0,2,5,4.71,0,46
47,2019,4,11,1432,20.90,101.08,4.63,0,2,3,2.64,0,46
48,2019,4,11,1432,20.90,101.10,4.63,0,2,5,4.71,0,46
49,2019,4,11,1432,20.82,100.14,4.63,0,2,5,7.32,0,49
50,2019,4,11,1432,20.80,100.14,4.63,0,2,3,5.95,0,49
51,2019,4,11,1432,20.80,100.16,4.63,0,2,3,5.95,0,49
52,2019,4,11,1432,20.58,100.64,4.64,0,2,3,7.09,0,52
53,2019,4,11,1432,20.58,100.66,4.64,0,2,3,4.86,0,52
54,2019,4,11,1432,20.58,100.68,4.64,0,2,3,4.86,0,52
55,2019,4,11,1432,20.56,100.64,4.64,0,2,3,5.29,0,52
56,2019,4,11,1432,20.56,100.66,4.64,0,2,3,5.29,0,52
57,2019,4,11,1432,19.84,100.86,4.66,0,2,3,4.62,0,57
58,2019,4,11,1432,19.64,101.28,4.67,0,2,3,3.32,0,59
59,2019,4,11,1432,19.62,101.28,4.67,0,2,3,5.83,0,59
60,2019,4,11,1432,19.62,101.30,4.67,0,2,3,5.83,0,59
61,2019,4,11,1432,19.50,99.70,4.67,0,2,3,4.53,0,61
62,2019,4,11,1432,19.50,99.72,4.67,0,2,3,4.53,0,61
63,2019,4,11,1432,19.46,101.08,4.67,0,2,3,3.82,0,63
64,2019,4,11,1432,19.46,101.10,4.67,0,2,3,3.82,0,63
65,2019,4,11,1432,19.46,101.12,4.67,0,2,1,3.10,0,63
66,2019,4,11,1432,19.42,100.50,4.67,0,2,3,3.77,0,66
67,2019,4,11,1432,19.26,101.46,4.68,0,2,3,2.16,0,71
68,2019,4,11,1432,19.26,101.48,4.68,0,2,1,2.16,0,71
69,2019,4,11,1432,19.24,101.44,4.68,0,2,1,2.72,0,71
70,2019,4,11,1432,19.24,101.46,4.68,0,2,3,2.72,0,71
