# 2019  4 13 14  0 UTC  2020  5  1 17 22 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,13,1358,58.04,106.70,2.62,0,2,1,4.19,0,21
2,2019,4,13,1358,58.04,106.72,2.62,0,2,1,4.19,0,21
3,2019,4,13,1358,58.04,106.74,2.62,0,2,1,3.20,0,21
4,2019,4,13,1358,58.04,106.76,2.62,0,2,1,3.20,0,21
5,2019,4,13,1358,58.02,106.72,2.63,0,2,1,4.20,0,21
6,2019,4,13,1358,58.02,106.74,2.63,0,2,1,4.20,0,21
7,2019,4,13,1358,58.02,106.76,2.63,0,2,1,3.15,0,21
8,2019,4,13,1358,58.02,106.78,2.63,0,2,1,3.15,0,21
9,2019,4,13,1358,58.02,106.80,2.63,0,2,1,3.15,0,21
10,2019,4,13,1358,58.00,106.74,2.63,0,2,1,8.87,0,21
11,2019,4,13,1358,58.00,106.76,2.63,0,2,1,8.87,0,21
12,2019,4,13,1358,58.00,106.78,2.63,0,3,1,5.79,0,21
13,2019,4,13,1358,58.00,106.80,2.63,0,3,1,5.79,0,21
14,2019,4,13,1358,58.00,106.82,2.63,0,2,1,3.11,0,21
15,2019,4,13,1358,57.98,106.76,2.63,0,2,1,8.87,0,21
16,2019,4,13,1358,57.98,106.78,2.63,0,2,1,8.87,0,21
17,2019,4,13,1358,57.98,106.80,2.63,0,2,1,8.87,0,21
18,2019,4,13,1358,57.98,106.82,2.63,0,3,1,5.79,0,21
19,2019,4,13,1358,57.98,106.84,2.63,0,3,1,5.79,0,21
20,2019,4,13,1358,57.96,106.80,2.63,0,2,1,8.87,0,21
21,2019,4,13,1358,57.96,106.82,2.63,0,2,1,8.87,0,21
22,2019,4,13,1358,57.96,106.84,2.63,0,3,1,5.80,0,21
23,2019,4,13,1358,57.96,106.86,2.63,0,3,1,5.73,0,21
24,2019,4,13,1358,53.58,125.66,2.94,0,2,3,.93,0,29
25,2019,4,13,1358,53.56,125.66,2.94,0,2,3,.93,0,29
26,2019,4,13,1358,53.56,125.68,2.94,0,2,3,.93,0,29
27,2019,4,13,1358,53.54,125.68,2.95,0,2,3,1.76,0,29
28,2019,4,13,1358,53.52,125.68,2.95,0,2,3,1.77,0,29
29,2019,4,13,1358,53.52,125.70,2.95,0,2,3,1.77,0,29
30,2019,4,13,1358,53.52,125.72,2.95,0,2,3,.96,0,29
31,2019,4,13,1358,53.50,125.70,2.95,0,2,3,1.67,0,29
32,2019,4,13,1358,53.50,125.72,2.95,0,2,3,.96,0,29
33,2019,4,13,1358,53.50,125.74,2.95,0,2,3,.96,0,29
34,2019,4,13,1358,53.36,124.28,2.96,0,2,3,1.35,0,36
35,2019,4,13,1358,53.36,124.30,2.96,0,2,3,1.35,0,36
36,2019,4,13,1358,53.34,124.30,2.96,0,2,3,1.35,0,36
37,2019,4,13,1358,53.34,124.32,2.96,0,2,3,1.35,0,36
38,2019,4,13,1358,53.32,124.30,2.96,0,2,3,.87,0,36
39,2019,4,13,1358,53.32,124.32,2.96,0,2,3,.87,0,36
40,2019,4,13,1358,53.30,124.32,2.96,0,2,1,.87,0,36
41,2019,4,13,1358,52.24,129.60,3.04,0,2,5,2.23,0,44
42,2019,4,13,1358,52.24,129.62,3.04,0,2,5,2.23,0,44
43,2019,4,13,1358,52.24,129.64,3.04,0,2,5,1.80,0,44
44,2019,4,13,1358,52.22,129.60,3.04,0,2,5,2.23,0,44
45,2019,4,13,1358,52.22,129.62,3.04,0,2,5,2.23,0,44
46,2019,4,13,1358,52.22,129.64,3.04,0,2,5,1.80,0,44
47,2019,4,13,1358,52.22,129.66,3.04,0,2,5,1.80,0,44
48,2019,4,13,1358,51.98,127.60,3.05,0,2,1,.45,0,48
49,2019,4,13,1358,51.18,118.84,3.11,0,2,5,1.07,0,51
50,2019,4,13,1358,51.18,118.86,3.11,0,2,5,1.07,0,51
51,2019,4,13,1358,51.16,118.86,3.11,0,2,5,1.07,0,51
52,2019,4,13,1358,51.16,118.88,3.11,0,2,5,1.07,0,51
53,2019,4,13,1358,50.68,128.04,3.14,0,1,1,2.41,0,53
54,2019,4,13,1358,49.94,130.02,3.19,0,2,3,1.00,0,56
55,2019,4,13,1358,49.94,130.04,3.19,0,2,1,1.00,0,56
56,2019,4,13,1358,49.92,130.02,3.19,0,2,3,1.00,0,56
57,2019,4,13,1358,49.92,130.04,3.19,0,2,1,1.00,0,56
58,2019,4,13,1358,49.58,112.16,3.21,0,2,3,1.42,0,58
59,2019,4,13,1358,49.56,103.64,3.22,0,2,5,9.94,0,63
60,2019,4,13,1358,49.56,103.66,3.22,0,2,5,9.94,0,63
61,2019,4,13,1358,49.56,112.18,3.22,0,2,3,1.53,0,61
62,2019,4,13,1358,49.54,103.66,3.22,0,2,5,9.94,0,63
63,2019,4,13,1358,49.54,103.68,3.22,0,2,5,9.94,0,63
64,2019,4,13,1358,48.96,107.30,3.25,0,2,3,1.27,0,67
65,2019,4,13,1358,48.96,107.32,3.25,0,2,3,1.27,0,67
66,2019,4,13,1358,48.94,107.32,3.26,0,2,3,1.27,0,67
67,2019,4,13,1358,48.94,107.34,3.26,0,2,3,1.27,0,67
68,2019,4,13,1404,45.56,126.96,3.47,0,2,1,2.02,0,68
69,2019,4,13,1404,45.54,126.96,3.47,0,2,1,2.02,0,68
70,2019,4,13,1404,45.54,126.98,3.47,0,2,1,2.02,0,68
71,2019,4,13,1404,45.40,126.28,3.48,0,1,3,3.29,0,73
72,2019,4,13,1404,45.40,126.30,3.48,0,1,3,3.12,0,73
73,2019,4,13,1404,45.38,126.28,3.48,0,1,3,3.29,0,73
74,2019,4,13,1404,45.38,126.30,3.48,0,1,3,3.12,0,73
75,2019,4,13,1404,45.38,126.32,3.48,0,1,3,3.12,0,73
76,2019,4,13,1404,45.36,126.32,3.48,0,1,1,2.97,0,73
77,2019,4,13,1404,45.18,124.80,3.49,0,2,1,1.59,0,79
78,2019,4,13,1404,45.16,124.80,3.50,0,2,1,1.59,0,79
79,2019,4,13,1404,45.14,124.80,3.50,0,2,1,2.51,0,79
80,2019,4,13,1404,45.14,124.82,3.50,0,2,1,2.51,0,79
81,2019,4,13,1404,44.82,126.52,3.52,0,2,1,2.09,0,81
82,2019,4,13,1404,44.82,126.54,3.52,0,2,1,2.09,0,81
83,2019,4,13,1404,44.72,123.82,3.52,0,2,3,1.23,0,83
84,2019,4,13,1404,44.52,125.70,3.53,0,2,1,.85,0,84
85,2019,4,13,1404,44.46,125.16,3.54,0,2,3,1.03,0,85
86,2019,4,13,1404,44.44,125.16,3.54,0,2,1,1.03,0,85
87,2019,4,13,1404,44.44,125.18,3.54,0,2,3,1.03,0,85
88,2019,4,13,1404,44.42,125.14,3.54,0,2,3,.86,0,88
89,2019,4,13,1404,44.42,126.68,3.54,0,1,1,7.46,0,89
90,2019,4,13,1404,44.42,126.70,3.54,0,1,1,7.46,0,89
91,2019,4,13,1404,44.00,124.36,3.57,0,2,1,1.79,0,91
92,2019,4,13,1404,43.66,111.94,3.59,0,1,1,2.97,0,93
93,2019,4,13,1404,43.66,111.96,3.59,0,1,1,2.97,0,93
94,2019,4,13,1404,43.66,124.84,3.59,0,2,1,.81,0,94
95,2019,4,13,1404,43.50,123.50,3.60,0,1,3,1.87,0,95
96,2019,4,13,1404,43.50,124.82,3.60,0,1,1,2.26,0,96
97,2019,4,13,1404,43.44,115.00,3.60,0,1,1,3.07,0,97
98,2019,4,13,1404,43.34,145.24,3.60,0,2,3,2.36,0,99
99,2019,4,13,1404,43.34,145.26,3.60,0,1,3,3.08,0,99
100,2019,4,13,1404,43.32,145.24,3.61,0,2,3,2.36,0,99
101,2019,4,13,1404,43.32,145.26,3.61,0,1,3,3.08,0,99
102,2019,4,13,1404,43.32,145.28,3.61,0,1,3,3.08,0,99
103,2019,4,13,1404,43.18,124.34,3.61,0,1,1,3.24,0,104
104,2019,4,13,1404,43.18,124.36,3.61,0,1,1,3.42,0,104
105,2019,4,13,1404,43.18,124.38,3.61,0,1,1,3.42,0,104
106,2019,4,13,1404,43.16,124.34,3.62,0,1,1,3.24,0,104
107,2019,4,13,1404,43.16,124.36,3.62,0,1,1,3.24,0,104
108,2019,4,13,1404,43.16,124.38,3.62,0,1,1,3.42,0,104
109,2019,4,13,1404,42.44,110.66,3.66,0,2,1,3.09,0,109
110,2019,4,13,1404,41.90,114.04,3.69,0,2,1,1.15,0,110
111,2019,4,13,1404,41.90,114.06,3.69,0,2,1,1.15,0,110
112,2019,4,13,1404,40.64,109.72,3.76,0,2,1,2.62,0,112
113,2019,4,13,1404,40.64,109.74,3.76,0,2,1,2.62,0,112
114,2019,4,13,1404,40.62,110.94,3.76,0,1,1,8.52,0,114
115,2019,4,13,1404,40.62,110.96,3.76,0,1,1,8.52,0,114
116,2019,4,13,1404,40.60,110.96,3.76,0,1,1,8.52,0,114
117,2019,4,13,1404,40.56,106.62,3.77,0,1,1,2.85,0,119
118,2019,4,13,1404,40.54,106.62,3.77,0,1,1,2.85,0,119
119,2019,4,13,1404,40.54,106.64,3.77,0,1,1,2.85,0,119
120,2019,4,13,1404,40.42,113.16,3.77,0,2,1,1.39,0,120
121,2019,4,13,1404,40.26,106.84,3.78,0,1,1,2.71,0,121
122,2019,4,13,1404,40.24,104.94,3.78,0,2,1,1.18,0,123
123,2019,4,13,1404,40.24,104.96,3.78,0,2,1,1.18,0,123
124,2019,4,13,1404,40.22,104.98,3.78,0,2,1,1.37,0,124
125,2019,4,13,1404,39.84,109.94,3.81,0,2,1,1.33,0,127
126,2019,4,13,1404,39.84,109.96,3.81,0,2,1,1.33,0,127
127,2019,4,13,1404,39.82,109.96,3.81,0,2,1,1.33,0,127
128,2019,4,13,1404,39.34,109.20,3.83,0,1,1,3.42,0,130
129,2019,4,13,1404,39.34,109.22,3.83,0,1,1,3.42,0,130
130,2019,4,13,1404,39.34,109.24,3.83,0,1,1,7.97,0,130
131,2019,4,13,1404,39.32,109.24,3.83,0,1,3,3.51,0,130
132,2019,4,13,1404,39.32,109.26,3.83,0,1,1,7.97,0,130
133,2019,4,13,1404,39.22,108.98,3.84,0,2,1,2.61,0,133
134,2019,4,13,1404,39.20,108.92,3.84,0,2,3,1.92,0,136
135,2019,4,13,1404,39.20,108.94,3.84,0,2,3,1.92,0,136
136,2019,4,13,1404,39.18,108.94,3.84,0,2,3,1.92,0,136
137,2019,4,13,1404,39.08,109.48,3.85,0,2,3,1.81,0,137
138,2019,4,13,1404,39.08,109.50,3.85,0,2,3,1.12,0,137
139,2019,4,13,1404,39.08,109.52,3.85,0,2,3,1.12,0,137
140,2019,4,13,1404,38.94,106.40,3.86,0,2,1,3.61,0,140
141,2019,4,13,1404,38.94,106.42,3.86,0,2,1,3.61,0,140
142,2019,4,13,1404,38.92,106.46,3.86,0,2,1,2.05,0,142
143,2019,4,13,1404,38.62,109.28,3.87,0,2,3,2.14,0,145
144,2019,4,13,1404,38.62,109.30,3.87,0,2,3,2.14,0,145
145,2019,4,13,1404,38.60,109.30,3.87,0,2,3,2.14,0,145
146,2019,4,13,1404,37.32,94.76,3.94,0,1,1,2.42,0,146
147,2019,4,13,1404,36.44,94.82,3.99,0,2,3,1.38,0,148
148,2019,4,13,1404,36.44,94.84,3.99,0,2,3,1.39,0,148
149,2019,4,13,1404,35.08,87.50,4.06,0,1,1,3.95,0,150
150,2019,4,13,1404,35.08,87.52,4.06,0,1,1,3.95,0,150
151,2019,4,13,1404,34.98,135.12,4.06,0,1,3,4.06,0,151
152,2019,4,13,1404,34.96,135.14,4.06,0,1,3,2.62,0,152
153,2019,4,13,1404,34.54,135.54,4.08,0,1,1,7.54,0,153
154,2019,4,13,1404,34.50,135.52,4.08,0,1,1,9.95,0,154
155,2019,4,13,1404,34.48,135.46,4.09,0,1,1,12.35,0,155
156,2019,4,13,1404,34.48,135.48,4.09,0,1,3,12.35,0,155
157,2019,4,13,1404,32.08,110.06,4.20,0,2,3,1.98,0,157
158,2019,4,13,1404,32.06,110.08,4.20,0,2,3,2.45,0,158
159,2019,4,13,1404,32.06,110.10,4.20,0,2,1,1.74,0,158
160,2019,4,13,1404,31.44,121.42,4.23,0,2,1,1.87,0,160
161,2019,4,13,1404,30.52,108.32,4.27,0,1,3,18.98,0,161
162,2019,4,13,1404,30.32,109.34,4.28,0,2,1,1.19,0,162
163,2019,4,13,1404,30.30,109.34,4.28,0,2,1,1.19,0,162
164,2019,4,13,1404,30.06,109.22,4.29,0,1,3,5.46,0,164
165,2019,4,13,1404,30.02,108.94,4.29,0,1,1,5.25,0,165
166,2019,4,13,1404,30.00,108.96,4.29,0,1,1,7.23,0,166
167,2019,4,13,1404,28.60,106.30,4.35,0,1,3,4.69,0,168
168,2019,4,13,1404,28.58,106.30,4.35,0,1,3,5.74,0,168
169,2019,4,13,1404,28.58,106.32,4.35,0,1,3,5.74,0,168
170,2019,4,13,1404,28.34,107.78,4.36,0,2,3,1.03,0,170
171,2019,4,13,1404,27.92,106.90,4.38,0,1,3,17.20,0,171
172,2019,4,13,1404,27.90,106.90,4.38,0,1,3,11.71,0,171
173,2019,4,13,1404,27.90,106.92,4.38,0,1,3,11.71,0,171
174,2019,4,13,1404,27.90,106.94,4.38,0,1,3,7.96,0,171
175,2019,4,13,1404,27.54,100.72,4.39,0,2,3,4.60,0,175
176,2019,4,13,1404,27.54,100.74,4.39,0,2,3,4.60,0,175
177,2019,4,13,1404,27.24,103.78,4.41,0,1,1,5.82,0,177
178,2019,4,13,1404,26.62,100.22,4.43,0,2,1,4.07,0,178
179,2019,4,13,1404,26.60,101.62,4.43,0,2,1,7.00,0,179
180,2019,4,13,1404,26.60,101.64,4.43,0,2,1,7.00,0,179
181,2019,4,13,1404,26.58,101.64,4.43,0,2,1,6.40,0,179
182,2019,4,13,1404,26.32,105.16,4.44,0,2,1,2.26,0,182
183,2019,4,13,1404,25.44,113.36,4.48,0,2,1,2.55,0,183
184,2019,4,13,1404,24.98,97.20,4.49,0,2,5,4.26,0,184
185,2019,4,13,1404,24.98,97.22,4.49,0,2,5,4.26,0,184
