# 2019  4 14  0  0 UTC  2020  5  1 17  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,14,0000,51.30,115.34,3.10,0,2,5,18.21,0,1
2,2019,4,14,0000,51.30,115.36,3.10,0,2,5,18.21,0,1
3,2019,4,14,0000,51.28,115.36,3.10,0,2,5,18.21,0,1
4,2019,4,14,0000,51.28,115.38,3.10,0,2,5,18.21,0,1
5,2019,4,14,0000,51.26,115.36,3.10,0,2,3,5.63,0,1
6,2019,4,14,0000,51.26,115.38,3.10,0,2,3,5.63,0,1
7,2019,4,14,0000,51.24,115.38,3.10,0,2,3,5.63,0,1
8,2019,4,14,0000,51.24,115.40,3.10,0,2,3,5.63,0,1
9,2019,4,14,0000,50.80,124.72,3.13,0,2,3,1.00,0,12
10,2019,4,14,0000,50.80,124.74,3.13,0,2,3,1.00,0,12
11,2019,4,14,0000,50.78,124.72,3.13,0,2,1,1.00,0,12
12,2019,4,14,0000,50.78,124.74,3.13,0,2,1,1.00,0,12
13,2019,4,14,0000,50.12,136.40,3.18,0,3,3,11.53,0,13
14,2019,4,14,0000,50.10,136.40,3.18,0,3,5,11.53,0,13
15,2019,4,14,0000,50.08,136.58,3.18,0,1,1,13.13,0,15
16,2019,4,14,0000,50.06,136.58,3.18,0,1,1,13.13,0,15
17,2019,4,14,0000,50.02,123.42,3.18,0,3,1,2.20,2,20
18,2019,4,14,0000,50.02,123.44,3.18,0,3,1,1.47,0,20
19,2019,4,14,0000,50.02,123.46,3.18,0,3,1,1.47,0,20
20,2019,4,14,0000,50.00,123.44,3.19,0,3,1,2.20,2,20
21,2019,4,14,0000,50.00,123.46,3.19,0,3,1,1.47,0,20
22,2019,4,14,0000,49.98,123.84,3.19,0,3,3,1.04,0,26
23,2019,4,14,0000,49.98,136.16,3.19,0,2,3,16.80,0,34
24,2019,4,14,0000,49.98,136.18,3.19,0,2,3,16.80,0,34
25,2019,4,14,0000,49.98,136.20,3.19,0,2,5,20.03,0,34
26,2019,4,14,0000,49.96,123.84,3.19,0,3,3,1.04,0,26
27,2019,4,14,0000,49.96,123.86,3.19,0,3,3,1.04,0,26
28,2019,4,14,0000,49.96,136.16,3.19,0,2,3,16.79,0,34
29,2019,4,14,0000,49.96,136.18,3.19,0,2,3,16.79,0,34
