# 2019  4 17  8  0 UTC  2020  5  1 13 51 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,17,0758,55.94,97.62,2.78,0,3,1,4.35,0,5
2,2019,4,17,0758,55.94,97.64,2.78,0,3,1,4.35,0,5
3,2019,4,17,0758,55.94,97.66,2.78,0,3,1,4.36,0,5
4,2019,4,17,0758,55.92,97.66,2.78,0,3,3,4.36,0,5
5,2019,4,17,0758,55.92,97.68,2.78,0,3,3,4.37,0,5
6,2019,4,17,0758,55.92,97.70,2.78,0,3,3,4.37,0,5
7,2019,4,17,0758,55.90,97.72,2.78,0,3,3,4.78,0,7
8,2019,4,17,0758,54.40,113.42,2.89,0,2,3,2.93,0,9
9,2019,4,17,0758,54.40,113.44,2.89,0,2,3,2.93,0,9
10,2019,4,17,0758,52.80,111.84,3.00,0,2,5,21.26,0,10
11,2019,4,17,0758,52.80,111.86,3.00,0,2,5,21.26,0,10
12,2019,4,17,0758,52.78,111.86,3.00,0,2,5,21.06,0,10
13,2019,4,17,0758,52.78,111.88,3.00,0,2,5,21.06,0,10
14,2019,4,17,0758,51.72,94.40,3.07,0,2,3,5.77,0,15
15,2019,4,17,0758,51.72,94.42,3.07,0,2,3,5.77,0,15
16,2019,4,17,0758,51.70,94.42,3.07,0,2,3,5.63,0,15
17,2019,4,17,0758,51.70,94.44,3.07,0,2,3,5.64,0,15
18,2019,4,17,0758,51.70,94.46,3.07,0,2,3,5.64,0,15
19,2019,4,17,0758,47.88,132.38,3.32,0,2,1,6.17,0,19
20,2019,4,17,0758,47.86,132.38,3.33,0,2,1,6.17,0,19
21,2019,4,17,0804,47.84,109.70,3.33,0,3,1,3.25,0,21
22,2019,4,17,0758,47.82,131.08,3.33,0,2,3,1.42,0,23
23,2019,4,17,0758,47.80,131.08,3.33,0,2,3,1.42,0,23
24,2019,4,17,0758,47.80,131.88,3.33,0,2,5,46.27,0,25
25,2019,4,17,0758,47.80,131.90,3.33,0,2,5,57.72,0,25
26,2019,4,17,0758,47.80,131.92,3.33,0,2,5,57.72,0,25
27,2019,4,17,0758,47.80,131.94,3.33,0,2,3,7.35,0,25
28,2019,4,17,0758,47.78,131.88,3.33,0,2,5,46.27,0,25
29,2019,4,17,0758,47.78,131.90,3.33,0,2,5,57.57,0,25
30,2019,4,17,0758,47.78,131.92,3.33,0,2,5,57.57,0,25
31,2019,4,17,0758,47.78,131.94,3.33,0,2,5,7.35,0,25
32,2019,4,17,0758,47.76,131.88,3.33,0,2,5,37.45,0,25
33,2019,4,17,0758,47.76,131.90,3.33,0,2,5,37.45,0,25
34,2019,4,17,0758,47.76,131.92,3.33,0,2,5,40.16,0,25
35,2019,4,17,0758,47.76,131.94,3.33,0,2,3,3.83,0,25
36,2019,4,17,0758,47.74,131.88,3.33,0,2,5,37.45,0,25
37,2019,4,17,0758,47.74,131.90,3.33,0,2,5,37.45,0,25
38,2019,4,17,0758,47.74,131.92,3.33,0,2,5,40.16,0,25
39,2019,4,17,0758,47.74,131.94,3.33,0,2,3,3.83,0,25
40,2019,4,17,0758,47.74,131.96,3.33,0,2,3,3.83,0,25
41,2019,4,17,0804,44.38,120.58,3.54,0,1,3,35.89,0,41
42,2019,4,17,0804,44.38,120.60,3.54,0,2,5,14.21,0,41
43,2019,4,17,0804,44.38,120.62,3.54,0,2,5,14.21,0,41
44,2019,4,17,0804,44.30,120.64,3.55,0,2,1,12.61,0,44
45,2019,4,17,0804,43.76,132.10,3.58,0,1,3,33.33,0,45
46,2019,4,17,0804,43.74,132.10,3.58,0,1,3,33.33,0,45
47,2019,4,17,0804,41.08,119.22,3.74,0,2,3,15.51,0,47
48,2019,4,17,0804,41.08,119.24,3.74,0,2,1,5.61,0,47
49,2019,4,17,0804,39.50,126.46,3.82,0,2,5,24.85,0,49
50,2019,4,17,0804,39.50,126.48,3.82,0,2,5,24.85,0,49
51,2019,4,17,0804,39.48,126.48,3.83,0,2,5,24.84,0,49
52,2019,4,17,0804,39.24,110.28,3.84,0,2,5,12.26,0,58
53,2019,4,17,0804,39.24,110.30,3.84,0,2,5,12.26,0,58
54,2019,4,17,0804,39.24,110.32,3.84,0,2,5,16.40,0,58
55,2019,4,17,0804,39.24,110.34,3.84,0,2,5,6.52,0,58
56,2019,4,17,0804,39.24,110.36,3.84,0,2,5,6.52,0,58
57,2019,4,17,0804,39.22,110.30,3.84,0,2,5,52.44,0,58
