# 2019  4 17 16 20 UTC  2020  5  1 13 31 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,17,1619,57.80,103.02,2.64,0,2,1,.72,0,1
2,2019,4,17,1619,55.40,106.10,2.81,0,2,1,.88,0,2
3,2019,4,17,1619,55.38,106.12,2.82,0,2,1,1.10,0,6
4,2019,4,17,1619,55.38,106.14,2.82,0,2,1,1.10,0,6
5,2019,4,17,1619,55.36,106.14,2.82,0,2,1,1.10,0,6
6,2019,4,17,1619,55.36,106.16,2.82,0,2,1,1.10,0,6
7,2019,4,17,1619,53.98,123.08,2.91,0,2,3,1.29,0,8
8,2019,4,17,1619,53.98,123.10,2.91,0,2,5,3.52,0,8
9,2019,4,17,1619,53.98,123.12,2.91,0,2,5,3.52,0,8
10,2019,4,17,1619,53.96,123.08,2.92,0,2,1,1.29,0,8
11,2019,4,17,1619,53.96,123.10,2.92,0,2,3,1.29,0,8
12,2019,4,17,1619,53.96,123.12,2.92,0,2,5,3.52,0,8
13,2019,4,17,1619,53.96,123.14,2.92,0,2,5,3.52,0,8
14,2019,4,17,1619,51.78,111.94,3.07,0,2,5,16.60,0,14
15,2019,4,17,1619,51.78,111.96,3.07,0,2,5,16.60,0,14
16,2019,4,17,1619,51.76,111.96,3.07,0,2,5,16.60,0,14
17,2019,4,17,1619,51.76,111.98,3.07,0,2,5,16.58,0,14
18,2019,4,17,1619,51.74,111.98,3.07,0,2,3,11.03,0,14
19,2019,4,17,1619,51.74,112.00,3.07,0,2,3,11.03,0,14
20,2019,4,17,1619,51.72,112.00,3.07,0,2,3,11.03,0,14
21,2019,4,17,1619,51.72,112.02,3.07,0,2,3,11.03,0,14
22,2019,4,17,1619,51.38,139.24,3.09,0,2,3,1.02,0,22
23,2019,4,17,1619,51.36,139.24,3.10,0,2,3,1.02,0,22
24,2019,4,17,1619,51.36,139.26,3.10,0,2,3,1.02,0,22
25,2019,4,17,1619,50.66,137.14,3.14,0,2,1,1.19,0,30
26,2019,4,17,1619,50.66,137.16,3.14,0,2,3,1.00,0,30
27,2019,4,17,1619,50.64,137.12,3.14,0,2,1,1.19,0,30
28,2019,4,17,1619,50.64,137.14,3.14,0,2,3,1.19,0,30
29,2019,4,17,1619,50.64,137.16,3.14,0,2,3,1.00,0,30
30,2019,4,17,1619,50.62,137.12,3.14,0,2,3,2.27,0,30
31,2019,4,17,1619,50.62,137.14,3.14,0,2,3,2.27,0,30
32,2019,4,17,1619,50.62,137.16,3.14,0,2,3,1.66,0,30
33,2019,4,17,1619,50.60,137.12,3.15,0,2,3,2.27,0,30
34,2019,4,17,1619,50.60,137.14,3.15,0,2,3,2.27,0,30
35,2019,4,17,1619,50.60,137.16,3.15,0,2,3,1.66,0,30
36,2019,4,17,1619,49.82,118.36,3.20,0,2,3,.88,0,36
37,2019,4,17,1619,49.80,118.38,3.20,0,2,3,.82,0,37
38,2019,4,17,1619,49.78,118.42,3.20,0,2,3,1.21,0,41
39,2019,4,17,1619,49.78,118.44,3.20,0,2,3,1.21,0,41
40,2019,4,17,1619,49.76,118.42,3.20,0,2,3,1.21,0,41
41,2019,4,17,1619,49.76,118.44,3.20,0,2,3,1.21,0,41
42,2019,4,17,1619,46.86,123.14,3.39,0,2,1,1.14,0,44
43,2019,4,17,1619,46.84,123.14,3.39,0,2,1,1.14,0,44
44,2019,4,17,1619,46.84,123.16,3.39,0,2,1,1.14,0,44
45,2019,4,17,1619,46.30,122.90,3.42,0,2,1,1.62,0,45
46,2019,4,17,1619,46.28,123.08,3.43,0,2,3,1.65,0,47
47,2019,4,17,1619,46.28,123.10,3.43,0,2,3,1.65,0,47
48,2019,4,17,1619,42.74,119.68,3.64,0,2,1,1.67,0,48
49,2019,4,17,1619,40.64,109.72,3.76,0,2,1,1.78,0,49
50,2019,4,17,1619,39.72,127.18,3.81,0,2,3,1.82,0,51
51,2019,4,17,1619,39.72,127.20,3.81,0,2,5,3.97,0,51
52,2019,4,17,1619,39.70,127.18,3.81,0,2,3,1.82,0,51
53,2019,4,17,1619,39.70,127.20,3.81,0,2,5,3.97,0,51
54,2019,4,17,1619,39.70,127.22,3.81,0,2,5,3.97,0,51
55,2019,4,17,1624,38.34,127.80,3.89,0,2,1,2.79,0,55
56,2019,4,17,1624,38.32,127.80,3.89,0,2,1,2.78,0,55
57,2019,4,17,1624,38.20,106.62,3.90,0,2,1,3.29,0,57
58,2019,4,17,1624,36.62,113.74,3.98,0,2,3,3.07,0,59
59,2019,4,17,1624,36.62,113.76,3.98,0,2,5,3.66,0,59
60,2019,4,17,1624,36.62,113.78,3.98,0,2,5,3.65,0,59
61,2019,4,17,1624,36.48,113.08,3.99,0,2,1,1.06,0,61
62,2019,4,17,1624,36.02,129.38,4.01,0,2,1,3.33,0,63
63,2019,4,17,1624,36.00,129.38,4.01,0,2,1,4.11,0,63
64,2019,4,17,1624,36.00,129.40,4.01,0,2,1,4.11,0,63
65,2019,4,17,1624,35.62,110.56,4.03,0,1,1,7.84,0,65
66,2019,4,17,1624,35.62,110.58,4.03,0,1,1,7.84,0,65
67,2019,4,17,1624,34.84,127.50,4.07,0,2,3,3.23,0,67
68,2019,4,17,1624,34.48,133.42,4.09,0,2,1,2.29,0,70
69,2019,4,17,1624,34.48,133.44,4.09,0,2,1,2.29,0,70
70,2019,4,17,1624,34.46,133.44,4.09,0,2,1,7.15,0,70
71,2019,4,17,1624,34.42,119.84,4.09,0,2,1,5.05,0,72
72,2019,4,17,1624,34.42,119.86,4.09,0,2,1,6.22,0,72
73,2019,4,17,1624,34.40,119.84,4.09,0,2,1,5.05,0,72
74,2019,4,17,1624,34.40,119.86,4.09,0,2,1,6.22,0,72
75,2019,4,17,1624,33.92,130.84,4.11,0,2,1,5.10,0,75
76,2019,4,17,1624,33.92,130.86,4.11,0,2,3,3.50,0,75
77,2019,4,17,1624,33.56,117.54,4.13,0,2,1,2.96,0,77
78,2019,4,17,1624,33.50,116.20,4.13,0,2,1,2.96,0,78
79,2019,4,17,1624,33.34,117.30,4.14,0,1,1,3.64,0,79
80,2019,4,17,1624,33.34,117.32,4.14,0,1,1,3.64,0,79
81,2019,4,17,1624,33.32,117.32,4.14,0,1,1,3.63,0,79
82,2019,4,17,1624,32.32,116.70,4.19,0,2,1,2.80,0,82
83,2019,4,17,1624,32.30,116.70,4.19,0,2,1,2.80,0,82
84,2019,4,17,1624,31.70,118.46,4.22,0,2,1,2.86,0,84
85,2019,4,17,1624,31.44,121.42,4.23,0,2,1,1.94,0,85
86,2019,4,17,1624,30.60,114.14,4.27,0,2,5,7.97,0,87
87,2019,4,17,1624,30.58,114.14,4.27,0,2,3,12.12,0,87
88,2019,4,17,1624,29.80,93.84,4.30,0,2,1,2.11,0,89
89,2019,4,17,1624,29.80,93.86,4.30,0,2,1,2.11,0,89
90,2019,4,17,1624,29.20,93.72,4.33,0,1,1,2.20,0,90
91,2019,4,17,1624,28.88,94.84,4.34,0,2,1,2.17,0,91
92,2019,4,17,1624,28.64,90.14,4.35,0,2,1,1.46,0,92
93,2019,4,17,1624,28.62,90.16,4.35,0,2,3,1.52,0,94
94,2019,4,17,1624,28.62,90.18,4.35,0,2,1,1.52,0,94
95,2019,4,17,1624,27.96,113.72,4.38,0,2,5,5.04,0,95
96,2019,4,17,1624,25.00,97.22,4.49,0,2,3,2.23,0,96
97,2019,4,17,1624,25.00,97.24,4.49,0,2,3,2.23,0,96
98,2019,4,17,1624,24.16,97.96,4.52,0,2,3,2.10,0,99
99,2019,4,17,1624,24.16,97.98,4.52,0,2,3,2.44,0,99
100,2019,4,17,1624,24.16,98.00,4.52,0,2,3,2.44,0,99
