# 2019  4 18  4 40 UTC  2020  5  1 13  1 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,18,0441,53.78,116.62,2.93,0,2,3,16.01,0,1
2,2019,4,18,0441,53.78,116.64,2.93,0,2,3,15.87,0,1
3,2019,4,18,0441,53.76,116.64,2.93,0,2,3,15.87,0,1
4,2019,4,18,0441,53.76,116.66,2.93,0,2,3,15.87,0,1
5,2019,4,18,0441,53.36,126.98,2.96,0,1,3,41.05,0,5
6,2019,4,18,0441,53.36,127.00,2.96,0,1,3,41.05,0,5
7,2019,4,18,0441,53.34,127.00,2.96,0,1,3,41.05,0,5
8,2019,4,18,0441,53.20,126.68,2.97,0,2,5,8.27,0,9
9,2019,4,18,0441,53.20,126.70,2.97,0,2,5,17.41,0,9
10,2019,4,18,0441,53.20,126.72,2.97,0,2,5,17.41,0,9
11,2019,4,18,0441,53.18,126.68,2.97,0,2,5,8.27,0,9
12,2019,4,18,0441,53.18,126.70,2.97,0,2,5,8.27,0,9
13,2019,4,18,0441,53.18,126.72,2.97,0,2,5,17.41,0,9
14,2019,4,18,0441,53.18,126.74,2.97,0,2,5,17.41,0,9
15,2019,4,18,0441,53.16,126.70,2.97,0,2,5,8.64,0,9
16,2019,4,18,0441,53.16,126.72,2.97,0,2,5,15.33,0,9
17,2019,4,18,0441,53.16,126.74,2.97,0,2,5,15.33,0,9
18,2019,4,18,0441,53.14,126.70,2.97,0,2,5,8.64,0,9
19,2019,4,18,0441,53.14,126.72,2.97,0,2,5,8.64,0,9
20,2019,4,18,0441,53.14,126.74,2.97,0,2,5,15.33,0,9
21,2019,4,18,0441,53.12,126.70,2.97,0,2,3,6.41,0,9
22,2019,4,18,0441,53.12,126.72,2.97,0,2,3,6.41,0,9
23,2019,4,18,0441,53.10,126.72,2.98,0,2,3,6.42,0,9
24,2019,4,18,0441,52.94,125.60,2.99,0,3,3,1.23,0,26
25,2019,4,18,0441,52.94,125.62,2.99,0,3,3,1.23,0,26
26,2019,4,18,0441,52.92,125.62,2.99,0,3,3,1.23,0,26
27,2019,4,18,0441,52.74,126.52,3.00,0,2,5,24.94,0,33
28,2019,4,18,0441,52.74,126.54,3.00,0,2,5,19.70,0,33
29,2019,4,18,0441,52.74,126.56,3.00,0,2,5,19.70,0,33
30,2019,4,18,0441,52.72,126.52,3.00,0,2,5,24.90,0,33
31,2019,4,18,0441,52.72,126.54,3.00,0,2,5,24.90,0,33
32,2019,4,18,0441,52.72,126.56,3.00,0,2,5,19.70,0,33
