# 2019  4 21 16  0 UTC  2020  5  1  9 44 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,21,1602,56.72,161.36,2.72,0,2,1,12.55,0,10
2,2019,4,21,1602,56.72,161.38,2.72,0,2,1,12.55,0,10
3,2019,4,21,1602,56.72,161.40,2.72,0,2,1,6.02,0,10
4,2019,4,21,1602,56.72,161.42,2.72,0,2,1,6.02,0,10
5,2019,4,21,1602,56.70,161.34,2.72,1,2,1,12.55,0,10
6,2019,4,21,1602,56.70,161.36,2.72,1,2,1,12.55,0,10
7,2019,4,21,1602,56.70,161.38,2.72,0,2,1,6.02,0,10
8,2019,4,21,1602,56.70,161.40,2.72,0,2,1,6.02,0,10
9,2019,4,21,1602,56.68,161.32,2.72,1,2,1,12.55,0,10
10,2019,4,21,1602,56.68,161.34,2.72,1,1,1,37.49,0,10
11,2019,4,21,1602,56.68,161.36,2.72,1,1,1,21.03,0,10
12,2019,4,21,1602,56.68,161.38,2.72,0,1,1,21.03,0,10
13,2019,4,21,1602,56.66,161.32,2.72,1,1,1,37.49,0,10
14,2019,4,21,1602,56.66,161.34,2.72,1,1,1,37.49,0,10
15,2019,4,21,1602,56.66,161.36,2.72,1,1,1,21.03,0,10
16,2019,4,21,1602,56.66,161.38,2.72,0,1,1,21.03,0,10
17,2019,4,21,1602,56.64,161.30,2.73,0,1,1,37.49,0,10
18,2019,4,21,1602,56.64,161.32,2.73,0,1,1,37.49,0,10
19,2019,4,21,1602,56.64,161.34,2.73,0,1,1,21.03,0,10
20,2019,4,21,1602,56.64,161.36,2.73,0,1,1,21.03,0,10
21,2019,4,21,1602,52.50,158.50,3.02,0,2,3,.85,0,21
22,2019,4,21,1602,51.24,128.34,3.10,0,2,5,2.40,0,22
23,2019,4,21,1602,51.22,128.34,3.10,0,2,5,2.40,0,22
24,2019,4,21,1602,51.22,128.36,3.10,0,2,5,2.40,0,22
25,2019,4,21,1602,51.20,128.34,3.11,0,2,3,1.31,0,22
26,2019,4,21,1602,51.20,128.36,3.11,0,2,3,1.31,0,22
27,2019,4,21,1602,51.18,128.36,3.11,0,2,3,1.31,0,22
