# 2019  4 22 12 10 UTC  2020  5  1  8 55 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,22,1211,58.48,107.60,2.59,0,3,1,2.01,0,7
2,2019,4,22,1211,58.46,107.32,2.59,0,2,1,1.49,0,6
3,2019,4,22,1211,58.46,107.34,2.59,0,2,1,1.49,0,6
4,2019,4,22,1211,58.46,107.60,2.59,0,3,1,2.01,0,7
5,2019,4,22,1211,58.46,107.62,2.59,0,3,1,2.01,0,7
6,2019,4,22,1211,58.44,107.34,2.59,0,2,1,1.49,0,6
7,2019,4,22,1211,58.44,107.62,2.59,0,3,1,2.01,0,7
8,2019,4,22,1211,58.44,107.64,2.59,0,3,1,2.01,0,7
9,2019,4,22,1211,58.42,107.36,2.60,0,2,1,1.39,0,9
10,2019,4,22,1211,58.20,107.02,2.61,0,2,1,3.23,0,14
11,2019,4,22,1211,58.20,107.04,2.61,0,2,1,3.23,0,14
12,2019,4,22,1211,58.18,107.04,2.61,0,2,1,3.23,0,14
13,2019,4,22,1211,58.18,107.06,2.61,0,2,1,3.23,0,14
14,2019,4,22,1211,58.16,107.06,2.61,0,2,1,3.50,0,14
15,2019,4,22,1211,58.16,107.08,2.61,0,2,1,3.24,0,14
16,2019,4,22,1211,58.16,107.10,2.61,0,2,1,3.24,0,14
17,2019,4,22,1211,58.14,107.08,2.62,0,2,1,3.45,0,14
18,2019,4,22,1211,58.14,107.10,2.62,0,2,1,3.45,0,14
19,2019,4,22,1211,58.14,107.12,2.62,0,2,1,3.45,0,14
20,2019,4,22,1211,58.12,107.12,2.62,0,2,1,3.45,0,14
21,2019,4,22,1211,58.12,107.14,2.62,0,2,1,3.45,0,14
22,2019,4,22,1211,58.08,106.46,2.62,0,3,1,2.74,0,22
23,2019,4,22,1211,58.06,106.48,2.62,0,3,1,2.60,0,28
24,2019,4,22,1211,58.06,106.50,2.62,0,3,1,2.60,0,28
25,2019,4,22,1211,58.06,106.52,2.62,0,3,1,2.61,0,28
26,2019,4,22,1211,58.04,106.50,2.62,0,3,1,2.61,0,28
27,2019,4,22,1211,58.04,106.52,2.62,0,3,1,2.61,0,28
28,2019,4,22,1211,58.04,106.54,2.62,0,3,1,2.61,0,28
29,2019,4,22,1211,57.90,105.84,2.63,0,3,1,3.76,0,32
30,2019,4,22,1211,57.90,105.86,2.63,0,3,1,3.76,0,32
