# 2019  4 24 11 20 UTC  2020  5  1  7  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,24,1121,58.48,107.58,2.59,0,3,1,4.71,0,5
2,2019,4,24,1121,58.48,107.60,2.59,0,3,1,4.71,0,5
3,2019,4,24,1121,58.46,107.60,2.59,0,3,1,4.71,0,5
4,2019,4,24,1121,58.46,107.62,2.59,0,3,1,4.71,0,5
5,2019,4,24,1121,58.44,107.62,2.59,0,3,1,4.72,0,5
6,2019,4,24,1121,58.44,107.64,2.59,0,3,1,4.72,0,5
7,2019,4,24,1121,58.20,107.04,2.61,0,2,1,2.26,0,7
8,2019,4,24,1121,58.18,107.06,2.61,0,2,1,2.83,0,10
9,2019,4,24,1121,58.16,107.06,2.61,0,2,1,2.81,0,10
10,2019,4,24,1121,58.16,107.08,2.61,0,2,1,2.84,0,10
11,2019,4,24,1121,58.16,107.10,2.61,0,2,1,2.84,0,10
12,2019,4,24,1121,58.14,107.08,2.62,0,2,1,2.81,0,10
13,2019,4,24,1121,58.14,107.10,2.62,0,2,1,2.82,0,10
14,2019,4,24,1121,58.14,107.12,2.62,0,2,1,2.82,0,10
15,2019,4,24,1121,58.12,107.12,2.62,0,2,1,2.82,0,10
16,2019,4,24,1121,58.12,107.14,2.62,0,2,1,2.82,0,10
17,2019,4,24,1121,58.08,106.46,2.62,0,2,1,6.91,0,17
18,2019,4,24,1121,58.06,106.48,2.62,0,2,1,6.70,0,23
19,2019,4,24,1121,58.06,106.50,2.62,0,2,1,6.70,0,23
20,2019,4,24,1121,58.06,106.52,2.62,0,2,1,6.72,0,23
21,2019,4,24,1121,58.04,106.50,2.62,0,2,1,6.72,0,23
22,2019,4,24,1121,58.04,106.52,2.62,0,2,1,6.72,0,23
23,2019,4,24,1121,58.04,106.54,2.62,0,2,1,6.72,0,23
24,2019,4,24,1121,58.00,106.78,2.63,0,2,1,5.76,0,28
25,2019,4,24,1121,58.00,106.80,2.63,0,2,1,5.76,0,28
26,2019,4,24,1121,57.98,106.78,2.63,0,2,1,3.25,0,28
27,2019,4,24,1121,57.98,106.80,2.63,0,2,1,3.25,0,28
28,2019,4,24,1121,57.98,106.82,2.63,0,2,1,5.76,0,28
29,2019,4,24,1121,57.98,106.84,2.63,0,2,1,5.76,0,28
30,2019,4,24,1121,57.96,106.80,2.63,0,2,1,3.26,0,28
31,2019,4,24,1121,57.96,106.82,2.63,0,2,1,3.26,0,28
32,2019,4,24,1121,57.96,106.84,2.63,0,2,1,5.69,0,28
33,2019,4,24,1121,57.96,106.86,2.63,0,2,1,5.69,0,28
34,2019,4,24,1121,57.90,105.84,2.63,0,3,1,4.39,0,37
35,2019,4,24,1121,57.90,105.86,2.63,0,3,1,4.39,0,37
36,2019,4,24,1121,57.88,105.86,2.64,0,3,1,4.39,0,37
37,2019,4,24,1121,57.88,105.88,2.64,0,3,1,4.39,0,37
38,2019,4,24,1121,55.44,113.72,2.81,0,2,1,1.25,0,39
39,2019,4,24,1121,55.44,113.74,2.81,0,2,1,1.25,0,39
40,2019,4,24,1121,53.68,111.62,2.94,0,2,3,2.75,0,42
41,2019,4,24,1121,53.68,111.64,2.94,0,2,3,2.75,0,42
42,2019,4,24,1121,53.66,111.64,2.94,0,2,3,2.75,0,42
43,2019,4,24,1121,53.66,111.66,2.94,0,2,3,2.75,0,42
44,2019,4,24,1121,53.66,111.94,2.94,0,1,3,10.01,0,51
45,2019,4,24,1121,53.66,111.96,2.94,0,1,3,10.01,0,51
46,2019,4,24,1121,53.66,111.98,2.94,0,2,3,5.54,0,51
47,2019,4,24,1121,53.64,111.96,2.94,0,1,3,10.01,0,51
48,2019,4,24,1121,53.64,111.98,2.94,0,1,3,10.01,0,51
49,2019,4,24,1121,53.64,112.00,2.94,0,2,3,5.54,0,51
50,2019,4,24,1121,53.64,112.02,2.94,0,2,3,5.54,0,51
