# 2019  4 25  7 40 UTC  2020  5  1  6  4 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,25,0741,54.74,100.46,2.86,0,2,3,6.94,0,1
2,2019,4,25,0741,54.18,112.80,2.90,0,2,1,15.05,0,7
3,2019,4,25,0741,54.18,112.82,2.90,0,2,3,15.05,0,7
4,2019,4,25,0741,54.16,112.82,2.90,0,2,1,15.05,0,7
5,2019,4,25,0741,54.14,112.78,2.90,0,2,3,25.57,0,7
6,2019,4,25,0741,54.14,112.80,2.90,0,2,3,25.57,0,7
7,2019,4,25,0741,54.14,112.82,2.90,0,2,5,104.64,0,7
8,2019,4,25,0741,54.14,112.84,2.90,0,2,5,104.64,0,7
9,2019,4,25,0741,54.14,112.86,2.90,0,2,3,17.03,0,7
10,2019,4,25,0741,54.14,112.88,2.90,0,2,3,17.03,0,7
11,2019,4,25,0741,54.12,112.80,2.91,0,2,3,25.57,0,7
12,2019,4,25,0741,54.12,112.82,2.91,0,2,3,25.57,0,7
13,2019,4,25,0741,54.12,112.84,2.91,0,2,5,103.70,0,7
14,2019,4,25,0741,54.12,112.86,2.91,0,2,5,103.70,0,7
15,2019,4,25,0741,54.12,112.88,2.91,0,2,3,17.03,0,7
16,2019,4,25,0741,54.12,112.90,2.91,0,2,3,17.03,0,7
17,2019,4,25,0741,54.10,112.86,2.91,0,2,3,48.99,0,7
18,2019,4,25,0741,54.10,112.88,2.91,0,2,3,48.99,0,7
19,2019,4,25,0741,54.08,112.88,2.91,0,2,5,48.99,0,7
20,2019,4,25,0741,54.08,112.90,2.91,0,2,5,48.99,0,7
21,2019,4,25,0741,54.06,101.98,2.91,0,2,3,2.90,0,27
22,2019,4,25,0741,54.06,102.00,2.91,0,2,3,2.90,0,27
23,2019,4,25,0741,54.06,102.02,2.91,0,2,3,2.90,0,27
