# 2019  4 28 12  0 UTC  2020  5  1  3  4 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,4,28,1200,56.68,161.34,2.72,1,1,1,36.33,0,2
2,2019,4,28,1200,56.68,161.36,2.72,1,1,1,47.58,0,2
3,2019,4,28,1200,56.68,161.38,2.72,0,1,1,47.58,0,2
4,2019,4,28,1200,56.66,161.32,2.72,1,1,1,36.33,0,2
5,2019,4,28,1200,56.66,161.34,2.72,1,1,1,36.33,0,2
6,2019,4,28,1200,56.66,161.36,2.72,1,1,1,47.58,0,2
7,2019,4,28,1200,56.66,161.38,2.72,0,1,1,47.58,0,2
8,2019,4,28,1200,56.64,161.30,2.73,0,1,1,36.33,0,2
9,2019,4,28,1200,56.64,161.32,2.73,0,1,1,36.33,0,2
10,2019,4,28,1200,56.64,161.34,2.73,0,1,1,47.58,0,2
11,2019,4,28,1200,56.64,161.36,2.73,0,1,1,47.58,0,2
12,2019,4,28,1200,56.62,161.30,2.73,0,2,3,2.47,0,2
13,2019,4,28,1200,56.62,161.32,2.73,0,2,3,2.47,0,2
14,2019,4,28,1200,56.62,161.34,2.73,0,2,5,2.83,0,2
15,2019,4,28,1200,56.60,161.28,2.73,0,2,3,2.49,0,2
16,2019,4,28,1200,56.60,161.30,2.73,0,2,3,2.47,0,2
17,2019,4,28,1200,56.60,161.32,2.73,0,2,5,2.83,0,2
18,2019,4,28,1200,56.60,161.34,2.73,0,2,5,2.83,0,2
19,2019,4,28,1200,56.52,101.96,2.73,0,3,1,5.73,0,23
20,2019,4,28,1200,56.52,101.98,2.73,0,3,1,5.73,0,23
21,2019,4,28,1200,56.52,102.00,2.73,0,3,1,5.73,0,23
22,2019,4,28,1200,56.50,102.00,2.74,0,3,1,5.73,0,23
23,2019,4,28,1200,56.50,102.02,2.74,0,3,1,5.73,0,23
24,2019,4,28,1200,53.44,113.08,2.95,0,2,1,1.43,0,32
25,2019,4,28,1200,53.44,113.10,2.95,0,2,1,1.43,0,32
26,2019,4,28,1200,53.44,113.12,2.95,0,2,3,4.11,0,32
27,2019,4,28,1200,53.44,113.14,2.95,0,2,3,4.11,0,32
28,2019,4,28,1200,53.44,125.84,2.95,0,2,5,9.13,0,28
29,2019,4,28,1200,53.44,125.86,2.95,0,2,3,9.13,0,28
30,2019,4,28,1200,53.44,125.88,2.95,0,2,3,4.50,0,28
31,2019,4,28,1200,53.44,125.90,2.95,0,2,3,4.50,0,28
32,2019,4,28,1200,53.42,113.14,2.95,0,2,3,4.11,0,32
33,2019,4,28,1200,53.42,125.86,2.95,0,2,3,9.13,0,28
34,2019,4,28,1200,53.42,125.88,2.95,0,2,3,4.50,0,28
35,2019,4,28,1200,53.42,125.90,2.95,0,2,3,4.50,0,28
36,2019,4,28,1200,53.40,125.86,2.96,0,2,3,7.86,0,28
37,2019,4,28,1200,53.40,125.88,2.96,0,2,3,7.86,0,28
38,2019,4,28,1200,53.38,125.88,2.96,0,2,3,7.86,0,28
39,2019,4,28,1200,53.32,129.88,2.96,0,2,3,1.86,0,44
