# 2019  5  6  8  0 UTC  2020  4 29 19  1 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,5,6,0758,56.68,161.34,2.72,1,2,1,42.71,0,1
2,2019,5,6,0758,56.68,161.36,2.72,1,2,1,12.42,0,1
3,2019,5,6,0758,56.68,161.38,2.72,0,2,1,12.42,0,1
4,2019,5,6,0758,56.66,161.32,2.72,1,2,1,42.71,0,1
5,2019,5,6,0758,56.66,161.34,2.72,1,2,1,42.71,0,1
6,2019,5,6,0758,56.66,161.36,2.72,1,2,1,12.42,0,1
7,2019,5,6,0758,56.66,161.38,2.72,0,2,1,12.42,0,1
8,2019,5,6,0758,56.64,161.30,2.73,0,2,1,42.71,0,1
9,2019,5,6,0758,56.64,161.32,2.73,0,2,1,42.71,0,1
10,2019,5,6,0758,56.64,161.34,2.73,0,2,1,12.42,0,1
11,2019,5,6,0758,56.64,161.36,2.73,0,2,1,12.42,0,1
12,2019,5,6,0758,53.36,105.40,2.96,0,2,5,45.02,0,31
13,2019,5,6,0758,53.36,105.42,2.96,0,2,5,45.02,0,31
14,2019,5,6,0758,53.36,105.44,2.96,0,2,5,34.37,0,31
15,2019,5,6,0758,53.36,105.46,2.96,0,2,5,34.37,0,31
16,2019,5,6,0758,53.36,105.48,2.96,0,2,5,34.37,0,31
17,2019,5,6,0758,53.36,105.50,2.96,0,2,5,16.55,0,31
18,2019,5,6,0758,53.36,105.52,2.96,0,2,5,16.55,0,31
19,2019,5,6,0758,53.34,105.38,2.96,0,2,5,65.81,0,19
20,2019,5,6,0758,53.34,105.42,2.96,0,2,5,44.54,0,31
21,2019,5,6,0758,53.34,105.44,2.96,0,2,5,44.54,0,31
22,2019,5,6,0758,53.34,105.46,2.96,0,2,5,44.54,0,31
23,2019,5,6,0758,53.34,105.48,2.96,0,2,5,34.37,0,31
24,2019,5,6,0758,53.34,105.50,2.96,0,2,5,34.37,0,31
25,2019,5,6,0758,53.34,105.52,2.96,0,2,5,16.55,0,31
26,2019,5,6,0758,53.34,105.54,2.96,0,2,5,16.55,0,31
27,2019,5,6,0758,53.32,105.40,2.96,0,2,5,65.81,0,31
28,2019,5,6,0758,53.32,105.42,2.96,0,2,5,65.81,0,31
29,2019,5,6,0758,53.30,105.42,2.96,0,2,5,65.82,0,31
30,2019,5,6,0758,53.30,105.44,2.96,0,2,5,65.82,0,31
31,2019,5,6,0758,53.30,105.46,2.96,0,2,5,65.82,0,31
32,2019,5,6,0758,53.28,105.46,2.96,0,2,5,26.80,0,31
33,2019,5,6,0758,53.28,105.48,2.96,0,2,5,26.80,0,31
34,2019,5,6,0758,53.26,105.48,2.96,0,2,5,26.80,0,31
35,2019,5,6,0758,53.26,105.50,2.96,0,2,5,26.80,0,31
36,2019,5,6,0758,53.02,103.78,2.98,0,2,3,16.53,0,52
37,2019,5,6,0758,53.02,103.80,2.98,0,2,3,16.53,0,52
38,2019,5,6,0758,53.02,103.82,2.98,0,2,3,16.53,0,52
39,2019,5,6,0758,53.02,103.84,2.98,0,2,5,47.40,0,52
40,2019,5,6,0758,53.02,103.86,2.98,0,2,5,47.40,0,52
41,2019,5,6,0758,53.00,103.82,2.98,0,2,3,16.58,0,52
42,2019,5,6,0758,53.00,103.84,2.98,0,2,3,16.58,0,52
43,2019,5,6,0758,53.00,103.86,2.98,0,2,5,47.41,0,52
44,2019,5,6,0758,53.00,103.88,2.98,0,2,5,47.41,0,52
45,2019,5,6,0758,52.98,103.84,2.98,0,2,5,27.63,0,52
46,2019,5,6,0758,52.98,103.86,2.98,0,2,5,27.63,0,52
47,2019,5,6,0758,52.98,103.88,2.98,0,2,5,79.13,0,52
48,2019,5,6,0758,52.98,103.90,2.98,0,2,5,79.13,0,52
49,2019,5,6,0758,52.96,103.86,2.99,0,2,5,27.63,0,52
50,2019,5,6,0758,52.96,103.88,2.99,0,2,5,27.63,0,52
51,2019,5,6,0758,52.96,103.90,2.99,0,2,5,79.13,0,52
52,2019,5,6,0758,52.96,103.92,2.99,0,2,5,79.13,0,52
53,2019,5,6,0758,51.72,114.14,3.07,0,1,5,41.90,0,55
54,2019,5,6,0758,51.72,114.16,3.07,0,1,5,41.90,0,55
55,2019,5,6,0758,51.72,114.18,3.07,0,2,5,54.21,0,55
56,2019,5,6,0758,51.72,114.20,3.07,0,2,3,7.44,0,55
57,2019,5,6,0758,51.72,114.22,3.07,0,2,3,7.44,0,55
58,2019,5,6,0758,51.70,114.16,3.07,0,1,5,41.90,0,55
59,2019,5,6,0758,51.70,114.18,3.07,0,2,5,54.21,0,55
60,2019,5,6,0758,51.70,114.20,3.07,0,2,5,54.21,0,55
61,2019,5,6,0758,51.70,114.22,3.07,0,2,3,7.44,0,55
62,2019,5,6,0758,51.70,114.24,3.07,0,2,3,7.44,0,55
63,2019,5,6,0758,51.18,111.94,3.11,0,2,3,2.06,0,65
64,2019,5,6,0758,51.18,111.96,3.11,0,2,1,2.06,0,65
65,2019,5,6,0758,51.16,111.96,3.11,0,2,3,2.06,0,65
66,2019,5,6,0758,51.04,111.36,3.12,0,2,1,3.68,0,68
67,2019,5,6,0758,51.04,111.38,3.12,0,2,1,3.90,0,68
68,2019,5,6,0758,51.04,111.40,3.12,0,2,3,3.90,0,68
69,2019,5,6,0758,51.02,111.40,3.12,0,3,3,1.84,0,68
70,2019,5,6,0758,51.02,111.42,3.12,0,3,3,1.84,0,68
71,2019,5,6,0758,51.00,111.42,3.12,0,3,1,1.84,0,68
72,2019,5,6,0758,51.00,111.44,3.12,0,3,3,1.84,0,68
73,2019,5,6,0758,50.96,119.40,3.12,0,2,3,11.88,0,75
74,2019,5,6,0758,50.96,119.42,3.12,0,2,3,11.88,0,75
75,2019,5,6,0758,50.94,119.42,3.12,0,2,3,11.88,0,75
76,2019,5,6,0758,50.92,105.58,3.12,0,2,3,15.08,0,79
77,2019,5,6,0758,50.92,105.60,3.12,0,2,3,15.08,0,79
78,2019,5,6,0758,50.90,105.60,3.13,0,2,3,15.08,0,79
79,2019,5,6,0758,50.90,105.62,3.13,0,2,3,15.08,0,79
80,2019,5,6,0758,50.20,101.54,3.17,0,3,1,2.15,0,81
81,2019,5,6,0758,50.20,101.56,3.17,0,3,1,2.15,0,81
82,2019,5,6,0758,49.12,110.28,3.24,0,2,3,21.41,0,82
83,2019,5,6,0758,49.12,110.30,3.24,0,2,3,21.41,0,82
84,2019,5,6,0758,49.12,110.32,3.24,0,2,3,16.29,0,82
85,2019,5,6,0758,49.12,110.34,3.24,0,2,3,16.29,0,82
86,2019,5,6,0758,49.10,110.34,3.25,0,2,3,16.29,0,82
87,2019,5,6,0758,49.00,110.30,3.25,0,1,3,20.73,0,87
88,2019,5,6,0758,48.98,110.36,3.25,0,1,3,23.83,0,92
89,2019,5,6,0758,48.96,110.16,3.25,0,3,3,6.27,0,91
90,2019,5,6,0758,48.96,110.18,3.25,0,3,3,6.27,0,91
91,2019,5,6,0758,48.96,110.20,3.25,0,2,5,30.72,0,91
92,2019,5,6,0758,48.96,110.30,3.25,0,1,5,60.83,0,92
93,2019,5,6,0758,48.96,110.32,3.25,0,1,5,60.83,0,92
94,2019,5,6,0758,48.96,110.34,3.25,0,2,5,45.94,0,92
95,2019,5,6,0758,48.96,110.36,3.25,0,2,3,8.31,0,92
96,2019,5,6,0758,48.96,110.38,3.25,0,1,3,23.83,0,92
97,2019,5,6,0758,48.94,110.18,3.26,0,3,3,4.81,0,91
98,2019,5,6,0758,48.94,110.20,3.26,0,2,5,30.72,0,91
99,2019,5,6,0758,48.94,110.22,3.26,0,2,5,30.72,0,91
100,2019,5,6,0758,48.94,110.32,3.26,0,1,5,60.61,0,92
101,2019,5,6,0758,48.94,110.34,3.26,0,2,5,45.94,0,92
102,2019,5,6,0758,48.94,110.36,3.26,0,2,5,45.94,0,92
103,2019,5,6,0758,48.94,110.38,3.26,0,2,3,8.32,0,92
104,2019,5,6,0758,48.94,110.40,3.26,0,2,3,8.32,0,92
105,2019,5,6,0758,48.92,110.18,3.26,0,3,3,4.81,0,91
106,2019,5,6,0758,48.92,110.20,3.26,0,3,3,4.81,0,91
