# 2019  5  8  4 50 UTC  2020  4 29  9 39 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,5,8,0453,49.22,110.02,3.24,0,2,3,16.62,0,12
2,2019,5,8,0453,49.22,110.04,3.24,0,2,3,16.62,0,12
3,2019,5,8,0453,49.20,110.04,3.24,0,2,3,16.62,0,12
4,2019,5,8,0453,49.20,110.06,3.24,0,2,3,16.62,0,12
5,2019,5,8,0453,49.18,110.02,3.24,0,2,5,15.51,0,12
6,2019,5,8,0453,49.18,110.04,3.24,0,2,5,15.51,0,12
7,2019,5,8,0453,49.18,110.06,3.24,0,2,5,13.66,0,12
8,2019,5,8,0453,49.18,110.08,3.24,0,2,5,13.66,0,12
9,2019,5,8,0453,49.16,110.04,3.24,0,2,5,15.51,0,12
10,2019,5,8,0453,49.16,110.06,3.24,0,2,5,15.51,0,12
11,2019,5,8,0453,49.16,110.08,3.24,0,2,5,13.66,0,12
12,2019,5,8,0453,49.14,110.06,3.24,0,2,5,58.48,0,12
13,2019,5,8,0453,49.14,110.08,3.24,0,2,5,44.00,0,12
14,2019,5,8,0453,49.14,110.10,3.24,0,2,5,44.00,0,12
15,2019,5,8,0453,49.12,110.08,3.24,0,2,5,58.48,0,12
16,2019,5,8,0453,49.12,110.10,3.24,0,2,5,44.00,0,12
17,2019,5,8,0453,49.12,110.12,3.24,0,2,5,44.00,0,12
18,2019,5,8,0453,45.88,135.26,3.45,0,3,3,2.99,2,20
19,2019,5,8,0453,45.88,135.28,3.45,0,3,3,2.99,2,20
20,2019,5,8,0453,45.86,135.28,3.45,0,3,3,2.99,2,20
21,2019,5,8,0453,43.94,135.36,3.57,0,2,3,50.24,0,21
22,2019,5,8,0453,43.94,135.38,3.57,0,2,3,50.24,0,21
23,2019,5,8,0453,43.92,135.36,3.57,0,2,3,50.24,0,21
24,2019,5,8,0453,43.92,135.38,3.57,0,2,3,50.24,0,21
25,2019,5,8,0453,40.50,127.56,3.77,0,2,5,29.88,0,25
26,2019,5,8,0453,40.48,127.56,3.77,0,2,3,10.96,0,25
27,2019,5,8,0453,40.46,127.56,3.77,0,2,3,10.96,0,25
28,2019,5,8,0453,40.46,127.58,3.77,0,2,3,10.96,0,25
