# 2019  5  9  7 50 UTC  2020  4 29  4  8 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,5,9,0753,56.68,161.34,2.72,1,2,1,11.59,0,4
2,2019,5,9,0753,56.66,161.32,2.72,1,2,1,11.59,0,4
3,2019,5,9,0753,56.66,161.34,2.72,1,2,1,11.59,0,4
4,2019,5,9,0753,56.64,161.30,2.73,0,2,1,11.59,0,4
5,2019,5,9,0753,56.64,161.32,2.73,0,2,1,11.59,0,4
6,2019,5,9,0753,50.06,127.54,3.18,0,2,3,4.42,0,6
7,2019,5,9,0753,50.06,127.56,3.18,0,2,3,4.42,0,6
8,2019,5,9,0753,50.04,127.54,3.18,0,2,3,4.42,0,6
9,2019,5,9,0753,50.04,127.56,3.18,0,2,3,4.42,0,6
10,2019,5,9,0753,48.86,128.76,3.26,0,3,3,1.60,0,12
11,2019,5,9,0753,48.86,128.78,3.26,0,3,3,1.60,0,12
12,2019,5,9,0753,48.84,128.78,3.26,0,3,3,1.60,0,12
13,2019,5,9,0753,48.72,128.92,3.27,0,3,3,1.21,0,17
14,2019,5,9,0753,48.72,128.94,3.27,0,3,3,1.21,0,17
15,2019,5,9,0753,48.70,128.92,3.27,0,3,3,1.15,0,17
16,2019,5,9,0753,48.70,128.94,3.27,0,3,3,1.15,0,17
17,2019,5,9,0753,48.68,128.90,3.27,0,3,3,1.25,0,17
18,2019,5,9,0753,48.68,128.92,3.27,0,3,3,1.25,0,17
19,2019,5,9,0753,41.90,128.44,3.69,0,1,3,35.65,0,20
20,2019,5,9,0753,41.90,128.46,3.69,0,2,5,36.14,0,20
21,2019,5,9,0753,41.90,128.48,3.69,0,2,5,26.65,0,20
22,2019,5,9,0753,41.90,128.50,3.69,0,2,5,26.65,0,20
23,2019,5,9,0753,41.88,128.50,3.69,0,2,3,10.04,0,20
24,2019,5,9,0753,41.86,128.50,3.69,0,2,3,10.04,0,20
25,2019,5,9,0753,41.40,128.48,3.72,0,2,3,10.21,0,25
26,2019,5,9,0753,41.24,128.48,3.73,0,2,5,34.95,0,26
27,2019,5,9,0753,41.18,128.30,3.73,0,2,3,19.33,0,27
28,2019,5,9,0753,41.16,128.32,3.73,0,2,3,16.11,0,28
29,2019,5,9,0753,40.38,127.82,3.78,0,2,3,14.14,0,30
30,2019,5,9,0753,40.36,127.82,3.78,0,2,5,17.91,0,30
31,2019,5,9,0753,40.34,127.82,3.78,0,2,5,17.91,0,30
32,2019,5,9,0753,40.34,127.84,3.78,0,2,5,17.91,0,30
33,2019,5,9,0753,40.08,126.94,3.79,0,2,3,4.41,0,33
34,2019,5,9,0753,40.06,126.96,3.79,0,2,3,4.57,0,34
35,2019,5,9,0753,40.04,127.26,3.79,0,2,3,16.02,0,37
36,2019,5,9,0753,40.04,127.28,3.79,0,2,3,12.47,0,37
37,2019,5,9,0753,40.02,127.28,3.80,0,2,5,20.72,0,37
38,2019,5,9,0753,40.02,127.30,3.80,0,2,5,20.72,0,37
39,2019,5,9,0753,40.00,127.30,3.80,0,2,5,20.72,0,37
40,2019,5,9,0753,39.54,126.74,3.82,0,2,5,24.68,0,41
41,2019,5,9,0753,39.54,126.76,3.82,0,2,5,29.49,0,41
42,2019,5,9,0753,39.52,126.74,3.82,0,2,3,11.61,0,41
43,2019,5,9,0753,39.52,126.76,3.82,0,2,5,14.46,0,41
44,2019,5,9,0753,39.52,126.78,3.82,0,2,5,14.46,0,41
45,2019,5,9,0753,39.50,126.74,3.82,0,2,3,11.61,0,41
46,2019,5,9,0753,39.50,126.76,3.82,0,2,3,11.61,0,41
47,2019,5,9,0753,39.50,126.78,3.82,0,2,5,14.46,0,41
48,2019,5,9,0753,39.38,126.72,3.83,0,2,3,6.01,0,48
49,2019,5,9,0753,39.14,126.58,3.84,0,2,3,5.97,0,49
50,2019,5,9,0753,38.84,126.88,3.86,0,2,3,5.24,0,50
51,2019,5,9,0753,38.60,127.12,3.87,0,2,1,4.29,0,51
52,2019,5,9,0753,38.60,127.14,3.87,0,2,1,4.29,0,51
53,2019,5,9,0753,38.58,127.12,3.87,0,2,1,4.29,0,51
54,2019,5,9,0753,38.58,127.14,3.87,0,2,1,4.29,0,51
55,2019,5,9,0753,37.86,127.72,3.91,0,3,1,1.35,0,55
56,2019,5,9,0753,36.36,127.42,3.99,0,2,1,1.36,0,56
57,2019,5,9,0753,36.00,129.36,4.01,0,2,1,3.27,0,57
58,2019,5,9,0753,36.00,129.38,4.01,0,2,1,3.09,0,57
59,2019,5,9,0753,36.00,129.40,4.01,0,2,1,3.09,0,57
60,2019,5,9,0753,35.88,136.86,4.02,0,3,1,1.70,0,60
61,2019,5,9,0753,35.70,127.90,4.03,0,3,1,1.89,0,61
62,2019,5,9,0753,35.68,127.90,4.03,0,3,1,1.89,0,61
63,2019,5,9,0753,35.68,127.92,4.03,0,3,1,1.89,0,61
64,2019,5,9,0753,34.42,119.84,4.09,0,2,1,9.38,0,64
65,2019,5,9,0753,34.40,119.84,4.09,0,2,1,9.38,0,64
66,2019,5,9,0753,24.48,80.60,4.51,0,2,1,6.89,0,68
67,2019,5,9,0753,24.48,80.62,4.51,0,2,1,6.90,0,68
68,2019,5,9,0753,24.48,80.64,4.51,0,2,1,6.92,0,68
69,2019,5,9,0753,23.78,86.34,4.54,0,1,1,19.84,0,71
70,2019,5,9,0753,23.78,86.36,4.54,0,1,1,19.93,0,71
71,2019,5,9,0753,23.78,86.38,4.54,0,1,1,19.93,0,71
72,2019,5,9,0753,23.76,86.40,4.54,0,2,1,8.31,0,72
73,2019,5,9,0753,23.16,87.78,4.56,0,2,3,2.33,0,85
74,2019,5,9,0753,23.16,87.80,4.56,0,2,3,2.33,0,85
75,2019,5,9,0753,23.14,87.80,4.56,0,2,3,2.33,0,85
76,2019,5,9,0753,23.14,87.82,4.56,0,2,3,2.33,0,85
77,2019,5,9,0753,23.14,87.84,4.56,0,2,1,1.87,0,85
78,2019,5,9,0753,23.14,87.86,4.56,0,2,1,1.87,0,85
79,2019,5,9,0753,23.12,87.80,4.56,0,2,3,2.38,0,85
80,2019,5,9,0753,23.12,87.82,4.56,0,2,3,2.38,0,85
81,2019,5,9,0753,23.12,87.84,4.56,0,2,3,2.38,0,85
82,2019,5,9,0753,23.12,87.86,4.56,0,2,3,2.30,0,85
83,2019,5,9,0753,23.12,87.88,4.56,0,2,3,2.30,0,85
84,2019,5,9,0753,23.10,87.86,4.56,0,2,3,2.67,0,85
85,2019,5,9,0753,23.10,87.88,4.56,0,2,3,2.68,0,85
86,2019,5,9,0753,22.98,101.62,4.56,0,2,3,6.07,0,87
87,2019,5,9,0753,22.98,101.64,4.56,0,2,3,11.16,0,87
88,2019,5,9,0753,22.98,101.66,4.56,0,2,3,11.16,0,87
89,2019,5,9,0753,22.78,98.44,4.57,0,2,3,13.31,0,89
90,2019,5,9,0753,22.78,98.46,4.57,0,2,3,13.31,0,89
91,2019,5,9,0753,22.50,100.20,4.58,0,2,3,15.82,0,91
92,2019,5,9,0753,22.50,100.22,4.58,0,2,3,15.82,0,91
93,2019,5,9,0753,22.50,102.64,4.58,0,2,3,17.06,0,93
94,2019,5,9,0753,22.50,102.66,4.58,0,2,3,17.06,0,93
95,2019,5,9,0753,22.22,98.52,4.59,0,2,3,27.46,0,98
96,2019,5,9,0753,22.22,98.54,4.59,0,2,3,18.41,0,98
97,2019,5,9,0753,22.22,98.56,4.59,0,2,3,18.40,0,98
98,2019,5,9,0753,22.20,98.52,4.59,0,2,5,29.72,0,98
99,2019,5,9,0753,22.20,98.54,4.59,0,2,5,29.72,0,98
100,2019,5,9,0753,22.20,98.56,4.59,0,2,3,22.75,0,98
101,2019,5,9,0753,22.20,102.68,4.59,0,2,3,14.86,0,101
102,2019,5,9,0753,22.20,102.70,4.59,0,2,3,10.90,0,101
103,2019,5,9,0753,22.20,102.72,4.59,0,2,3,10.90,0,101
104,2019,5,9,0753,22.18,98.52,4.59,0,2,3,25.86,0,98
105,2019,5,9,0753,22.18,98.54,4.59,0,2,3,25.86,0,98
106,2019,5,9,0753,22.18,98.56,4.59,0,2,3,17.12,0,98
107,2019,5,9,0753,22.18,98.58,4.59,0,2,3,17.12,0,98
108,2019,5,9,0753,22.16,98.54,4.59,0,2,5,29.48,0,98
109,2019,5,9,0753,22.06,101.76,4.59,0,2,3,6.19,0,109
110,2019,5,9,0753,22.06,101.78,4.59,0,2,3,6.19,0,109
111,2019,5,9,0753,22.04,99.54,4.59,0,2,3,9.11,0,111
112,2019,5,9,0753,22.04,101.78,4.59,0,2,3,6.19,0,109
113,2019,5,9,0753,21.84,99.38,4.60,0,2,3,18.49,0,113
114,2019,5,9,0753,21.84,99.40,4.60,0,2,3,18.49,0,113
115,2019,5,9,0753,21.56,100.92,4.61,0,2,3,12.20,0,115
116,2019,5,9,0753,21.56,100.94,4.61,0,2,3,12.20,0,115
117,2019,5,9,0753,21.54,102.06,4.61,0,2,1,13.72,0,117
118,2019,5,9,0753,21.54,102.08,4.61,0,2,1,7.02,0,117
119,2019,5,9,0753,21.30,98.52,4.62,0,2,1,7.96,0,119
120,2019,5,9,0753,21.30,98.54,4.62,0,2,1,7.96,0,119
121,2019,5,9,0753,21.00,100.74,4.63,0,2,5,15.55,0,121
122,2019,5,9,0753,20.92,101.08,4.63,0,2,1,17.36,0,122
123,2019,5,9,0753,20.90,101.10,4.63,0,2,1,17.97,0,123
124,2019,5,9,0753,20.04,83.50,4.66,0,2,3,16.64,0,125
125,2019,5,9,0753,20.04,83.52,4.66,0,2,3,16.64,0,125
126,2019,5,9,0753,19.94,83.48,4.66,0,2,3,18.63,0,133
127,2019,5,9,0753,19.94,83.50,4.66,0,2,3,18.64,0,133
128,2019,5,9,0753,19.94,93.96,4.66,0,2,3,9.65,0,128
129,2019,5,9,0753,19.94,93.98,4.66,0,2,3,9.46,0,128
130,2019,5,9,0753,19.92,83.44,4.66,0,2,3,24.25,0,133
131,2019,5,9,0753,19.92,83.46,4.66,0,2,3,24.25,0,133
132,2019,5,9,0753,19.92,83.48,4.66,0,2,3,24.25,0,133
133,2019,5,9,0753,19.92,83.50,4.66,0,2,5,42.88,0,133
134,2019,5,9,0753,19.92,83.52,4.66,0,2,5,42.88,0,133
135,2019,5,9,0753,19.90,93.92,4.66,0,3,5,14.05,0,135
136,2019,5,9,0753,19.90,93.94,4.66,0,3,5,14.05,0,135
137,2019,5,9,0753,19.86,93.94,4.66,0,2,3,17.37,0,137
138,2019,5,9,0753,19.86,93.96,4.66,0,2,3,17.37,0,137
139,2019,5,9,0753,19.84,94.08,4.66,0,2,3,14.58,0,139
140,2019,5,9,0753,19.84,94.10,4.66,0,2,3,14.56,0,139
141,2019,5,9,0753,19.44,103.84,4.67,0,2,1,10.89,0,141
142,2019,5,9,0753,6.90,80.80,4.92,0,2,1,2.64,0,142
143,2019,5,9,0753,1.86,102.94,4.95,0,3,1,3.89,0,143
144,2019,5,9,0753,-.42,112.28,4.96,0,2,3,26.11,0,144
145,2019,5,9,0758,-2.18,100.96,4.95,0,2,3,7.47,0,145
146,2019,5,9,0758,-2.18,100.98,4.95,0,2,1,7.47,0,145
147,2019,5,9,0758,-3.36,103.60,4.95,0,3,3,3.34,0,149
148,2019,5,9,0758,-3.38,103.60,4.95,0,2,3,3.27,0,149
149,2019,5,9,0758,-3.38,103.62,4.95,0,3,1,3.54,0,149
150,2019,5,9,0758,-14.16,130.12,4.81,0,3,5,16.96,0,151
151,2019,5,9,0758,-14.18,130.10,4.81,0,2,5,27.01,0,151
152,2019,5,9,0758,-14.18,130.12,4.81,0,2,5,19.21,0,151
153,2019,5,9,0758,-14.20,130.32,4.81,0,2,3,8.28,0,153
154,2019,5,9,0758,-14.48,133.00,4.80,0,2,5,25.00,0,154
155,2019,5,9,0758,-14.84,126.46,4.79,0,2,3,11.42,0,155
156,2019,5,9,0758,-14.86,133.44,4.79,0,2,1,2.54,0,156
157,2019,5,9,0758,-14.94,125.98,4.79,0,2,3,12.65,0,157
158,2019,5,9,0758,-15.18,125.20,4.78,0,2,3,8.36,0,160
159,2019,5,9,0758,-15.18,125.22,4.78,0,2,3,6.30,0,160
160,2019,5,9,0758,-15.20,125.18,4.78,0,2,3,9.79,0,160
161,2019,5,9,0758,-15.20,125.20,4.78,0,2,3,6.80,0,160
162,2019,5,9,0758,-15.20,133.08,4.78,0,2,5,6.90,0,162
163,2019,5,9,0758,-15.26,125.22,4.78,0,2,5,9.81,0,163
164,2019,5,9,0758,-15.28,125.22,4.78,0,2,3,7.44,0,163
165,2019,5,9,0758,-15.28,125.40,4.78,0,2,1,8.91,0,166
166,2019,5,9,0758,-15.30,125.40,4.78,0,2,3,10.54,0,166
167,2019,5,9,0758,-15.32,125.18,4.78,0,2,3,4.35,0,168
168,2019,5,9,0758,-15.34,125.18,4.78,0,2,5,6.69,0,168
169,2019,5,9,0758,-15.34,125.22,4.78,0,2,3,6.37,0,169
170,2019,5,9,0758,-15.34,125.24,4.78,0,2,3,5.51,0,169
171,2019,5,9,0758,-15.36,125.44,4.78,0,2,3,6.90,0,173
172,2019,5,9,0758,-15.36,125.46,4.78,0,2,5,7.56,0,172
173,2019,5,9,0758,-15.38,125.44,4.78,0,2,5,14.50,0,173
174,2019,5,9,0758,-15.40,125.44,4.78,0,2,3,4.77,0,173
175,2019,5,9,0758,-15.42,145.08,4.78,0,2,3,2.64,0,175
176,2019,5,9,0758,-15.44,125.42,4.78,0,2,3,8.63,0,176
177,2019,5,9,0758,-15.56,141.70,4.77,0,2,3,3.98,0,177
178,2019,5,9,0758,-15.58,141.70,4.77,0,2,3,3.34,0,177
179,2019,5,9,0758,-15.92,125.22,4.77,0,2,3,3.84,0,180
180,2019,5,9,0758,-15.94,125.22,4.77,0,2,5,5.67,0,180
181,2019,5,9,0758,-16.22,124.80,4.76,0,2,5,15.08,0,181
182,2019,5,9,0758,-16.22,124.82,4.76,0,2,5,13.56,0,181
183,2019,5,9,0758,-16.24,124.82,4.76,0,2,3,9.64,0,181
184,2019,5,9,0758,-16.24,136.90,4.76,0,2,3,12.07,0,185
185,2019,5,9,0758,-16.26,136.90,4.76,0,2,5,64.33,0,185
186,2019,5,9,0758,-16.26,136.96,4.76,0,2,5,32.44,0,186
187,2019,5,9,0758,-16.26,136.98,4.76,0,2,5,18.92,0,186
188,2019,5,9,0758,-16.28,136.90,4.76,0,2,5,25.95,0,185
189,2019,5,9,0758,-16.28,136.92,4.76,0,2,3,8.24,0,185
190,2019,5,9,0758,-16.28,136.96,4.76,0,2,5,20.39,0,186
191,2019,5,9,0758,-16.28,136.98,4.76,0,2,5,13.98,0,186
192,2019,5,9,0758,-16.40,137.62,4.75,0,2,1,2.74,0,194
193,2019,5,9,0758,-16.42,137.60,4.75,0,2,3,4.59,0,194
194,2019,5,9,0758,-16.42,137.62,4.75,0,2,5,8.24,0,194
195,2019,5,9,0758,-16.44,123.62,4.75,0,1,3,14.62,0,195
196,2019,5,9,0758,-16.44,123.64,4.75,0,2,5,12.54,0,195
197,2019,5,9,0758,-16.46,123.64,4.75,0,2,1,13.84,0,195
198,2019,5,9,0758,-16.46,123.68,4.75,0,2,3,9.32,0,199
199,2019,5,9,0758,-16.46,123.70,4.75,0,1,3,10.13,0,199
200,2019,5,9,0758,-16.46,145.14,4.75,0,2,3,6.92,0,200
201,2019,5,9,0758,-16.48,145.14,4.75,0,2,3,5.23,0,200
202,2019,5,9,0758,-16.70,137.42,4.75,0,2,3,4.57,0,202
203,2019,5,9,0758,-16.76,137.20,4.75,0,2,3,21.69,0,203
204,2019,5,9,0758,-17.02,125.98,4.74,0,2,3,5.55,0,204
205,2019,5,9,0758,-17.02,126.00,4.74,0,2,3,5.22,0,204
206,2019,5,9,0758,-17.04,126.00,4.74,0,2,3,4.42,0,204
207,2019,5,9,0758,-17.14,145.18,4.74,0,2,3,3.48,0,208
208,2019,5,9,0758,-17.16,145.18,4.74,0,2,5,8.84,0,208
209,2019,5,9,0758,-17.26,122.60,4.73,0,2,5,26.02,0,209
210,2019,5,9,0758,-17.26,122.62,4.73,0,2,5,16.71,0,209
211,2019,5,9,0758,-17.28,122.60,4.73,0,1,5,23.94,0,209
