# 2019  5  9  8  0 UTC  2020  4 29  4  5 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,5,9,0758,56.68,161.34,2.72,1,2,1,12.57,0,4
2,2019,5,9,0758,56.66,161.32,2.72,1,2,1,12.57,0,4
3,2019,5,9,0758,56.66,161.34,2.72,1,2,1,12.57,0,4
4,2019,5,9,0758,56.64,161.30,2.73,0,2,1,12.57,0,4
5,2019,5,9,0758,56.64,161.32,2.73,0,2,1,12.57,0,4
6,2019,5,9,0804,41.90,128.46,3.69,0,2,5,52.70,0,6
7,2019,5,9,0804,41.90,128.48,3.69,0,2,5,16.60,0,6
8,2019,5,9,0804,41.90,128.50,3.69,0,2,5,16.60,0,6
9,2019,5,9,0804,41.88,128.46,3.69,0,2,3,8.92,0,6
10,2019,5,9,0804,41.88,128.48,3.69,0,2,3,8.92,0,6
11,2019,5,9,0804,41.86,128.46,3.69,0,2,3,8.92,0,6
12,2019,5,9,0804,41.86,128.48,3.69,0,2,3,8.92,0,6
13,2019,5,9,0804,41.40,128.48,3.72,0,3,5,8.61,0,13
14,2019,5,9,0804,41.24,128.48,3.73,0,2,5,35.39,0,15
15,2019,5,9,0804,41.24,128.50,3.73,0,1,5,54.34,0,15
16,2019,5,9,0804,40.38,127.82,3.78,0,2,3,11.71,0,18
17,2019,5,9,0804,40.38,127.84,3.78,0,2,3,9.19,0,18
18,2019,5,9,0804,40.36,127.82,3.78,0,2,5,18.99,0,18
19,2019,5,9,0804,40.36,127.84,3.78,0,2,5,12.74,0,18
20,2019,5,9,0804,40.36,127.86,3.78,0,2,5,12.74,0,18
21,2019,5,9,0804,40.34,127.82,3.78,0,2,5,18.99,0,18
22,2019,5,9,0804,40.34,127.84,3.78,0,2,5,18.99,0,18
23,2019,5,9,0804,40.34,127.86,3.78,0,2,5,12.74,0,18
24,2019,5,9,0804,40.04,127.26,3.79,0,2,3,17.37,0,26
25,2019,5,9,0804,40.04,127.28,3.79,0,2,5,18.72,0,26
26,2019,5,9,0804,40.02,127.28,3.80,0,2,5,19.53,0,26
27,2019,5,9,0804,40.02,127.30,3.80,0,2,5,19.53,0,26
28,2019,5,9,0804,40.00,127.30,3.80,0,2,5,19.53,0,26
29,2019,5,9,0804,39.74,127.14,3.81,0,2,3,11.92,0,29
30,2019,5,9,0804,39.74,127.16,3.81,0,2,3,11.92,0,29
31,2019,5,9,0804,39.54,126.74,3.82,0,2,5,29.22,0,31
32,2019,5,9,0804,39.54,126.76,3.82,0,2,5,25.23,0,31
33,2019,5,9,0804,39.52,126.76,3.82,0,2,3,8.75,0,31
34,2019,5,9,0804,39.52,126.78,3.82,0,2,3,8.74,0,31
35,2019,5,9,0804,39.50,126.78,3.82,0,2,3,8.74,0,31
