# 2019  5 11 11  0 UTC  2020  4 28 17  3 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,5,11,1058,53.26,139.88,2.96,0,2,3,2.75,0,2
2,2019,5,11,1058,53.26,139.90,2.96,0,2,5,4.08,0,2
3,2019,5,11,1058,53.26,139.92,2.96,0,2,5,4.08,0,2
4,2019,5,11,1058,53.24,139.88,2.97,0,2,3,2.75,0,2
5,2019,5,11,1058,53.24,139.90,2.97,0,2,5,4.08,0,2
6,2019,5,11,1058,53.24,139.92,2.97,0,2,5,4.08,0,2
7,2019,5,11,1058,52.92,139.70,2.99,0,2,1,.91,0,7
8,2019,5,11,1058,52.70,102.74,3.00,0,2,1,6.01,0,9
9,2019,5,11,1058,52.70,102.76,3.00,0,2,1,6.01,0,9
10,2019,5,11,1058,52.70,102.78,3.00,0,2,3,5.47,0,9
11,2019,5,11,1058,52.70,102.80,3.00,0,2,3,5.47,0,9
12,2019,5,11,1058,52.68,102.76,3.01,0,2,1,5.87,0,9
13,2019,5,11,1058,52.68,102.78,3.01,0,2,1,5.87,0,9
14,2019,5,11,1058,52.68,102.80,3.01,0,2,3,5.47,0,9
15,2019,5,11,1058,52.68,102.82,3.01,0,2,3,5.47,0,9
16,2019,5,11,1058,52.46,103.74,3.02,0,2,1,3.83,0,19
17,2019,5,11,1058,52.46,103.76,3.02,0,2,1,3.83,0,19
18,2019,5,11,1058,52.44,103.76,3.02,0,2,1,3.83,0,19
19,2019,5,11,1058,52.44,103.78,3.02,0,2,1,3.83,0,19
20,2019,5,11,1058,52.42,103.78,3.02,0,2,3,2.78,0,19
21,2019,5,11,1058,52.42,103.80,3.02,0,2,3,2.78,0,19
22,2019,5,11,1058,52.40,103.80,3.02,0,2,3,2.78,0,19
23,2019,5,11,1058,52.40,103.82,3.02,0,2,3,2.78,0,19
24,2019,5,11,1058,52.20,140.18,3.04,0,2,5,5.04,0,24
25,2019,5,11,1058,52.18,140.18,3.04,0,2,5,5.04,0,24
26,2019,5,11,1058,52.18,140.20,3.04,0,2,5,5.04,0,24
27,2019,5,11,1058,48.90,136.42,3.26,0,2,3,2.52,0,27
28,2019,5,11,1058,48.90,136.44,3.26,0,2,3,2.52,0,27
29,2019,5,11,1058,48.88,136.42,3.26,0,2,3,2.52,0,27
30,2019,5,11,1058,48.88,136.44,3.26,0,2,3,2.52,0,27
31,2019,5,11,1104,44.84,136.18,3.51,0,2,3,1.23,0,33
32,2019,5,11,1104,44.82,136.18,3.52,0,2,3,1.23,0,33
33,2019,5,11,1104,44.80,136.18,3.52,0,2,5,3.81,0,33
34,2019,5,11,1104,44.80,136.20,3.52,0,2,5,3.81,0,33
35,2019,5,11,1104,44.60,123.24,3.53,0,2,3,7.19,0,35
36,2019,5,11,1104,44.58,123.24,3.53,0,2,3,7.19,0,35
37,2019,5,11,1104,42.34,141.02,3.66,0,2,1,1.29,0,37
38,2019,5,11,1104,41.14,122.98,3.73,0,2,1,4.26,0,38
39,2019,5,11,1104,41.12,122.98,3.73,0,2,1,4.26,0,38
40,2019,5,11,1104,41.12,123.00,3.73,0,2,1,4.26,0,38
41,2019,5,11,1104,40.04,127.26,3.79,0,2,3,2.71,0,42
42,2019,5,11,1104,40.02,127.26,3.80,0,2,1,2.87,0,42
43,2019,5,11,1104,39.78,127.12,3.81,0,2,5,5.22,0,43
44,2019,5,11,1104,39.76,127.12,3.81,0,2,5,5.22,0,43
45,2019,5,11,1104,36.02,129.38,4.01,0,1,1,6.35,0,46
46,2019,5,11,1104,36.00,129.38,4.01,0,2,1,6.55,0,46
47,2019,5,11,1104,36.00,129.40,4.01,0,2,1,6.55,0,46
48,2019,5,11,1104,35.94,140.66,4.01,0,2,1,3.57,0,48
49,2019,5,11,1104,35.92,140.66,4.01,0,2,1,3.02,0,48
50,2019,5,11,1104,35.92,140.68,4.01,0,2,1,2.68,0,48
51,2019,5,11,1104,35.92,140.70,4.01,0,2,1,2.68,0,48
52,2019,5,11,1104,35.64,109.04,4.03,0,3,3,1.04,0,52
53,2019,5,11,1104,35.64,109.06,4.03,0,3,3,1.04,0,52
54,2019,5,11,1104,35.62,109.06,4.03,0,3,3,1.04,0,52
55,2019,5,11,1104,35.56,140.10,4.03,0,2,1,2.10,0,55
56,2019,5,11,1104,35.04,136.86,4.06,0,2,1,2.65,0,57
57,2019,5,11,1104,35.04,136.88,4.06,0,2,1,4.24,0,57
58,2019,5,11,1104,35.02,136.86,4.06,0,2,1,3.67,0,57
59,2019,5,11,1104,35.02,136.88,4.06,0,2,1,3.43,0,57
60,2019,5,11,1104,35.00,136.86,4.06,0,2,1,3.67,0,57
61,2019,5,11,1104,35.00,136.88,4.06,0,2,1,3.43,0,57
62,2019,5,11,1104,34.66,135.02,4.08,0,1,3,4.30,0,62
63,2019,5,11,1104,34.28,95.26,4.10,0,3,1,.69,0,63
64,2019,5,11,1104,27.74,107.86,4.39,0,2,3,.90,0,64
65,2019,5,11,1104,27.72,107.82,4.39,0,2,3,1.32,0,65
66,2019,5,11,1104,27.24,107.88,4.41,0,3,1,.50,0,66
67,2019,5,11,1104,24.10,96.50,4.52,0,2,1,4.21,0,67
68,2019,5,11,1104,24.10,96.52,4.52,0,2,1,4.21,0,67
69,2019,5,11,1104,24.10,96.54,4.52,0,2,1,3.00,0,67
70,2019,5,11,1104,24.08,96.52,4.53,0,2,1,3.46,0,67
71,2019,5,11,1104,24.08,96.54,4.53,0,2,1,2.55,0,67
72,2019,5,11,1104,24.08,96.56,4.53,0,2,1,2.55,0,67
73,2019,5,11,1104,23.72,96.34,4.54,0,2,1,5.94,0,73
74,2019,5,11,1104,23.72,96.36,4.54,0,2,1,5.94,0,73
75,2019,5,11,1104,23.52,107.16,4.54,0,2,3,1.01,0,75
76,2019,5,11,1104,23.22,100.60,4.56,0,2,1,19.54,0,76
77,2019,5,11,1104,23.22,100.62,4.56,0,2,1,19.54,0,76
78,2019,5,11,1104,23.22,100.64,4.56,0,2,1,13.70,0,76
79,2019,5,11,1104,23.20,100.62,4.56,0,2,3,13.01,0,76
80,2019,5,11,1104,22.54,102.62,4.58,0,2,1,10.25,0,80
81,2019,5,11,1104,22.54,102.64,4.58,0,2,1,10.25,0,80
82,2019,5,11,1104,21.38,100.78,4.62,0,2,1,14.70,0,82
83,2019,5,11,1104,21.38,100.80,4.62,0,2,1,14.70,0,82
84,2019,5,11,1104,21.12,100.52,4.62,0,2,1,5.71,0,84
85,2019,5,11,1104,19.88,100.38,4.66,0,2,3,11.29,0,85
86,2019,5,11,1104,2.74,103.40,4.95,0,2,3,8.76,0,86
87,2019,5,11,1104,1.92,109.38,4.95,0,2,3,4.44,0,87
88,2019,5,11,1104,-7.60,143.58,4.91,0,1,1,6.33,0,88
89,2019,5,11,1104,-8.56,126.04,4.90,0,1,3,11.15,0,89
90,2019,5,11,1109,-12.84,133.04,4.83,0,2,3,4.91,0,90
91,2019,5,11,1109,-12.92,133.14,4.83,0,2,1,2.48,0,96
92,2019,5,11,1109,-12.92,133.16,4.83,0,2,3,4.02,0,96
93,2019,5,11,1109,-12.92,133.44,4.83,0,2,5,9.23,0,93
94,2019,5,11,1109,-12.92,133.46,4.83,0,2,5,8.46,0,93
95,2019,5,11,1109,-12.94,133.16,4.83,0,2,3,4.76,0,96
