# 2019  5 19 13  0 UTC  2020  4 27  2 30 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,5,19,1302,58.48,107.58,2.59,0,2,1,4.59,0,5
2,2019,5,19,1302,58.48,107.60,2.59,0,2,1,4.59,0,5
3,2019,5,19,1302,58.46,107.60,2.59,0,2,1,4.60,0,5
4,2019,5,19,1302,58.46,107.62,2.59,0,2,1,4.60,0,5
5,2019,5,19,1302,58.44,107.62,2.59,0,2,1,4.60,0,5
6,2019,5,19,1302,58.44,107.64,2.59,0,3,1,4.52,0,5
7,2019,5,19,1302,54.78,105.12,2.86,0,2,3,1.83,0,11
8,2019,5,19,1302,54.78,105.14,2.86,0,2,3,1.83,0,11
9,2019,5,19,1302,54.78,105.16,2.86,0,2,3,1.83,0,11
10,2019,5,19,1302,54.76,105.16,2.86,0,2,3,1.83,0,11
11,2019,5,19,1302,54.76,105.18,2.86,0,2,3,1.83,0,11
12,2019,5,19,1302,53.08,103.94,2.98,0,2,3,1.25,0,21
13,2019,5,19,1302,53.08,103.96,2.98,0,2,3,1.25,0,21
14,2019,5,19,1302,53.06,103.96,2.98,0,2,3,1.25,0,21
15,2019,5,19,1302,53.06,103.98,2.98,0,2,3,1.25,0,21
16,2019,5,19,1302,53.04,103.94,2.98,0,2,3,2.78,0,21
17,2019,5,19,1302,53.04,103.96,2.98,0,2,3,2.78,0,21
18,2019,5,19,1302,53.04,103.98,2.98,0,2,3,1.48,0,21
19,2019,5,19,1302,53.04,104.00,2.98,0,2,3,1.48,0,21
20,2019,5,19,1302,53.02,103.96,2.98,0,2,3,2.78,0,21
21,2019,5,19,1302,53.02,103.98,2.98,0,2,3,2.78,0,21
22,2019,5,19,1302,53.02,104.00,2.98,0,2,3,1.48,0,21
23,2019,5,19,1302,53.02,104.02,2.98,0,2,3,1.48,0,21
24,2019,5,19,1302,52.98,104.30,2.98,0,2,5,2.56,0,24
25,2019,5,19,1302,52.96,104.32,2.99,0,2,5,2.60,0,28
26,2019,5,19,1302,52.96,104.34,2.99,0,2,5,2.60,0,28
27,2019,5,19,1302,52.94,104.34,2.99,0,2,5,2.60,0,28
28,2019,5,19,1302,52.94,104.36,2.99,0,2,5,2.60,0,28
29,2019,5,19,1302,52.32,103.22,3.03,0,2,3,1.63,0,32
30,2019,5,19,1302,52.32,103.24,3.03,0,2,3,1.63,0,32
31,2019,5,19,1302,52.30,103.24,3.03,0,2,3,1.63,0,32
32,2019,5,19,1302,52.30,103.26,3.03,0,2,3,1.63,0,32
33,2019,5,19,1302,51.52,106.54,3.08,0,2,1,1.12,0,38
34,2019,5,19,1302,51.52,106.56,3.08,0,2,1,1.12,0,38
35,2019,5,19,1302,51.50,106.56,3.09,0,1,3,2.85,0,38
36,2019,5,19,1302,51.50,106.58,3.09,0,2,3,1.12,0,38
37,2019,5,19,1302,51.48,106.58,3.09,0,1,3,2.85,0,38
38,2019,5,19,1302,51.48,106.60,3.09,0,1,3,2.85,0,38
39,2019,5,19,1302,51.46,106.62,3.09,0,2,3,3.88,0,39
40,2019,5,19,1302,51.40,99.76,3.09,0,3,1,.51,0,40
41,2019,5,19,1302,40.68,109.70,3.76,0,1,1,2.68,0,46
42,2019,5,19,1302,40.68,109.72,3.76,0,1,1,3.08,0,46
43,2019,5,19,1302,40.66,109.72,3.76,0,1,1,2.68,0,46
44,2019,5,19,1302,40.66,109.74,3.76,0,1,1,3.08,0,46
45,2019,5,19,1302,40.66,109.76,3.76,0,1,1,2.70,0,46
46,2019,5,19,1302,40.64,109.72,3.76,0,1,1,5.62,0,46
47,2019,5,19,1302,40.64,109.74,3.76,0,1,1,5.62,0,46
48,2019,5,19,1302,40.62,110.94,3.76,0,1,1,3.57,0,50
49,2019,5,19,1302,40.62,110.96,3.76,0,1,1,3.57,0,50
50,2019,5,19,1302,40.60,110.96,3.76,0,1,1,3.57,0,50
51,2019,5,19,1302,40.54,141.50,3.77,0,2,1,5.19,0,51
52,2019,5,19,1302,40.52,141.50,3.77,0,2,1,3.39,0,51
53,2019,5,19,1302,40.50,141.50,3.77,0,2,1,3.39,0,51
54,2019,5,19,1302,39.60,109.78,3.82,0,2,3,1.14,0,55
55,2019,5,19,1302,39.60,109.80,3.82,0,2,3,1.14,0,55
56,2019,5,19,1302,39.54,110.62,3.82,0,2,5,4.27,0,56
57,2019,5,19,1302,39.54,110.64,3.82,0,2,5,4.27,0,56
58,2019,5,19,1302,39.52,110.48,3.82,0,2,1,1.29,0,58
59,2019,5,19,1302,39.52,110.50,3.82,0,2,1,1.29,0,58
60,2019,5,19,1302,39.52,110.52,3.82,0,2,1,1.16,0,58
61,2019,5,19,1302,39.34,109.24,3.83,0,2,1,1.40,0,61
62,2019,5,19,1302,39.32,109.26,3.83,0,2,1,1.56,0,62
63,2019,5,19,1302,39.20,108.96,3.84,0,1,1,4.46,0,64
64,2019,5,19,1302,39.18,108.96,3.84,0,1,1,4.46,0,64
65,2019,5,19,1302,39.10,109.88,3.85,0,1,1,8.16,0,66
66,2019,5,19,1302,39.10,109.90,3.85,0,1,1,8.16,0,66
67,2019,5,19,1302,35.32,84.40,4.04,0,1,1,7.06,0,68
68,2019,5,19,1302,35.32,84.42,4.04,0,1,1,7.06,0,68
69,2019,5,19,1302,35.32,86.08,4.04,0,3,1,3.13,0,71
70,2019,5,19,1302,35.32,86.10,4.04,0,3,1,3.13,0,71
71,2019,5,19,1302,35.32,86.12,4.04,0,3,1,3.13,0,71
72,2019,5,19,1302,35.28,86.24,4.05,0,2,1,2.08,0,73
73,2019,5,19,1302,35.28,86.26,4.05,0,2,1,2.08,0,73
74,2019,5,19,1302,34.88,132.14,4.07,0,1,3,10.28,0,74
75,2019,5,19,1302,33.64,84.40,4.13,0,3,1,18.53,0,83
76,2019,5,19,1302,33.64,84.42,4.13,0,3,1,9.51,0,83
77,2019,5,19,1302,33.64,84.44,4.13,0,3,1,9.52,0,83
78,2019,5,19,1302,33.64,84.46,4.13,0,3,1,9.52,0,83
79,2019,5,19,1302,33.62,84.34,4.13,0,3,1,18.84,0,87
80,2019,5,19,1302,33.62,84.36,4.13,0,3,1,18.84,0,87
81,2019,5,19,1302,33.62,84.38,4.13,0,3,1,18.84,0,87
82,2019,5,19,1302,33.62,84.42,4.13,0,3,1,18.53,0,83
83,2019,5,19,1302,33.62,84.44,4.13,0,3,1,18.53,0,83
84,2019,5,19,1302,33.62,84.46,4.13,0,3,1,9.52,0,83
85,2019,5,19,1302,33.62,84.48,4.13,0,3,1,9.52,0,83
86,2019,5,19,1302,33.60,84.38,4.13,0,3,1,18.84,0,87
87,2019,5,19,1302,33.60,84.40,4.13,0,3,1,18.84,0,87
88,2019,5,19,1302,33.56,84.52,4.13,0,2,1,2.61,0,89
89,2019,5,19,1302,33.56,84.54,4.13,0,2,1,2.61,0,89
90,2019,5,19,1302,33.54,84.56,4.13,0,2,1,2.61,0,91
91,2019,5,19,1302,33.54,84.58,4.13,0,2,1,2.61,0,91
92,2019,5,19,1302,31.74,117.50,4.22,0,1,3,20.76,0,92
93,2019,5,19,1302,31.74,117.52,4.22,0,1,3,14.40,0,92
94,2019,5,19,1302,31.72,117.50,4.22,0,2,3,6.92,0,92
95,2019,5,19,1302,31.72,117.52,4.22,0,1,3,11.33,0,92
96,2019,5,19,1302,31.70,117.50,4.22,0,2,3,6.92,0,92
97,2019,5,19,1302,31.70,117.52,4.22,0,2,3,6.92,0,92
98,2019,5,19,1302,31.70,117.54,4.22,0,1,3,11.33,0,92
99,2019,5,19,1302,30.78,118.48,4.26,0,1,3,6.84,0,99
100,2019,5,19,1302,30.78,118.50,4.26,0,1,3,4.78,0,99
101,2019,5,19,1302,30.78,119.54,4.26,0,1,3,4.39,0,101
102,2019,5,19,1302,30.76,113.22,4.26,0,1,3,12.43,0,105
103,2019,5,19,1302,30.76,113.24,4.26,0,1,3,16.22,0,105
104,2019,5,19,1302,30.74,113.22,4.26,0,1,3,20.03,0,105
105,2019,5,19,1302,30.74,113.24,4.26,0,1,3,26.21,0,105
106,2019,5,19,1302,30.74,113.26,4.26,0,1,3,26.21,0,105
107,2019,5,19,1302,30.72,113.24,4.26,0,1,3,17.54,0,105
108,2019,5,19,1302,30.72,113.26,4.26,0,1,3,23.85,0,105
109,2019,5,19,1302,30.64,119.46,4.26,0,1,1,6.81,0,109
110,2019,5,19,1302,30.08,112.52,4.29,0,1,3,16.20,0,110
111,2019,5,19,1302,30.02,105.52,4.29,0,2,3,1.98,0,111
112,2019,5,19,1302,29.68,94.86,4.31,0,1,1,5.08,0,112
113,2019,5,19,1302,29.64,106.18,4.31,0,1,1,3.89,0,113
114,2019,5,19,1302,29.62,106.18,4.31,0,1,3,3.89,0,113
115,2019,5,19,1302,29.30,113.78,4.32,0,2,1,2.46,0,115
116,2019,5,19,1302,23.68,87.68,4.54,0,1,3,16.77,0,116
117,2019,5,19,1302,23.38,99.42,4.55,0,2,1,3.41,0,117
118,2019,5,19,1302,23.38,100.62,4.55,0,2,3,3.76,0,118
119,2019,5,19,1302,23.38,100.64,4.55,0,2,3,3.76,0,118
120,2019,5,19,1302,23.36,99.40,4.55,0,2,3,4.76,0,120
121,2019,5,19,1302,23.36,99.44,4.55,0,2,1,3.85,0,122
122,2019,5,19,1302,23.36,99.46,4.55,0,2,3,5.71,0,122
123,2019,5,19,1302,23.36,99.48,4.55,0,2,3,5.70,0,122
124,2019,5,19,1302,23.34,99.42,4.55,0,2,3,4.70,0,125
125,2019,5,19,1302,23.32,99.42,4.55,0,2,3,5.70,0,125
126,2019,5,19,1302,23.32,99.44,4.55,0,2,3,5.70,0,125
127,2019,5,19,1302,23.02,98.52,4.56,0,2,3,6.10,0,131
128,2019,5,19,1302,23.00,98.52,4.56,0,2,3,6.10,0,131
129,2019,5,19,1302,23.00,98.54,4.56,0,2,3,6.10,0,131
130,2019,5,19,1302,23.00,98.56,4.56,0,2,3,4.07,0,131
131,2019,5,19,1302,22.98,98.54,4.56,0,2,3,6.15,0,131
132,2019,5,19,1302,22.98,98.56,4.56,0,2,3,3.10,0,131
133,2019,5,19,1302,22.98,98.58,4.56,0,2,3,3.10,0,131
134,2019,5,19,1302,22.60,102.52,4.58,0,2,5,8.01,0,135
135,2019,5,19,1302,22.58,102.52,4.58,0,2,5,9.24,0,135
136,2019,5,19,1302,22.58,102.54,4.58,0,2,5,9.24,0,135
137,2019,5,19,1302,22.48,98.60,4.58,0,2,3,2.82,0,137
138,2019,5,19,1302,22.48,98.62,4.58,0,2,3,2.81,0,137
139,2019,5,19,1302,22.34,100.58,4.58,0,2,5,5.91,0,139
140,2019,5,19,1302,22.32,100.58,4.59,0,2,3,4.51,0,139
141,2019,5,19,1302,22.32,102.24,4.59,0,1,3,8.56,0,141
142,2019,5,19,1302,22.22,99.58,4.59,0,2,5,9.18,0,142
143,2019,5,19,1302,22.22,99.60,4.59,0,2,3,2.90,0,142
144,2019,5,19,1302,22.22,99.62,4.59,0,2,3,2.90,0,142
145,2019,5,19,1302,21.92,103.62,4.60,0,2,5,11.43,0,146
146,2019,5,19,1302,21.90,103.62,4.60,0,2,5,11.81,0,146
147,2019,5,19,1302,21.90,103.64,4.60,0,2,5,11.81,0,146
148,2019,5,19,1302,21.86,108.76,4.60,0,2,3,3.01,0,148
149,2019,5,19,1302,21.86,108.78,4.60,0,2,3,3.01,0,148
150,2019,5,19,1302,21.68,100.26,4.61,0,2,5,9.25,0,151
151,2019,5,19,1302,21.68,100.28,4.61,0,2,5,19.53,0,151
152,2019,5,19,1302,21.68,100.30,4.61,0,2,5,19.53,0,151
153,2019,5,19,1302,21.66,100.26,4.61,0,2,5,6.72,0,151
154,2019,5,19,1302,21.66,100.28,4.61,0,2,5,6.72,0,151
155,2019,5,19,1302,21.66,100.30,4.61,0,2,5,12.79,0,151
156,2019,5,19,1302,21.56,99.68,4.61,0,2,3,2.83,0,156
157,2019,5,19,1302,21.56,99.70,4.61,0,2,1,2.83,0,156
158,2019,5,19,1302,21.42,100.78,4.61,0,2,3,2.73,0,158
159,2019,5,19,1302,21.36,100.94,4.62,0,2,3,3.64,0,165
160,2019,5,19,1302,21.36,100.96,4.62,0,2,1,3.64,0,165
