# 2019  6  1  0  0 UTC  2020  3 19  8 47 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,6,1,0000,58.68,119.40,2.58,0,3,3,1.05,0,3
2,2019,6,1,0000,58.68,119.42,2.58,0,3,3,1.05,0,3
3,2019,6,1,0000,58.66,119.42,2.58,0,3,3,1.05,0,3
4,2019,6,1,0000,58.66,119.44,2.58,0,3,1,1.05,0,3
5,2019,6,1,0000,58.64,119.42,2.58,0,3,1,1.01,0,3
6,2019,6,1,0000,58.48,107.52,2.59,0,3,1,3.01,0,13
7,2019,6,1,0000,58.48,107.54,2.59,0,3,1,3.01,0,13
8,2019,6,1,0000,58.48,107.56,2.59,0,3,1,3.01,0,13
9,2019,6,1,0000,58.46,107.54,2.59,0,3,1,3.01,0,13
10,2019,6,1,0000,58.46,107.56,2.59,0,3,1,3.01,0,13
11,2019,6,1,0000,58.46,107.58,2.59,0,3,1,3.01,0,13
12,2019,6,1,0000,58.44,107.58,2.59,0,3,1,3.02,0,13
13,2019,6,1,0000,58.44,107.60,2.59,0,3,1,3.02,0,13
14,2019,6,1,0000,55.06,118.14,2.84,0,3,3,1.21,0,15
15,2019,6,1,0000,55.06,118.16,2.84,0,3,3,1.21,0,15
16,2019,6,1,0000,55.04,118.16,2.84,0,3,3,1.16,0,15
17,2019,6,1,0000,55.04,118.18,2.84,0,3,3,1.16,0,15
18,2019,6,1,0000,54.52,117.68,2.88,0,3,3,1.65,0,20
19,2019,6,1,0000,54.52,117.70,2.88,0,3,3,1.65,0,20
20,2019,6,1,0000,54.50,117.70,2.88,0,3,3,1.65,0,20
21,2019,6,1,0000,54.46,112.52,2.88,0,3,1,1.50,0,21
22,2019,6,1,0000,54.16,118.10,2.90,0,3,3,1.76,0,24
23,2019,6,1,0000,54.16,118.12,2.90,0,3,3,1.76,0,24
24,2019,6,1,0000,54.14,118.10,2.90,0,3,3,1.76,0,24
25,2019,6,1,0000,54.14,118.12,2.90,0,3,3,1.76,0,24
26,2019,6,1,0000,53.94,117.84,2.92,0,3,1,.89,0,26
27,2019,6,1,0000,53.88,116.18,2.92,0,3,1,.98,0,28
28,2019,6,1,0000,53.88,116.20,2.92,0,3,3,.98,0,28
29,2019,6,1,0000,53.74,123.16,2.93,0,3,3,1.53,2,29
30,2019,6,1,0000,53.72,123.16,2.93,0,3,1,1.53,2,29
31,2019,6,1,0000,53.58,116.66,2.94,0,3,1,1.06,2,31
32,2019,6,1,0000,53.56,116.66,2.94,0,3,1,1.06,2,31
33,2019,6,1,0000,53.56,116.68,2.94,0,3,1,1.06,2,31
34,2019,6,1,0000,53.26,116.64,2.96,0,3,1,.97,0,36
35,2019,6,1,0000,53.26,116.66,2.96,0,3,1,.98,0,36
36,2019,6,1,0000,53.24,116.66,2.97,0,3,1,.98,0,36
37,2019,6,1,0000,53.24,116.68,2.97,0,3,1,.98,0,36
38,2019,6,1,0000,53.04,121.92,2.98,0,3,1,1.73,0,39
39,2019,6,1,0000,53.02,121.92,2.98,0,3,1,1.73,0,39
40,2019,6,1,0000,53.02,121.94,2.98,0,3,1,1.73,0,39
41,2019,6,1,0000,52.80,123.80,3.00,0,3,1,.68,0,41
42,2019,6,1,0000,52.38,121.38,3.03,0,3,3,1.20,0,45
43,2019,6,1,0000,52.38,121.40,3.03,0,3,3,1.20,0,45
44,2019,6,1,0000,52.36,121.40,3.03,0,3,3,1.20,0,45
45,2019,6,1,0000,52.36,121.42,3.03,0,3,3,1.20,0,45
46,2019,6,1,0000,52.20,122.58,3.04,0,3,3,1.44,0,48
47,2019,6,1,0000,52.20,122.60,3.04,0,3,3,1.44,0,48
48,2019,6,1,0000,52.18,122.60,3.04,0,3,3,1.44,0,48
49,2019,6,1,0000,51.32,123.48,3.10,0,3,3,2.04,2,49
50,2019,6,1,0000,48.50,107.58,3.28,0,3,3,3.02,0,55
51,2019,6,1,0000,48.50,107.60,3.28,0,3,3,3.02,0,55
52,2019,6,1,0000,48.50,107.62,3.28,0,2,3,2.20,0,55
53,2019,6,1,0000,48.50,107.64,3.28,0,2,3,2.20,0,55
54,2019,6,1,0000,48.48,107.60,3.29,0,3,3,3.02,0,55
55,2019,6,1,0000,48.48,107.62,3.29,0,3,3,3.02,0,55
56,2019,6,1,0000,48.48,107.64,3.29,0,2,3,2.20,0,55
57,2019,6,1,0000,43.56,144.94,3.59,0,3,3,1.16,0,59
58,2019,6,1,0000,43.56,144.96,3.59,0,3,3,1.16,0,59
59,2019,6,1,0000,43.56,144.98,3.59,0,2,3,1.44,0,59
60,2019,6,1,0000,43.00,144.38,3.63,0,2,1,2.55,0,60
61,2019,6,1,0000,43.00,144.40,3.63,0,2,1,2.55,0,60
62,2019,6,1,0000,41.60,126.24,3.71,0,3,3,1.42,0,62
63,2019,6,1,0000,41.44,124.74,3.72,0,3,3,1.95,0,68
64,2019,6,1,0000,41.44,124.76,3.72,0,3,3,1.95,0,68
65,2019,6,1,0000,41.44,124.78,3.72,0,3,3,2.08,0,68
66,2019,6,1,0000,41.42,124.76,3.72,0,3,3,1.95,0,68
67,2019,6,1,0000,41.42,124.78,3.72,0,3,3,2.08,0,68
68,2019,6,1,0000,41.40,124.76,3.72,0,3,3,2.54,0,68
69,2019,6,1,0000,40.58,140.46,3.76,0,2,1,3.30,0,69
70,2019,6,1,0000,38.44,141.26,3.88,0,3,1,2.13,0,70
71,2019,6,1,0000,37.40,140.36,3.94,0,3,1,2.41,0,71
72,2019,6,1,0000,37.38,140.36,3.94,0,3,1,2.41,0,71
73,2019,6,1,0000,36.16,137.24,4.00,0,3,1,3.14,0,73
74,2019,6,1,0000,36.14,137.24,4.00,0,3,1,3.14,0,73
75,2019,6,1,0000,35.98,136.48,4.01,0,2,1,3.47,0,75
76,2019,6,1,0000,35.88,136.86,4.02,0,3,1,1.98,0,76
77,2019,6,1,0006,19.48,80.40,4.67,0,2,3,4.07,0,82
78,2019,6,1,0006,19.48,80.42,4.67,0,2,3,4.07,0,82
79,2019,6,1,0006,19.48,80.44,4.67,0,2,3,4.07,0,82
80,2019,6,1,0006,19.46,80.42,4.67,0,2,3,7.43,0,82
81,2019,6,1,0006,19.46,80.44,4.67,0,2,3,7.43,0,82
82,2019,6,1,0006,19.46,80.46,4.67,0,2,1,7.43,0,82
83,2019,6,1,0006,16.14,108.08,4.76,0,3,5,7.88,0,84
84,2019,6,1,0006,16.12,108.08,4.76,0,1,3,18.86,0,84
85,2019,6,1,0006,13.68,109.22,4.82,0,2,5,3.39,0,85
86,2019,6,1,0006,8.04,122.44,4.91,0,3,3,1.42,0,86
87,2019,6,1,0006,-.86,134.06,4.96,0,3,1,2.15,0,87
88,2019,6,1,0006,-.88,131.30,4.96,0,3,3,1.83,0,90
89,2019,6,1,0006,-.90,131.30,4.96,0,3,1,1.69,0,90
90,2019,6,1,0006,-.90,131.32,4.96,0,3,1,2.30,0,90
91,2019,6,1,0006,-11.56,130.68,4.86,0,3,3,1.43,0,92
92,2019,6,1,0006,-11.58,130.68,4.86,0,3,3,1.51,0,92
93,2019,6,1,0006,-11.62,130.32,4.86,0,3,1,1.44,0,94
94,2019,6,1,0006,-11.62,130.34,4.86,0,2,3,2.67,0,94
95,2019,6,1,0006,-11.64,130.34,4.85,0,2,3,2.61,0,94
96,2019,6,1,0006,-12.10,134.52,4.85,0,3,1,1.66,0,96
97,2019,6,1,0006,-12.12,134.00,4.85,0,2,3,3.36,0,97
98,2019,6,1,0006,-12.14,133.98,4.85,0,2,1,2.02,0,98
99,2019,6,1,0006,-12.46,134.74,4.84,0,2,3,4.80,0,99
100,2019,6,1,0006,-12.60,133.50,4.84,0,3,3,3.59,0,100
101,2019,6,1,0006,-12.62,133.50,4.84,0,3,1,2.48,0,100
102,2019,6,1,0006,-12.64,131.54,4.84,0,1,3,25.90,0,102
103,2019,6,1,0006,-12.66,131.52,4.84,0,2,3,5.62,0,102
104,2019,6,1,0006,-12.66,131.54,4.84,0,2,3,7.94,0,102
105,2019,6,1,0006,-12.68,131.46,4.84,0,2,3,4.27,0,105
106,2019,6,1,0006,-12.70,132.76,4.84,0,1,1,7.37,0,106
107,2019,6,1,0006,-12.80,131.16,4.83,0,3,3,3.46,0,107
108,2019,6,1,0006,-12.88,134.18,4.83,0,2,5,8.55,0,108
109,2019,6,1,0006,-12.92,131.82,4.83,0,2,3,5.87,0,109
110,2019,6,1,0006,-12.94,131.82,4.83,0,2,1,3.35,0,109
111,2019,6,1,0006,-13.06,130.92,4.83,0,2,5,3.60,0,111
112,2019,6,1,0006,-13.18,131.74,4.83,0,2,3,5.00,0,112
113,2019,6,1,0006,-13.24,131.80,4.82,0,2,3,9.64,0,113
114,2019,6,1,0006,-13.30,131.82,4.82,0,2,3,4.96,0,114
115,2019,6,1,0006,-13.32,131.84,4.82,0,2,3,7.67,0,115
116,2019,6,1,0006,-13.40,133.20,4.82,0,2,1,1.52,0,116
117,2019,6,1,0006,-13.48,131.24,4.82,0,2,3,3.30,0,117
118,2019,6,1,0006,-13.66,132.18,4.82,0,2,5,7.52,0,118
119,2019,6,1,0006,-13.68,132.18,4.82,0,2,3,4.70,0,118
120,2019,6,1,0006,-13.70,131.88,4.82,0,2,3,11.34,0,122
121,2019,6,1,0006,-13.72,131.86,4.82,0,2,5,18.31,0,122
122,2019,6,1,0006,-13.72,131.88,4.82,0,2,5,40.57,0,122
123,2019,6,1,0006,-13.74,131.86,4.81,0,2,5,18.97,0,122
124,2019,6,1,0006,-13.74,131.88,4.81,0,2,5,33.44,0,122
125,2019,6,1,0006,-13.76,130.66,4.81,0,2,3,3.87,0,125
126,2019,6,1,0006,-13.86,130.30,4.81,0,2,5,21.69,0,126
127,2019,6,1,0006,-13.88,132.04,4.81,0,2,3,5.45,0,127
128,2019,6,1,0006,-13.88,132.52,4.81,0,2,5,6.80,0,128
129,2019,6,1,0006,-13.88,133.56,4.81,0,2,3,2.68,0,129
130,2019,6,1,0006,-13.90,142.34,4.81,0,2,3,10.20,0,130
131,2019,6,1,0006,-13.92,130.42,4.81,0,2,5,13.63,0,132
132,2019,6,1,0006,-13.92,130.44,4.81,0,2,5,25.40,0,132
133,2019,6,1,0006,-13.92,133.64,4.81,0,2,3,3.29,0,133
134,2019,6,1,0006,-13.94,130.42,4.81,0,2,5,11.75,0,132
