# 2019  7  1 17 50 UTC  2020  3 20  9 24 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,7,1,1749,59.88,110.78,2.49,0,3,1,3.48,0,1
2,2019,7,1,1749,59.86,110.80,2.49,0,3,1,3.28,0,2
3,2019,7,1,1749,59.86,110.82,2.49,0,3,1,3.21,0,2
4,2019,7,1,1749,59.84,110.82,2.49,0,3,1,3.22,0,2
5,2019,7,1,1749,59.84,110.84,2.49,0,3,3,3.22,0,2
6,2019,7,1,1749,58.08,106.46,2.62,0,2,1,12.78,0,6
7,2019,7,1,1749,58.06,106.48,2.62,0,2,1,11.85,0,12
8,2019,7,1,1749,58.06,106.50,2.62,0,2,1,11.85,0,12
9,2019,7,1,1749,58.06,106.52,2.62,0,2,1,11.85,0,12
10,2019,7,1,1749,58.04,106.50,2.62,0,2,1,11.86,0,12
11,2019,7,1,1749,58.04,106.52,2.62,0,2,1,11.86,0,12
12,2019,7,1,1749,58.04,106.54,2.62,0,2,1,11.86,0,12
13,2019,7,1,1749,58.00,106.76,2.63,0,3,1,4.78,0,14
14,2019,7,1,1749,58.00,106.78,2.63,0,2,1,5.05,0,14
15,2019,7,1,1749,58.00,106.80,2.63,0,2,1,4.94,0,14
16,2019,7,1,1749,57.98,106.76,2.63,0,3,1,4.70,0,14
17,2019,7,1,1749,57.98,106.78,2.63,0,3,1,4.70,0,14
18,2019,7,1,1749,57.98,106.80,2.63,0,3,1,4.70,0,14
19,2019,7,1,1749,57.98,106.82,2.63,0,2,1,4.95,0,14
20,2019,7,1,1749,57.98,106.84,2.63,0,2,1,4.95,0,14
21,2019,7,1,1749,57.96,106.80,2.63,0,3,1,4.70,0,14
22,2019,7,1,1749,57.96,106.82,2.63,0,3,1,4.70,0,14
23,2019,7,1,1749,57.96,106.84,2.63,0,2,1,4.95,0,14
24,2019,7,1,1749,57.96,106.86,2.63,0,2,1,4.95,0,14
25,2019,7,1,1749,57.90,105.84,2.63,0,3,1,3.98,0,28
26,2019,7,1,1749,57.90,105.86,2.63,0,3,1,3.98,0,28
27,2019,7,1,1749,57.88,105.86,2.64,0,3,1,3.99,0,28
28,2019,7,1,1749,57.88,105.88,2.64,0,3,1,3.99,0,28
29,2019,7,1,1749,57.34,101.26,2.67,0,2,1,5.61,0,30
30,2019,7,1,1749,57.34,101.28,2.67,0,2,3,5.63,0,30
31,2019,7,1,1749,57.34,101.30,2.67,0,2,3,5.63,0,30
32,2019,7,1,1749,57.32,101.30,2.68,0,2,3,5.38,0,30
33,2019,7,1,1749,57.32,101.32,2.68,0,2,3,5.40,0,30
34,2019,7,1,1749,54.76,117.62,2.86,0,2,3,2.17,0,37
35,2019,7,1,1749,54.76,117.64,2.86,0,2,3,2.17,0,37
36,2019,7,1,1749,54.74,117.64,2.86,0,2,3,2.17,0,37
37,2019,7,1,1749,54.74,117.66,2.86,0,2,3,2.17,0,37
38,2019,7,1,1749,52.94,140.96,2.99,0,2,3,4.53,0,39
39,2019,7,1,1749,52.92,140.96,2.99,0,2,3,4.53,0,39
40,2019,7,1,1749,52.92,140.98,2.99,0,2,3,4.53,0,39
41,2019,7,1,1749,44.76,90.18,3.52,0,2,1,4.79,0,45
42,2019,7,1,1749,44.76,90.20,3.52,0,2,1,4.79,0,45
43,2019,7,1,1749,44.74,90.20,3.52,0,2,1,4.80,0,45
44,2019,7,1,1749,44.74,90.22,3.52,0,2,1,4.81,0,45
45,2019,7,1,1749,44.74,90.24,3.52,0,2,1,4.81,0,45
46,2019,7,1,1749,43.86,125.80,3.57,0,1,1,10.46,0,46
47,2019,7,1,1749,43.86,125.82,3.57,0,1,1,10.46,0,46
48,2019,7,1,1749,43.84,125.82,3.58,0,1,1,10.46,0,46
49,2019,7,1,1749,41.16,122.98,3.73,0,2,1,2.59,0,51
