# 2019  7  2 11 10 UTC  2020  3 20 10  2 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,7,2,1109,56.72,161.36,2.72,0,1,1,14.50,0,5
2,2019,7,2,1109,56.72,161.38,2.72,0,1,1,14.50,0,5
3,2019,7,2,1109,56.70,161.34,2.72,1,1,1,14.50,0,5
4,2019,7,2,1109,56.70,161.36,2.72,1,1,1,14.50,0,5
5,2019,7,2,1109,56.68,161.32,2.72,1,1,1,14.50,0,5
6,2019,7,2,1109,56.68,161.34,2.72,1,2,1,12.50,0,5
7,2019,7,2,1109,56.66,161.32,2.72,1,2,1,12.50,0,5
8,2019,7,2,1109,56.66,161.34,2.72,1,2,1,12.50,0,5
9,2019,7,2,1109,56.64,161.30,2.73,0,2,1,12.19,0,5
10,2019,7,2,1109,56.64,161.32,2.73,0,2,1,12.19,0,5
11,2019,7,2,1109,55.20,126.60,2.83,0,3,1,2.31,0,11
12,2019,7,2,1109,51.82,97.88,3.06,0,3,3,2.09,0,16
13,2019,7,2,1109,51.82,97.90,3.06,0,3,3,2.09,0,16
14,2019,7,2,1109,51.80,97.90,3.07,0,3,3,2.10,0,16
15,2019,7,2,1109,51.80,97.92,3.07,0,3,3,2.10,0,16
16,2019,7,2,1109,51.80,97.94,3.07,0,3,3,2.10,0,16
17,2019,7,2,1109,51.24,97.54,3.10,0,3,3,2.13,0,21
18,2019,7,2,1109,51.24,97.56,3.10,0,3,3,2.13,0,21
19,2019,7,2,1109,51.22,97.56,3.10,0,3,3,2.13,0,21
20,2019,7,2,1109,51.22,97.58,3.10,0,3,3,2.13,0,21
21,2019,7,2,1109,51.22,97.60,3.10,0,3,3,2.13,0,21
22,2019,7,2,1109,50.34,98.30,3.16,0,3,5,2.59,0,23
23,2019,7,2,1109,50.34,98.32,3.16,0,3,5,2.59,0,23
24,2019,7,2,1109,50.32,98.34,3.16,0,3,5,2.21,0,25
25,2019,7,2,1109,50.32,98.36,3.16,0,3,5,2.21,0,25
26,2019,7,2,1109,50.00,94.16,3.19,0,3,3,7.66,0,26
27,2019,7,2,1109,50.00,94.18,3.19,0,3,3,7.66,0,26
28,2019,7,2,1109,44.42,113.14,3.54,0,2,1,2.99,0,28
29,2019,7,2,1109,44.00,143.48,3.57,0,1,1,5.03,0,29
30,2019,7,2,1109,44.00,143.50,3.57,0,1,1,5.03,0,29
31,2019,7,2,1109,37.86,127.72,3.91,0,1,1,3.97,0,31
32,2019,7,2,1115,29.18,85.22,4.33,0,3,1,10.90,0,33
33,2019,7,2,1115,29.18,85.24,4.33,0,3,1,10.90,0,33
34,2019,7,2,1115,29.14,85.22,4.33,0,2,1,15.54,0,35
35,2019,7,2,1115,29.14,85.24,4.33,0,2,1,15.54,0,35
36,2019,7,2,1115,28.82,85.36,4.34,0,3,1,5.80,0,36
37,2019,7,2,1115,28.64,91.62,4.35,0,3,1,6.83,0,38
38,2019,7,2,1115,28.64,91.64,4.35,0,3,1,6.83,0,38
39,2019,7,2,1115,28.28,109.70,4.36,0,2,1,1.02,0,39
40,2019,7,2,1115,28.16,109.18,4.37,0,2,1,2.03,0,40
41,2019,7,2,1115,28.16,109.20,4.37,0,2,3,2.03,0,40
42,2019,7,2,1115,26.74,88.54,4.43,0,3,1,3.32,0,43
43,2019,7,2,1115,26.74,88.56,4.43,0,3,1,3.32,0,43
44,2019,7,2,1115,.34,117.38,4.96,0,1,3,6.87,0,44
45,2019,7,2,1115,-.90,102.08,4.96,0,2,5,6.40,0,45
46,2019,7,2,1115,-3.62,135.16,4.95,0,2,3,2.61,0,47
47,2019,7,2,1115,-3.64,135.16,4.95,0,2,3,3.15,0,47
48,2019,7,2,1115,-4.44,135.80,4.94,0,1,3,12.38,0,48
49,2019,7,2,1115,-4.60,105.48,4.94,0,2,3,3.46,0,49
50,2019,7,2,1115,-5.04,137.62,4.94,0,1,3,4.80,0,50
51,2019,7,2,1115,-6.90,139.46,4.92,0,2,1,2.56,0,51
52,2019,7,2,1115,-6.92,139.44,4.92,0,1,3,7.12,0,52
53,2019,7,2,1115,-7.00,143.12,4.92,0,2,1,1.86,0,53
54,2019,7,2,1115,-7.16,141.24,4.92,0,1,1,3.73,0,54
55,2019,7,2,1115,-7.94,112.72,4.91,0,2,5,8.81,0,55
56,2019,7,2,1115,-11.46,131.30,4.86,0,2,3,4.08,0,56
57,2019,7,2,1115,-11.52,131.04,4.86,0,2,3,3.19,0,57
58,2019,7,2,1115,-11.64,131.06,4.85,0,2,1,2.54,0,58
59,2019,7,2,1115,-11.70,130.86,4.85,0,2,3,2.53,0,59
60,2019,7,2,1115,-11.82,130.84,4.85,0,2,3,3.01,0,60
61,2019,7,2,1115,-12.08,133.48,4.85,0,2,3,1.59,0,61
62,2019,7,2,1115,-12.52,130.92,4.84,0,2,1,2.63,0,62
63,2019,7,2,1115,-12.52,134.72,4.84,0,2,3,2.02,0,65
64,2019,7,2,1115,-12.54,130.92,4.84,0,2,1,1.99,0,62
65,2019,7,2,1115,-12.54,134.72,4.84,0,2,3,3.09,0,65
66,2019,7,2,1115,-12.56,134.74,4.84,0,2,3,1.94,0,66
67,2019,7,2,1115,-12.60,131.34,4.84,0,2,5,3.75,0,67
68,2019,7,2,1115,-12.62,131.34,4.84,0,2,1,2.09,0,67
69,2019,7,2,1115,-12.64,134.72,4.84,0,2,3,2.42,0,70
70,2019,7,2,1115,-12.66,134.70,4.84,0,2,3,3.05,0,70
71,2019,7,2,1115,-12.66,134.72,4.84,0,2,1,2.10,0,70
72,2019,7,2,1115,-12.72,130.52,4.83,0,2,5,4.12,0,72
73,2019,7,2,1115,-12.72,130.54,4.83,0,2,3,1.96,0,72
74,2019,7,2,1115,-12.88,134.48,4.83,0,2,3,2.79,0,74
75,2019,7,2,1115,-12.92,134.42,4.83,0,2,3,2.10,0,75
76,2019,7,2,1115,-12.98,134.56,4.83,0,2,3,2.79,0,76
77,2019,7,2,1115,-13.02,134.48,4.83,0,2,3,3.01,0,77
78,2019,7,2,1115,-13.60,131.94,4.82,0,2,3,5.07,0,78
79,2019,7,2,1115,-13.60,131.96,4.82,0,2,3,4.17,0,78
80,2019,7,2,1115,-13.86,133.92,4.81,0,2,5,7.80,0,85
81,2019,7,2,1115,-13.86,133.94,4.81,0,2,5,15.23,0,85
82,2019,7,2,1115,-13.86,133.96,4.81,0,2,3,6.12,0,85
83,2019,7,2,1115,-13.86,133.98,4.81,0,2,3,5.67,0,85
84,2019,7,2,1115,-13.88,133.92,4.81,0,2,3,8.87,0,85
85,2019,7,2,1115,-13.88,133.94,4.81,0,2,5,16.99,0,85
86,2019,7,2,1115,-13.88,133.96,4.81,0,2,3,6.46,0,85
87,2019,7,2,1115,-13.88,133.98,4.81,0,2,3,5.94,0,85
88,2019,7,2,1115,-14.20,129.76,4.81,0,2,5,7.19,0,88
89,2019,7,2,1115,-14.20,129.78,4.81,0,2,5,5.02,0,88
90,2019,7,2,1115,-14.20,130.48,4.81,0,2,5,4.30,0,90
91,2019,7,2,1115,-14.22,130.48,4.80,0,2,1,1.38,0,90
92,2019,7,2,1115,-14.24,130.46,4.80,0,2,3,2.47,0,92
93,2019,7,2,1115,-14.30,135.62,4.80,0,2,3,2.89,0,93
94,2019,7,2,1115,-14.34,135.18,4.80,0,2,1,1.54,0,94
95,2019,7,2,1115,-14.38,135.52,4.80,0,2,3,1.94,0,95
96,2019,7,2,1115,-14.38,135.56,4.80,0,2,3,2.51,0,96
97,2019,7,2,1115,-14.44,130.54,4.80,0,2,1,3.11,0,99
98,2019,7,2,1115,-14.46,130.54,4.80,0,2,5,5.61,0,99
