# 2019  7  6 12  0 UTC  2020  3 20 13  8 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,7,6,1200,57.78,110.98,2.64,0,3,1,7.13,0,3
2,2019,7,6,1200,57.78,111.00,2.64,0,3,1,7.13,0,3
3,2019,7,6,1200,57.76,111.00,2.64,0,3,1,7.14,0,3
4,2019,7,6,1200,57.76,111.02,2.64,0,3,1,7.14,0,3
5,2019,7,6,1200,57.66,110.28,2.65,0,2,1,4.24,0,5
6,2019,7,6,1200,57.66,110.30,2.65,0,2,1,4.24,0,5
7,2019,7,6,1200,57.48,136.42,2.66,0,2,3,2.06,0,8
8,2019,7,6,1200,57.46,136.42,2.67,0,2,3,2.06,0,8
9,2019,7,6,1200,57.46,136.44,2.67,0,2,3,2.06,0,8
10,2019,7,6,1200,56.72,161.36,2.72,0,1,1,9.60,0,14
11,2019,7,6,1200,56.72,161.38,2.72,0,1,1,9.60,0,14
12,2019,7,6,1200,56.70,161.34,2.72,1,1,1,9.60,0,14
13,2019,7,6,1200,56.70,161.36,2.72,1,1,1,9.60,0,14
14,2019,7,6,1200,56.68,161.32,2.72,1,1,1,9.60,0,14
15,2019,7,6,1200,56.68,161.34,2.72,1,2,1,5.48,0,14
16,2019,7,6,1200,56.66,161.32,2.72,1,2,1,5.49,0,14
17,2019,7,6,1200,56.66,161.34,2.72,1,2,1,5.49,0,14
18,2019,7,6,1200,56.64,161.32,2.73,0,2,1,5.49,0,14
19,2019,7,6,1200,56.60,109.66,2.73,0,2,1,12.72,0,24
20,2019,7,6,1200,56.60,109.68,2.73,0,2,1,12.72,0,24
21,2019,7,6,1200,56.58,109.68,2.73,0,2,1,12.76,0,24
22,2019,7,6,1200,56.58,109.70,2.73,0,2,1,12.76,0,24
23,2019,7,6,1200,56.56,109.70,2.73,0,2,1,12.76,0,24
24,2019,7,6,1200,56.56,109.72,2.73,0,2,1,12.76,0,24
25,2019,7,6,1200,56.54,109.72,2.73,0,2,1,11.50,0,24
26,2019,7,6,1200,56.54,109.74,2.73,0,2,1,11.50,0,24
27,2019,7,6,1200,56.52,109.74,2.73,0,2,1,11.53,0,24
28,2019,7,6,1200,56.52,109.76,2.73,0,2,1,11.53,0,24
29,2019,7,6,1200,56.42,116.70,2.74,0,2,3,9.09,0,32
30,2019,7,6,1200,56.42,116.72,2.74,0,2,1,9.09,0,32
31,2019,7,6,1200,56.40,116.72,2.74,0,2,1,9.09,0,32
32,2019,7,6,1200,56.38,116.72,2.74,0,2,1,9.12,0,32
33,2019,7,6,1200,56.36,116.74,2.75,0,2,3,10.39,0,36
34,2019,7,6,1200,56.36,116.76,2.75,0,2,3,10.39,0,36
35,2019,7,6,1200,56.34,116.76,2.75,0,2,3,10.39,0,36
36,2019,7,6,1200,56.34,116.78,2.75,0,2,3,10.39,0,36
37,2019,7,6,1200,55.68,106.52,2.79,0,2,1,6.10,0,40
38,2019,7,6,1200,55.68,106.54,2.79,0,2,1,6.10,0,40
39,2019,7,6,1200,55.66,106.54,2.80,0,2,1,6.11,0,40
40,2019,7,6,1200,55.66,106.56,2.80,0,2,1,6.11,0,40
41,2019,7,6,1200,55.60,105.20,2.80,0,3,1,6.45,0,52
42,2019,7,6,1200,55.60,105.22,2.80,0,3,1,6.45,0,52
