# 2019  7 15  5 30 UTC  2020  3 20 19 40 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,7,15,0532,58.18,137.62,2.61,0,1,3,12.68,0,3
2,2019,7,15,0532,58.16,137.62,2.61,0,1,1,12.68,0,3
3,2019,7,15,0532,58.16,137.64,2.61,0,1,1,12.68,0,3
4,2019,7,15,0532,58.14,107.60,2.62,0,2,3,11.57,0,8
5,2019,7,15,0532,58.14,107.62,2.62,0,2,3,11.57,0,8
6,2019,7,15,0532,58.12,107.62,2.62,0,2,3,11.57,0,8
7,2019,7,15,0532,58.12,107.64,2.62,0,2,3,11.57,0,8
8,2019,7,15,0532,58.10,107.64,2.62,0,2,3,15.71,0,8
9,2019,7,15,0532,58.10,107.66,2.62,0,2,3,15.36,0,8
10,2019,7,15,0532,58.08,107.66,2.62,0,2,3,15.37,0,8
11,2019,7,15,0532,58.08,107.68,2.62,0,2,3,15.37,0,8
12,2019,7,15,0532,58.08,107.70,2.62,0,2,3,15.40,0,8
13,2019,7,15,0532,58.06,107.68,2.62,0,2,3,15.40,0,8
14,2019,7,15,0532,58.06,107.70,2.62,0,2,3,15.40,0,8
15,2019,7,15,0532,58.06,107.72,2.62,0,2,3,15.40,0,8
16,2019,7,15,0532,57.78,158.58,2.64,0,3,1,1.02,0,16
17,2019,7,15,0532,57.62,106.40,2.65,0,2,3,20.02,0,28
18,2019,7,15,0532,57.62,106.42,2.65,0,2,3,20.08,0,28
19,2019,7,15,0532,57.62,106.44,2.65,0,2,3,20.08,0,28
20,2019,7,15,0532,57.62,106.46,2.65,0,2,3,24.17,0,28
21,2019,7,15,0532,57.62,106.48,2.65,0,2,3,24.17,0,28
22,2019,7,15,0532,57.60,106.44,2.66,0,2,3,20.08,0,28
23,2019,7,15,0532,57.60,106.46,2.66,0,2,3,20.08,0,28
24,2019,7,15,0532,57.60,106.48,2.66,0,2,3,24.17,0,28
25,2019,7,15,0532,57.60,106.50,2.66,0,2,3,24.17,0,28
26,2019,7,15,0532,57.58,106.46,2.66,0,2,3,20.08,0,28
27,2019,7,15,0532,57.58,106.48,2.66,0,2,3,20.09,0,28
28,2019,7,15,0532,57.58,106.50,2.66,0,2,3,24.18,0,28
29,2019,7,15,0532,57.58,106.52,2.66,0,2,3,24.18,0,28
30,2019,7,15,0532,55.60,108.80,2.80,0,2,5,51.03,0,44
31,2019,7,15,0532,55.60,108.82,2.80,0,2,5,51.03,0,44
32,2019,7,15,0532,55.60,108.84,2.80,0,2,5,16.29,0,44
33,2019,7,15,0532,55.60,108.86,2.80,0,2,5,16.29,0,44
34,2019,7,15,0532,55.58,108.82,2.80,0,2,5,51.15,0,44
35,2019,7,15,0532,55.58,108.84,2.80,0,2,5,51.15,0,44
36,2019,7,15,0532,55.58,108.86,2.80,0,2,5,16.31,0,44
37,2019,7,15,0532,55.58,108.88,2.80,0,2,5,16.31,0,44
38,2019,7,15,0532,55.56,108.80,2.80,0,2,5,84.93,0,44
39,2019,7,15,0532,55.56,108.82,2.80,0,2,5,84.93,0,44
40,2019,7,15,0532,55.56,108.84,2.80,0,2,5,42.99,0,44
41,2019,7,15,0532,55.56,108.86,2.80,0,2,5,42.99,0,44
42,2019,7,15,0532,55.56,108.88,2.80,0,2,5,16.31,0,44
43,2019,7,15,0532,55.56,108.90,2.80,0,2,5,16.31,0,44
44,2019,7,15,0532,55.54,108.82,2.80,0,2,5,84.93,0,44
45,2019,7,15,0532,55.54,108.84,2.80,0,2,5,84.93,0,44
46,2019,7,15,0532,55.54,108.86,2.80,0,2,5,42.99,0,44
47,2019,7,15,0532,55.54,108.88,2.80,0,2,5,42.99,0,44
48,2019,7,15,0532,55.52,108.86,2.81,0,2,5,84.93,0,44
49,2019,7,15,0532,55.52,108.88,2.81,0,2,5,42.99,0,44
50,2019,7,15,0532,55.52,108.90,2.81,0,2,5,42.99,0,44
51,2019,7,15,0532,55.16,157.08,2.83,0,3,1,1.38,0,53
52,2019,7,15,0532,55.14,157.06,2.83,0,3,3,1.38,0,53
53,2019,7,15,0532,55.14,157.08,2.83,0,3,1,1.38,0,53
54,2019,7,15,0532,51.64,142.56,3.08,0,2,1,2.05,0,57
55,2019,7,15,0532,51.64,142.58,3.08,0,2,1,2.05,0,57
56,2019,7,15,0532,51.62,142.56,3.08,0,2,1,2.05,0,57
57,2019,7,15,0532,51.62,142.58,3.08,0,2,1,2.05,0,57
58,2019,7,15,0532,49.22,107.44,3.24,0,2,3,32.03,0,63
59,2019,7,15,0532,49.22,107.46,3.24,0,2,3,32.03,0,63
60,2019,7,15,0532,49.22,107.48,3.24,0,2,5,26.95,0,63
61,2019,7,15,0532,49.22,107.50,3.24,0,2,5,26.95,0,63
62,2019,7,15,0532,49.20,107.46,3.24,0,2,3,32.03,0,63
63,2019,7,15,0532,49.20,107.48,3.24,0,2,3,32.03,0,63
64,2019,7,15,0532,49.20,107.50,3.24,0,2,5,26.95,0,63
65,2019,7,15,0532,49.20,107.52,3.24,0,2,5,26.95,0,63
66,2019,7,15,0532,45.06,125.48,3.50,0,2,1,5.32,0,66
