# 2019  8  3  8 50 UTC  2020  3 21 10 51 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,8,3,0849,57.40,124.94,2.67,0,3,3,3.83,0,1
2,2019,8,3,0849,55.92,112.88,2.78,0,3,3,2.66,0,3
3,2019,8,3,0849,55.92,112.90,2.78,0,3,3,2.66,0,3
4,2019,8,3,0849,55.18,118.24,2.83,0,2,5,16.39,0,11
5,2019,8,3,0849,55.18,118.26,2.83,0,2,5,16.39,0,11
6,2019,8,3,0849,55.18,118.28,2.83,0,2,5,21.46,0,11
7,2019,8,3,0849,55.18,118.30,2.83,0,2,5,21.46,0,11
8,2019,8,3,0849,55.16,118.26,2.83,0,2,5,16.39,0,11
9,2019,8,3,0849,55.16,118.28,2.83,0,2,5,16.39,0,11
10,2019,8,3,0849,55.16,118.30,2.83,0,2,5,21.46,0,11
11,2019,8,3,0849,55.16,118.32,2.83,0,2,5,21.46,0,11
12,2019,8,3,0849,54.96,123.44,2.85,0,3,3,.79,0,17
13,2019,8,3,0849,54.96,123.46,2.85,0,3,3,.79,0,17
14,2019,8,3,0849,54.94,123.46,2.85,0,3,3,.80,0,17
15,2019,8,3,0849,54.94,123.48,2.85,0,3,3,.80,0,17
16,2019,8,3,0849,54.92,117.34,2.85,0,2,3,19.72,0,22
17,2019,8,3,0849,54.92,123.46,2.85,0,3,3,.80,0,17
18,2019,8,3,0849,54.92,123.48,2.85,0,3,3,.80,0,17
19,2019,8,3,0849,54.90,117.34,2.85,0,2,3,19.72,0,22
20,2019,8,3,0849,54.90,117.36,2.85,0,2,3,19.72,0,22
21,2019,8,3,0849,54.88,117.36,2.85,0,2,1,19.72,0,22
22,2019,8,3,0849,54.88,117.38,2.85,0,2,1,19.72,0,22
23,2019,8,3,0849,54.70,116.32,2.86,0,2,5,48.92,0,23
24,2019,8,3,0849,54.70,116.34,2.86,0,2,5,48.92,0,23
25,2019,8,3,0849,54.68,116.34,2.87,0,2,5,48.92,0,23
26,2019,8,3,0849,54.68,116.36,2.87,0,2,5,48.92,0,23
27,2019,8,3,0849,54.66,116.36,2.87,0,2,5,48.83,0,23
28,2019,8,3,0849,54.58,116.26,2.87,0,2,3,6.38,0,35
29,2019,8,3,0849,54.58,116.28,2.87,0,2,3,6.39,0,35
30,2019,8,3,0849,54.58,116.30,2.87,0,2,1,8.73,0,35
31,2019,8,3,0849,54.56,116.28,2.87,0,2,3,6.39,0,35
32,2019,8,3,0849,54.56,116.30,2.87,0,2,5,12.59,0,35
33,2019,8,3,0849,54.56,116.32,2.87,0,2,5,12.59,0,35
34,2019,8,3,0849,54.54,116.30,2.88,0,2,3,6.39,0,35
35,2019,8,3,0849,54.54,116.32,2.88,0,2,5,12.59,0,35
36,2019,8,3,0849,54.54,116.34,2.88,0,2,5,12.59,0,35
37,2019,8,3,0849,51.22,117.16,3.10,0,3,3,3.13,2,38
38,2019,8,3,0849,51.22,117.18,3.10,0,3,3,3.16,2,38
39,2019,8,3,0849,51.20,117.18,3.11,0,3,3,3.16,2,38
40,2019,8,3,0849,51.10,121.54,3.11,0,3,3,1.55,0,42
41,2019,8,3,0849,51.10,121.56,3.11,0,3,3,1.55,0,42
42,2019,8,3,0849,51.08,121.56,3.11,0,3,3,1.55,0,42
43,2019,8,3,0849,51.08,121.58,3.11,0,3,3,1.55,0,42
44,2019,8,3,0849,50.68,118.78,3.14,0,3,3,1.43,0,46
45,2019,8,3,0849,50.68,118.80,3.14,0,3,3,1.44,0,46
46,2019,8,3,0849,50.66,118.80,3.14,0,3,3,1.44,0,46
47,2019,8,3,0849,50.66,118.82,3.14,0,3,3,1.44,0,46
48,2019,8,3,0849,49.70,117.02,3.21,0,3,3,2.63,0,48
49,2019,8,3,0854,34.56,105.88,4.08,0,3,3,1.91,0,49
50,2019,8,3,0854,34.42,119.84,4.09,0,2,1,5.00,0,50
51,2019,8,3,0854,34.42,119.86,4.09,0,2,1,4.66,0,50
52,2019,8,3,0854,34.40,119.84,4.09,0,2,1,5.00,0,50
53,2019,8,3,0854,34.40,119.86,4.09,0,2,1,4.66,0,50
54,2019,8,3,0854,33.26,131.64,4.14,0,2,5,7.12,0,54
55,2019,8,3,0854,33.24,131.64,4.15,0,2,1,3.62,0,54
56,2019,8,3,0854,33.00,118.54,4.16,0,2,1,2.61,0,56
57,2019,8,3,0854,32.98,118.54,4.16,0,2,1,2.61,0,56
58,2019,8,3,0854,31.56,130.54,4.22,0,2,1,2.65,0,58
59,2019,8,3,0854,30.98,117.80,4.25,0,2,1,2.17,0,59
60,2019,8,3,0854,30.96,117.82,4.25,0,2,1,1.71,0,60
61,2019,8,3,0854,2.24,100.00,4.95,0,2,1,3.73,0,61
62,2019,8,3,0854,2.24,100.02,4.95,0,2,1,3.73,0,61
63,2019,8,3,0854,.70,111.64,4.96,0,3,3,4.60,0,63
64,2019,8,3,0854,.48,109.72,4.96,0,2,3,12.62,0,64
65,2019,8,3,0854,.46,116.18,4.96,0,2,3,6.34,0,65
66,2019,8,3,0854,.42,109.10,4.96,0,2,3,6.07,0,70
67,2019,8,3,0854,.42,110.40,4.96,0,2,5,13.33,0,67
68,2019,8,3,0854,.42,110.42,4.96,0,2,3,9.07,0,67
69,2019,8,3,0854,.40,109.08,4.96,0,2,1,15.06,0,70
70,2019,8,3,0854,.40,109.10,4.96,0,2,1,16.65,0,70
71,2019,8,3,0854,.38,109.08,4.96,0,2,1,8.57,0,70
72,2019,8,3,0854,.32,116.80,4.96,0,2,3,12.56,0,72
73,2019,8,3,0854,.28,111.80,4.96,0,2,3,6.00,0,74
74,2019,8,3,0854,.26,111.80,4.96,0,2,3,6.21,0,74
75,2019,8,3,0854,.14,110.34,4.96,0,2,3,4.99,0,75
76,2019,8,3,0854,.02,111.32,4.96,0,2,5,8.28,0,76
77,2019,8,3,0854,.02,111.34,4.96,0,2,5,5.62,0,76
78,2019,8,3,0854,.02,112.04,4.96,0,2,5,12.92,0,78
79,2019,8,3,0854,-.08,110.72,4.96,0,2,3,5.74,0,80
80,2019,8,3,0854,-.08,110.74,4.96,0,3,5,15.01,0,80
81,2019,8,3,0854,-.10,110.74,4.96,0,2,5,10.48,0,80
82,2019,8,3,0854,-.18,101.70,4.96,0,1,1,29.19,0,82
