# 2019  8  5 14 10 UTC  2020  3 21 12 41 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,8,5,1409,59.70,104.52,2.50,0,2,3,4.47,0,9
2,2019,8,5,1409,59.70,104.54,2.50,0,2,3,4.47,0,9
3,2019,8,5,1409,59.68,104.54,2.50,0,2,3,4.47,0,9
4,2019,8,5,1409,59.68,104.56,2.50,0,2,3,4.48,0,9
5,2019,8,5,1409,59.68,104.58,2.50,0,2,3,4.48,0,9
6,2019,8,5,1409,59.68,106.18,2.50,0,2,3,6.12,0,15
7,2019,8,5,1409,59.68,106.20,2.50,0,2,3,6.13,0,15
8,2019,8,5,1409,59.68,106.22,2.50,0,2,3,6.13,0,15
9,2019,8,5,1409,59.66,104.56,2.50,0,2,3,4.49,0,9
10,2019,8,5,1409,59.66,104.58,2.50,0,2,3,4.49,0,9
11,2019,8,5,1409,59.66,104.60,2.50,0,2,3,4.32,0,9
12,2019,8,5,1409,59.66,106.22,2.50,0,2,3,6.14,0,15
13,2019,8,5,1409,59.66,106.24,2.50,0,2,3,6.14,0,15
14,2019,8,5,1409,59.64,106.24,2.51,0,2,3,6.15,0,15
15,2019,8,5,1409,59.64,106.26,2.51,0,2,3,6.15,0,15
16,2019,8,5,1409,59.36,112.10,2.53,0,2,3,4.74,0,16
17,2019,8,5,1409,59.34,112.12,2.53,0,2,3,3.57,0,23
18,2019,8,5,1409,59.34,112.14,2.53,0,2,3,3.57,0,23
19,2019,8,5,1409,59.34,112.16,2.53,0,2,3,2.98,0,23
20,2019,8,5,1409,59.34,112.18,2.53,0,2,1,2.99,0,23
21,2019,8,5,1409,59.34,112.20,2.53,0,2,1,2.99,0,23
22,2019,8,5,1409,59.32,106.40,2.53,0,2,3,5.07,0,22
23,2019,8,5,1409,59.32,112.14,2.53,0,2,3,3.58,0,23
24,2019,8,5,1409,59.32,112.16,2.53,0,2,3,3.58,0,23
25,2019,8,5,1409,59.32,112.18,2.53,0,2,1,3.00,0,23
26,2019,8,5,1409,59.30,106.42,2.53,0,2,3,5.55,0,30
27,2019,8,5,1409,59.30,106.44,2.53,0,2,3,5.55,0,30
28,2019,8,5,1409,59.30,106.46,2.53,0,2,3,5.58,0,30
29,2019,8,5,1409,59.28,106.46,2.53,0,2,3,5.58,0,30
30,2019,8,5,1409,59.28,106.48,2.53,0,2,3,5.58,0,30
31,2019,8,5,1409,59.28,109.12,2.53,0,2,1,15.95,0,39
32,2019,8,5,1409,59.28,109.14,2.53,0,2,1,15.95,0,39
33,2019,8,5,1409,59.28,109.16,2.53,0,2,3,18.79,0,39
34,2019,8,5,1409,59.28,109.18,2.53,0,2,3,18.79,0,39
35,2019,8,5,1409,59.26,109.14,2.53,0,2,1,15.99,0,39
36,2019,8,5,1409,59.26,109.16,2.53,0,2,1,16.00,0,39
37,2019,8,5,1409,59.26,109.18,2.53,0,2,3,18.79,0,39
38,2019,8,5,1409,59.26,109.20,2.53,0,2,3,18.79,0,39
39,2019,8,5,1409,59.26,109.22,2.53,0,2,3,18.80,0,39
40,2019,8,5,1409,59.24,109.18,2.54,0,2,1,16.00,0,39
41,2019,8,5,1409,59.24,109.20,2.54,0,2,3,18.50,0,39
42,2019,8,5,1409,59.24,109.22,2.54,0,2,3,18.50,0,39
43,2019,8,5,1409,59.24,109.24,2.54,0,2,3,18.50,0,39
44,2019,8,5,1409,59.22,103.56,2.54,0,2,1,2.29,0,50
45,2019,8,5,1409,59.22,103.58,2.54,0,2,3,2.29,0,50
46,2019,8,5,1409,59.22,103.60,2.54,0,2,3,2.29,0,50
47,2019,8,5,1409,59.20,103.60,2.54,0,2,3,2.30,0,50
48,2019,8,5,1409,59.20,103.62,2.54,0,2,3,2.30,0,50
49,2019,8,5,1409,59.18,103.62,2.54,0,2,1,2.31,0,50
50,2019,8,5,1409,59.18,103.64,2.54,0,2,3,2.32,0,50
51,2019,8,5,1409,59.18,103.66,2.54,0,2,3,2.32,0,50
52,2019,8,5,1409,59.08,114.06,2.55,0,2,3,4.07,0,55
53,2019,8,5,1409,59.08,114.08,2.55,0,2,3,4.07,0,55
54,2019,8,5,1409,59.06,114.08,2.55,0,2,3,4.08,0,55
55,2019,8,5,1409,59.06,114.10,2.55,0,2,3,4.08,0,55
56,2019,8,5,1409,59.04,114.12,2.55,0,2,3,3.36,0,56
57,2019,8,5,1409,58.92,109.80,2.56,0,2,1,1.86,0,62
58,2019,8,5,1409,58.92,109.82,2.56,0,2,3,1.86,0,62
59,2019,8,5,1409,58.92,109.84,2.56,0,2,5,3.35,0,62
60,2019,8,5,1409,58.92,109.86,2.56,0,2,5,3.35,0,62
61,2019,8,5,1409,58.90,109.84,2.56,0,2,1,1.75,0,62
62,2019,8,5,1409,58.90,109.86,2.56,0,2,5,3.35,0,62
63,2019,8,5,1409,58.90,109.88,2.56,0,2,3,3.22,0,62
64,2019,8,5,1409,58.80,105.32,2.57,0,2,3,16.27,0,77
65,2019,8,5,1409,58.80,105.34,2.57,0,2,3,16.27,0,77
66,2019,8,5,1409,58.80,105.36,2.57,0,2,3,16.27,0,77
67,2019,8,5,1409,58.80,112.74,2.57,0,2,5,2.88,0,74
68,2019,8,5,1409,58.80,112.76,2.57,0,2,5,2.88,0,74
69,2019,8,5,1409,58.78,105.34,2.57,0,2,3,16.27,0,77
70,2019,8,5,1409,58.78,105.36,2.57,0,2,3,16.28,0,77
71,2019,8,5,1409,58.78,105.38,2.57,0,2,3,16.28,0,77
72,2019,8,5,1409,58.78,109.36,2.57,0,2,3,1.29,0,72
73,2019,8,5,1409,58.78,109.38,2.57,0,2,1,1.17,0,72
74,2019,8,5,1409,58.78,112.76,2.57,0,2,5,2.89,0,74
75,2019,8,5,1409,58.78,112.78,2.57,0,2,5,2.89,0,74
76,2019,8,5,1409,58.76,105.38,2.57,0,2,3,16.31,0,77
77,2019,8,5,1409,58.76,105.40,2.57,0,2,3,16.31,0,77
78,2019,8,5,1409,58.74,106.88,2.57,0,2,3,5.95,0,78
79,2019,8,5,1409,58.74,106.90,2.57,0,2,3,5.95,0,78
80,2019,8,5,1409,58.74,107.74,2.57,0,2,3,4.30,0,113
81,2019,8,5,1409,58.74,107.76,2.57,0,2,3,4.30,0,113
82,2019,8,5,1409,58.74,107.78,2.57,0,2,5,12.11,0,113
83,2019,8,5,1409,58.74,107.80,2.57,0,2,5,12.11,0,113
84,2019,8,5,1409,58.74,107.82,2.57,0,2,5,7.22,0,113
85,2019,8,5,1409,58.74,107.84,2.57,0,2,5,7.22,0,113
86,2019,8,5,1409,58.74,107.86,2.57,0,2,5,7.22,0,113
87,2019,8,5,1409,58.74,110.72,2.57,0,2,5,4.71,0,87
88,2019,8,5,1409,58.74,110.74,2.57,0,2,5,4.71,0,87
89,2019,8,5,1409,58.72,107.80,2.57,0,2,5,12.11,0,113
90,2019,8,5,1409,58.72,107.82,2.57,0,2,5,12.11,0,113
91,2019,8,5,1409,58.72,107.84,2.57,0,2,5,7.24,0,113
92,2019,8,5,1409,58.72,107.86,2.57,0,2,5,7.24,0,113
93,2019,8,5,1409,58.72,107.88,2.57,0,2,5,7.24,0,113
94,2019,8,5,1409,58.72,110.74,2.57,0,2,3,4.58,0,87
95,2019,8,5,1409,58.72,110.76,2.57,0,2,3,4.58,0,87
96,2019,8,5,1409,58.70,107.78,2.58,0,2,5,15.22,0,96
97,2019,8,5,1409,58.70,107.82,2.58,0,2,5,12.14,0,113
98,2019,8,5,1409,58.70,107.84,2.58,0,2,5,12.14,0,113
99,2019,8,5,1409,58.70,107.86,2.58,0,2,5,12.14,0,113
100,2019,8,5,1409,58.70,107.88,2.58,0,2,5,7.24,0,113
101,2019,8,5,1409,58.70,107.90,2.58,0,2,5,7.25,0,113
102,2019,8,5,1409,58.68,107.80,2.58,0,2,5,15.32,0,113
103,2019,8,5,1409,58.68,107.82,2.58,0,2,5,15.32,0,113
104,2019,8,5,1409,58.68,107.84,2.58,0,2,5,21.29,0,113
105,2019,8,5,1409,58.68,107.86,2.58,0,2,5,21.34,0,113
106,2019,8,5,1409,58.68,107.88,2.58,0,2,5,21.34,0,113
107,2019,8,5,1409,58.68,107.90,2.58,0,2,1,5.62,0,113
108,2019,8,5,1409,58.68,107.92,2.58,0,2,1,5.63,0,113
109,2019,8,5,1409,58.66,107.82,2.58,0,2,5,15.32,0,113
110,2019,8,5,1409,58.66,107.84,2.58,0,2,5,15.32,0,113
111,2019,8,5,1409,58.66,107.86,2.58,0,2,5,15.37,0,113
112,2019,8,5,1409,58.66,107.88,2.58,0,2,5,21.34,0,113
113,2019,8,5,1409,58.66,107.90,2.58,0,2,5,21.34,0,113
114,2019,8,5,1409,58.64,107.92,2.58,0,2,5,18.50,0,114
115,2019,8,5,1409,58.52,110.58,2.59,0,2,3,2.75,0,115
116,2019,8,5,1409,58.50,110.38,2.59,0,2,3,4.72,0,116
117,2019,8,5,1409,58.50,112.50,2.59,0,2,5,20.97,0,117
118,2019,8,5,1409,58.48,107.52,2.59,0,3,1,2.62,0,135
119,2019,8,5,1409,58.48,107.54,2.59,0,3,1,2.62,0,135
120,2019,8,5,1409,58.48,107.56,2.59,0,3,1,2.62,0,135
121,2019,8,5,1409,58.48,107.58,2.59,0,3,1,2.31,0,135
122,2019,8,5,1409,58.48,107.60,2.59,0,3,1,2.31,0,135
123,2019,8,5,1409,58.48,110.40,2.59,0,2,3,3.97,0,130
124,2019,8,5,1409,58.48,110.42,2.59,0,2,3,3.97,0,130
125,2019,8,5,1409,58.48,112.52,2.59,0,2,5,19.46,0,132
126,2019,8,5,1409,58.48,112.54,2.59,0,2,5,19.46,0,132
127,2019,8,5,1409,58.46,107.54,2.59,0,3,1,2.62,0,135
128,2019,8,5,1409,58.46,107.56,2.59,0,3,1,2.62,0,135
129,2019,8,5,1409,58.46,107.58,2.59,0,3,1,2.62,0,135
130,2019,8,5,1409,58.46,110.42,2.59,0,2,3,3.98,0,130
131,2019,8,5,1409,58.46,110.44,2.59,0,2,3,3.98,0,130
132,2019,8,5,1409,58.46,112.54,2.59,0,2,5,19.51,0,132
133,2019,8,5,1409,58.46,112.56,2.59,0,2,5,19.51,0,132
134,2019,8,5,1409,58.44,107.58,2.59,0,3,1,2.63,0,135
135,2019,8,5,1409,58.44,107.60,2.59,0,2,1,2.63,0,135
136,2019,8,5,1409,58.40,107.80,2.60,0,2,3,5.84,0,140
137,2019,8,5,1409,58.40,107.82,2.60,0,2,3,5.84,0,140
138,2019,8,5,1409,58.38,107.68,2.60,0,2,3,7.36,0,138
139,2019,8,5,1409,58.38,107.82,2.60,0,2,3,5.85,0,140
140,2019,8,5,1409,58.38,107.84,2.60,0,2,3,5.86,0,140
141,2019,8,5,1409,58.38,107.86,2.60,0,2,3,5.86,0,140
142,2019,8,5,1409,58.36,107.72,2.60,0,2,3,6.52,0,150
143,2019,8,5,1409,58.36,107.74,2.60,0,2,3,6.54,0,150
144,2019,8,5,1409,58.36,108.82,2.60,0,2,3,3.62,0,145
145,2019,8,5,1409,58.36,108.84,2.60,0,2,3,3.62,0,145
146,2019,8,5,1409,58.36,108.86,2.60,0,2,3,2.09,0,145
147,2019,8,5,1409,58.34,106.62,2.60,0,2,3,23.24,0,157
148,2019,8,5,1409,58.34,106.64,2.60,0,2,5,23.24,0,157
149,2019,8,5,1409,58.34,106.66,2.60,0,2,3,14.69,0,157
150,2019,8,5,1409,58.34,107.74,2.60,0,2,3,6.54,0,150
151,2019,8,5,1409,58.34,107.76,2.60,0,2,3,6.54,0,150
152,2019,8,5,1409,58.34,108.84,2.60,0,2,3,3.51,0,145
153,2019,8,5,1409,58.34,108.86,2.60,0,2,3,3.51,0,145
154,2019,8,5,1409,58.34,108.88,2.60,0,2,1,2.09,0,145
155,2019,8,5,1409,58.34,108.90,2.60,0,2,1,2.10,0,145
156,2019,8,5,1409,58.32,106.64,2.60,0,2,5,23.31,0,157
157,2019,8,5,1409,58.32,106.66,2.60,0,2,5,23.31,0,157
158,2019,8,5,1409,58.32,106.68,2.60,0,2,3,14.41,0,157
159,2019,8,5,1409,58.32,106.70,2.60,0,2,3,14.42,0,157
160,2019,8,5,1409,58.32,106.72,2.60,0,2,3,14.42,0,157
161,2019,8,5,1409,58.32,108.86,2.60,0,2,3,3.52,0,145
162,2019,8,5,1409,58.32,108.88,2.60,0,2,3,3.52,0,145
163,2019,8,5,1409,58.32,108.90,2.60,0,2,1,2.10,0,145
164,2019,8,5,1409,58.32,108.92,2.60,0,2,1,2.10,0,145
165,2019,8,5,1409,58.30,106.66,2.60,0,2,5,22.92,0,157
166,2019,8,5,1409,58.30,106.68,2.60,0,2,5,22.92,0,157
167,2019,8,5,1409,58.30,106.70,2.60,0,2,5,22.92,0,157
168,2019,8,5,1409,58.30,106.72,2.60,0,2,3,14.45,0,157
169,2019,8,5,1409,58.30,106.74,2.60,0,2,3,14.45,0,157
170,2019,8,5,1409,58.30,107.40,2.60,0,2,5,42.54,0,202
171,2019,8,5,1409,58.30,107.42,2.60,0,2,5,42.54,0,202
172,2019,8,5,1409,58.30,107.44,2.60,0,2,5,42.54,0,202
173,2019,8,5,1409,58.30,107.46,2.60,0,2,5,100.22,0,202
174,2019,8,5,1409,58.30,107.48,2.60,0,2,5,100.22,0,202
175,2019,8,5,1409,58.30,107.50,2.60,0,2,5,13.41,0,202
176,2019,8,5,1409,58.30,107.52,2.60,0,2,5,13.42,0,202
177,2019,8,5,1409,58.30,108.02,2.60,0,2,5,27.19,0,177
178,2019,8,5,1409,58.30,109.42,2.60,0,2,5,3.98,0,210
179,2019,8,5,1409,58.30,109.44,2.60,0,2,5,3.98,0,210
180,2019,8,5,1409,58.30,110.46,2.60,0,2,1,1.95,0,180
181,2019,8,5,1409,58.28,106.68,2.61,0,2,3,9.12,0,157
182,2019,8,5,1409,58.28,106.70,2.61,0,2,3,9.12,0,157
183,2019,8,5,1409,58.28,106.72,2.61,0,2,3,9.13,0,157
184,2019,8,5,1409,58.28,107.44,2.61,0,2,5,42.55,0,202
185,2019,8,5,1409,58.28,107.46,2.61,0,2,5,42.55,0,202
186,2019,8,5,1409,58.28,107.48,2.61,0,2,5,100.22,0,202
187,2019,8,5,1409,58.28,107.50,2.61,0,2,5,100.22,0,202
188,2019,8,5,1409,58.28,107.52,2.61,0,2,5,13.42,0,202
189,2019,8,5,1409,58.28,107.54,2.61,0,2,5,13.42,0,202
190,2019,8,5,1409,58.28,107.56,2.61,0,2,5,13.42,0,202
191,2019,8,5,1409,58.28,108.04,2.61,0,2,5,25.09,0,207
192,2019,8,5,1409,58.28,108.06,2.61,0,2,5,25.09,0,207
193,2019,8,5,1409,58.28,109.44,2.61,0,2,5,3.98,0,210
194,2019,8,5,1409,58.28,109.46,2.61,0,2,5,3.98,0,210
195,2019,8,5,1409,58.28,110.48,2.61,0,2,3,1.84,0,211
196,2019,8,5,1409,58.28,110.50,2.61,0,2,1,1.84,0,211
197,2019,8,5,1409,58.26,106.72,2.61,0,2,3,9.13,0,157
198,2019,8,5,1409,58.26,106.74,2.61,0,2,3,9.13,0,157
199,2019,8,5,1409,58.26,107.46,2.61,0,2,5,22.77,0,202
200,2019,8,5,1409,58.26,107.48,2.61,0,2,5,42.55,0,202
201,2019,8,5,1409,58.26,107.50,2.61,0,2,5,100.22,0,202
202,2019,8,5,1409,58.26,107.52,2.61,0,2,5,100.22,0,202
203,2019,8,5,1409,58.26,107.54,2.61,0,2,5,13.42,0,202
204,2019,8,5,1409,58.26,107.56,2.61,0,2,5,13.42,0,202
205,2019,8,5,1409,58.26,107.58,2.61,0,2,5,13.42,0,202
206,2019,8,5,1409,58.26,108.06,2.61,0,2,5,25.09,0,207
207,2019,8,5,1409,58.26,108.08,2.61,0,2,5,25.09,0,207
208,2019,8,5,1409,58.26,109.46,2.61,0,2,5,4.00,0,210
209,2019,8,5,1409,58.26,109.48,2.61,0,2,5,4.00,0,210
210,2019,8,5,1409,58.26,109.50,2.61,0,2,5,4.00,0,210
211,2019,8,5,1409,58.26,110.50,2.61,0,2,1,1.85,0,211
212,2019,8,5,1409,58.24,106.74,2.61,0,2,3,9.13,0,157
213,2019,8,5,1409,58.24,106.76,2.61,0,2,3,9.13,0,157
214,2019,8,5,1409,58.24,107.48,2.61,0,2,5,22.77,0,202
215,2019,8,5,1409,58.24,107.50,2.61,0,2,5,22.80,0,202
216,2019,8,5,1409,58.24,107.52,2.61,0,2,5,49.12,0,202
217,2019,8,5,1409,58.24,107.54,2.61,0,2,5,49.12,0,202
218,2019,8,5,1409,58.24,107.56,2.61,0,2,5,49.12,0,202
219,2019,8,5,1409,58.24,108.08,2.61,0,2,5,14.86,0,207
220,2019,8,5,1409,58.24,108.10,2.61,0,2,5,14.86,0,207
221,2019,8,5,1409,58.22,107.50,2.61,0,2,5,22.81,0,202
222,2019,8,5,1409,58.22,107.52,2.61,0,2,5,22.81,0,202
223,2019,8,5,1409,58.22,107.54,2.61,0,2,5,49.12,0,202
224,2019,8,5,1409,58.22,107.56,2.61,0,2,5,49.12,0,202
225,2019,8,5,1409,58.22,107.58,2.61,0,2,5,49.12,0,202
226,2019,8,5,1409,58.22,108.10,2.61,0,2,5,14.88,0,207
227,2019,8,5,1409,58.22,108.12,2.61,0,2,5,14.88,0,207
228,2019,8,5,1409,58.20,108.12,2.61,0,2,5,14.88,0,207
229,2019,8,5,1409,58.20,108.14,2.61,0,2,5,14.88,0,207
230,2019,8,5,1409,58.20,108.16,2.61,0,2,5,14.88,0,207
231,2019,8,5,1409,58.10,107.60,2.62,0,2,3,5.09,0,231
232,2019,8,5,1409,58.10,107.64,2.62,0,2,1,4.48,0,232
233,2019,8,5,1409,58.08,106.46,2.62,0,2,1,6.53,0,233
234,2019,8,5,1409,58.06,106.48,2.62,0,2,1,5.44,0,241
235,2019,8,5,1409,58.06,106.50,2.62,0,2,1,5.44,0,241
236,2019,8,5,1409,58.06,106.52,2.62,0,2,1,5.44,0,241
237,2019,8,5,1409,58.06,111.06,2.62,0,2,3,6.84,0,267
238,2019,8,5,1409,58.06,111.08,2.62,0,2,3,6.84,0,267
239,2019,8,5,1409,58.04,106.50,2.62,0,2,1,5.45,0,241
240,2019,8,5,1409,58.04,106.52,2.62,0,2,1,5.45,0,241
241,2019,8,5,1409,58.04,106.54,2.62,0,2,1,5.45,0,241
242,2019,8,5,1409,58.04,107.66,2.62,0,2,3,5.14,0,256
243,2019,8,5,1409,58.04,107.68,2.62,0,2,3,5.16,0,256
244,2019,8,5,1409,58.04,107.70,2.62,0,2,1,5.16,0,256
245,2019,8,5,1409,58.04,107.72,2.62,0,2,3,8.50,0,272
246,2019,8,5,1409,58.04,107.74,2.62,0,2,1,8.50,0,272
247,2019,8,5,1409,58.04,109.70,2.62,0,2,5,41.31,0,278
248,2019,8,5,1409,58.04,109.72,2.62,0,2,5,41.31,0,278
249,2019,8,5,1409,58.04,109.74,2.62,0,2,5,42.71,0,278
250,2019,8,5,1409,58.04,109.76,2.62,0,2,5,42.71,0,278
251,2019,8,5,1409,58.04,111.08,2.62,0,2,3,6.84,0,267
252,2019,8,5,1409,58.04,111.10,2.62,0,2,3,6.84,0,267
253,2019,8,5,1409,58.04,111.12,2.62,0,2,3,7.55,0,267
254,2019,8,5,1409,58.04,111.14,2.62,0,2,3,7.55,0,267
255,2019,8,5,1409,58.02,107.68,2.63,0,2,3,5.16,0,256
256,2019,8,5,1409,58.02,107.70,2.63,0,2,1,5.16,0,256
257,2019,8,5,1409,58.02,107.74,2.63,0,2,1,8.52,0,272
258,2019,8,5,1409,58.02,107.76,2.63,0,2,1,8.52,0,272
259,2019,8,5,1409,58.02,109.72,2.63,0,2,5,41.41,0,278
260,2019,8,5,1409,58.02,109.74,2.63,0,2,5,41.41,0,278
261,2019,8,5,1409,58.02,109.76,2.63,0,2,5,42.72,0,278
262,2019,8,5,1409,58.02,109.78,2.63,0,2,5,42.72,0,278
263,2019,8,5,1409,58.02,109.80,2.63,0,2,5,42.72,0,278
264,2019,8,5,1409,58.02,111.10,2.63,0,2,3,6.85,0,267
265,2019,8,5,1409,58.02,111.12,2.63,0,2,3,6.85,0,267
266,2019,8,5,1409,58.02,111.14,2.63,0,2,3,7.55,0,267
267,2019,8,5,1409,58.02,111.16,2.63,0,2,3,7.55,0,267
268,2019,8,5,1409,58.00,106.74,2.63,0,2,1,10.99,0,290
269,2019,8,5,1409,58.00,106.76,2.63,0,2,1,10.99,0,290
