# 2019  8 29 17 30 UTC  2020  3 22  8 21 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,8,29,1732,57.16,122.98,2.69,0,2,1,.54,0,3
2,2019,8,29,1732,57.16,123.00,2.69,0,2,1,.54,0,3
3,2019,8,29,1732,57.14,123.00,2.69,0,2,3,.54,0,3
4,2019,8,29,1732,57.04,125.96,2.70,0,2,1,1.71,0,4
5,2019,8,29,1732,56.44,121.00,2.74,0,2,5,2.62,0,8
6,2019,8,29,1732,56.44,121.02,2.74,0,2,3,2.62,0,8
7,2019,8,29,1732,56.42,121.02,2.74,0,2,3,2.62,0,8
8,2019,8,29,1732,56.40,121.02,2.74,0,2,3,2.62,0,8
9,2019,8,29,1732,56.40,121.04,2.74,0,2,3,2.62,0,8
10,2019,8,29,1732,56.38,116.56,2.74,0,1,5,39.19,0,12
11,2019,8,29,1732,56.38,116.58,2.74,0,1,5,39.19,0,12
12,2019,8,29,1732,56.38,116.60,2.74,0,1,5,82.28,0,12
13,2019,8,29,1732,56.38,116.62,2.74,0,1,5,82.28,0,12
14,2019,8,29,1732,56.36,116.58,2.75,0,1,5,39.20,0,12
15,2019,8,29,1732,56.36,116.60,2.75,0,1,5,38.07,0,12
16,2019,8,29,1732,56.36,116.62,2.75,0,1,5,82.28,0,12
17,2019,8,29,1732,56.36,116.64,2.75,0,1,5,82.28,0,12
18,2019,8,29,1732,56.34,116.60,2.75,0,2,5,18.90,0,12
19,2019,8,29,1732,56.34,116.62,2.75,0,2,5,18.90,0,12
20,2019,8,29,1732,56.34,116.64,2.75,0,1,5,82.28,0,12
21,2019,8,29,1732,56.34,116.66,2.75,0,1,5,82.28,0,12
22,2019,8,29,1732,56.32,116.62,2.75,0,2,5,18.90,0,12
23,2019,8,29,1732,56.32,116.64,2.75,0,2,5,18.90,0,12
24,2019,8,29,1732,56.32,116.66,2.75,0,2,5,52.68,0,12
25,2019,8,29,1732,56.32,116.68,2.75,0,2,5,52.68,0,12
26,2019,8,29,1732,56.32,116.70,2.75,0,1,5,47.92,0,12
27,2019,8,29,1732,56.32,116.72,2.75,0,1,5,47.92,0,12
28,2019,8,29,1732,56.30,116.62,2.75,0,2,5,18.72,0,12
29,2019,8,29,1732,56.30,116.64,2.75,0,2,5,18.72,0,12
30,2019,8,29,1732,56.30,116.66,2.75,0,2,5,52.68,0,12
31,2019,8,29,1732,56.30,116.68,2.75,0,2,5,52.68,0,12
32,2019,8,29,1732,56.30,116.70,2.75,0,1,5,47.93,0,12
33,2019,8,29,1732,56.30,116.72,2.75,0,1,5,47.93,0,12
34,2019,8,29,1732,55.76,116.72,2.79,0,2,3,1.68,0,37
35,2019,8,29,1732,55.76,117.44,2.79,0,2,3,2.25,0,35
36,2019,8,29,1732,55.74,116.72,2.79,0,2,3,1.68,0,37
37,2019,8,29,1732,55.74,116.74,2.79,0,2,3,1.68,0,37
38,2019,8,29,1732,55.74,117.46,2.79,0,2,3,2.65,0,40
39,2019,8,29,1732,55.74,117.48,2.79,0,2,3,2.65,0,40
40,2019,8,29,1732,55.72,117.46,2.79,0,2,3,2.65,0,40
41,2019,8,29,1732,55.72,117.48,2.79,0,2,3,2.65,0,40
42,2019,8,29,1732,55.70,116.26,2.79,0,2,3,1.97,0,44
43,2019,8,29,1732,55.70,116.28,2.79,0,2,3,1.97,0,44
44,2019,8,29,1732,55.68,116.26,2.79,0,2,3,1.97,0,44
45,2019,8,29,1732,55.68,116.28,2.79,0,2,3,1.97,0,44
46,2019,8,29,1732,55.62,159.62,2.80,0,2,3,1.92,0,46
47,2019,8,29,1732,55.56,117.84,2.80,0,2,3,2.80,0,47
48,2019,8,29,1732,55.54,117.86,2.80,0,2,3,2.53,0,50
49,2019,8,29,1732,55.54,117.88,2.80,0,2,3,2.53,0,50
50,2019,8,29,1732,55.52,117.88,2.81,0,2,3,2.53,0,50
51,2019,8,29,1732,51.58,131.74,3.08,0,2,3,1.86,0,51
52,2019,8,29,1732,49.88,136.28,3.19,0,2,1,.82,0,53
53,2019,8,29,1732,49.86,136.26,3.20,0,2,1,.82,0,53
54,2019,8,29,1732,49.86,136.28,3.20,0,2,3,.82,0,53
55,2019,8,29,1732,44.74,90.26,3.52,0,2,1,3.47,0,56
56,2019,8,29,1732,44.74,90.28,3.52,0,2,1,3.47,0,56
57,2019,8,29,1732,40.64,109.72,3.76,0,2,1,3.66,0,57
58,2019,8,29,1732,40.64,109.74,3.76,0,2,1,3.66,0,57
59,2019,8,29,1732,40.34,110.56,3.78,0,1,1,3.46,0,63
60,2019,8,29,1732,40.34,110.58,3.78,0,1,1,3.46,0,63
61,2019,8,29,1732,40.34,110.60,3.78,0,1,3,4.05,0,63
62,2019,8,29,1732,40.32,110.60,3.78,0,1,3,4.05,0,63
63,2019,8,29,1732,40.32,110.62,3.78,0,1,3,4.05,0,63
64,2019,8,29,1732,39.96,118.56,3.80,0,2,1,3.40,0,64
65,2019,8,29,1732,39.60,109.78,3.82,0,2,3,2.01,0,66
66,2019,8,29,1732,39.60,109.80,3.82,0,2,3,2.01,0,66
67,2019,8,29,1732,39.42,110.60,3.83,0,2,1,2.65,0,67
68,2019,8,29,1732,39.40,110.62,3.83,0,2,1,2.59,0,68
69,2019,8,29,1732,39.22,108.98,3.84,0,1,1,6.12,0,69
70,2019,8,29,1732,38.26,114.28,3.89,0,1,3,4.70,0,70
71,2019,8,29,1732,38.24,114.30,3.89,0,1,1,5.77,0,71
72,2019,8,29,1732,37.98,125.72,3.91,0,1,1,7.21,0,72
73,2019,8,29,1732,37.56,91.16,3.93,0,2,1,.71,0,73
74,2019,8,29,1732,36.62,114.44,3.98,0,2,1,1.80,0,74
75,2019,8,29,1732,36.60,114.46,3.98,0,2,1,1.31,0,75
76,2019,8,29,1732,36.48,119.48,3.99,0,2,3,4.40,0,76
77,2019,8,29,1732,36.46,119.50,3.99,0,2,3,6.32,0,77
78,2019,8,29,1732,36.44,119.48,3.99,0,1,1,12.50,0,78
79,2019,8,29,1732,36.10,117.82,4.00,0,1,1,4.48,0,79
80,2019,8,29,1732,36.08,117.82,4.01,0,1,1,4.48,0,79
81,2019,8,29,1732,36.08,117.84,4.01,0,1,1,4.48,0,79
82,2019,8,29,1732,36.06,87.94,4.01,0,1,1,3.96,0,83
83,2019,8,29,1732,36.06,87.96,4.01,0,1,1,3.96,0,83
