# 2019  9 18 23 20 UTC  2020  3 23  1  4 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,9,18,2321,50.58,127.72,3.15,0,3,1,.56,0,1
2,2019,9,18,2321,50.46,92.24,3.16,0,1,1,5.09,0,2
3,2019,9,18,2321,49.30,92.82,3.23,0,1,3,3.91,0,3
4,2019,9,18,2321,49.30,92.84,3.23,0,1,1,3.57,0,3
5,2019,9,18,2321,48.64,88.28,3.28,0,1,1,2.47,0,7
6,2019,9,18,2321,48.64,88.30,3.28,0,1,1,2.48,0,7
7,2019,9,18,2321,48.64,88.32,3.28,0,1,3,2.48,0,7
8,2019,9,18,2321,48.62,88.34,3.28,0,1,3,3.11,0,8
9,2019,9,18,2321,48.54,90.02,3.28,0,1,3,4.06,0,10
10,2019,9,18,2321,48.54,90.04,3.28,0,1,3,4.07,0,10
11,2019,9,18,2321,48.10,90.06,3.31,0,2,3,1.07,0,13
12,2019,9,18,2321,48.10,90.08,3.31,0,2,1,1.08,0,13
13,2019,9,18,2321,48.08,90.08,3.31,0,2,3,1.08,0,13
14,2019,9,18,2321,45.82,130.88,3.45,0,3,1,1.00,0,17
15,2019,9,18,2321,45.82,130.90,3.45,0,3,1,.68,0,17
16,2019,9,18,2321,45.80,130.88,3.46,0,3,1,1.00,0,17
17,2019,9,18,2321,45.80,130.90,3.46,0,3,1,1.00,0,17
18,2019,9,18,2321,45.80,130.92,3.46,0,3,1,.68,0,17
19,2019,9,18,2321,44.82,126.56,3.52,0,3,1,.71,0,19
20,2019,9,18,2321,44.76,90.18,3.52,0,2,1,2.97,0,23
21,2019,9,18,2321,44.76,90.20,3.52,0,2,1,2.97,0,23
22,2019,9,18,2321,44.76,90.22,3.52,0,2,1,2.76,0,23
23,2019,9,18,2321,44.74,90.20,3.52,0,2,1,2.97,0,23
24,2019,9,18,2321,43.20,124.34,3.61,0,3,1,.73,0,24
25,2019,9,18,2321,43.00,144.38,3.63,0,3,1,1.22,0,26
26,2019,9,18,2321,43.00,144.40,3.63,0,3,1,1.22,0,26
27,2019,9,18,2321,43.00,144.42,3.63,0,3,1,.73,0,26
28,2019,9,18,2321,41.48,127.28,3.71,0,3,3,1.27,0,28
29,2019,9,18,2321,41.40,126.50,3.72,0,3,3,1.21,0,30
30,2019,9,18,2321,41.38,126.50,3.72,0,3,3,1.21,0,30
31,2019,9,18,2321,40.90,127.22,3.75,0,3,1,.57,0,31
32,2019,9,18,2321,40.64,87.40,3.76,0,1,3,4.19,0,32
33,2019,9,18,2321,40.62,87.44,3.76,0,2,3,2.97,0,34
34,2019,9,18,2321,40.62,87.46,3.76,0,2,3,2.99,0,34
35,2019,9,18,2321,40.60,87.46,3.76,0,2,3,2.51,0,34
36,2019,9,18,2321,40.60,87.48,3.76,0,2,3,2.52,0,34
37,2019,9,18,2321,40.60,87.50,3.76,0,2,3,2.52,0,34
38,2019,9,18,2321,40.58,87.50,3.76,0,2,3,2.52,0,34
39,2019,9,18,2321,40.58,87.52,3.76,0,2,3,2.53,0,34
40,2019,9,18,2321,40.54,141.50,3.77,0,2,1,7.00,0,40
41,2019,9,18,2321,40.50,141.50,3.77,0,3,1,2.14,0,41
42,2019,9,18,2321,39.22,91.58,3.84,0,2,1,.95,0,42
43,2019,9,18,2321,38.94,93.86,3.86,0,1,1,8.51,0,43
44,2019,9,18,2321,38.92,93.88,3.86,0,1,1,4.41,0,44
45,2019,9,18,2321,38.92,93.90,3.86,0,1,1,3.10,0,44
46,2019,9,18,2321,38.90,93.92,3.86,0,1,3,2.77,0,46
47,2019,9,18,2321,38.88,93.76,3.86,0,1,3,8.47,0,48
48,2019,9,18,2321,38.88,93.78,3.86,0,1,3,8.47,0,48
49,2019,9,18,2321,38.88,93.80,3.86,0,1,3,7.26,0,48
50,2019,9,18,2321,38.88,93.82,3.86,0,1,3,7.26,0,48
51,2019,9,18,2321,35.32,86.08,4.04,0,2,1,2.91,0,51
52,2019,9,18,2321,35.22,128.66,4.05,0,3,1,1.53,0,52
53,2019,9,18,2321,35.20,128.68,4.05,0,3,3,1.58,0,53
54,2019,9,18,2321,35.14,126.90,4.05,0,3,1,.97,0,54
55,2019,9,18,2321,34.96,88.24,4.06,0,2,1,3.70,0,56
