# 2019 10  3 19  0 UTC  2020  3 23  3 13 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,10,3,1902,54.34,134.16,2.89,0,2,1,.93,0,2
2,2019,10,3,1902,54.32,134.16,2.89,0,2,3,.93,0,2
3,2019,10,3,1902,50.04,93.90,3.18,0,2,3,1.77,0,7
4,2019,10,3,1902,50.04,93.92,3.18,0,2,3,1.78,0,7
5,2019,10,3,1902,50.02,93.92,3.18,0,2,3,1.78,0,7
6,2019,10,3,1902,50.02,93.94,3.18,0,2,3,1.78,0,7
7,2019,10,3,1902,50.02,93.96,3.18,0,2,3,1.78,0,7
8,2019,10,3,1902,49.96,102.70,3.19,0,2,3,2.35,0,11
9,2019,10,3,1902,49.96,102.72,3.19,0,2,3,2.35,0,11
10,2019,10,3,1902,49.94,102.72,3.19,0,2,3,2.35,0,11
11,2019,10,3,1902,49.94,102.74,3.19,0,2,3,2.35,0,11
12,2019,10,3,1902,49.94,126.96,3.19,0,2,1,1.55,0,14
13,2019,10,3,1902,49.94,126.98,3.19,0,2,1,1.55,0,14
14,2019,10,3,1902,49.92,126.98,3.19,0,2,1,1.55,0,14
15,2019,10,3,1902,49.00,126.06,3.25,0,2,3,1.40,0,16
16,2019,10,3,1902,48.98,126.06,3.25,0,2,3,1.40,0,16
17,2019,10,3,1902,48.86,119.34,3.26,0,2,1,.69,0,17
18,2019,10,3,1902,48.72,126.18,3.27,0,2,1,.50,0,18
19,2019,10,3,1902,48.50,95.02,3.28,0,1,3,6.82,0,25
20,2019,10,3,1902,48.50,95.04,3.28,0,1,3,6.82,0,25
21,2019,10,3,1902,48.50,95.08,3.28,0,1,1,4.57,0,25
22,2019,10,3,1902,48.50,95.10,3.28,0,1,1,4.57,0,25
23,2019,10,3,1902,48.48,95.04,3.29,0,1,3,6.82,0,25
24,2019,10,3,1902,48.48,95.06,3.29,0,1,3,6.82,0,25
25,2019,10,3,1902,48.48,95.08,3.29,0,1,1,6.82,0,25
26,2019,10,3,1902,48.48,95.10,3.29,0,1,1,4.57,0,25
27,2019,10,3,1902,48.48,95.12,3.29,0,1,3,4.57,0,25
28,2019,10,3,1902,48.30,124.00,3.30,0,2,3,1.35,0,33
29,2019,10,3,1902,48.30,124.02,3.30,0,2,3,2.53,0,33
30,2019,10,3,1902,48.30,124.04,3.30,0,2,3,2.53,0,33
31,2019,10,3,1902,48.30,126.64,3.30,0,2,1,2.33,0,35
32,2019,10,3,1902,48.28,124.02,3.30,0,2,3,1.35,0,33
33,2019,10,3,1902,48.28,124.04,3.30,0,2,3,2.53,0,33
