# 2019 10  8 10  0 UTC  2020  3 23  6  6 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,10,8,1002,48.28,126.66,3.30,0,2,1,1.05,0,1
2,2019,10,8,1002,47.68,127.16,3.34,0,1,1,2.03,0,3
3,2019,10,8,1002,47.66,127.16,3.34,0,1,1,2.03,0,3
4,2019,10,8,1002,45.72,127.42,3.46,0,2,3,1.62,0,4
5,2019,10,8,1002,43.70,125.36,3.58,0,2,3,2.46,0,5
6,2019,10,8,1002,43.68,125.36,3.58,0,2,3,2.46,0,5
7,2019,10,8,1002,43.68,125.38,3.58,0,2,1,2.21,0,5
8,2019,10,8,1002,43.68,126.76,3.58,0,2,3,1.71,0,8
9,2019,10,8,1002,43.64,121.72,3.59,0,1,1,5.67,0,9
10,2019,10,8,1002,43.64,126.06,3.59,0,2,1,3.19,0,10
11,2019,10,8,1002,43.62,126.06,3.59,0,2,3,3.19,0,10
12,2019,10,8,1002,43.62,126.08,3.59,0,2,3,3.19,0,10
13,2019,10,8,1002,43.26,116.52,3.61,0,2,1,1.57,0,13
14,2019,10,8,1002,43.18,124.34,3.61,0,2,1,1.48,0,14
15,2019,10,8,1002,43.18,124.80,3.61,0,1,1,4.60,0,15
16,2019,10,8,1002,43.16,124.34,3.62,0,2,1,1.48,0,14
17,2019,10,8,1002,43.16,124.88,3.62,0,1,1,3.61,0,17
18,2019,10,8,1002,43.14,124.86,3.62,0,1,1,3.74,0,18
19,2019,10,8,1002,42.68,130.70,3.64,0,2,1,2.98,0,19
20,2019,10,8,1002,42.54,124.24,3.65,0,2,1,2.83,0,20
21,2019,10,8,1002,42.52,124.22,3.65,0,1,1,4.24,0,21
22,2019,10,8,1002,42.52,124.26,3.65,0,1,1,2.94,0,22
23,2019,10,8,1002,42.26,123.98,3.67,0,1,3,4.56,0,23
24,2019,10,8,1002,42.24,123.98,3.67,0,2,3,1.45,0,23
25,2019,10,8,1002,42.22,123.98,3.67,0,2,3,1.45,0,23
26,2019,10,8,1002,42.22,124.00,3.67,0,2,3,1.45,0,23
27,2019,10,8,1002,42.22,124.02,3.67,0,2,3,1.97,0,23
28,2019,10,8,1002,41.90,124.22,3.69,0,1,3,3.60,0,28
29,2019,10,8,1002,41.84,123.76,3.69,0,2,1,2.58,0,29
30,2019,10,8,1002,41.74,120.98,3.70,0,2,1,2.41,0,32
31,2019,10,8,1002,41.72,120.98,3.70,0,2,1,2.41,0,32
32,2019,10,8,1002,41.70,120.98,3.70,0,1,1,4.65,0,32
33,2019,10,8,1002,41.70,121.00,3.70,0,1,1,4.65,0,32
34,2019,10,8,1002,41.56,113.60,3.71,0,2,3,1.13,0,34
35,2019,10,8,1002,41.56,126.58,3.71,0,2,3,1.96,0,35
36,2019,10,8,1002,41.42,126.48,3.72,0,1,3,3.97,0,36
37,2019,10,8,1002,41.42,126.50,3.72,0,1,3,3.97,0,36
38,2019,10,8,1002,41.26,125.54,3.73,0,2,3,3.14,0,38
39,2019,10,8,1002,41.20,122.84,3.73,0,2,1,1.80,0,39
40,2019,10,8,1002,41.14,122.96,3.73,0,1,1,6.88,0,41
41,2019,10,8,1002,41.14,122.98,3.73,0,1,1,7.78,0,41
42,2019,10,8,1002,41.12,122.96,3.73,0,1,3,3.71,0,41
43,2019,10,8,1002,41.12,122.98,3.73,0,1,1,7.78,0,41
44,2019,10,8,1002,41.12,123.00,3.73,0,1,1,7.78,0,41
45,2019,10,8,1002,41.10,122.96,3.74,0,1,3,3.71,0,41
46,2019,10,8,1002,41.10,122.98,3.74,0,1,3,3.71,0,41
47,2019,10,8,1002,40.66,125.30,3.76,0,2,3,2.30,0,47
48,2019,10,8,1002,40.66,125.32,3.76,0,2,3,2.30,0,47
49,2019,10,8,1002,40.64,125.24,3.76,0,2,3,3.09,0,50
50,2019,10,8,1002,40.64,125.26,3.76,0,1,3,3.50,0,50
