# 2019 10 11  9 40 UTC  2020  3 23  7 52 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,10,11,0939,59.70,103.14,2.50,0,2,1,4.53,0,6
2,2019,10,11,0939,59.70,103.16,2.50,0,2,1,4.54,0,6
3,2019,10,11,0939,59.68,103.16,2.50,0,2,1,4.55,0,6
4,2019,10,11,0939,59.68,103.18,2.50,0,2,1,4.55,0,6
5,2019,10,11,0939,59.68,103.20,2.50,0,2,1,4.55,0,6
6,2019,10,11,0939,59.66,103.20,2.50,0,2,1,4.56,0,6
7,2019,10,11,0939,59.66,103.22,2.50,0,2,1,4.56,0,6
8,2019,10,11,0939,59.40,101.86,2.52,0,2,3,3.88,0,8
9,2019,10,11,0939,59.40,101.88,2.52,0,2,3,3.80,0,8
10,2019,10,11,0939,59.40,101.90,2.52,0,2,3,3.80,0,8
11,2019,10,11,0939,59.38,101.90,2.52,0,2,3,3.80,0,8
12,2019,10,11,0939,59.38,101.92,2.52,0,2,3,3.81,0,8
13,2019,10,11,0939,58.18,100.32,2.61,0,3,3,.77,0,13
14,2019,10,11,0939,58.16,100.36,2.61,0,3,3,.97,0,17
15,2019,10,11,0939,58.16,100.38,2.61,0,3,3,.97,0,17
16,2019,10,11,0939,58.14,100.38,2.62,0,3,3,.98,0,17
17,2019,10,11,0939,58.14,100.40,2.62,0,3,3,.98,0,17
18,2019,10,11,0939,58.14,100.42,2.62,0,3,3,.98,0,17
19,2019,10,11,0939,56.68,161.34,2.72,1,1,1,37.37,0,23
20,2019,10,11,0939,56.66,161.32,2.72,1,1,1,37.37,0,23
21,2019,10,11,0939,56.66,161.34,2.72,1,1,1,37.37,0,23
22,2019,10,11,0939,56.66,161.36,2.72,1,2,1,6.88,0,23
23,2019,10,11,0939,56.64,161.30,2.73,0,1,1,37.37,0,23
24,2019,10,11,0939,56.64,161.32,2.73,0,1,1,37.37,0,23
25,2019,10,11,0939,56.64,161.34,2.73,0,2,1,6.88,0,23
26,2019,10,11,0939,56.64,161.36,2.73,0,2,1,6.88,0,23
27,2019,10,11,0939,52.58,112.70,3.01,0,2,5,4.61,0,32
28,2019,10,11,0939,52.58,112.72,3.01,0,2,5,4.61,0,32
29,2019,10,11,0939,52.58,112.74,3.01,0,2,3,3.07,0,32
30,2019,10,11,0939,52.58,112.76,3.01,0,2,3,3.07,0,32
31,2019,10,11,0939,52.56,112.72,3.01,0,2,5,4.61,0,32
32,2019,10,11,0939,52.56,112.74,3.01,0,2,5,4.61,0,32
33,2019,10,11,0939,52.56,112.76,3.01,0,2,3,3.07,0,32
34,2019,10,11,0939,52.48,113.14,3.02,0,2,5,1.72,0,37
35,2019,10,11,0939,52.48,113.16,3.02,0,2,5,1.72,0,37
36,2019,10,11,0939,52.46,113.16,3.02,0,2,5,1.72,0,37
37,2019,10,11,0939,52.46,113.18,3.02,0,2,5,1.72,0,37
38,2019,10,11,0939,52.24,112.84,3.04,0,2,3,1.21,0,38
