# 2019 10 14 22 30 UTC  2020  3 23 10  2 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,10,14,2230,51.64,92.42,3.08,0,2,1,2.07,0,1
2,2019,10,14,2230,47.82,102.70,3.33,0,2,1,1.03,0,2
3,2019,10,14,2230,44.76,90.18,3.52,0,2,1,4.37,0,7
4,2019,10,14,2230,44.76,90.20,3.52,0,2,1,4.37,0,7
5,2019,10,14,2230,44.74,90.20,3.52,0,2,1,4.38,0,7
6,2019,10,14,2230,44.74,90.22,3.52,0,2,1,4.38,0,7
7,2019,10,14,2230,44.74,90.24,3.52,0,2,1,4.38,0,7
8,2019,10,14,2230,43.72,94.96,3.58,0,2,1,1.30,0,9
9,2019,10,14,2230,43.72,94.98,3.58,0,2,1,1.30,0,9
10,2019,10,14,2230,43.68,111.94,3.58,0,2,3,.80,0,12
11,2019,10,14,2230,43.66,111.94,3.59,0,2,3,.80,0,12
12,2019,10,14,2230,43.66,111.96,3.59,0,2,3,.80,0,12
13,2019,10,14,2230,43.30,116.90,3.61,0,2,1,2.38,0,14
14,2019,10,14,2230,43.30,116.92,3.61,0,2,1,2.38,0,14
15,2019,10,14,2230,42.16,116.66,3.67,0,2,3,1.54,0,16
16,2019,10,14,2230,42.14,116.66,3.68,0,2,3,1.54,0,16
17,2019,10,14,2230,42.12,116.64,3.68,0,2,3,.89,0,17
18,2019,10,14,2230,41.66,115.80,3.70,0,2,3,1.30,0,18
19,2019,10,14,2230,41.54,126.54,3.71,0,3,1,1.06,0,19
20,2019,10,14,2230,41.42,126.48,3.72,0,2,3,1.57,0,21
21,2019,10,14,2230,41.42,126.50,3.72,0,2,3,1.57,0,21
22,2019,10,14,2230,41.30,125.42,3.72,0,3,1,1.51,0,24
23,2019,10,14,2230,41.28,125.42,3.72,0,3,1,1.51,0,24
24,2019,10,14,2230,41.28,125.44,3.72,0,3,1,1.51,0,24
25,2019,10,14,2230,41.16,122.98,3.73,0,2,1,1.99,0,27
26,2019,10,14,2230,41.14,122.96,3.73,0,2,1,1.45,0,27
27,2019,10,14,2230,41.14,122.98,3.73,0,2,1,4.21,0,27
28,2019,10,14,2230,41.12,122.98,3.73,0,2,1,4.01,0,27
29,2019,10,14,2230,41.12,123.00,3.73,0,2,1,4.01,0,27
30,2019,10,14,2230,41.04,86.62,3.74,0,2,3,3.12,0,34
31,2019,10,14,2230,41.04,86.64,3.74,0,2,3,3.14,0,34
32,2019,10,14,2230,41.04,86.66,3.74,0,2,3,3.14,0,34
33,2019,10,14,2230,41.02,86.66,3.74,0,2,1,3.14,0,34
34,2019,10,14,2230,41.02,86.68,3.74,0,2,3,3.15,0,34
35,2019,10,14,2230,40.68,122.38,3.76,0,2,1,1.87,0,36
36,2019,10,14,2230,40.68,122.40,3.76,0,2,1,1.87,0,36
37,2019,10,14,2230,40.54,116.94,3.77,0,1,1,6.18,0,37
38,2019,10,14,2230,40.54,116.96,3.77,0,1,1,6.18,0,37
39,2019,10,14,2230,40.52,116.96,3.77,0,1,1,6.18,0,37
40,2019,10,14,2230,40.44,118.26,3.77,0,2,1,2.51,0,41
41,2019,10,14,2230,40.44,118.28,3.77,0,2,3,2.85,0,41
42,2019,10,14,2230,40.44,118.30,3.77,0,2,3,2.85,0,41
43,2019,10,14,2230,40.04,117.52,3.79,0,2,3,2.08,0,43
44,2019,10,14,2230,39.96,118.54,3.80,0,2,1,1.98,0,44
45,2019,10,14,2230,39.82,118.04,3.81,0,2,1,2.12,0,45
46,2019,10,14,2230,39.68,118.88,3.81,0,2,1,2.14,0,47
47,2019,10,14,2230,39.68,118.90,3.81,0,2,1,2.14,0,47
48,2019,10,14,2230,39.66,118.90,3.82,0,2,1,2.14,0,47
49,2019,10,14,2230,38.76,114.74,3.87,0,1,1,11.34,0,49
50,2019,10,14,2230,38.76,114.76,3.87,0,1,1,11.34,0,49
51,2019,10,14,2230,38.70,125.34,3.87,0,2,1,1.48,0,51
52,2019,10,14,2230,38.12,116.84,3.90,0,2,1,4.32,0,52
53,2019,10,14,2230,38.12,116.86,3.90,0,2,1,4.32,0,52
54,2019,10,14,2230,38.06,92.84,3.90,0,2,1,1.52,0,55
55,2019,10,14,2230,38.06,92.86,3.90,0,2,1,1.52,0,55
56,2019,10,14,2230,38.04,92.88,3.90,0,2,1,1.52,0,56
57,2019,10,14,2230,37.20,96.88,3.95,0,1,3,8.32,0,58
58,2019,10,14,2230,37.20,96.90,3.95,0,1,3,8.32,0,58
59,2019,10,14,2230,36.94,116.64,3.96,0,2,1,1.72,0,59
60,2019,10,14,2230,36.94,116.66,3.96,0,2,1,1.72,0,59
61,2019,10,14,2230,36.94,117.76,3.96,0,2,3,1.75,0,61
62,2019,10,14,2230,36.92,116.66,3.96,0,2,1,1.72,0,59
63,2019,10,14,2230,36.92,117.76,3.96,0,2,1,1.75,0,61
64,2019,10,14,2230,36.46,115.96,3.99,0,1,1,1.65,0,64
65,2019,10,14,2230,36.10,117.82,4.00,0,2,1,1.21,0,67
66,2019,10,14,2230,36.08,117.82,4.01,0,2,1,1.21,0,67
67,2019,10,14,2230,36.08,117.84,4.01,0,2,1,1.21,0,67
68,2019,10,14,2230,36.02,119.38,4.01,0,2,1,.97,0,70
69,2019,10,14,2230,36.00,119.38,4.01,0,2,1,1.61,0,70
70,2019,10,14,2230,36.00,119.40,4.01,0,2,1,1.61,0,70
71,2019,10,14,2230,35.98,119.40,4.01,0,2,1,1.61,0,70
72,2019,10,14,2230,34.44,119.82,4.09,0,2,1,4.77,0,72
73,2019,10,14,2230,34.42,119.84,4.09,0,2,1,8.27,0,73
74,2019,10,14,2230,34.40,119.84,4.09,0,2,1,8.26,0,73
75,2019,10,14,2230,34.38,91.46,4.09,0,2,3,.92,0,76
76,2019,10,14,2230,34.38,91.48,4.09,0,2,3,.92,0,76
77,2019,10,14,2230,32.84,81.52,4.16,0,2,1,3.56,0,77
78,2019,10,14,2230,32.84,81.54,4.16,0,2,1,3.32,0,77
79,2019,10,14,2230,32.84,81.56,4.16,0,2,1,3.33,0,77
80,2019,10,14,2230,32.82,81.54,4.17,0,2,1,3.32,0,77
81,2019,10,14,2230,32.82,81.56,4.17,0,2,1,3.33,0,77
82,2019,10,14,2230,32.82,81.58,4.17,0,2,1,3.33,0,77
83,2019,10,14,2230,32.60,80.02,4.18,0,2,1,2.01,0,83
84,2019,10,14,2230,32.60,116.58,4.18,0,2,3,3.11,0,84
85,2019,10,14,2230,32.58,80.04,4.18,0,2,1,1.90,0,85
86,2019,10,14,2230,32.58,80.06,4.18,0,2,1,1.79,0,85
87,2019,10,14,2230,32.58,80.08,4.18,0,2,1,1.69,0,85
88,2019,10,14,2230,32.24,84.98,4.19,0,1,1,7.68,0,90
89,2019,10,14,2230,32.24,85.00,4.19,0,1,1,7.68,0,90
90,2019,10,14,2230,32.24,85.02,4.19,0,1,1,7.72,0,90
91,2019,10,14,2230,32.24,119.62,4.19,0,1,1,5.46,0,91
92,2019,10,14,2230,32.22,84.60,4.19,0,2,1,2.53,0,94
93,2019,10,14,2230,32.22,84.62,4.19,0,2,1,2.54,0,94
94,2019,10,14,2230,32.22,84.64,4.19,0,2,1,2.54,0,94
95,2019,10,14,2230,31.98,90.24,4.20,0,1,1,6.82,0,96
96,2019,10,14,2230,31.98,90.26,4.20,0,1,1,6.82,0,96
97,2019,10,14,2230,31.70,82.18,4.22,0,2,1,1.06,0,97
98,2019,10,14,2230,31.00,85.90,4.25,0,1,3,2.87,0,98
99,2019,10,14,2230,30.98,85.92,4.25,0,2,1,3.02,0,99
100,2019,10,14,2230,29.86,83.62,4.30,0,2,1,2.87,0,101
101,2019,10,14,2230,29.86,83.64,4.30,0,2,1,2.88,0,101
102,2019,10,14,2230,29.84,86.80,4.30,0,1,1,4.17,0,103
103,2019,10,14,2230,29.84,86.82,4.30,0,1,1,4.17,0,103
104,2019,10,14,2230,29.74,112.92,4.30,0,1,3,15.50,0,104
105,2019,10,14,2230,29.66,112.02,4.31,0,1,3,7.48,0,105
106,2019,10,14,2230,29.66,112.04,4.31,0,1,3,7.14,0,105
107,2019,10,14,2230,29.64,112.04,4.31,0,1,3,7.14,0,105
108,2019,10,14,2230,29.36,87.04,4.32,0,1,3,4.42,0,110
109,2019,10,14,2230,29.36,87.06,4.32,0,1,3,4.42,0,110
110,2019,10,14,2230,29.36,87.08,4.32,0,1,1,4.42,0,110
111,2019,10,14,2230,29.30,113.54,4.32,0,2,3,3.83,0,111
112,2019,10,14,2230,29.30,113.56,4.32,0,2,3,3.83,0,111
113,2019,10,14,2230,28.26,89.52,4.37,0,1,3,3.23,0,114
114,2019,10,14,2230,28.26,89.54,4.37,0,1,3,3.23,0,114
115,2019,10,14,2230,26.34,102.08,4.44,0,1,3,7.97,0,115
116,2019,10,14,2230,26.26,102.56,4.45,0,2,3,3.02,0,116
117,2019,10,14,2230,26.24,115.48,4.45,0,1,1,4.75,0,117
118,2019,10,14,2230,23.78,86.34,4.54,0,2,1,3.54,0,120
119,2019,10,14,2230,23.78,86.36,4.54,0,2,1,3.54,0,120
120,2019,10,14,2230,23.78,86.38,4.54,0,2,1,3.54,0,120
121,2019,10,14,2230,23.30,104.86,4.55,0,1,3,4.63,0,121
122,2019,10,14,2230,21.94,112.74,4.60,0,1,3,6.51,0,122
123,2019,10,14,2230,21.94,112.76,4.60,0,1,3,6.51,0,122
124,2019,10,14,2236,21.20,104.36,4.62,0,1,3,13.58,0,124
125,2019,10,14,2236,21.20,104.38,4.62,0,1,3,13.58,0,124
126,2019,10,14,2236,21.10,103.74,4.62,0,1,3,9.40,0,126
127,2019,10,14,2236,21.10,103.76,4.62,0,1,3,9.40,0,126
128,2019,10,14,2236,18.16,102.86,4.71,0,1,3,6.70,0,128
