# 2019 10 18  3  0 UTC  2020  3 23 12  5 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,10,18,0300,55.16,116.10,2.83,0,2,3,.89,0,4
2,2019,10,18,0300,55.16,116.12,2.83,0,2,3,.89,0,4
3,2019,10,18,0300,55.16,116.14,2.83,0,3,1,.72,0,4
4,2019,10,18,0300,55.14,116.12,2.83,0,2,3,.89,0,4
5,2019,10,18,0300,55.14,116.14,2.83,0,2,3,.89,0,4
6,2019,10,18,0300,55.14,116.16,2.83,0,3,1,.73,0,4
7,2019,10,18,0300,55.14,116.18,2.83,0,3,1,.73,0,4
8,2019,10,18,0300,54.78,116.86,2.86,0,3,3,.83,0,10
9,2019,10,18,0300,54.78,116.88,2.86,0,3,3,.83,0,10
10,2019,10,18,0300,54.76,116.88,2.86,0,3,3,.83,0,10
11,2019,10,18,0300,54.70,116.84,2.86,0,2,1,.97,0,11
12,2019,10,18,0300,54.68,116.42,2.87,0,3,3,1.07,0,15
13,2019,10,18,0300,54.68,116.44,2.87,0,3,3,1.07,0,15
14,2019,10,18,0300,54.66,116.42,2.87,0,3,3,1.07,0,15
15,2019,10,18,0300,54.66,116.44,2.87,0,3,3,1.07,0,15
16,2019,10,18,0300,54.62,116.86,2.87,0,3,3,.98,0,20
17,2019,10,18,0300,54.62,116.88,2.87,0,3,3,.98,0,20
18,2019,10,18,0300,54.60,116.88,2.87,0,3,3,.98,0,20
19,2019,10,18,0300,54.60,116.90,2.87,0,3,1,.98,0,20
20,2019,10,18,0300,54.58,116.90,2.87,0,3,1,.98,0,20
21,2019,10,18,0300,52.78,110.18,3.00,0,2,3,5.99,0,24
22,2019,10,18,0300,52.78,110.20,3.00,0,2,3,5.99,0,24
23,2019,10,18,0300,52.76,110.20,3.00,0,2,3,5.99,0,24
24,2019,10,18,0300,52.76,110.22,3.00,0,2,3,5.99,0,24
25,2019,10,18,0300,52.44,110.14,3.02,0,2,3,10.75,0,28
26,2019,10,18,0300,52.44,110.16,3.02,0,2,3,10.75,0,28
27,2019,10,18,0300,52.42,110.12,3.02,0,2,5,8.78,0,28
28,2019,10,18,0300,52.42,110.16,3.02,0,2,3,10.75,0,28
29,2019,10,18,0300,52.42,112.26,3.02,0,3,3,2.13,0,36
30,2019,10,18,0300,52.42,112.28,3.02,0,3,3,2.13,0,36
31,2019,10,18,0300,52.40,110.12,3.02,0,2,5,8.78,0,28
32,2019,10,18,0300,52.40,110.14,3.02,0,2,5,8.78,0,28
33,2019,10,18,0300,52.40,110.16,3.02,0,3,3,4.14,0,28
34,2019,10,18,0300,52.40,110.18,3.02,0,3,3,4.14,0,28
35,2019,10,18,0300,52.40,112.28,3.02,0,3,3,2.13,0,36
36,2019,10,18,0300,52.40,112.30,3.02,0,3,3,2.13,0,36
37,2019,10,18,0300,52.38,110.18,3.03,0,3,3,4.14,0,28
38,2019,10,18,0300,52.38,110.20,3.03,0,3,3,4.14,0,28
39,2019,10,18,0300,52.32,111.74,3.03,0,3,3,1.15,0,39
40,2019,10,18,0300,52.32,111.76,3.03,0,3,1,1.08,0,39
41,2019,10,18,0300,52.32,116.90,3.03,0,2,3,1.52,0,45
42,2019,10,18,0300,52.32,116.92,3.03,0,2,3,1.52,0,45
43,2019,10,18,0300,52.30,111.76,3.03,0,3,1,1.08,0,39
44,2019,10,18,0300,52.30,111.78,3.03,0,3,3,1.08,0,39
45,2019,10,18,0300,52.30,116.90,3.03,0,2,3,1.52,0,45
46,2019,10,18,0300,52.30,116.92,3.03,0,2,3,1.52,0,45
47,2019,10,18,0300,52.28,111.78,3.03,0,3,1,1.05,0,39
48,2019,10,18,0300,52.28,111.80,3.03,0,3,3,1.05,0,39
49,2019,10,18,0300,52.26,111.80,3.03,0,3,3,1.05,0,39
50,2019,10,18,0300,52.26,111.82,3.03,0,3,3,1.05,0,39
51,2019,10,18,0300,52.16,106.92,3.04,0,2,3,7.29,0,54
52,2019,10,18,0300,52.16,106.94,3.04,0,2,3,7.29,0,54
53,2019,10,18,0300,52.14,106.94,3.04,0,2,3,7.31,0,54
54,2019,10,18,0300,52.14,106.96,3.04,0,2,3,7.31,0,54
55,2019,10,18,0300,52.12,106.98,3.04,0,2,1,3.58,0,57
56,2019,10,18,0300,52.10,106.98,3.04,0,2,1,3.58,0,57
