# 2019 10 31 18 30 UTC  2020  5 19  0  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,10,31,1828,49.54,115.54,3.22,0,2,1,2.06,0,1
2,2019,10,31,1834,48.50,95.02,3.28,0,2,3,2.01,0,6
3,2019,10,31,1834,48.50,95.04,3.28,0,2,3,2.02,0,6
4,2019,10,31,1834,48.48,95.04,3.29,0,2,3,2.02,0,6
5,2019,10,31,1834,48.48,95.06,3.29,0,2,3,2.02,0,6
6,2019,10,31,1834,48.48,95.08,3.29,0,2,1,2.02,0,6
7,2019,10,31,1828,47.90,117.86,3.32,0,2,1,2.77,0,7
8,2019,10,31,1834,46.30,122.90,3.42,0,2,1,2.12,0,11
9,2019,10,31,1834,46.30,122.92,3.42,0,2,1,2.12,0,11
10,2019,10,31,1834,46.30,122.94,3.42,0,2,1,1.86,0,11
11,2019,10,31,1834,46.28,122.92,3.43,0,2,1,2.12,0,11
12,2019,10,31,1834,46.28,122.94,3.43,0,2,1,1.86,0,11
13,2019,10,31,1834,46.08,122.04,3.44,0,2,1,.65,0,15
14,2019,10,31,1834,46.08,122.06,3.44,0,2,1,.65,0,15
15,2019,10,31,1834,46.06,122.06,3.44,0,2,1,.65,0,15
16,2019,10,31,1834,45.88,122.44,3.45,0,2,3,1.42,0,16
17,2019,10,31,1834,45.86,122.46,3.45,0,2,3,1.33,0,17
18,2019,10,31,1834,45.72,127.42,3.46,0,2,3,.81,0,18
19,2019,10,31,1834,45.66,132.02,3.46,0,2,3,3.50,0,21
20,2019,10,31,1834,45.64,132.02,3.47,0,2,3,3.50,0,21
21,2019,10,31,1834,45.62,132.02,3.47,0,2,5,9.50,0,21
22,2019,10,31,1834,45.62,132.04,3.47,0,2,1,3.32,0,21
23,2019,10,31,1834,45.62,132.06,3.47,0,2,1,3.32,0,21
24,2019,10,31,1834,45.42,121.74,3.48,0,2,1,.81,0,24
25,2019,10,31,1834,44.94,125.12,3.51,0,2,3,1.06,0,25
26,2019,10,31,1834,44.76,90.18,3.52,0,2,1,2.83,0,33
27,2019,10,31,1834,44.76,90.20,3.52,0,2,1,2.84,0,33
28,2019,10,31,1834,44.76,90.22,3.52,0,2,1,3.26,0,33
29,2019,10,31,1834,44.74,90.20,3.52,0,2,1,2.84,0,33
