# 2019 11  1 11  0 UTC  2020  5 18 17  6 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,1,1058,57.72,106.84,2.65,0,2,1,.60,0,5
2,2019,11,1,1058,57.72,106.86,2.65,0,2,1,.60,0,5
3,2019,11,1,1058,57.70,106.86,2.65,0,2,1,.60,0,5
4,2019,11,1,1058,57.70,106.88,2.65,0,2,1,.60,0,5
5,2019,11,1,1058,57.70,106.90,2.65,0,2,1,.60,0,5
6,2019,11,1,1058,57.60,107.08,2.66,0,2,5,9.77,0,25
7,2019,11,1,1058,57.60,107.10,2.66,0,2,5,9.77,0,25
8,2019,11,1,1058,57.60,107.12,2.66,0,3,5,1.48,0,25
9,2019,11,1,1058,57.60,107.14,2.66,0,3,5,1.48,0,25
10,2019,11,1,1058,57.58,107.10,2.66,0,2,5,9.77,0,25
11,2019,11,1,1058,57.58,107.12,2.66,0,2,5,9.77,0,25
12,2019,11,1,1058,57.58,107.14,2.66,0,3,5,1.48,0,25
13,2019,11,1,1058,57.58,107.16,2.66,0,3,5,1.48,0,25
14,2019,11,1,1058,57.56,107.12,2.66,0,2,5,9.77,0,25
15,2019,11,1,1058,57.56,107.14,2.66,0,2,5,9.77,0,25
16,2019,11,1,1058,57.56,107.16,2.66,0,3,5,1.48,0,25
17,2019,11,1,1058,57.56,107.18,2.66,0,3,5,1.48,0,25
18,2019,11,1,1058,57.56,107.20,2.66,0,3,5,1.48,0,25
19,2019,11,1,1058,57.54,107.14,2.66,0,2,5,18.13,0,25
20,2019,11,1,1058,57.54,107.16,2.66,0,2,5,18.13,0,25
21,2019,11,1,1058,57.54,107.18,2.66,0,2,5,2.04,0,25
22,2019,11,1,1058,57.54,107.20,2.66,0,2,5,2.05,0,25
23,2019,11,1,1058,57.54,107.22,2.66,0,2,5,2.05,0,25
24,2019,11,1,1058,57.52,107.16,2.66,0,2,5,18.13,0,25
25,2019,11,1,1058,57.52,107.18,2.66,0,2,5,18.13,0,25
26,2019,11,1,1058,57.52,107.20,2.66,0,2,5,18.13,0,25
27,2019,11,1,1058,57.52,107.22,2.66,0,2,5,2.05,0,25
28,2019,11,1,1058,57.52,107.24,2.66,0,2,5,2.05,0,25
29,2019,11,1,1058,57.04,107.76,2.70,0,2,3,4.09,0,37
30,2019,11,1,1058,57.04,107.78,2.70,0,2,3,4.09,0,37
31,2019,11,1,1058,57.04,107.80,2.70,0,2,3,2.23,0,37
32,2019,11,1,1058,57.04,107.82,2.70,0,2,3,2.23,0,37
33,2019,11,1,1058,57.02,107.78,2.70,0,2,3,4.09,0,37
34,2019,11,1,1058,57.02,107.80,2.70,0,2,3,4.09,0,37
35,2019,11,1,1058,57.02,107.82,2.70,0,2,3,2.23,0,37
36,2019,11,1,1058,57.02,107.84,2.70,0,2,3,2.23,0,37
37,2019,11,1,1058,57.00,107.80,2.70,0,2,3,4.53,0,37
38,2019,11,1,1058,57.00,107.82,2.70,0,2,3,4.09,0,37
39,2019,11,1,1058,57.00,107.84,2.70,0,2,3,2.24,0,37
40,2019,11,1,1058,57.00,107.86,2.70,0,2,3,2.24,0,37
41,2019,11,1,1058,56.98,107.82,2.70,0,2,3,4.39,0,37
42,2019,11,1,1058,56.98,107.84,2.70,0,2,3,4.39,0,37
43,2019,11,1,1058,56.96,107.84,2.70,0,2,3,4.39,0,37
44,2019,11,1,1058,56.96,107.86,2.70,0,2,3,4.39,0,37
45,2019,11,1,1058,56.68,161.32,2.72,1,1,1,17.39,0,45
46,2019,11,1,1058,56.68,161.34,2.72,1,2,1,5.37,0,45
47,2019,11,1,1058,56.66,161.32,2.72,1,2,1,5.37,0,45
48,2019,11,1,1058,56.66,161.34,2.72,1,2,1,5.37,0,45
49,2019,11,1,1058,56.64,161.30,2.73,0,2,1,5.37,0,45
50,2019,11,1,1058,56.64,161.32,2.73,0,2,1,5.37,0,45
51,2019,11,1,1058,54.48,102.96,2.88,0,2,3,2.73,0,56
52,2019,11,1,1058,54.48,102.98,2.88,0,2,3,2.73,0,56
53,2019,11,1,1058,54.46,102.98,2.88,0,2,3,2.73,0,56
54,2019,11,1,1058,54.46,103.00,2.88,0,2,3,2.74,0,56
55,2019,11,1,1058,54.44,103.00,2.88,0,2,3,2.74,0,56
56,2019,11,1,1058,54.44,103.02,2.88,0,2,3,2.74,0,56
57,2019,11,1,1058,54.44,103.04,2.88,0,2,3,2.74,0,56
58,2019,11,1,1058,52.96,113.42,2.99,0,2,1,.92,0,60
59,2019,11,1,1058,52.94,113.42,2.99,0,2,1,.92,0,60
60,2019,11,1,1058,52.94,113.44,2.99,0,2,1,.92,0,60
61,2019,11,1,1058,52.92,113.46,2.99,0,2,1,.99,0,61
62,2019,11,1,1058,49.26,123.40,3.23,0,2,3,2.76,0,62
63,2019,11,1,1058,49.26,123.42,3.23,0,2,3,2.76,0,62
64,2019,11,1,1058,49.24,123.42,3.24,0,2,3,2.76,0,62
65,2019,11,1,1058,49.22,123.42,3.24,0,2,1,2.35,0,62
66,2019,11,1,1058,49.22,123.44,3.24,0,2,3,2.35,0,62
67,2019,11,1,1058,49.20,123.44,3.24,0,2,1,2.35,0,62
68,2019,11,1,1058,47.86,131.46,3.33,0,2,3,1.31,0,68
69,2019,11,1,1104,46.74,123.30,3.40,0,2,1,.57,0,69
70,2019,11,1,1104,46.70,123.28,3.40,0,2,3,1.25,0,70
71,2019,11,1,1104,46.68,123.28,3.40,0,2,3,1.24,0,70
72,2019,11,1,1104,46.68,123.30,3.40,0,2,3,1.24,0,70
73,2019,11,1,1104,46.64,126.96,3.40,0,2,1,1.16,0,76
74,2019,11,1,1104,46.64,126.98,3.40,0,2,1,1.16,0,76
75,2019,11,1,1104,46.62,126.96,3.40,0,2,1,1.16,0,76
76,2019,11,1,1104,46.62,126.98,3.40,0,2,1,1.16,0,76
77,2019,11,1,1104,46.14,121.34,3.43,0,2,1,1.05,0,78
78,2019,11,1,1104,46.14,121.36,3.43,0,2,1,1.05,0,78
79,2019,11,1,1104,45.70,122.72,3.46,0,2,3,1.27,0,79
80,2019,11,1,1104,45.68,122.72,3.46,0,2,3,1.27,0,79
81,2019,11,1,1104,45.68,122.74,3.46,0,2,1,1.27,0,79
82,2019,11,1,1104,45.58,121.80,3.47,0,2,5,4.26,0,82
83,2019,11,1,1104,45.58,121.82,3.47,0,2,5,4.26,0,82
84,2019,11,1,1104,45.58,121.84,3.47,0,2,1,2.27,0,82
85,2019,11,1,1104,45.56,121.82,3.47,0,2,1,2.44,0,82
86,2019,11,1,1104,45.54,121.82,3.47,0,2,1,2.44,0,82
87,2019,11,1,1104,45.54,121.84,3.47,0,2,1,2.44,0,82
88,2019,11,1,1104,45.36,121.92,3.48,0,2,3,2.74,0,90
89,2019,11,1,1104,45.36,121.94,3.48,0,2,3,2.74,0,90
90,2019,11,1,1104,45.36,121.96,3.48,0,2,3,3.31,0,90
91,2019,11,1,1104,45.34,133.28,3.48,0,2,3,.66,0,91
92,2019,11,1,1104,44.98,125.08,3.51,0,2,1,.73,0,92
93,2019,11,1,1104,44.96,125.10,3.51,0,2,1,.80,0,93
94,2019,11,1,1104,44.82,126.52,3.52,0,2,1,1.92,0,94
95,2019,11,1,1104,44.82,126.54,3.52,0,2,1,1.92,0,94
96,2019,11,1,1104,44.82,126.56,3.52,0,2,1,1.27,0,94
97,2019,11,1,1104,44.76,90.18,3.52,0,2,1,2.63,0,98
98,2019,11,1,1104,44.76,90.20,3.52,0,2,1,2.64,0,98
99,2019,11,1,1104,44.74,90.20,3.52,0,2,1,2.54,0,98
100,2019,11,1,1104,44.74,90.22,3.52,0,2,1,2.45,0,98
101,2019,11,1,1104,44.74,90.24,3.52,0,2,1,2.46,0,98
102,2019,11,1,1104,44.52,125.70,3.53,0,2,1,.95,0,102
103,2019,11,1,1104,44.42,125.16,3.54,0,2,1,1.05,0,103
104,2019,11,1,1104,44.42,125.18,3.54,0,2,1,1.05,0,103
105,2019,11,1,1104,44.40,131.44,3.54,0,3,5,6.69,0,105
106,2019,11,1,1104,44.40,131.46,3.54,0,3,5,6.69,0,105
107,2019,11,1,1104,44.28,132.06,3.55,0,2,3,1.34,0,107
108,2019,11,1,1104,44.26,132.06,3.55,0,2,3,1.34,0,107
109,2019,11,1,1104,43.80,122.02,3.58,0,2,3,1.56,0,109
110,2019,11,1,1104,43.80,122.04,3.58,0,2,3,1.56,0,109
111,2019,11,1,1104,43.78,122.04,3.58,0,2,3,1.14,0,109
112,2019,11,1,1104,43.76,122.04,3.58,0,2,3,1.14,0,109
113,2019,11,1,1104,43.60,125.34,3.59,0,2,3,1.79,0,113
114,2019,11,1,1104,43.12,125.94,3.62,0,2,3,.59,0,114
115,2019,11,1,1104,43.10,125.94,3.62,0,2,3,.59,0,114
116,2019,11,1,1104,43.00,124.54,3.63,0,2,3,2.66,0,118
117,2019,11,1,1104,42.98,124.54,3.63,0,2,3,2.65,0,118
118,2019,11,1,1104,42.98,124.56,3.63,0,2,3,2.74,0,118
119,2019,11,1,1104,42.98,124.58,3.63,0,2,5,2.74,0,118
120,2019,11,1,1104,42.96,124.54,3.63,0,2,3,2.56,0,118
121,2019,11,1,1104,42.96,124.56,3.63,0,2,5,2.28,0,118
122,2019,11,1,1104,42.96,124.58,3.63,0,2,5,2.28,0,118
123,2019,11,1,1104,42.74,133.14,3.64,0,2,5,4.06,0,123
124,2019,11,1,1104,42.72,126.12,3.64,0,2,1,.88,0,125
125,2019,11,1,1104,42.72,126.14,3.64,0,2,3,1.03,0,125
