# 2019 11  2  6  0 UTC  2020  5 18  9 25 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,2,0600,51.38,114.76,3.09,0,2,3,1.94,0,4
2,2019,11,2,0600,51.38,114.78,3.09,0,2,3,1.94,0,4
3,2019,11,2,0600,51.36,114.78,3.10,0,2,3,1.94,0,4
4,2019,11,2,0600,51.36,114.80,3.10,0,2,3,1.94,0,4
5,2019,11,2,0600,49.78,123.42,3.20,0,1,3,4.19,0,7
6,2019,11,2,0600,49.76,123.42,3.20,0,1,3,4.19,0,7
7,2019,11,2,0600,49.76,123.44,3.20,0,1,3,4.21,0,7
8,2019,11,2,0600,49.74,123.44,3.20,0,2,3,1.89,0,7
9,2019,11,2,0600,49.72,123.44,3.20,0,2,3,1.89,0,7
10,2019,11,2,0600,49.72,123.46,3.20,0,2,3,1.89,0,7
11,2019,11,2,0600,49.32,123.54,3.23,0,2,1,1.54,0,13
12,2019,11,2,0600,49.32,123.58,3.23,0,2,3,1.55,0,14
13,2019,11,2,0600,49.30,123.54,3.23,0,2,1,1.54,0,13
14,2019,11,2,0600,49.30,123.58,3.23,0,2,3,1.55,0,14
15,2019,11,2,0600,49.30,123.60,3.23,0,2,3,1.55,0,14
16,2019,11,2,0600,49.10,126.80,3.25,0,2,3,6.02,0,20
17,2019,11,2,0600,49.10,126.82,3.25,0,2,3,6.02,0,20
18,2019,11,2,0600,49.10,126.84,3.25,0,3,1,2.87,0,20
19,2019,11,2,0600,49.10,126.96,3.25,0,2,3,6.31,0,31
20,2019,11,2,0600,49.08,126.82,3.25,0,1,3,16.38,0,20
21,2019,11,2,0600,49.08,126.96,3.25,0,2,3,6.31,0,31
22,2019,11,2,0600,49.08,126.98,3.25,0,2,3,6.31,0,31
23,2019,11,2,0600,49.06,126.82,3.25,0,1,3,16.38,0,20
24,2019,11,2,0600,49.06,126.94,3.25,0,2,3,5.03,0,31
25,2019,11,2,0600,49.06,126.96,3.25,0,2,3,5.03,0,31
26,2019,11,2,0600,49.06,126.98,3.25,0,2,5,11.72,0,31
27,2019,11,2,0600,49.06,127.10,3.25,0,2,5,4.79,0,40
28,2019,11,2,0600,49.04,126.92,3.25,0,2,5,9.20,0,31
29,2019,11,2,0600,49.04,126.94,3.25,0,2,5,11.15,0,31
30,2019,11,2,0600,49.04,126.96,3.25,0,2,5,11.15,0,31
31,2019,11,2,0600,49.04,126.98,3.25,0,2,5,12.01,0,31
32,2019,11,2,0600,49.04,127.00,3.25,0,2,3,2.64,0,31
33,2019,11,2,0600,49.04,127.10,3.25,0,2,5,4.79,0,40
34,2019,11,2,0600,49.02,126.92,3.25,0,2,5,9.20,0,31
35,2019,11,2,0600,49.02,126.94,3.25,0,2,5,9.20,0,31
36,2019,11,2,0600,49.02,126.96,3.25,0,2,5,11.15,0,31
37,2019,11,2,0600,49.02,126.98,3.25,0,2,5,12.01,0,31
38,2019,11,2,0600,49.02,127.00,3.25,0,2,5,12.01,0,31
39,2019,11,2,0600,49.02,127.02,3.25,0,2,3,2.64,0,31
40,2019,11,2,0600,49.02,127.08,3.25,0,2,5,10.89,0,40
41,2019,11,2,0600,49.02,127.10,3.25,0,2,5,7.76,0,40
42,2019,11,2,0600,49.02,127.12,3.25,0,2,5,7.76,0,40
43,2019,11,2,0600,49.02,127.34,3.25,0,2,3,1.69,0,47
44,2019,11,2,0600,49.02,127.36,3.25,0,2,3,1.69,0,47
45,2019,11,2,0600,49.00,126.96,3.25,0,2,3,2.27,0,31
46,2019,11,2,0600,49.00,127.08,3.25,0,2,3,2.51,0,40
47,2019,11,2,0600,49.00,127.36,3.25,0,2,3,1.69,0,47
48,2019,11,2,0600,48.98,126.96,3.25,0,2,3,2.27,0,31
49,2019,11,2,0600,48.98,126.98,3.25,0,2,3,2.27,0,31
50,2019,11,2,0600,48.98,127.08,3.25,0,2,3,2.51,0,40
51,2019,11,2,0600,48.98,127.10,3.25,0,2,3,2.51,0,40
52,2019,11,2,0600,48.94,126.56,3.26,0,2,3,5.39,0,62
53,2019,11,2,0600,48.94,126.64,3.26,0,2,5,37.27,0,64
54,2019,11,2,0600,48.94,126.66,3.26,0,2,5,37.27,0,64
55,2019,11,2,0600,48.92,126.56,3.26,0,2,3,5.39,0,62
56,2019,11,2,0600,48.92,126.58,3.26,0,2,3,5.39,0,62
57,2019,11,2,0600,48.92,126.64,3.26,0,1,1,29.54,0,64
58,2019,11,2,0600,48.92,126.66,3.26,0,2,5,37.27,0,64
59,2019,11,2,0600,48.92,126.98,3.26,0,2,3,3.27,0,68
60,2019,11,2,0600,48.92,127.00,3.26,0,2,3,3.27,0,68
61,2019,11,2,0600,48.92,127.02,3.26,0,2,5,8.64,0,68
62,2019,11,2,0600,48.90,126.56,3.26,0,2,5,10.41,0,62
63,2019,11,2,0600,48.90,126.58,3.26,0,2,5,10.41,0,62
64,2019,11,2,0600,48.90,126.66,3.26,0,2,5,51.27,0,64
65,2019,11,2,0600,48.90,126.68,3.26,0,3,5,20.31,0,64
66,2019,11,2,0600,48.90,126.70,3.26,0,3,5,20.31,0,64
67,2019,11,2,0600,48.90,127.00,3.26,0,2,5,5.33,0,68
68,2019,11,2,0600,48.90,127.02,3.26,0,2,5,13.10,0,68
69,2019,11,2,0600,48.90,127.04,3.26,0,2,5,13.10,0,68
70,2019,11,2,0600,48.90,127.06,3.26,0,3,3,2.10,0,68
71,2019,11,2,0600,48.88,126.66,3.26,0,2,5,35.27,0,64
72,2019,11,2,0600,48.88,126.68,3.26,0,2,5,35.27,0,64
73,2019,11,2,0600,48.88,126.70,3.26,0,3,5,20.31,0,64
74,2019,11,2,0600,48.88,127.00,3.26,0,2,5,5.33,0,68
75,2019,11,2,0600,48.88,127.02,3.26,0,2,5,13.10,0,68
76,2019,11,2,0600,48.88,127.04,3.26,0,2,5,13.10,0,68
77,2019,11,2,0600,48.88,127.06,3.26,0,3,3,2.10,0,68
78,2019,11,2,0600,48.86,126.64,3.26,0,2,3,2.80,0,64
79,2019,11,2,0600,48.86,126.66,3.26,0,2,3,2.80,0,64
80,2019,11,2,0600,48.86,126.68,3.26,0,2,5,35.27,0,64
81,2019,11,2,0600,48.84,126.64,3.26,0,2,3,2.48,0,64
82,2019,11,2,0600,48.84,126.66,3.26,0,2,3,2.43,0,64
83,2019,11,2,0600,48.82,126.66,3.26,0,2,5,2.43,0,64
84,2019,11,2,0600,48.80,127.42,3.26,0,2,3,2.48,0,91
85,2019,11,2,0600,48.80,127.44,3.26,0,3,5,1.30,0,91
86,2019,11,2,0600,48.80,127.46,3.26,0,3,5,1.30,0,91
87,2019,11,2,0600,48.78,127.20,3.27,0,2,3,1.47,0,94
88,2019,11,2,0600,48.78,127.22,3.27,0,2,3,1.47,0,94
89,2019,11,2,0600,48.78,127.24,3.27,0,2,5,1.78,0,94
90,2019,11,2,0600,48.78,127.42,3.27,0,2,5,1.97,0,91
91,2019,11,2,0600,48.78,127.44,3.27,0,2,5,2.83,0,91
92,2019,11,2,0600,48.78,127.46,3.27,0,2,5,2.83,0,91
93,2019,11,2,0600,48.76,127.22,3.27,0,2,3,1.47,0,94
94,2019,11,2,0600,48.76,127.24,3.27,0,2,5,1.78,0,94
95,2019,11,2,0600,48.76,127.26,3.27,0,2,5,1.78,0,94
96,2019,11,2,0600,48.76,127.42,3.27,0,2,5,1.97,0,91
97,2019,11,2,0600,48.76,127.44,3.27,0,2,5,1.97,0,91
98,2019,11,2,0600,48.76,127.46,3.27,0,2,5,2.83,0,91
99,2019,11,2,0600,48.74,127.28,3.27,0,2,3,1.01,0,103
100,2019,11,2,0600,48.74,127.30,3.27,0,2,3,1.37,0,103
101,2019,11,2,0600,48.74,127.32,3.27,0,2,3,1.37,0,103
102,2019,11,2,0600,48.72,127.30,3.27,0,2,3,1.01,0,103
103,2019,11,2,0600,48.72,127.32,3.27,0,2,5,1.37,0,103
104,2019,11,2,0600,48.66,127.98,3.27,0,3,3,2.70,0,104
105,2019,11,2,0600,48.66,128.00,3.27,0,3,3,2.70,0,104
106,2019,11,2,0600,48.64,128.00,3.28,0,3,3,2.70,0,104
107,2019,11,2,0600,48.56,128.58,3.28,0,1,3,16.61,0,107
108,2019,11,2,0600,48.56,128.60,3.28,0,1,3,16.61,0,107
109,2019,11,2,0600,48.56,128.62,3.28,0,2,3,5.14,0,107
110,2019,11,2,0600,48.56,128.64,3.28,0,2,3,5.84,0,107
111,2019,11,2,0600,48.56,128.66,3.28,0,2,3,5.84,0,107
112,2019,11,2,0600,48.54,110.40,3.28,0,3,1,.53,2,113
113,2019,11,2,0600,48.54,110.42,3.28,0,3,3,.53,2,113
114,2019,11,2,0600,48.54,128.58,3.28,0,1,3,16.61,0,107
115,2019,11,2,0600,48.54,128.60,3.28,0,1,3,16.61,0,107
116,2019,11,2,0600,48.54,128.62,3.28,0,2,3,5.14,0,107
117,2019,11,2,0600,48.54,128.64,3.28,0,2,3,5.84,0,107
118,2019,11,2,0600,48.54,128.66,3.28,0,2,3,5.84,0,107
119,2019,11,2,0600,48.52,128.60,3.28,0,2,5,10.43,0,107
120,2019,11,2,0600,48.34,128.38,3.29,0,2,3,1.37,0,125
121,2019,11,2,0600,48.34,128.40,3.29,0,2,3,1.62,0,125
