# 2019 11  3 19  0 UTC  2020  5 17 18 33 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,3,1902,50.44,137.06,3.16,0,2,3,.89,0,2
2,2019,11,3,1902,50.42,137.06,3.16,0,2,3,.89,0,2
3,2019,11,3,1902,48.56,126.92,3.28,0,2,1,1.12,0,4
4,2019,11,3,1902,48.54,126.92,3.28,0,2,1,1.12,0,4
5,2019,11,3,1902,48.42,95.90,3.29,0,2,3,2.43,0,5
6,2019,11,3,1902,48.40,95.94,3.29,0,2,1,1.91,0,7
7,2019,11,3,1902,48.40,95.96,3.29,0,2,1,1.91,0,7
8,2019,11,3,1902,48.38,95.98,3.29,0,2,1,1.99,0,8
9,2019,11,3,1902,48.32,117.12,3.30,0,2,1,.67,0,9
10,2019,11,3,1902,48.30,126.64,3.30,0,2,1,1.05,0,12
11,2019,11,3,1902,48.28,126.64,3.30,0,2,1,1.05,0,12
12,2019,11,3,1902,48.28,126.66,3.30,0,2,1,1.05,0,12
13,2019,11,3,1902,47.88,131.38,3.32,0,2,3,2.97,0,15
14,2019,11,3,1902,47.86,131.38,3.33,0,2,3,2.97,0,15
15,2019,11,3,1902,47.84,131.38,3.33,0,2,5,3.91,0,15
16,2019,11,3,1902,47.82,131.38,3.33,0,2,5,3.91,0,15
17,2019,11,3,1902,47.82,131.40,3.33,0,2,5,3.91,0,15
18,2019,11,3,1902,46.78,122.64,3.39,0,2,1,2.88,0,18
19,2019,11,3,1902,46.46,134.32,3.41,0,2,1,2.12,0,19
20,2019,11,3,1902,46.46,134.34,3.41,0,2,3,.99,0,19
21,2019,11,3,1902,46.46,134.36,3.41,0,2,3,.99,0,19
22,2019,11,3,1902,46.34,121.86,3.42,0,2,3,2.08,0,22
23,2019,11,3,1902,46.32,121.88,3.42,0,1,3,3.32,0,23
24,2019,11,3,1902,46.32,130.66,3.42,0,2,3,1.58,0,24
25,2019,11,3,1902,46.32,130.68,3.42,0,2,3,1.58,0,24
26,2019,11,3,1902,46.30,122.90,3.42,0,2,1,2.76,0,29
27,2019,11,3,1902,46.30,122.92,3.42,0,2,1,2.76,0,29
28,2019,11,3,1902,46.30,130.68,3.42,0,2,3,1.06,0,24
29,2019,11,3,1902,46.28,122.92,3.43,0,2,1,2.76,0,29
30,2019,11,3,1902,46.28,130.68,3.43,0,2,1,1.06,0,24
31,2019,11,3,1902,46.02,132.80,3.44,0,2,1,2.18,0,33
32,2019,11,3,1902,46.02,132.82,3.44,0,2,1,2.18,0,33
33,2019,11,3,1902,46.00,132.80,3.44,0,2,1,2.18,0,33
34,2019,11,3,1902,46.00,132.82,3.44,0,2,1,2.18,0,33
35,2019,11,3,1902,45.32,122.32,3.49,0,2,3,1.75,0,36
36,2019,11,3,1902,45.30,122.32,3.49,0,2,3,1.75,0,36
37,2019,11,3,1902,45.00,125.04,3.50,0,2,3,2.22,0,38
38,2019,11,3,1902,45.00,125.06,3.50,0,2,3,2.22,0,38
39,2019,11,3,1902,44.88,126.76,3.51,0,2,3,.82,0,39
40,2019,11,3,1902,44.74,127.60,3.52,0,2,5,2.73,0,40
41,2019,11,3,1902,44.72,127.60,3.52,0,2,5,2.73,0,40
42,2019,11,3,1902,44.42,126.68,3.54,0,2,1,2.49,0,43
43,2019,11,3,1902,44.42,126.70,3.54,0,2,1,2.49,0,43
44,2019,11,3,1902,44.20,123.78,3.55,0,2,3,.87,0,44
45,2019,11,3,1902,44.20,123.80,3.55,0,2,3,.87,0,44
46,2019,11,3,1902,43.64,126.94,3.59,0,1,1,7.49,0,46
47,2019,11,3,1902,43.40,143.20,3.60,0,2,3,1.96,0,47
48,2019,11,3,1902,43.36,119.56,3.60,0,2,3,1.20,0,49
49,2019,11,3,1902,43.36,119.58,3.60,0,2,3,1.20,0,49
50,2019,11,3,1902,43.22,124.82,3.61,0,1,1,5.27,0,50
51,2019,11,3,1902,43.20,124.82,3.61,0,1,1,5.27,0,50
52,2019,11,3,1902,43.20,124.84,3.61,0,1,3,5.27,0,50
53,2019,11,3,1902,43.16,124.88,3.62,0,1,1,4.90,0,53
54,2019,11,3,1902,43.14,124.86,3.62,0,2,1,3.81,0,54
55,2019,11,3,1902,43.12,124.88,3.62,0,2,1,3.52,0,55
56,2019,11,3,1902,43.10,132.82,3.62,0,2,3,.55,0,56
57,2019,11,3,1902,42.76,123.28,3.64,0,1,1,4.57,0,57
58,2019,11,3,1902,42.74,123.28,3.64,0,1,1,4.34,0,57
59,2019,11,3,1902,42.74,123.30,3.64,0,2,3,2.22,0,57
60,2019,11,3,1902,42.74,123.32,3.64,0,2,3,2.22,0,57
61,2019,11,3,1902,42.50,125.16,3.65,0,2,5,4.52,0,61
62,2019,11,3,1902,42.50,125.18,3.65,0,2,5,4.52,0,61
63,2019,11,3,1902,42.40,123.34,3.66,0,2,3,1.86,0,63
64,2019,11,3,1902,42.26,125.32,3.67,0,2,3,.90,0,64
65,2019,11,3,1902,42.24,125.30,3.67,0,2,3,1.86,0,65
66,2019,11,3,1902,42.22,125.30,3.67,0,2,3,1.86,0,65
67,2019,11,3,1902,41.88,124.12,3.69,0,1,1,8.17,0,67
68,2019,11,3,1902,41.88,124.14,3.69,0,1,3,5.36,0,67
69,2019,11,3,1902,41.54,126.54,3.71,0,2,1,2.71,0,69
70,2019,11,3,1902,41.42,126.48,3.72,0,1,3,4.45,0,70
71,2019,11,3,1902,41.42,126.50,3.72,0,1,3,4.45,0,70
72,2019,11,3,1902,41.28,123.52,3.72,0,2,3,1.94,0,72
73,2019,11,3,1902,41.28,123.54,3.72,0,2,1,1.94,0,72
74,2019,11,3,1902,41.28,123.66,3.72,0,2,3,1.70,0,74
75,2019,11,3,1902,41.26,123.66,3.73,0,2,3,1.70,0,74
76,2019,11,3,1902,41.14,122.96,3.73,0,2,1,1.63,0,77
77,2019,11,3,1902,41.14,122.98,3.73,0,2,1,3.47,0,77
78,2019,11,3,1902,41.12,122.98,3.73,0,2,1,3.47,0,77
