# 2019 11  8  9 50 UTC  2020  5 15 23  7 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,8,0951,55.00,101.76,2.84,0,2,3,4.60,0,3
2,2019,11,8,0951,55.00,101.78,2.84,0,2,3,4.60,0,3
3,2019,11,8,0951,54.98,101.78,2.84,0,2,3,4.60,0,3
4,2019,11,8,0951,54.98,101.80,2.84,0,2,3,4.49,0,3
5,2019,11,8,0951,54.96,101.80,2.85,0,2,3,1.87,0,3
6,2019,11,8,0951,54.96,101.82,2.85,0,2,3,1.87,0,3
7,2019,11,8,0951,54.96,101.84,2.85,0,2,3,1.87,0,3
8,2019,11,8,0951,54.94,101.84,2.85,0,2,3,1.87,0,3
9,2019,11,8,0951,54.94,101.86,2.85,0,2,3,1.87,0,3
10,2019,11,8,0951,54.92,101.86,2.85,0,2,3,1.87,0,3
11,2019,11,8,0951,54.92,101.88,2.85,0,2,3,1.87,0,3
12,2019,11,8,0951,53.72,103.72,2.93,0,2,3,8.63,0,15
13,2019,11,8,0951,53.72,103.74,2.93,0,2,3,8.63,0,15
14,2019,11,8,0951,53.70,103.74,2.93,0,2,3,8.63,0,15
15,2019,11,8,0951,53.70,103.76,2.93,0,2,3,8.63,0,15
16,2019,11,8,0951,53.70,103.78,2.93,0,2,3,8.63,0,15
17,2019,11,8,0951,52.24,107.24,3.04,0,1,3,2.35,0,20
18,2019,11,8,0951,52.24,107.26,3.04,0,1,3,2.35,0,20
19,2019,11,8,0951,52.22,107.26,3.04,0,1,3,2.36,0,20
20,2019,11,8,0951,52.22,107.28,3.04,0,1,3,2.36,0,20
21,2019,11,8,0951,51.22,110.70,3.10,0,2,5,5.83,0,21
22,2019,11,8,0951,51.22,110.72,3.10,0,2,5,5.83,0,21
23,2019,11,8,0951,51.20,110.72,3.11,0,2,5,5.83,0,21
24,2019,11,8,0951,51.20,110.74,3.11,0,2,3,4.03,0,21
25,2019,11,8,0951,51.20,110.76,3.11,0,2,3,4.03,0,21
26,2019,11,8,0951,51.18,110.78,3.11,0,2,3,4.08,0,26
27,2019,11,8,0951,50.94,110.84,3.12,0,2,3,1.55,0,30
28,2019,11,8,0951,50.94,110.86,3.12,0,2,3,1.55,0,30
29,2019,11,8,0951,50.92,110.86,3.12,0,2,3,1.55,0,30
30,2019,11,8,0951,50.92,110.88,3.12,0,2,3,1.55,0,30
31,2019,11,8,0951,50.90,110.88,3.13,0,2,3,1.01,0,30
32,2019,11,8,0951,50.90,110.90,3.13,0,2,3,1.01,0,30
33,2019,11,8,0951,50.88,110.92,3.13,0,2,3,.95,0,33
34,2019,11,8,0951,50.12,123.78,3.18,0,2,3,1.74,0,40
35,2019,11,8,0951,50.12,123.80,3.18,0,2,3,1.74,0,40
36,2019,11,8,0951,50.12,123.82,3.18,0,2,3,1.60,0,40
37,2019,11,8,0951,50.10,123.80,3.18,0,2,3,1.74,0,40
38,2019,11,8,0951,50.10,123.82,3.18,0,2,3,1.60,0,40
39,2019,11,8,0951,50.10,123.84,3.18,0,2,3,1.60,0,40
40,2019,11,8,0951,50.08,123.80,3.18,0,2,3,2.11,0,40
41,2019,11,8,0951,50.08,123.82,3.18,0,2,3,2.11,0,40
42,2019,11,8,0951,50.08,123.84,3.18,0,2,3,1.54,0,40
43,2019,11,8,0951,50.06,123.80,3.18,0,2,3,2.11,0,40
44,2019,11,8,0951,50.06,123.82,3.18,0,2,3,2.11,0,40
45,2019,11,8,0951,50.06,123.84,3.18,0,2,3,1.54,0,40
46,2019,11,8,0951,50.06,123.86,3.18,0,2,3,1.54,0,40
47,2019,11,8,0951,49.86,124.14,3.20,0,2,1,.51,0,50
48,2019,11,8,0951,49.84,124.14,3.20,0,2,1,.51,0,50
49,2019,11,8,0951,49.84,124.16,3.20,0,2,1,.51,0,50
50,2019,11,8,0951,49.82,124.16,3.20,0,2,5,1.27,0,50
51,2019,11,8,0951,49.80,124.16,3.20,0,2,5,1.27,0,50
52,2019,11,8,0951,49.80,124.18,3.20,0,2,5,1.27,0,50
53,2019,11,8,0951,49.50,112.14,3.22,0,2,3,3.55,0,58
54,2019,11,8,0951,49.50,112.16,3.22,0,2,3,3.55,0,58
55,2019,11,8,0951,49.50,112.18,3.22,0,2,3,2.39,0,58
56,2019,11,8,0951,49.50,112.20,3.22,0,2,3,2.39,0,58
57,2019,11,8,0951,49.48,112.16,3.22,0,2,3,3.55,0,58
58,2019,11,8,0951,49.48,112.18,3.22,0,2,3,3.55,0,58
59,2019,11,8,0951,49.48,112.20,3.22,0,2,3,2.39,0,58
60,2019,11,8,0951,49.48,112.22,3.22,0,2,3,2.39,0,58
61,2019,11,8,0951,49.36,123.22,3.23,0,2,5,4.99,0,64
62,2019,11,8,0951,49.36,123.24,3.23,0,2,3,1.72,0,64
63,2019,11,8,0951,49.36,123.26,3.23,0,2,3,1.72,0,64
64,2019,11,8,0951,49.34,123.22,3.23,0,1,5,11.71,0,64
65,2019,11,8,0951,49.34,123.24,3.23,0,1,5,11.71,0,64
66,2019,11,8,0951,49.32,123.22,3.23,0,1,5,11.71,0,64
67,2019,11,8,0951,49.32,123.24,3.23,0,1,5,11.71,0,64
68,2019,11,8,0951,48.44,132.72,3.29,0,2,3,.63,0,68
69,2019,11,8,0951,48.42,132.72,3.29,0,2,3,.56,0,68
70,2019,11,8,0951,48.40,132.72,3.29,0,2,3,.56,0,68
71,2019,11,8,0951,48.32,132.38,3.30,0,2,3,1.56,0,78
72,2019,11,8,0951,48.32,132.40,3.30,0,2,3,1.56,0,78
73,2019,11,8,0951,48.30,132.38,3.30,0,2,3,1.50,0,78
74,2019,11,8,0951,48.30,132.40,3.30,0,2,3,1.50,0,78
75,2019,11,8,0951,48.28,132.30,3.30,0,2,3,1.16,0,75
76,2019,11,8,0951,48.28,132.32,3.30,0,2,3,1.16,0,75
77,2019,11,8,0951,48.28,132.34,3.30,0,3,3,.96,0,75
78,2019,11,8,0951,48.28,132.40,3.30,0,2,5,2.19,0,78
79,2019,11,8,0951,48.26,132.40,3.30,0,2,5,2.19,0,78
80,2019,11,8,0951,48.14,132.90,3.31,0,2,5,4.99,0,80
81,2019,11,8,0951,48.14,132.92,3.31,0,2,5,4.99,0,80
82,2019,11,8,0951,48.12,132.92,3.31,0,2,5,4.99,0,80
83,2019,11,8,0951,48.10,132.42,3.31,0,2,3,2.23,0,83
84,2019,11,8,0951,48.10,132.44,3.31,0,2,3,2.23,0,83
85,2019,11,8,0951,48.04,132.66,3.31,0,2,3,1.25,0,85
86,2019,11,8,0951,48.04,132.68,3.31,0,2,3,1.25,0,85
87,2019,11,8,0951,48.02,132.56,3.32,0,2,3,1.13,0,87
88,2019,11,8,0951,48.02,132.66,3.32,0,2,3,1.25,0,85
89,2019,11,8,0951,48.02,132.68,3.32,0,2,3,1.25,0,85
90,2019,11,8,0951,48.00,132.56,3.32,0,2,3,1.13,0,87
91,2019,11,8,0951,48.00,132.58,3.32,0,2,3,1.04,0,87
92,2019,11,8,0951,48.00,132.60,3.32,0,2,3,1.04,0,87
93,2019,11,8,0951,47.96,132.20,3.32,0,3,3,.51,0,93
94,2019,11,8,0951,47.94,132.20,3.32,0,3,3,.51,0,93
95,2019,11,8,0951,47.88,132.06,3.32,0,3,3,.63,0,97
96,2019,11,8,0951,47.88,132.08,3.32,0,3,3,.63,0,97
97,2019,11,8,0951,47.88,132.10,3.32,0,2,5,1.92,0,97
98,2019,11,8,0951,47.60,130.22,3.34,0,2,3,1.05,0,98
99,2019,11,8,0951,47.58,130.20,3.34,0,2,3,.79,0,98
100,2019,11,8,0951,47.58,130.22,3.34,0,3,3,.70,0,98
101,2019,11,8,0951,47.58,130.24,3.34,0,3,3,.70,0,98
102,2019,11,8,0951,47.56,130.20,3.34,0,2,3,.79,0,98
103,2019,11,8,0951,47.56,130.22,3.34,0,3,3,.70,0,98
104,2019,11,8,0951,47.56,130.24,3.34,0,3,3,.70,0,98
105,2019,11,8,0951,47.20,123.60,3.37,0,2,3,.80,0,108
106,2019,11,8,0951,47.20,123.62,3.37,0,2,1,.70,0,108
107,2019,11,8,0951,47.18,123.60,3.37,0,2,3,.80,0,108
108,2019,11,8,0951,47.18,123.62,3.37,0,2,3,.80,0,108
109,2019,11,8,0951,46.72,123.20,3.40,0,2,1,2.38,0,109
110,2019,11,8,0951,46.66,123.12,3.40,0,2,3,4.04,0,110
111,2019,11,8,0951,46.66,123.14,3.40,0,2,3,4.04,0,110
112,2019,11,8,0951,46.06,125.96,3.44,0,2,1,.59,0,113
113,2019,11,8,0951,46.06,125.98,3.44,0,2,1,.59,0,113
114,2019,11,8,0951,45.70,131.78,3.46,0,2,3,1.04,0,117
115,2019,11,8,0951,45.70,131.80,3.46,0,2,3,1.04,0,117
116,2019,11,8,0951,45.68,131.78,3.46,0,2,3,1.04,0,117
117,2019,11,8,0951,45.68,131.80,3.46,0,2,3,1.04,0,117
118,2019,11,8,0951,45.34,129.74,3.48,0,2,1,2.69,0,118
119,2019,11,8,0951,45.32,129.76,3.49,0,2,1,3.73,0,119
120,2019,11,8,0951,45.24,127.32,3.49,0,2,1,1.87,0,120
121,2019,11,8,0951,45.24,127.34,3.49,0,2,1,1.87,0,120
122,2019,11,8,0951,45.22,127.34,3.49,0,2,1,1.87,0,120
123,2019,11,8,0951,45.20,127.30,3.49,0,2,3,1.50,0,124
124,2019,11,8,0951,45.20,127.32,3.49,0,2,3,1.50,0,124
125,2019,11,8,0951,44.60,131.96,3.53,0,2,3,1.36,0,125
126,2019,11,8,0951,44.60,131.98,3.53,0,3,3,.78,0,125
127,2019,11,8,0951,44.44,131.46,3.54,0,2,5,1.45,0,127
128,2019,11,8,0951,44.44,131.48,3.54,0,2,5,1.45,0,127
129,2019,11,8,0951,44.42,125.14,3.54,0,2,3,.80,0,129
130,2019,11,8,0951,44.42,131.48,3.54,0,2,5,1.45,0,127
131,2019,11,8,0951,44.16,131.70,3.56,0,2,3,2.43,0,131
132,2019,11,8,0951,44.16,131.72,3.56,0,2,3,2.43,0,131
133,2019,11,8,0951,44.14,131.70,3.56,0,2,3,2.43,0,131
134,2019,11,8,0951,44.14,131.72,3.56,0,2,3,2.43,0,131
135,2019,11,8,0951,44.08,129.68,3.56,0,2,3,.81,0,135
136,2019,11,8,0951,44.06,124.58,3.56,0,2,3,2.82,0,136
137,2019,11,8,0951,44.06,124.60,3.56,0,2,3,2.82,0,136
138,2019,11,8,0951,44.04,124.60,3.56,0,2,3,2.82,0,136
139,2019,11,8,0951,44.04,131.56,3.56,0,2,3,3.58,0,139
140,2019,11,8,0951,44.04,131.58,3.56,0,2,3,3.58,0,139
141,2019,11,8,0951,44.04,131.60,3.56,0,2,5,3.23,0,139
142,2019,11,8,0951,44.02,131.60,3.56,0,2,5,3.23,0,139
143,2019,11,8,0951,43.98,129.00,3.57,0,2,1,1.66,0,143
144,2019,11,8,0951,43.92,131.98,3.57,0,2,3,1.34,0,144
145,2019,11,8,0951,43.92,132.00,3.57,0,2,3,1.34,0,144
146,2019,11,8,0951,43.90,132.00,3.57,0,2,1,1.34,0,144
147,2019,11,8,0951,43.88,131.80,3.57,0,2,3,1.70,0,150
148,2019,11,8,0951,43.88,131.82,3.57,0,2,3,1.70,0,150
149,2019,11,8,0951,43.88,131.84,3.57,0,2,5,2.85,0,150
150,2019,11,8,0951,43.86,131.84,3.57,0,2,5,2.93,0,150
151,2019,11,8,0951,43.84,131.84,3.58,0,2,5,2.93,0,150
152,2019,11,8,0951,43.82,125.78,3.58,0,2,3,1.35,0,152
153,2019,11,8,0951,43.82,125.80,3.58,0,2,3,1.35,0,152
154,2019,11,8,0951,43.82,128.50,3.58,0,2,5,7.75,0,154
155,2019,11,8,0951,43.82,128.52,3.58,0,2,3,2.42,0,154
156,2019,11,8,0951,43.82,128.54,3.58,0,2,3,2.42,0,154
157,2019,11,8,0951,43.80,128.50,3.58,0,2,5,4.33,0,154
158,2019,11,8,0951,43.80,128.52,3.58,0,2,5,4.33,0,154
159,2019,11,8,0951,43.78,128.52,3.58,0,2,5,4.33,0,154
160,2019,11,8,0951,43.76,127.48,3.58,0,2,3,.58,0,160
161,2019,11,8,0951,43.76,128.48,3.58,0,2,3,4.26,0,161
162,2019,11,8,0951,43.76,128.50,3.58,0,2,3,4.26,0,161
163,2019,11,8,0951,43.72,127.26,3.58,0,2,3,1.78,0,163
164,2019,11,8,0951,43.70,127.26,3.58,0,2,3,1.78,0,163
165,2019,11,8,0951,43.68,111.94,3.58,0,2,3,1.69,0,167
166,2019,11,8,0951,43.66,111.94,3.59,0,2,3,1.69,0,167
167,2019,11,8,0951,43.66,111.96,3.59,0,2,3,1.69,0,167
168,2019,11,8,0951,43.66,125.34,3.59,0,2,1,2.61,0,168
169,2019,11,8,0951,43.66,127.22,3.59,0,2,3,2.53,0,169
170,2019,11,8,0951,43.64,122.22,3.59,0,2,1,1.22,0,170
171,2019,11,8,0951,43.64,125.32,3.59,0,2,3,1.73,0,168
172,2019,11,8,0951,43.64,125.34,3.59,0,2,1,1.50,0,168
173,2019,11,8,0951,43.64,127.22,3.59,0,2,3,2.53,0,169
174,2019,11,8,0951,43.64,127.24,3.59,0,2,3,2.53,0,169
175,2019,11,8,0951,43.62,122.26,3.59,0,2,1,1.98,0,175
176,2019,11,8,0951,43.62,125.32,3.59,0,2,3,1.73,0,168
177,2019,11,8,0951,43.62,125.34,3.59,0,2,3,1.73,0,168
178,2019,11,8,0951,43.60,122.26,3.59,0,2,1,1.98,0,175
179,2019,11,8,0951,43.60,122.28,3.59,0,2,1,1.98,0,175
180,2019,11,8,0951,43.60,125.34,3.59,0,2,3,1.38,0,168
181,2019,11,8,0951,43.50,124.82,3.60,0,2,1,.86,0,181
182,2019,11,8,0951,43.32,126.14,3.61,0,2,5,8.51,0,182
183,2019,11,8,0951,43.32,126.16,3.61,0,2,5,8.50,0,182
184,2019,11,8,0951,43.30,126.16,3.61,0,2,5,8.50,0,182
185,2019,11,8,0951,43.30,126.18,3.61,0,2,5,8.03,0,182
186,2019,11,8,0951,43.28,125.94,3.61,0,2,3,1.85,0,186
187,2019,11,8,0951,43.26,125.92,3.61,0,2,5,2.93,0,187
188,2019,11,8,0951,43.24,125.92,3.61,0,2,3,1.73,0,187
189,2019,11,8,0951,43.24,125.94,3.61,0,2,3,2.93,0,187
190,2019,11,8,0951,43.22,125.94,3.61,0,2,1,1.73,0,187
191,2019,11,8,0951,43.14,126.22,3.62,0,2,3,3.11,0,191
192,2019,11,8,0951,43.12,124.76,3.62,0,2,3,1.34,0,278
193,2019,11,8,0951,43.12,124.78,3.62,0,2,3,1.34,0,278
194,2019,11,8,0951,43.12,124.80,3.62,0,2,5,3.03,0,278
195,2019,11,8,0951,43.12,124.82,3.62,0,2,5,4.95,0,278
196,2019,11,8,0951,43.12,124.84,3.62,0,2,5,3.41,0,278
197,2019,11,8,0951,43.12,124.86,3.62,0,2,5,3.41,0,278
198,2019,11,8,0951,43.12,126.22,3.62,0,2,3,3.11,0,191
199,2019,11,8,0951,43.12,126.24,3.62,0,2,3,3.11,0,191
200,2019,11,8,0951,43.10,124.74,3.62,0,2,5,4.64,0,278
201,2019,11,8,0951,43.10,124.76,3.62,0,2,5,4.64,0,278
202,2019,11,8,0951,43.10,124.78,3.62,0,2,5,11.45,0,278
203,2019,11,8,0951,43.10,124.80,3.62,0,2,5,13.12,0,278
204,2019,11,8,0951,43.10,124.82,3.62,0,2,5,16.77,0,278
205,2019,11,8,0951,43.10,124.84,3.62,0,2,5,16.77,0,278
206,2019,11,8,0951,43.10,124.86,3.62,0,2,5,10.26,0,278
207,2019,11,8,0951,43.08,124.72,3.62,0,2,5,3.21,0,278
208,2019,11,8,0951,43.08,124.74,3.62,0,2,5,3.21,0,278
209,2019,11,8,0951,43.08,124.76,3.62,0,2,5,4.64,0,278
210,2019,11,8,0951,43.08,124.78,3.62,0,2,5,11.45,0,278
211,2019,11,8,0951,43.08,124.80,3.62,0,2,5,13.12,0,278
212,2019,11,8,0951,43.08,124.82,3.62,0,2,5,13.12,0,278
213,2019,11,8,0951,43.08,124.84,3.62,0,2,5,16.74,0,278
214,2019,11,8,0951,43.08,124.86,3.62,0,2,5,10.26,0,278
215,2019,11,8,0951,43.06,124.72,3.62,0,2,5,3.21,0,278
216,2019,11,8,0951,43.06,124.74,3.62,0,2,5,3.21,0,278
217,2019,11,8,0951,43.06,124.76,3.62,0,2,5,6.22,0,278
218,2019,11,8,0951,43.06,124.78,3.62,0,2,5,6.05,0,278
219,2019,11,8,0951,43.06,124.80,3.62,0,2,5,6.05,0,278
220,2019,11,8,0951,43.06,124.82,3.62,0,2,5,8.35,0,278
221,2019,11,8,0951,43.06,124.84,3.62,0,2,5,10.64,0,278
222,2019,11,8,0951,43.06,124.86,3.62,0,2,5,3.63,0,278
223,2019,11,8,0951,43.06,124.88,3.62,0,2,5,3.63,0,278
224,2019,11,8,0951,43.04,124.68,3.62,0,2,1,1.48,0,278
225,2019,11,8,0951,43.04,124.70,3.62,0,2,5,2.55,0,278
226,2019,11,8,0951,43.04,124.72,3.62,0,2,5,2.55,0,278
227,2019,11,8,0951,43.04,124.74,3.62,0,2,5,4.57,0,278
228,2019,11,8,0951,43.04,124.76,3.62,0,2,5,3.34,0,278
229,2019,11,8,0951,43.04,124.78,3.62,0,2,5,3.34,0,278
230,2019,11,8,0951,43.04,124.80,3.62,0,2,3,2.71,0,278
231,2019,11,8,0951,43.04,124.82,3.62,0,2,5,5.67,0,278
232,2019,11,8,0951,43.04,124.84,3.62,0,2,5,4.82,0,278
233,2019,11,8,0951,43.04,124.86,3.62,0,2,5,4.82,0,278
234,2019,11,8,0951,43.02,124.76,3.62,0,2,5,6.28,0,278
235,2019,11,8,0951,43.02,124.78,3.62,0,2,5,6.28,0,278
236,2019,11,8,0951,43.02,124.80,3.62,0,2,3,2.71,0,278
237,2019,11,8,0951,43.02,124.82,3.62,0,2,5,5.67,0,278
238,2019,11,8,0951,43.02,124.84,3.62,0,2,5,5.67,0,278
239,2019,11,8,0951,43.02,124.86,3.62,0,2,5,4.82,0,278
240,2019,11,8,0951,43.00,124.78,3.63,0,2,5,6.28,0,278
241,2019,11,8,0951,43.00,124.80,3.63,0,2,5,8.10,0,278
242,2019,11,8,0951,43.00,124.82,3.63,0,2,5,11.41,0,278
243,2019,11,8,0951,43.00,124.84,3.63,0,2,5,11.41,0,278
244,2019,11,8,0951,43.00,124.86,3.63,0,2,3,2.05,0,278
245,2019,11,8,0951,42.98,124.78,3.63,0,2,5,8.73,0,278
246,2019,11,8,0951,42.98,124.80,3.63,0,2,5,17.23,0,278
247,2019,11,8,0951,42.98,124.82,3.63,0,2,5,17.23,0,278
248,2019,11,8,0951,42.98,124.84,3.63,0,2,5,23.57,0,278
249,2019,11,8,0951,42.98,124.86,3.63,0,2,5,2.54,0,278
250,2019,11,8,0951,42.98,126.62,3.63,0,2,3,1.61,0,250
251,2019,11,8,0951,42.98,126.64,3.63,0,2,3,1.16,0,250
252,2019,11,8,0951,42.96,124.70,3.63,0,2,3,4.15,0,278
253,2019,11,8,0951,42.96,124.72,3.63,0,2,3,4.15,0,278
254,2019,11,8,0951,42.96,124.74,3.63,0,2,5,3.94,0,278
255,2019,11,8,0951,42.96,124.76,3.63,0,2,5,5.94,0,278
256,2019,11,8,0951,42.96,124.78,3.63,0,2,5,11.61,0,278
257,2019,11,8,0951,42.96,124.80,3.63,0,2,5,11.61,0,278
258,2019,11,8,0951,42.96,124.82,3.63,0,2,5,17.21,0,278
259,2019,11,8,0951,42.96,124.84,3.63,0,2,5,23.57,0,278
260,2019,11,8,0951,42.96,124.86,3.63,0,2,5,2.54,0,278
261,2019,11,8,0951,42.96,124.88,3.63,0,2,5,2.54,0,278
262,2019,11,8,0951,42.96,126.62,3.63,0,2,3,1.61,0,250
263,2019,11,8,0951,42.96,126.64,3.63,0,2,3,1.16,0,250
264,2019,11,8,0951,42.96,126.66,3.63,0,2,3,1.16,0,250
265,2019,11,8,0951,42.94,124.72,3.63,0,2,3,4.15,0,278
266,2019,11,8,0951,42.94,124.74,3.63,0,2,5,3.94,0,278
267,2019,11,8,0951,42.94,124.76,3.63,0,2,5,5.94,0,278
268,2019,11,8,0951,42.94,124.78,3.63,0,2,5,5.94,0,278
269,2019,11,8,0951,42.94,124.80,3.63,0,2,5,11.61,0,278
270,2019,11,8,0951,42.94,124.82,3.63,0,2,5,20.59,0,278
271,2019,11,8,0951,42.94,124.84,3.63,0,2,5,12.72,0,278
272,2019,11,8,0951,42.94,124.86,3.63,0,2,5,12.72,0,278
273,2019,11,8,0951,42.92,124.70,3.63,0,2,1,1.94,0,278
274,2019,11,8,0951,42.92,124.72,3.63,0,2,5,4.13,0,278
275,2019,11,8,0951,42.92,124.74,3.63,0,2,5,4.15,0,278
276,2019,11,8,0951,42.92,124.76,3.63,0,2,5,4.15,0,278
277,2019,11,8,0951,42.92,124.80,3.63,0,2,5,14.56,0,278
278,2019,11,8,0951,42.92,124.82,3.63,0,2,5,24.74,0,278
279,2019,11,8,0951,42.92,124.84,3.63,0,2,5,24.74,0,278
280,2019,11,8,0951,42.92,124.86,3.63,0,2,3,1.16,0,278
281,2019,11,8,0951,42.90,124.78,3.63,0,2,3,3.04,0,278
282,2019,11,8,0951,42.90,124.80,3.63,0,2,5,2.83,0,278
283,2019,11,8,0951,42.90,124.82,3.63,0,2,5,2.83,0,278
284,2019,11,8,0951,42.90,124.84,3.63,0,2,5,4.48,0,278
285,2019,11,8,0951,42.90,124.86,3.63,0,2,3,1.16,0,278
286,2019,11,8,0951,42.90,126.12,3.63,0,2,3,2.77,0,286
287,2019,11,8,0951,42.90,126.14,3.63,0,2,3,2.77,0,286
288,2019,11,8,0951,42.88,124.78,3.63,0,2,3,3.04,0,278
289,2019,11,8,0951,42.88,124.80,3.63,0,2,3,3.04,0,278
