# 2019 11 11 15 30 UTC  2020  5 14 18 30 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,11,1528,48.56,126.92,3.28,0,2,3,1.16,0,3
2,2019,11,11,1528,48.56,126.94,3.28,0,2,1,.95,0,3
3,2019,11,11,1528,48.54,126.92,3.28,0,2,3,1.16,0,3
4,2019,11,11,1528,48.54,126.94,3.28,0,2,3,1.16,0,3
5,2019,11,11,1528,48.54,126.96,3.28,0,2,1,.95,0,3
6,2019,11,11,1528,47.68,127.16,3.34,0,2,1,.61,0,7
7,2019,11,11,1528,47.66,127.16,3.34,0,2,1,.61,0,7
8,2019,11,11,1534,46.30,124.08,3.42,0,2,1,.92,0,8
9,2019,11,11,1534,45.34,129.74,3.48,0,2,1,2.55,0,9
10,2019,11,11,1534,45.32,129.76,3.49,0,2,1,3.08,0,10
11,2019,11,11,1534,45.18,125.44,3.49,0,2,3,1.15,0,11
12,2019,11,11,1534,45.16,125.44,3.50,0,2,3,1.15,0,11
13,2019,11,11,1534,45.16,125.46,3.50,0,2,3,1.15,0,11
14,2019,11,11,1534,44.42,126.68,3.54,0,2,1,1.30,0,14
15,2019,11,11,1534,44.42,126.70,3.54,0,2,1,1.30,0,14
16,2019,11,11,1534,44.40,127.70,3.54,0,2,3,2.72,0,18
17,2019,11,11,1534,44.40,127.72,3.54,0,2,3,2.72,0,18
18,2019,11,11,1534,44.38,127.72,3.54,0,2,3,2.72,0,18
19,2019,11,11,1534,43.20,124.34,3.61,0,2,1,1.10,0,19
20,2019,11,11,1534,43.20,126.00,3.61,0,2,1,.73,0,20
21,2019,11,11,1534,43.18,124.36,3.61,0,2,1,1.22,0,21
22,2019,11,11,1534,43.18,124.38,3.61,0,2,1,1.22,0,21
23,2019,11,11,1534,43.18,126.00,3.61,0,2,1,.73,0,20
24,2019,11,11,1534,43.16,124.38,3.62,0,2,1,1.22,0,21
25,2019,11,11,1534,42.52,124.22,3.65,0,2,1,1.86,0,25
26,2019,11,11,1534,41.86,128.86,3.69,0,2,3,1.19,0,26
27,2019,11,11,1534,41.40,124.32,3.72,0,2,3,1.90,0,27
28,2019,11,11,1534,41.38,124.32,3.72,0,2,3,1.90,0,27
29,2019,11,11,1534,41.36,124.32,3.72,0,2,1,1.58,0,27
30,2019,11,11,1534,41.34,124.20,3.72,0,2,3,1.89,0,30
31,2019,11,11,1534,41.28,123.74,3.72,0,2,1,1.49,0,31
32,2019,11,11,1534,41.26,123.74,3.73,0,2,1,1.49,0,31
33,2019,11,11,1534,41.16,122.98,3.73,0,2,1,2.96,0,35
34,2019,11,11,1534,41.16,123.00,3.73,0,2,1,2.05,0,35
35,2019,11,11,1534,41.14,122.98,3.73,0,2,1,3.66,0,35
36,2019,11,11,1534,41.12,122.98,3.73,0,2,1,3.66,0,35
37,2019,11,11,1534,41.12,123.00,3.73,0,2,1,3.66,0,35
38,2019,11,11,1534,40.70,82.88,3.76,0,3,1,.71,0,40
39,2019,11,11,1534,40.70,82.90,3.76,0,3,1,.71,0,40
40,2019,11,11,1534,40.70,82.92,3.76,0,3,1,.71,0,40
41,2019,11,11,1534,40.24,104.94,3.78,0,2,1,1.48,0,44
42,2019,11,11,1534,40.24,104.96,3.78,0,2,1,1.48,0,44
43,2019,11,11,1534,40.22,104.96,3.78,0,2,1,1.48,0,44
44,2019,11,11,1534,40.22,104.98,3.78,0,2,1,1.48,0,44
45,2019,11,11,1534,39.88,106.86,3.80,0,2,1,4.36,0,45
46,2019,11,11,1534,39.88,106.88,3.80,0,2,1,4.36,0,45
47,2019,11,11,1534,39.76,126.38,3.81,0,2,3,1.21,0,47
48,2019,11,11,1534,39.68,118.88,3.81,0,1,1,4.78,0,48
49,2019,11,11,1534,39.68,118.90,3.81,0,1,1,4.78,0,48
50,2019,11,11,1534,39.66,118.90,3.82,0,1,1,4.78,0,48
51,2019,11,11,1534,39.22,108.96,3.84,0,2,1,1.13,0,53
52,2019,11,11,1534,39.20,108.96,3.84,0,2,1,1.19,0,53
53,2019,11,11,1534,39.18,108.96,3.84,0,2,1,1.19,0,53
54,2019,11,11,1534,39.12,109.42,3.85,0,2,3,.71,0,54
55,2019,11,11,1534,39.10,109.44,3.85,0,3,3,.56,0,56
56,2019,11,11,1534,39.10,109.46,3.85,0,2,3,.80,0,56
57,2019,11,11,1534,39.10,109.48,3.85,0,2,3,.80,0,56
58,2019,11,11,1534,38.94,106.40,3.86,0,1,1,5.04,0,58
