# 2019 11 17 11  0 UTC  2020  3 23 23  8 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,17,1104,44.76,90.18,3.52,0,2,1,3.95,0,5
2,2019,11,17,1104,44.76,90.20,3.52,0,2,1,3.95,0,5
3,2019,11,17,1104,44.74,90.20,3.52,0,2,1,3.95,0,5
4,2019,11,17,1104,44.74,90.22,3.52,0,2,1,3.95,0,5
5,2019,11,17,1104,44.74,90.24,3.52,0,2,1,3.95,0,5
6,2019,11,17,1104,44.72,90.24,3.52,0,2,1,3.77,0,5
7,2019,11,17,1104,44.72,90.26,3.52,0,2,1,3.77,0,5
8,2019,11,17,1104,44.70,90.26,3.52,0,2,3,3.77,0,5
9,2019,11,17,1104,44.70,90.28,3.52,0,2,1,3.78,0,5
10,2019,11,17,1104,44.70,90.30,3.52,0,2,1,3.78,0,5
11,2019,11,17,1104,44.24,141.70,3.55,0,2,3,.89,0,11
12,2019,11,17,1104,44.24,141.72,3.55,0,2,3,.89,0,11
13,2019,11,17,1104,44.22,141.70,3.55,0,2,3,.89,0,11
14,2019,11,17,1104,44.22,141.72,3.55,0,2,3,.89,0,11
15,2019,11,17,1104,43.70,94.98,3.58,0,2,1,.64,0,18
16,2019,11,17,1104,43.70,95.00,3.58,0,2,1,.64,0,18
17,2019,11,17,1104,43.68,95.00,3.58,0,2,1,.64,0,18
18,2019,11,17,1104,43.68,95.02,3.58,0,2,1,.64,0,18
19,2019,11,17,1104,40.64,109.70,3.76,0,2,1,2.01,0,20
20,2019,11,17,1104,40.64,109.72,3.76,0,1,1,5.52,0,20
21,2019,11,17,1104,40.64,109.74,3.76,0,1,1,5.52,0,20
22,2019,11,17,1104,40.64,110.90,3.76,0,2,3,1.67,0,22
23,2019,11,17,1104,40.64,110.92,3.76,0,2,3,1.67,0,22
24,2019,11,17,1104,40.60,115.20,3.76,0,2,5,6.96,0,24
25,2019,11,17,1104,40.58,115.12,3.76,0,2,3,1.56,0,25
26,2019,11,17,1104,40.58,115.14,3.76,0,2,3,1.56,0,25
27,2019,11,17,1104,40.56,96.32,3.77,0,2,1,.62,0,27
28,2019,11,17,1104,40.54,141.50,3.77,0,2,1,3.86,0,28
29,2019,11,17,1104,39.84,106.90,3.81,0,1,1,2.54,0,29
30,2019,11,17,1104,39.60,112.82,3.82,0,2,5,2.24,0,30
31,2019,11,17,1104,39.58,112.82,3.82,0,2,5,2.24,0,30
32,2019,11,17,1104,39.58,112.84,3.82,0,2,5,2.24,0,30
33,2019,11,17,1104,39.40,112.58,3.83,0,2,3,1.03,0,39
34,2019,11,17,1104,39.38,106.90,3.83,0,1,1,2.18,0,34
35,2019,11,17,1104,39.38,106.92,3.83,0,1,3,2.18,0,34
36,2019,11,17,1104,39.38,106.94,3.83,0,2,1,1.18,0,34
37,2019,11,17,1104,39.38,112.58,3.83,0,2,3,1.03,0,39
38,2019,11,17,1104,39.38,112.60,3.83,0,2,3,1.03,0,39
39,2019,11,17,1104,39.36,112.60,3.83,0,1,5,4.66,0,39
40,2019,11,17,1104,39.34,117.00,3.83,0,2,3,1.37,0,43
41,2019,11,17,1104,39.34,117.02,3.83,0,2,3,1.37,0,43
42,2019,11,17,1104,39.32,117.02,3.83,0,2,3,1.37,0,43
43,2019,11,17,1104,39.30,117.02,3.84,0,2,5,2.59,0,43
44,2019,11,17,1104,39.30,117.04,3.84,0,2,5,2.59,0,43
45,2019,11,17,1104,39.10,109.88,3.85,0,1,1,4.97,0,45
