# 2019 11 20  0  0 UTC  2020  3 23 23 55 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,20,0000,44.76,90.18,3.52,0,2,1,4.24,0,6
2,2019,11,20,0000,44.76,90.20,3.52,0,2,1,4.24,0,6
3,2019,11,20,0000,44.76,90.22,3.52,0,2,1,3.18,0,6
4,2019,11,20,0000,44.74,90.20,3.52,0,2,1,4.24,0,6
5,2019,11,20,0000,44.74,90.22,3.52,0,2,1,4.24,0,6
6,2019,11,20,0000,44.74,90.24,3.52,0,2,1,4.24,0,6
7,2019,11,20,0000,44.74,90.26,3.52,0,2,1,3.19,0,6
8,2019,11,20,0000,44.74,90.28,3.52,0,2,1,3.19,0,6
9,2019,11,20,0000,40.64,109.72,3.76,0,2,1,2.97,0,10
10,2019,11,20,0000,40.64,109.74,3.76,0,2,1,2.97,0,10
11,2019,11,20,0000,39.76,118.10,3.81,0,2,1,.74,0,11
12,2019,11,20,0000,38.28,117.80,3.89,0,3,3,.61,0,13
13,2019,11,20,0000,38.28,117.82,3.89,0,3,1,.61,0,13
14,2019,11,20,0000,35.36,100.06,4.04,0,1,1,1.92,0,14
15,2019,11,20,0000,34.44,115.06,4.09,0,2,1,.50,0,16
16,2019,11,20,0000,34.42,115.06,4.09,0,2,1,.50,0,16
17,2019,11,20,0000,34.42,119.84,4.09,0,2,1,3.45,0,17
18,2019,11,20,0000,34.42,119.86,4.09,0,2,1,2.72,0,17
19,2019,11,20,0000,34.40,119.84,4.09,0,2,1,3.45,0,17
20,2019,11,20,0000,34.40,119.86,4.09,0,2,1,2.72,0,17
21,2019,11,20,0000,31.70,120.08,4.22,0,2,1,1.44,0,21
22,2019,11,20,0000,28.34,91.86,4.36,0,2,1,1.69,0,23
23,2019,11,20,0000,28.34,91.88,4.36,0,2,1,1.69,0,23
24,2019,11,20,0000,27.66,91.68,4.39,0,2,3,2.36,0,25
25,2019,11,20,0000,27.66,91.70,4.39,0,2,1,2.36,0,25
26,2019,11,20,0000,27.50,117.52,4.40,0,2,5,1.63,0,26
27,2019,11,20,0000,27.48,117.52,4.40,0,2,3,1.51,0,26
28,2019,11,20,0000,26.92,116.62,4.42,0,2,5,6.40,0,28
29,2019,11,20,0000,26.92,116.64,4.42,0,2,5,3.21,0,28
30,2019,11,20,0000,26.90,116.62,4.42,0,3,3,1.65,0,28
31,2019,11,20,0000,25.62,113.98,4.47,0,2,5,8.79,0,34
32,2019,11,20,0000,25.62,114.00,4.47,0,2,5,13.97,0,34
33,2019,11,20,0000,25.60,113.98,4.47,0,1,5,23.99,0,34
34,2019,11,20,0000,25.60,114.00,4.47,0,1,5,36.82,0,34
35,2019,11,20,0000,25.60,114.02,4.47,0,1,5,36.82,0,34
36,2019,11,20,0000,25.18,117.04,4.49,0,2,3,1.50,0,36
37,2019,11,20,0000,23.80,86.34,4.54,0,2,1,3.14,0,41
38,2019,11,20,0000,23.80,86.36,4.54,0,2,1,3.14,0,41
39,2019,11,20,0000,23.78,86.34,4.54,0,1,1,6.02,0,41
40,2019,11,20,0000,23.78,86.36,4.54,0,1,1,6.02,0,41
41,2019,11,20,0000,23.78,86.38,4.54,0,1,1,6.02,0,41
42,2019,11,20,0000,23.78,86.40,4.54,0,2,1,4.58,0,41
43,2019,11,20,0000,23.78,86.42,4.54,0,2,1,4.60,0,41
44,2019,11,20,0000,22.94,86.72,4.56,0,2,3,3.50,0,44
45,2019,11,20,0006,22.22,84.52,4.59,0,2,3,1.76,0,47
46,2019,11,20,0006,22.22,84.54,4.59,0,2,3,1.76,0,47
47,2019,11,20,0006,22.22,84.56,4.59,0,2,3,1.76,0,47
48,2019,11,20,0006,20.96,85.18,4.63,0,2,1,2.43,0,49
49,2019,11,20,0006,20.96,85.20,4.63,0,2,1,2.43,0,49
50,2019,11,20,0006,20.30,81.78,4.65,0,2,1,2.35,0,51
51,2019,11,20,0006,20.30,81.80,4.65,0,2,3,2.36,0,51
52,2019,11,20,0006,3.86,117.32,4.95,0,3,1,2.49,2,53
53,2019,11,20,0006,3.86,117.34,4.95,0,3,1,2.49,2,53
54,2019,11,20,0006,2.78,125.40,4.95,0,2,1,4.88,0,54
55,2019,11,20,0006,1.46,124.84,4.95,0,3,1,3.29,0,55
56,2019,11,20,0006,-.42,130.82,4.96,0,3,3,1.98,0,56
57,2019,11,20,0006,-1.54,127.42,4.95,0,3,1,3.17,0,57
58,2019,11,20,0006,-1.54,127.44,4.95,0,3,1,2.38,0,57
59,2019,11,20,0006,-1.56,127.44,4.95,0,3,1,2.50,0,57
60,2019,11,20,0006,-2.30,119.90,4.95,0,2,3,1.34,0,60
61,2019,11,20,0006,-2.84,129.64,4.95,0,3,1,2.78,0,61
62,2019,11,20,0006,-2.92,110.26,4.95,0,3,3,1.38,0,62
63,2019,11,20,0006,-2.96,110.30,4.95,0,3,3,1.66,0,63
64,2019,11,20,0006,-3.28,112.18,4.95,0,3,3,1.22,0,64
65,2019,11,20,0006,-3.28,121.70,4.95,0,3,1,4.17,0,65
66,2019,11,20,0006,-3.32,111.84,4.95,0,3,3,1.66,0,66
67,2019,11,20,0006,-3.36,112.06,4.95,0,3,3,1.69,0,67
68,2019,11,20,0006,-3.42,116.24,4.95,0,3,1,1.57,0,68
69,2019,11,20,0006,-7.80,126.40,4.91,0,2,3,5.88,0,70
70,2019,11,20,0006,-7.82,126.40,4.91,0,2,5,11.07,0,70
71,2019,11,20,0006,-7.88,126.18,4.91,0,3,3,5.22,0,74
72,2019,11,20,0006,-7.88,138.16,4.91,0,2,3,11.32,0,75
73,2019,11,20,0006,-7.88,138.18,4.91,0,3,3,5.78,0,75
74,2019,11,20,0006,-7.90,126.18,4.91,0,3,3,5.63,0,74
75,2019,11,20,0006,-7.90,138.16,4.91,0,2,3,11.87,0,75
76,2019,11,20,0006,-7.90,138.18,4.91,0,2,1,5.83,0,75
77,2019,11,20,0006,-7.92,138.16,4.91,0,2,3,9.72,0,75
78,2019,11,20,0006,-8.12,139.48,4.91,0,2,1,6.85,0,78
79,2019,11,20,0006,-11.34,130.90,4.86,0,2,1,3.55,0,79
80,2019,11,20,0006,-11.56,130.56,4.86,0,2,3,7.92,0,81
81,2019,11,20,0006,-11.58,130.56,4.86,0,3,5,16.45,0,81
82,2019,11,20,0006,-11.58,130.58,4.86,0,2,3,8.92,0,81
83,2019,11,20,0006,-12.30,142.46,4.84,0,2,3,31.11,0,83
84,2019,11,20,0006,-12.38,132.40,4.84,0,2,3,9.54,0,84
85,2019,11,20,0006,-12.50,141.72,4.84,0,2,3,14.99,0,85
86,2019,11,20,0006,-12.70,142.00,4.84,0,2,5,27.14,0,86
87,2019,11,20,0006,-13.04,135.28,4.83,0,1,5,50.72,0,87
88,2019,11,20,0006,-13.04,135.30,4.83,0,2,5,15.83,0,87
89,2019,11,20,0006,-13.06,135.28,4.83,0,2,5,30.18,0,87
90,2019,11,20,0006,-13.06,135.30,4.83,0,2,5,12.31,0,87
