# 2019 11 22 23  0 UTC  2020  3 24  0 51 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,22,2304,46.34,121.86,3.42,0,2,3,.93,0,1
2,2019,11,22,2304,46.32,121.88,3.42,0,2,3,.92,0,2
3,2019,11,22,2304,40.54,141.50,3.77,0,2,1,8.14,0,4
4,2019,11,22,2304,40.52,141.50,3.77,0,2,1,8.21,0,4
5,2019,11,22,2304,40.50,141.50,3.77,0,2,1,8.21,0,4
6,2019,11,22,2304,39.88,106.86,3.80,0,2,1,2.31,0,6
7,2019,11,22,2304,39.88,106.88,3.80,0,2,1,2.31,0,6
8,2019,11,22,2304,39.52,110.48,3.82,0,2,1,2.48,0,8
9,2019,11,22,2304,39.52,110.50,3.82,0,2,1,2.48,0,8
10,2019,11,22,2304,39.50,110.50,3.82,0,2,1,2.16,0,8
11,2019,11,22,2304,39.48,110.52,3.83,0,2,1,1.84,0,11
12,2019,11,22,2304,39.22,108.98,3.84,0,2,1,.58,0,12
13,2019,11,22,2304,38.94,106.40,3.86,0,2,1,3.07,0,13
14,2019,11,22,2304,38.94,106.42,3.86,0,2,1,3.07,0,13
15,2019,11,22,2304,36.84,103.16,3.97,0,2,1,.56,0,15
16,2019,11,22,2304,36.16,101.74,4.00,0,2,1,1.85,0,16
17,2019,11,22,2304,36.02,129.38,4.01,0,2,1,3.06,0,17
18,2019,11,22,2304,33.72,114.66,4.12,0,1,1,5.50,0,18
19,2019,11,22,2304,28.14,116.06,4.37,0,2,3,.99,0,19
20,2019,11,22,2304,26.60,101.62,4.43,0,2,1,2.13,0,24
21,2019,11,22,2304,26.60,101.64,4.43,0,2,1,2.13,0,24
22,2019,11,22,2304,26.60,101.66,4.43,0,2,1,3.17,0,24
23,2019,11,22,2304,26.58,101.64,4.43,0,2,1,3.05,0,24
24,2019,11,22,2304,26.58,101.66,4.43,0,2,1,4.16,0,24
25,2019,11,22,2304,26.58,101.68,4.43,0,2,1,4.16,0,24
26,2019,11,22,2304,25.72,114.24,4.47,0,1,3,7.61,0,26
27,2019,11,22,2304,25.72,114.26,4.47,0,2,5,4.56,0,26
28,2019,11,22,2304,25.42,111.02,4.48,0,2,5,5.09,0,28
29,2019,11,22,2304,25.42,111.04,4.48,0,2,3,3.11,0,28
30,2019,11,22,2304,25.42,111.06,4.48,0,2,3,3.11,0,28
31,2019,11,22,2304,24.38,109.38,4.51,0,2,1,6.28,0,31
32,2019,11,22,2304,24.24,117.00,4.52,0,2,5,6.97,0,32
33,2019,11,22,2304,24.24,117.02,4.52,0,2,3,4.57,0,32
34,2019,11,22,2304,24.18,102.72,4.52,0,1,3,4.44,0,34
35,2019,11,22,2304,24.18,102.74,4.52,0,1,3,4.44,0,34
36,2019,11,22,2304,24.16,102.74,4.52,0,1,1,4.44,0,34
37,2019,11,22,2304,23.86,86.80,4.53,0,2,3,1.88,0,37
38,2019,11,22,2304,23.84,111.40,4.53,0,2,3,2.18,0,38
39,2019,11,22,2304,23.84,111.42,4.53,0,2,3,2.18,0,38
40,2019,11,22,2304,23.82,111.42,4.53,0,2,3,2.18,0,38
41,2019,11,22,2304,23.78,86.34,4.54,0,2,1,2.64,0,44
42,2019,11,22,2304,23.78,86.36,4.54,0,2,1,2.64,0,44
43,2019,11,22,2304,23.78,86.38,4.54,0,2,1,2.65,0,43
44,2019,11,22,2304,23.76,86.36,4.54,0,2,1,2.90,0,44
45,2019,11,22,2304,23.70,86.68,4.54,0,1,1,3.86,0,46
46,2019,11,22,2304,23.70,86.70,4.54,0,1,1,3.86,0,46
47,2019,11,22,2304,23.54,114.16,4.54,0,2,3,1.35,0,48
48,2019,11,22,2304,23.52,114.16,4.54,0,2,3,1.66,0,48
49,2019,11,22,2304,23.50,91.82,4.55,0,2,1,3.50,0,49
50,2019,11,22,2304,23.48,91.84,4.55,0,1,1,5.76,0,53
51,2019,11,22,2304,23.48,91.86,4.55,0,1,1,5.76,0,53
52,2019,11,22,2304,23.46,91.84,4.55,0,1,1,6.39,0,53
53,2019,11,22,2304,23.46,91.86,4.55,0,1,1,6.39,0,53
54,2019,11,22,2304,23.04,108.94,4.56,0,2,3,2.77,0,54
55,2019,11,22,2304,23.02,109.12,4.56,0,2,5,3.37,0,55
56,2019,11,22,2304,22.96,92.16,4.56,0,1,3,7.71,0,57
57,2019,11,22,2304,22.96,92.18,4.56,0,1,3,7.71,0,57
58,2019,11,22,2304,22.90,100.28,4.57,0,1,3,8.02,0,58
59,2019,11,22,2304,22.68,109.68,4.57,0,2,3,1.70,0,59
60,2019,11,22,2304,22.32,82.16,4.59,0,1,1,3.93,0,60
61,2019,11,22,2304,22.06,109.56,4.59,0,2,3,3.03,0,62
62,2019,11,22,2304,22.04,109.56,4.59,0,1,3,3.42,0,62
63,2019,11,22,2304,22.04,109.58,4.59,0,1,3,3.42,0,62
64,2019,11,22,2304,21.78,110.32,4.60,0,1,1,7.15,0,64
65,2019,11,22,2304,20.96,85.12,4.63,0,2,1,3.96,0,67
66,2019,11,22,2304,20.96,85.14,4.63,0,2,1,3.97,0,67
67,2019,11,22,2304,20.96,85.16,4.63,0,2,1,3.97,0,67
68,2019,11,22,2304,20.60,96.90,4.64,0,1,1,3.81,0,68
69,2019,11,22,2304,20.52,94.24,4.64,0,1,3,3.86,0,69
70,2019,11,22,2304,20.50,94.26,4.64,0,1,3,5.09,0,70
71,2019,11,22,2304,19.38,109.56,4.68,0,2,1,3.89,0,71
72,2019,11,22,2304,18.98,109.00,4.69,0,1,1,9.19,0,72
73,2019,11,22,2304,18.98,109.02,4.69,0,1,3,4.93,0,72
74,2019,11,22,2304,18.96,109.00,4.69,0,2,3,3.70,0,72
75,2019,11,22,2304,17.36,102.56,4.73,0,1,3,6.38,0,75
76,2019,11,22,2304,17.14,100.44,4.74,0,2,3,2.24,0,76
77,2019,11,22,2304,16.96,103.22,4.74,0,2,3,4.66,0,77
78,2019,11,22,2304,16.40,106.32,4.75,0,1,3,5.06,0,78
79,2019,11,22,2304,15.66,101.88,4.77,0,2,3,2.70,0,79
80,2019,11,22,2304,15.66,101.90,4.77,0,2,3,2.70,0,79
81,2019,11,22,2304,14.94,103.82,4.79,0,1,1,4.55,0,81
82,2019,11,22,2304,14.28,107.82,4.80,0,2,1,3.71,0,84
83,2019,11,22,2304,14.28,107.84,4.80,0,2,1,3.71,0,84
84,2019,11,22,2304,14.26,107.84,4.80,0,2,3,4.03,0,84
85,2019,11,22,2304,13.40,102.08,4.82,0,1,1,4.46,0,85
86,2019,11,22,2304,13.06,102.94,4.83,0,1,3,5.87,0,86
87,2019,11,22,2304,12.94,101.26,4.83,0,1,3,6.09,0,87
88,2019,11,22,2304,12.44,99.74,4.84,0,2,1,3.29,0,88
89,2019,11,22,2304,7.98,80.46,4.91,0,2,3,2.87,0,90
90,2019,11,22,2304,7.98,80.48,4.91,0,2,3,2.87,0,90
91,2019,11,22,2304,1.50,127.62,4.95,1,2,1,3.64,0,91
92,2019,11,22,2304,-2.84,129.64,4.95,0,3,1,1.71,0,92
93,2019,11,22,2304,-6.62,134.16,4.92,0,3,3,2.02,0,93
94,2019,11,22,2304,-6.68,134.16,4.92,0,3,3,3.27,2,94
95,2019,11,22,2304,-7.32,131.44,4.92,0,3,1,1.60,0,95
96,2019,11,22,2304,-7.48,140.80,4.91,0,3,3,2.48,2,96
97,2019,11,22,2304,-7.80,137.94,4.91,0,3,3,2.74,0,97
98,2019,11,22,2304,-7.80,137.96,4.91,0,2,3,2.38,0,97
99,2019,11,22,2304,-7.86,139.10,4.91,0,3,1,1.88,0,99
100,2019,11,22,2304,-8.04,138.72,4.91,0,3,3,2.41,0,100
101,2019,11,22,2304,-8.60,141.90,4.90,0,2,3,2.01,0,101
102,2019,11,22,2304,-8.62,141.90,4.90,0,2,3,1.91,0,101
103,2019,11,22,2304,-8.66,141.38,4.90,0,3,3,2.01,0,103
104,2019,11,22,2304,-8.66,141.52,4.90,0,3,3,2.33,0,104
105,2019,11,22,2304,-9.04,146.88,4.90,0,3,1,1.62,0,105
106,2019,11,22,2304,-9.30,147.02,4.89,0,3,1,3.73,0,106
107,2019,11,22,2304,-9.54,124.24,4.89,0,2,3,4.11,0,107
108,2019,11,22,2304,-11.18,132.50,4.86,0,3,1,3.51,0,108
109,2019,11,22,2309,-11.44,130.50,4.86,0,2,5,8.12,0,109
110,2019,11,22,2309,-11.44,130.52,4.86,0,3,5,5.47,0,109
111,2019,11,22,2309,-11.46,130.52,4.86,0,3,3,3.35,0,109
112,2019,11,22,2309,-12.00,142.82,4.85,0,3,1,3.72,0,112
113,2019,11,22,2309,-12.16,134.54,4.85,0,2,1,4.65,0,113
114,2019,11,22,2309,-12.64,141.98,4.84,0,3,3,3.27,0,114
115,2019,11,22,2309,-13.08,142.98,4.83,0,2,3,15.80,0,115
116,2019,11,22,2309,-13.10,142.98,4.83,0,2,5,15.09,0,115
117,2019,11,22,2309,-13.60,134.14,4.82,0,1,3,15.14,0,117
118,2019,11,22,2309,-13.64,134.10,4.82,0,2,1,3.12,0,118
119,2019,11,22,2309,-13.76,135.84,4.81,0,3,1,3.91,0,119
120,2019,11,22,2309,-14.74,132.36,4.79,0,2,5,32.53,0,120
121,2019,11,22,2309,-14.90,144.12,4.79,0,3,1,3.37,0,121
122,2019,11,22,2309,-15.62,144.28,4.77,0,2,3,10.69,0,122
123,2019,11,22,2309,-15.64,144.28,4.77,0,2,1,10.50,0,122
124,2019,11,22,2309,-15.70,144.26,4.77,0,1,3,33.93,0,124
125,2019,11,22,2309,-15.76,144.02,4.77,0,2,3,17.31,0,125
126,2019,11,22,2309,-16.84,124.72,4.74,0,2,5,14.66,0,126
127,2019,11,22,2309,-16.94,124.76,4.74,0,2,3,10.27,0,127
128,2019,11,22,2309,-17.00,124.16,4.74,0,2,5,25.51,0,128
129,2019,11,22,2309,-17.02,124.16,4.74,0,2,3,19.61,0,128
130,2019,11,22,2309,-17.24,144.42,4.73,0,2,3,4.58,0,132
131,2019,11,22,2309,-17.24,144.44,4.73,0,3,1,3.53,0,132
132,2019,11,22,2309,-17.26,144.42,4.73,0,2,3,6.36,0,132
133,2019,11,22,2309,-17.26,144.44,4.73,0,2,1,4.75,0,132
134,2019,11,22,2309,-17.28,144.42,4.73,0,2,1,3.15,0,132
135,2019,11,22,2309,-17.28,144.44,4.73,0,2,3,5.58,0,132
136,2019,11,22,2309,-18.02,140.94,4.71,0,2,5,20.08,0,136
